# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001500000000121e+01
7.000000000000000000e+00,2.500006099999999876e+01
8.000000000000000000e+00,2.500020999999999916e+01
9.000000000000000000e+00,2.500061000000000178e+01
1.000000000000000000e+01,2.500155399999999872e+01
1.100000000000000000e+01,2.500352499999999978e+01
1.200000000000000000e+01,2.500724400000000003e+01
1.300000000000000000e+01,2.501369299999999996e+01
1.400000000000000000e+01,2.502409400000000161e+01
1.500000000000000000e+01,2.503988100000000117e+01
1.600000000000000000e+01,2.506264900000000040e+01
1.700000000000000000e+01,2.509409000000000134e+01
1.800000000000000000e+01,2.513593300000000141e+01
1.900000000000000000e+01,2.518990300000000104e+01
2.000000000000000000e+01,2.525766399999999834e+01
2.100000000000000000e+01,2.534079399999999893e+01
2.200000000000000000e+01,2.544075199999999981e+01
2.300000000000000000e+01,2.555886500000000083e+01
2.400000000000000000e+01,2.569631800000000155e+01
2.500000000000000000e+01,2.585415100000000166e+01
2.600000000000000000e+01,2.603324900000000142e+01
2.700000000000000000e+01,2.623436399999999935e+01
2.800000000000000000e+01,2.645810099999999920e+01
2.900000000000000000e+01,2.670495000000000019e+01
3.000000000000000000e+01,2.697526200000000074e+01
3.100000000000000000e+01,2.726928500000000000e+01
3.200000000000000000e+01,2.758717299999999994e+01
3.300000000000000000e+01,2.792898399999999981e+01
3.400000000000000000e+01,2.829468500000000120e+01
3.500000000000000000e+01,2.868417200000000022e+01
3.600000000000000000e+01,2.909727900000000034e+01
3.700000000000000000e+01,2.953378700000000023e+01
3.800000000000000000e+01,2.999342499999999845e+01
3.900000000000000000e+01,3.047586599999999990e+01
4.000000000000000000e+01,3.098076199999999858e+01
4.100000000000000000e+01,3.150772900000000121e+01
4.200000000000000000e+01,3.205633499999999714e+01
4.300000000000000000e+01,3.262614800000000059e+01
4.400000000000000000e+01,3.321674000000000149e+01
4.500000000000000000e+01,3.382760600000000295e+01
4.600000000000000000e+01,3.445829400000000220e+01
4.700000000000000000e+01,3.510829900000000237e+01
4.800000000000000000e+01,3.577712600000000265e+01
4.900000000000000000e+01,3.646428300000000178e+01
5.000000000000000000e+01,3.716927700000000101e+01
5.100000000000000000e+01,3.789159399999999778e+01
5.200000000000000000e+01,3.863071800000000167e+01
5.300000000000000000e+01,3.938618499999999756e+01
5.400000000000000000e+01,4.015749000000000279e+01
5.500000000000000000e+01,4.094414900000000301e+01
5.600000000000000000e+01,4.174566999999999695e+01
5.700000000000000000e+01,4.256159199999999743e+01
5.800000000000000000e+01,4.339144100000000037e+01
5.900000000000000000e+01,4.423476399999999842e+01
6.000000000000000000e+01,4.509110299999999683e+01
6.100000000000000000e+01,4.596003000000000327e+01
6.200000000000000000e+01,4.684109099999999870e+01
6.300000000000000000e+01,4.773385999999999996e+01
6.400000000000000000e+01,4.863793199999999928e+01
6.500000000000000000e+01,4.955292500000000189e+01
6.600000000000000000e+01,5.047840099999999808e+01
6.700000000000000000e+01,5.141398199999999719e+01
6.800000000000000000e+01,5.235932199999999881e+01
6.900000000000000000e+01,5.331401100000000071e+01
7.000000000000000000e+01,5.427770199999999789e+01
7.100000000000000000e+01,5.525006900000000343e+01
7.200000000000000000e+01,5.623072799999999916e+01
7.300000000000000000e+01,5.721938300000000055e+01
7.400000000000000000e+01,5.821567499999999740e+01
7.500000000000000000e+01,5.921932199999999824e+01
7.600000000000000000e+01,6.022998799999999875e+01
7.700000000000000000e+01,6.124741000000000213e+01
7.800000000000000000e+01,6.227125900000000058e+01
7.900000000000000000e+01,6.330129999999999768e+01
8.000000000000000000e+01,6.433722699999999861e+01
8.100000000000000000e+01,6.537876900000000546e+01
8.200000000000000000e+01,6.642569000000000301e+01
8.300000000000000000e+01,6.747770699999999522e+01
8.400000000000000000e+01,6.853463000000000704e+01
8.500000000000000000e+01,6.959618399999999383e+01
8.600000000000000000e+01,7.066212500000000318e+01
8.700000000000000000e+01,7.173225399999999752e+01
8.800000000000000000e+01,7.280635100000000648e+01
8.900000000000000000e+01,7.388417099999999493e+01
9.000000000000000000e+01,7.496556900000000212e+01
9.100000000000000000e+01,7.605031599999999514e+01
9.200000000000000000e+01,7.713822899999999549e+01
9.300000000000000000e+01,7.822907299999999964e+01
9.400000000000000000e+01,7.932271599999999978e+01
9.500000000000000000e+01,8.041897600000000068e+01
9.600000000000000000e+01,8.151766200000000140e+01
9.700000000000000000e+01,8.261862200000000200e+01
9.800000000000000000e+01,8.372168700000000285e+01
9.900000000000000000e+01,8.482670600000000150e+01
1.000000000000000000e+02,8.593353299999999706e+01
1.010000000000000000e+02,8.704198499999999683e+01
1.020000000000000000e+02,8.815197000000000571e+01
1.030000000000000000e+02,8.926331299999999658e+01
1.040000000000000000e+02,9.037590000000000146e+01
1.050000000000000000e+02,9.148956300000000397e+01
1.060000000000000000e+02,9.260421800000000303e+01
1.070000000000000000e+02,9.371973400000000254e+01
1.080000000000000000e+02,9.483596799999999405e+01
1.090000000000000000e+02,9.595282000000000266e+01
1.100000000000000000e+02,9.707016000000000133e+01
1.110000000000000000e+02,9.818792000000000542e+01
1.120000000000000000e+02,9.930596900000000460e+01
1.130000000000000000e+02,1.004242100000000022e+02
1.140000000000000000e+02,1.015425299999999993e+02
1.150000000000000000e+02,1.026608399999999932e+02
1.160000000000000000e+02,1.037790600000000012e+02
1.170000000000000000e+02,1.048970900000000057e+02
1.180000000000000000e+02,1.060148599999999988e+02
1.190000000000000000e+02,1.071322700000000054e+02
1.200000000000000000e+02,1.082492100000000050e+02
1.210000000000000000e+02,1.093656500000000023e+02
1.220000000000000000e+02,1.104815100000000001e+02
1.230000000000000000e+02,1.115966899999999953e+02
1.240000000000000000e+02,1.127111299999999972e+02
1.250000000000000000e+02,1.138247599999999977e+02
1.260000000000000000e+02,1.149375299999999953e+02
1.270000000000000000e+02,1.160493699999999961e+02
1.280000000000000000e+02,1.171602199999999954e+02
1.290000000000000000e+02,1.182699999999999960e+02
1.300000000000000000e+02,1.193786800000000028e+02
1.310000000000000000e+02,1.204861999999999966e+02
1.320000000000000000e+02,1.215925100000000043e+02
1.330000000000000000e+02,1.226975199999999973e+02
1.340000000000000000e+02,1.238012200000000007e+02
1.350000000000000000e+02,1.249035599999999988e+02
1.360000000000000000e+02,1.260044999999999931e+02
1.370000000000000000e+02,1.271039600000000007e+02
1.380000000000000000e+02,1.282019200000000012e+02
1.390000000000000000e+02,1.292983600000000024e+02
1.400000000000000000e+02,1.303932200000000137e+02
1.410000000000000000e+02,1.314864300000000128e+02
1.420000000000000000e+02,1.325780200000000093e+02
1.430000000000000000e+02,1.336679200000000094e+02
1.440000000000000000e+02,1.347561000000000035e+02
1.450000000000000000e+02,1.358425100000000043e+02
1.460000000000000000e+02,1.369271400000000085e+02
1.470000000000000000e+02,1.380099600000000066e+02
1.480000000000000000e+02,1.390909100000000080e+02
1.490000000000000000e+02,1.401700099999999907e+02
1.500000000000000000e+02,1.412471899999999891e+02
1.510000000000000000e+02,1.423224500000000035e+02
1.520000000000000000e+02,1.433957499999999925e+02
1.530000000000000000e+02,1.444670999999999879e+02
1.540000000000000000e+02,1.455364399999999989e+02
1.550000000000000000e+02,1.466037100000000066e+02
1.560000000000000000e+02,1.476689599999999984e+02
1.570000000000000000e+02,1.487321200000000090e+02
1.580000000000000000e+02,1.497932299999999941e+02
1.590000000000000000e+02,1.508522199999999884e+02
1.600000000000000000e+02,1.519090700000000140e+02
1.610000000000000000e+02,1.529638099999999952e+02
1.620000000000000000e+02,1.540163699999999949e+02
1.630000000000000000e+02,1.550667400000000100e+02
1.640000000000000000e+02,1.561149399999999901e+02
1.650000000000000000e+02,1.571609300000000076e+02
1.660000000000000000e+02,1.582046699999999930e+02
1.670000000000000000e+02,1.592461999999999875e+02
1.680000000000000000e+02,1.602854499999999973e+02
1.690000000000000000e+02,1.613224500000000035e+02
1.700000000000000000e+02,1.623571599999999933e+02
1.710000000000000000e+02,1.633895899999999983e+02
1.720000000000000000e+02,1.644197100000000091e+02
1.730000000000000000e+02,1.654475099999999941e+02
1.740000000000000000e+02,1.664730099999999879e+02
1.750000000000000000e+02,1.674961399999999969e+02
1.760000000000000000e+02,1.685169400000000053e+02
1.770000000000000000e+02,1.695353900000000067e+02
1.780000000000000000e+02,1.705514699999999948e+02
1.790000000000000000e+02,1.715651900000000012e+02
1.800000000000000000e+02,1.725765100000000132e+02
1.810000000000000000e+02,1.735854500000000087e+02
1.820000000000000000e+02,1.745919800000000066e+02
1.830000000000000000e+02,1.755961200000000133e+02
1.840000000000000000e+02,1.765978200000000129e+02
1.850000000000000000e+02,1.775971099999999865e+02
1.860000000000000000e+02,1.785939600000000098e+02
1.870000000000000000e+02,1.795883800000000008e+02
1.880000000000000000e+02,1.805803500000000099e+02
1.890000000000000000e+02,1.815698999999999899e+02
1.900000000000000000e+02,1.825569800000000100e+02
1.910000000000000000e+02,1.835415999999999883e+02
1.920000000000000000e+02,1.845237600000000100e+02
1.930000000000000000e+02,1.855034300000000087e+02
1.940000000000000000e+02,1.864806499999999971e+02
1.950000000000000000e+02,1.874553699999999878e+02
1.960000000000000000e+02,1.884276299999999935e+02
1.970000000000000000e+02,1.893973699999999951e+02
1.980000000000000000e+02,1.903646400000000085e+02
1.990000000000000000e+02,1.913293899999999894e+02
2.000000000000000000e+02,1.922916400000000010e+02
2.010000000000000000e+02,1.932514199999999960e+02
2.020000000000000000e+02,1.942086299999999994e+02
2.030000000000000000e+02,1.951633799999999894e+02
2.040000000000000000e+02,1.961155899999999974e+02
2.050000000000000000e+02,1.970652599999999950e+02
2.060000000000000000e+02,1.980124399999999980e+02
2.070000000000000000e+02,1.989570799999999906e+02
2.080000000000000000e+02,1.998991699999999980e+02
2.090000000000000000e+02,2.008387600000000077e+02
2.100000000000000000e+02,2.017758000000000038e+02
2.110000000000000000e+02,2.027102999999999895e+02
2.120000000000000000e+02,2.036422599999999932e+02
2.130000000000000000e+02,2.045716700000000117e+02
2.140000000000000000e+02,2.054985200000000134e+02
2.150000000000000000e+02,2.064228500000000111e+02
2.160000000000000000e+02,2.073446199999999919e+02
2.170000000000000000e+02,2.082638200000000097e+02
2.180000000000000000e+02,2.091804799999999886e+02
2.190000000000000000e+02,2.100945600000000013e+02
2.200000000000000000e+02,2.110060699999999940e+02
2.210000000000000000e+02,2.119150199999999984e+02
2.220000000000000000e+02,2.128214299999999923e+02
2.230000000000000000e+02,2.137252499999999884e+02
2.240000000000000000e+02,2.146264999999999930e+02
2.250000000000000000e+02,2.155251599999999996e+02
2.260000000000000000e+02,2.164212599999999895e+02
2.270000000000000000e+02,2.173147700000000100e+02
2.280000000000000000e+02,2.182057200000000137e+02
2.290000000000000000e+02,2.190940699999999879e+02
2.300000000000000000e+02,2.199798299999999927e+02
2.310000000000000000e+02,2.208630200000000059e+02
2.320000000000000000e+02,2.217436099999999897e+02
2.330000000000000000e+02,2.226216000000000008e+02
2.340000000000000000e+02,2.234969900000000109e+02
2.350000000000000000e+02,2.243698100000000011e+02
2.360000000000000000e+02,2.252400100000000123e+02
2.370000000000000000e+02,2.261076199999999972e+02
2.380000000000000000e+02,2.269726300000000094e+02
2.390000000000000000e+02,2.278350199999999859e+02
2.400000000000000000e+02,2.286948199999999929e+02
2.410000000000000000e+02,2.295520199999999988e+02
2.420000000000000000e+02,2.304065999999999974e+02
2.430000000000000000e+02,2.312585400000000107e+02
2.440000000000000000e+02,2.321078899999999976e+02
2.450000000000000000e+02,2.329546200000000056e+02
2.460000000000000000e+02,2.337987200000000030e+02
2.470000000000000000e+02,2.346401999999999930e+02
2.480000000000000000e+02,2.354790500000000009e+02
2.490000000000000000e+02,2.363152800000000013e+02
2.500000000000000000e+02,2.371488799999999912e+02
2.510000000000000000e+02,2.379798600000000022e+02
2.520000000000000000e+02,2.388081999999999994e+02
2.530000000000000000e+02,2.396339299999999923e+02
2.540000000000000000e+02,2.404570200000000000e+02
2.550000000000000000e+02,2.412774699999999939e+02
2.560000000000000000e+02,2.420952800000000025e+02
2.570000000000000000e+02,2.429104499999999973e+02
2.580000000000000000e+02,2.437229600000000005e+02
2.590000000000000000e+02,2.445328499999999963e+02
2.600000000000000000e+02,2.453400900000000036e+02
2.610000000000000000e+02,2.461446799999999939e+02
2.620000000000000000e+02,2.469466199999999958e+02
2.630000000000000000e+02,2.477459299999999871e+02
2.640000000000000000e+02,2.485425899999999899e+02
2.650000000000000000e+02,2.493365900000000011e+02
2.660000000000000000e+02,2.501279399999999953e+02
2.670000000000000000e+02,2.509166400000000010e+02
2.680000000000000000e+02,2.517026799999999866e+02
2.690000000000000000e+02,2.524860799999999870e+02
2.700000000000000000e+02,2.532668299999999988e+02
2.710000000000000000e+02,2.540449199999999905e+02
2.720000000000000000e+02,2.548203599999999938e+02
2.730000000000000000e+02,2.555931400000000053e+02
2.740000000000000000e+02,2.563632499999999936e+02
2.750000000000000000e+02,2.571307100000000219e+02
2.760000000000000000e+02,2.578955100000000016e+02
2.770000000000000000e+02,2.586576200000000085e+02
2.780000000000000000e+02,2.594170799999999986e+02
2.790000000000000000e+02,2.601738899999999717e+02
2.800000000000000000e+02,2.609280400000000100e+02
2.810000000000000000e+02,2.616795000000000186e+02
2.820000000000000000e+02,2.624283100000000104e+02
2.830000000000000000e+02,2.631744699999999852e+02
2.840000000000000000e+02,2.639179399999999873e+02
2.850000000000000000e+02,2.646587200000000166e+02
2.860000000000000000e+02,2.653968199999999911e+02
2.870000000000000000e+02,2.661322299999999927e+02
2.880000000000000000e+02,2.668649899999999775e+02
2.890000000000000000e+02,2.675950599999999895e+02
2.900000000000000000e+02,2.683224500000000035e+02
2.910000000000000000e+02,2.690470900000000256e+02
2.920000000000000000e+02,2.697690699999999993e+02
2.930000000000000000e+02,2.704883699999999749e+02
