# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.748642353082986406e-02
7.000000000000000000e+00,5.983475718274645916e-02
8.000000000000000000e+00,9.034761368187844977e-02
9.000000000000000000e+00,1.289100765451444419e-01
1.000000000000000000e+01,1.760599575334635680e-01
1.100000000000000000e+01,2.313289367530153018e-01
1.200000000000000000e+01,2.941054473588986529e-01
1.300000000000000000e+01,3.636440260174493844e-01
1.400000000000000000e+01,4.390155365080443128e-01
1.500000000000000000e+01,5.193166749894995160e-01
1.600000000000000000e+01,6.036913721129498756e-01
1.700000000000000000e+01,6.913395630106425882e-01
1.800000000000000000e+01,7.815412200648252927e-01
1.900000000000000000e+01,8.736836258820886991e-01
2.000000000000000000e+01,9.672264614110744896e-01
2.100000000000000000e+01,1.061714058291613361e+00
2.200000000000000000e+01,1.156755798480313846e+00
2.300000000000000000e+01,1.252023725150685829e+00
2.400000000000000000e+01,1.347243598170043910e+00
2.500000000000000000e+01,1.442187761657038658e+00
2.600000000000000000e+01,1.536662828151101445e+00
2.700000000000000000e+01,1.630514518856284178e+00
2.800000000000000000e+01,1.723611794324791058e+00
2.900000000000000000e+01,1.815853484268940887e+00
3.000000000000000000e+01,1.907151340758906466e+00
3.100000000000000000e+01,1.997437820459676994e+00
3.200000000000000000e+01,2.086661859713170308e+00
3.300000000000000000e+01,2.174782957551858242e+00
3.400000000000000000e+01,2.261768862165144611e+00
3.500000000000000000e+01,2.347597042928759592e+00
3.600000000000000000e+01,2.432253109073564179e+00
3.700000000000000000e+01,2.515729595402156793e+00
3.800000000000000000e+01,2.598023639216196834e+00
3.900000000000000000e+01,2.679134551329405145e+00
4.000000000000000000e+01,2.759068151326481200e+00
4.100000000000000000e+01,2.837832388690493257e+00
4.200000000000000000e+01,2.915434697842463674e+00
4.300000000000000000e+01,2.991887994358214176e+00
4.400000000000000000e+01,3.067209468846336051e+00
4.500000000000000000e+01,3.141409612669644691e+00
4.600000000000000000e+01,3.214508099811131281e+00
4.700000000000000000e+01,3.286520012686481529e+00
4.800000000000000000e+01,3.357463046932191553e+00
4.900000000000000000e+01,3.427356029065412368e+00
5.000000000000000000e+01,3.496218073353267730e+00
5.100000000000000000e+01,3.564066465427389030e+00
5.200000000000000000e+01,3.630918484378408806e+00
5.300000000000000000e+01,3.696795852118800241e+00
5.400000000000000000e+01,3.761716119108736933e+00
5.500000000000000000e+01,3.825698165497244396e+00
5.600000000000000000e+01,3.888759610765845753e+00
5.700000000000000000e+01,3.950919815237855293e+00
5.800000000000000000e+01,4.012196308786490029e+00
5.900000000000000000e+01,4.072607361909863499e+00
6.000000000000000000e+01,4.132170009209163553e+00
6.100000000000000000e+01,4.190902474462642857e+00
6.200000000000000000e+01,4.248820306533649394e+00
6.300000000000000000e+01,4.305940076422126950e+00
6.400000000000000000e+01,4.362278756843535277e+00
6.500000000000000000e+01,4.417853739121988532e+00
6.600000000000000000e+01,4.472678111921527311e+00
6.700000000000000000e+01,4.526767756337373605e+00
6.800000000000000000e+01,4.580139420286527319e+00
6.900000000000000000e+01,4.632805349742547207e+00
7.000000000000000000e+01,4.684780528366842667e+00
7.100000000000000000e+01,4.736080161102104391e+00
7.200000000000000000e+01,4.786715589300113649e+00
7.300000000000000000e+01,4.836701971011289736e+00
7.400000000000000000e+01,4.886050471211082602e+00
7.500000000000000000e+01,4.934775365904957134e+00
7.600000000000000000e+01,4.982887548929610944e+00
7.700000000000000000e+01,5.030400710307185719e+00
7.800000000000000000e+01,5.077324752432309296e+00
7.900000000000000000e+01,5.123673254032179436e+00
8.000000000000000000e+01,5.169455905842498922e+00
8.100000000000000000e+01,5.214683400437655436e+00
8.200000000000000000e+01,5.259367337386679608e+00
8.300000000000000000e+01,5.303516726944413229e+00
8.400000000000000000e+01,5.347143925372030537e+00
8.500000000000000000e+01,5.390257189337642529e+00
8.600000000000000000e+01,5.432865592006066890e+00
8.700000000000000000e+01,5.474979500825864598e+00
8.800000000000000000e+01,5.516607936343578267e+00
8.900000000000000000e+01,5.557758516186456887e+00
9.000000000000000000e+01,5.598442221241474392e+00
9.100000000000000000e+01,5.638666377871963675e+00
9.200000000000000000e+01,5.678439630691356932e+00
9.300000000000000000e+01,5.717768339762162810e+00
9.400000000000000000e+01,5.756662207369421580e+00
9.500000000000000000e+01,5.795128720702552805e+00
9.600000000000000000e+01,5.833174705501634527e+00
9.700000000000000000e+01,5.870807996765093684e+00
9.800000000000000000e+01,5.908035495419392547e+00
9.900000000000000000e+01,5.944864384287384951e+00
1.000000000000000000e+02,5.981301684342112956e+00
1.010000000000000000e+02,6.017352905680326103e+00
1.020000000000000000e+02,6.053026225127123183e+00
1.030000000000000000e+02,6.088326835814521942e+00
1.040000000000000000e+02,6.123261613024798322e+00
1.050000000000000000e+02,6.157835468737973272e+00
1.060000000000000000e+02,6.192055673067841326e+00
1.070000000000000000e+02,6.225927769282500357e+00
1.080000000000000000e+02,6.259456712218228525e+00
1.090000000000000000e+02,6.292648524907603402e+00
1.100000000000000000e+02,6.325508107091769361e+00
1.110000000000000000e+02,6.358041956866709477e+00
1.120000000000000000e+02,6.390254506791008815e+00
1.130000000000000000e+02,6.422150979959443617e+00
1.140000000000000000e+02,6.453735945904691462e+00
1.150000000000000000e+02,6.485014465659132199e+00
1.160000000000000000e+02,6.515991654886614803e+00
1.170000000000000000e+02,6.546671889562871272e+00
1.180000000000000000e+02,6.577060193534845389e+00
1.190000000000000000e+02,6.607160600305406639e+00
1.200000000000000000e+02,6.636976729411813380e+00
1.210000000000000000e+02,6.666514175420434007e+00
1.220000000000000000e+02,6.695777027490192879e+00
1.230000000000000000e+02,6.724768711589828030e+00
1.240000000000000000e+02,6.753493558884969161e+00
1.250000000000000000e+02,6.781955495363573228e+00
1.260000000000000000e+02,6.810158816279204608e+00
1.270000000000000000e+02,6.838107170073557839e+00
1.280000000000000000e+02,6.865804329948581142e+00
1.290000000000000000e+02,6.893253450166127116e+00
1.300000000000000000e+02,6.920458801687496830e+00
1.310000000000000000e+02,6.947423788886632146e+00
1.320000000000000000e+02,6.974151946040594297e+00
1.330000000000000000e+02,7.000645738498968207e+00
1.340000000000000000e+02,7.026909447850868240e+00
1.350000000000000000e+02,7.052946281151474928e+00
1.360000000000000000e+02,7.078759578832016786e+00
1.370000000000000000e+02,7.104351650612247937e+00
1.380000000000000000e+02,7.129726115392934105e+00
1.390000000000000000e+02,7.154886483388656515e+00
1.400000000000000000e+02,7.179835252139110224e+00
1.410000000000000000e+02,7.204574618336131664e+00
1.420000000000000000e+02,7.229108952183254999e+00
1.430000000000000000e+02,7.253440274826577827e+00
1.440000000000000000e+02,7.277571431288386350e+00
1.450000000000000000e+02,7.301504746152231107e+00
1.460000000000000000e+02,7.325243349712579288e+00
1.470000000000000000e+02,7.348789851871241119e+00
1.480000000000000000e+02,7.372146143700033960e+00
1.490000000000000000e+02,7.395315774709050771e+00
1.500000000000000000e+02,7.418300285492911428e+00
1.510000000000000000e+02,7.441102652466178746e+00
1.520000000000000000e+02,7.463724932969906689e+00
1.530000000000000000e+02,7.486170173152356888e+00
1.540000000000000000e+02,7.508439887224676035e+00
1.550000000000000000e+02,7.530535547809972918e+00
1.560000000000000000e+02,7.552460844710837229e+00
1.570000000000000000e+02,7.574216928265941284e+00
1.580000000000000000e+02,7.595807148600443703e+00
1.590000000000000000e+02,7.617232555323221632e+00
1.600000000000000000e+02,7.638495172141375633e+00
1.610000000000000000e+02,7.659597970049626170e+00
1.620000000000000000e+02,7.680541865210889441e+00
1.630000000000000000e+02,7.701328932746023703e+00
1.640000000000000000e+02,7.721961786838894781e+00
1.650000000000000000e+02,7.742441809270709463e+00
1.660000000000000000e+02,7.762770347606855914e+00
1.670000000000000000e+02,7.782950262199026525e+00
1.680000000000000000e+02,7.802982234571322451e+00
1.690000000000000000e+02,7.822868840167987337e+00
1.700000000000000000e+02,7.842611265225358785e+00
1.710000000000000000e+02,7.862211614257345715e+00
1.720000000000000000e+02,7.881671191536875121e+00
1.730000000000000000e+02,7.900991646057937245e+00
1.740000000000000000e+02,7.920175149927182190e+00
1.750000000000000000e+02,7.939222157414654646e+00
1.760000000000000000e+02,7.958135142771588733e+00
1.770000000000000000e+02,7.976915425232403045e+00
1.780000000000000000e+02,7.995564294966327701e+00
1.790000000000000000e+02,8.014083560675734574e+00
1.800000000000000000e+02,8.032474086422229931e+00
1.810000000000000000e+02,8.050737799967464525e+00
1.820000000000000000e+02,8.068875691162251229e+00
1.830000000000000000e+02,8.086889623056425336e+00
