# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.040000000141642594e-02
7.000000000000000000e+00,4.924209937913938406e-02
8.000000000000000000e+00,7.579679047393958480e-02
9.000000000000000000e+00,1.093178884917200416e-01
1.000000000000000000e+01,1.506194999284410918e-01
1.100000000000000000e+01,1.994709859544200325e-01
1.200000000000000000e+01,2.555997521555283258e-01
1.300000000000000000e+01,3.182435466130169033e-01
1.400000000000000000e+01,3.867458829269753151e-01
1.500000000000000000e+01,4.602445169584080675e-01
1.600000000000000000e+01,5.379673191224277895e-01
1.700000000000000000e+01,6.191774226311346219e-01
1.800000000000000000e+01,7.031902908290142973e-01
1.900000000000000000e+01,7.894112883908621647e-01
2.000000000000000000e+01,8.773107547724756650e-01
2.100000000000000000e+01,9.664287407574517763e-01
2.200000000000000000e+01,1.056374431346372988e+00
2.300000000000000000e+01,1.146819169731694288e+00
2.400000000000000000e+01,1.237468734356828692e+00
2.500000000000000000e+01,1.328087469343904203e+00
2.600000000000000000e+01,1.418474098578777154e+00
2.700000000000000000e+01,1.508458885298277652e+00
2.800000000000000000e+01,1.597900779934798399e+00
2.900000000000000000e+01,1.686684169881390805e+00
3.000000000000000000e+01,1.774709584882680602e+00
3.100000000000000000e+01,1.861901869047477787e+00
3.200000000000000000e+01,1.948197279914634761e+00
3.300000000000000000e+01,2.033541071927033705e+00
3.400000000000000000e+01,2.117897626534992472e+00
3.500000000000000000e+01,2.201235350815835101e+00
3.600000000000000000e+01,2.283529714977875269e+00
3.700000000000000000e+01,2.364764898985391550e+00
3.800000000000000000e+01,2.444929906214090565e+00
3.900000000000000000e+01,2.524020152410543449e+00
4.000000000000000000e+01,2.602033384110617131e+00
4.100000000000000000e+01,2.678971290874879951e+00
4.200000000000000000e+01,2.754840255184686004e+00
4.300000000000000000e+01,2.829647150863730420e+00
4.400000000000000000e+01,2.903395953623991943e+00
4.500000000000000000e+01,2.976101199684240139e+00
4.600000000000000000e+01,3.047777936265425147e+00
4.700000000000000000e+01,3.118433595199523900e+00
4.800000000000000000e+01,3.188083753455928537e+00
4.900000000000000000e+01,3.256744462256753625e+00
5.000000000000000000e+01,3.324431173702785625e+00
5.100000000000000000e+01,3.391156911104820537e+00
5.200000000000000000e+01,3.456941445664601265e+00
5.300000000000000000e+01,3.521797905730827960e+00
5.400000000000000000e+01,3.585742613957441982e+00
5.500000000000000000e+01,3.648793165496652779e+00
5.600000000000000000e+01,3.710966636923449080e+00
5.700000000000000000e+01,3.772277901208169304e+00
5.800000000000000000e+01,3.832741614331276025e+00
5.900000000000000000e+01,3.892376784378150489e+00
6.000000000000000000e+01,3.951198464664415599e+00
6.100000000000000000e+01,4.009222316250404816e+00
6.200000000000000000e+01,4.066463173951620824e+00
6.300000000000000000e+01,4.122936123653794915e+00
6.400000000000000000e+01,4.178656005157010966e+00
6.500000000000000000e+01,4.233637192033484986e+00
6.600000000000000000e+01,4.287894299856062297e+00
6.700000000000000000e+01,4.341443725279948929e+00
6.800000000000000000e+01,4.394297207983535181e+00
6.900000000000000000e+01,4.446467132450213633e+00
7.000000000000000000e+01,4.497967519121285562e+00
7.100000000000000000e+01,4.548811831024450747e+00
7.200000000000000000e+01,4.599015109436819237e+00
7.300000000000000000e+01,4.648586467982476655e+00
7.400000000000000000e+01,4.697538490861841609e+00
7.500000000000000000e+01,4.745884312068451294e+00
7.600000000000000000e+01,4.793636523141468153e+00
7.700000000000000000e+01,4.840803262630650750e+00
7.800000000000000000e+01,4.887397591605167513e+00
7.900000000000000000e+01,4.933431441547605267e+00
8.000000000000000000e+01,4.978913155171293958e+00
8.100000000000000000e+01,5.023855308543373255e+00
8.200000000000000000e+01,5.068265990488471040e+00
8.300000000000000000e+01,5.112155179894886103e+00
8.400000000000000000e+01,5.155533652736613348e+00
8.500000000000000000e+01,5.198409486662349366e+00
8.600000000000000000e+01,5.240793386247621477e+00
8.700000000000000000e+01,5.282693057170936513e+00
8.800000000000000000e+01,5.324118595709201429e+00
8.900000000000000000e+01,5.365077217427865364e+00
9.000000000000000000e+01,5.405578155357847692e+00
9.100000000000000000e+01,5.445628401837291577e+00
9.200000000000000000e+01,5.485237846335453860e+00
9.300000000000000000e+01,5.524412430985330857e+00
9.400000000000000000e+01,5.563161495548046176e+00
9.500000000000000000e+01,5.601490043016604581e+00
9.600000000000000000e+01,5.639407568106291180e+00
9.700000000000000000e+01,5.676920311640209604e+00
9.800000000000000000e+01,5.714033980095750920e+00
9.900000000000000000e+01,5.750757883377413116e+00
1.000000000000000000e+02,5.787096493015604359e+00
1.010000000000000000e+02,5.823057887368147334e+00
1.020000000000000000e+02,5.858646607586559973e+00
1.030000000000000000e+02,5.893870068614631919e+00
1.040000000000000000e+02,5.928734658894943443e+00
1.050000000000000000e+02,5.963244680166595479e+00
1.060000000000000000e+02,5.997407998087886938e+00
1.070000000000000000e+02,6.031228472136084484e+00
1.080000000000000000e+02,6.064712701134292949e+00
1.090000000000000000e+02,6.097866001230953792e+00
1.100000000000000000e+02,6.130692412280227543e+00
1.110000000000000000e+02,6.163198493582911830e+00
1.120000000000000000e+02,6.195388770309263826e+00
1.130000000000000000e+02,6.227267739617897035e+00
1.140000000000000000e+02,6.258841903755261171e+00
1.150000000000000000e+02,6.290114167286771085e+00
1.160000000000000000e+02,6.321090429781283326e+00
1.170000000000000000e+02,6.351775291578962701e+00
1.180000000000000000e+02,6.382171598838130677e+00
1.190000000000000000e+02,6.412285166413997928e+00
1.200000000000000000e+02,6.442120239886326871e+00
1.210000000000000000e+02,6.471680098884514898e+00
1.220000000000000000e+02,6.500970424468599518e+00
1.230000000000000000e+02,6.529994223523943653e+00
1.240000000000000000e+02,6.558754939991830568e+00
1.250000000000000000e+02,6.587257514912997713e+00
1.260000000000000000e+02,6.615504845505930653e+00
1.270000000000000000e+02,6.643501319727546317e+00
1.280000000000000000e+02,6.671250650122375170e+00
1.290000000000000000e+02,6.698755380296249839e+00
1.300000000000000000e+02,6.726020555120345357e+00
1.310000000000000000e+02,6.753049000296138082e+00
1.320000000000000000e+02,6.779842938746992509e+00
1.330000000000000000e+02,6.806407551714100279e+00
1.340000000000000000e+02,6.832744094922923672e+00
1.350000000000000000e+02,6.858857264853012836e+00
1.360000000000000000e+02,6.884749882944806387e+00
1.370000000000000000e+02,6.910424436765755907e+00
1.380000000000000000e+02,6.935885039133280472e+00
1.390000000000000000e+02,6.961133262632465346e+00
1.400000000000000000e+02,6.986172548392173276e+00
1.410000000000000000e+02,7.011006472821533109e+00
1.420000000000000000e+02,7.035636142038518948e+00
1.430000000000000000e+02,7.060066149011992032e+00
1.440000000000000000e+02,7.084297456851467167e+00
1.450000000000000000e+02,7.108334009050317981e+00
1.460000000000000000e+02,7.132177567002799812e+00
1.470000000000000000e+02,7.155830754601851140e+00
1.480000000000000000e+02,7.179296348784765414e+00
1.490000000000000000e+02,7.202576146659852796e+00
1.500000000000000000e+02,7.225674360277050567e+00
1.510000000000000000e+02,7.248591079475329657e+00
1.520000000000000000e+02,7.271329929065095676e+00
1.530000000000000000e+02,7.293893118501746820e+00
1.540000000000000000e+02,7.316281267081389927e+00
1.550000000000000000e+02,7.338498451709571491e+00
1.560000000000000000e+02,7.360546053405526479e+00
1.570000000000000000e+02,7.382426274475752059e+00
1.580000000000000000e+02,7.404140833316088077e+00
1.590000000000000000e+02,7.425692040168082819e+00
1.600000000000000000e+02,7.447081302761662691e+00
1.610000000000000000e+02,7.468311460886958741e+00
1.620000000000000000e+02,7.489383407073167298e+00
1.630000000000000000e+02,7.510300084394247122e+00
1.640000000000000000e+02,7.531062508486466633e+00
1.650000000000000000e+02,7.551673515403150461e+00
1.660000000000000000e+02,7.572133629272401301e+00
1.670000000000000000e+02,7.592445388995130884e+00
1.680000000000000000e+02,7.612609860912171733e+00
1.690000000000000000e+02,7.632629490890729507e+00
1.700000000000000000e+02,7.652504870255015135e+00
1.710000000000000000e+02,7.672239158893255251e+00
1.720000000000000000e+02,7.691831886301685017e+00
1.730000000000000000e+02,7.711286327385960426e+00
1.740000000000000000e+02,7.730602944761022499e+00
1.750000000000000000e+02,7.749784136629178199e+00
1.760000000000000000e+02,7.768830698142867419e+00
1.770000000000000000e+02,7.787744755843792888e+00
1.780000000000000000e+02,7.806526086059788483e+00
1.790000000000000000e+02,7.825177523935805901e+00
1.800000000000000000e+02,7.843700514901029486e+00
1.810000000000000000e+02,7.862095905120665584e+00
1.820000000000000000e+02,7.880365463551985528e+00
1.830000000000000000e+02,7.898509796796382432e+00
