# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,2.500000400000000056e+01
7.000000000000000000e+00,2.500001699999999971e+01
8.000000000000000000e+00,2.500006499999999932e+01
9.000000000000000000e+00,2.500020400000000009e+01
1.000000000000000000e+01,2.500054899999999947e+01
1.100000000000000000e+01,2.500131999999999977e+01
1.200000000000000000e+01,2.500285900000000083e+01
1.300000000000000000e+01,2.500567799999999963e+01
1.400000000000000000e+01,2.501045999999999836e+01
1.500000000000000000e+01,2.501806099999999944e+01
1.600000000000000000e+01,2.502949500000000072e+01
1.700000000000000000e+01,2.504590200000000166e+01
1.800000000000000000e+01,2.506851800000000097e+01
1.900000000000000000e+01,2.509863100000000102e+01
2.000000000000000000e+01,2.513756000000000057e+01
2.100000000000000000e+01,2.518660399999999910e+01
2.200000000000000000e+01,2.524703600000000137e+01
2.300000000000000000e+01,2.532006300000000110e+01
2.400000000000000000e+01,2.540682199999999824e+01
2.500000000000000000e+01,2.550836899999999829e+01
2.600000000000000000e+01,2.562564800000000176e+01
2.700000000000000000e+01,2.575951999999999842e+01
2.800000000000000000e+01,2.591074800000000167e+01
2.900000000000000000e+01,2.607998999999999867e+01
3.000000000000000000e+01,2.626780899999999974e+01
3.100000000000000000e+01,2.647466899999999868e+01
3.200000000000000000e+01,2.670095600000000147e+01
3.300000000000000000e+01,2.694694900000000004e+01
3.400000000000000000e+01,2.721287500000000037e+01
3.500000000000000000e+01,2.749890699999999910e+01
3.600000000000000000e+01,2.780509199999999836e+01
3.700000000000000000e+01,2.813147899999999879e+01
3.800000000000000000e+01,2.847801600000000022e+01
3.900000000000000000e+01,2.884464099999999931e+01
4.000000000000000000e+01,2.923121300000000033e+01
4.100000000000000000e+01,2.963756899999999916e+01
4.200000000000000000e+01,3.006351300000000037e+01
4.300000000000000000e+01,3.050880199999999931e+01
4.400000000000000000e+01,3.097317899999999824e+01
4.500000000000000000e+01,3.145640600000000120e+01
4.600000000000000000e+01,3.195814899999999881e+01
4.700000000000000000e+01,3.247803499999999843e+01
4.800000000000000000e+01,3.301577400000000040e+01
4.900000000000000000e+01,3.357106399999999979e+01
5.000000000000000000e+01,3.414345200000000347e+01
5.100000000000000000e+01,3.473263899999999893e+01
5.200000000000000000e+01,3.533822299999999927e+01
5.300000000000000000e+01,3.595986899999999764e+01
5.400000000000000000e+01,3.659716000000000236e+01
5.500000000000000000e+01,3.724971399999999733e+01
5.600000000000000000e+01,3.791718699999999842e+01
5.700000000000000000e+01,3.859910200000000202e+01
5.800000000000000000e+01,3.929514700000000005e+01
5.900000000000000000e+01,4.000499299999999891e+01
6.000000000000000000e+01,4.072823300000000302e+01
6.100000000000000000e+01,4.146443899999999871e+01
6.200000000000000000e+01,4.221330300000000335e+01
6.300000000000000000e+01,4.297443799999999925e+01
6.400000000000000000e+01,4.374744400000000155e+01
6.500000000000000000e+01,4.453201700000000329e+01
6.600000000000000000e+01,4.532777000000000100e+01
6.700000000000000000e+01,4.613436899999999952e+01
6.800000000000000000e+01,4.695148100000000113e+01
6.900000000000000000e+01,4.777877800000000263e+01
7.000000000000000000e+01,4.861593200000000081e+01
7.100000000000000000e+01,4.946264299999999992e+01
7.200000000000000000e+01,5.031858400000000131e+01
7.300000000000000000e+01,5.118342599999999720e+01
7.400000000000000000e+01,5.205687300000000306e+01
7.500000000000000000e+01,5.293862500000000182e+01
7.600000000000000000e+01,5.382838799999999679e+01
7.700000000000000000e+01,5.472599400000000003e+01
7.800000000000000000e+01,5.563102700000000311e+01
7.900000000000000000e+01,5.654320899999999739e+01
8.000000000000000000e+01,5.746233399999999847e+01
8.100000000000000000e+01,5.838822900000000260e+01
8.200000000000000000e+01,5.932045399999999802e+01
8.300000000000000000e+01,6.025885399999999947e+01
8.400000000000000000e+01,6.120329999999999870e+01
8.500000000000000000e+01,6.215335799999999722e+01
8.600000000000000000e+01,6.310895899999999870e+01
8.700000000000000000e+01,6.406981700000000046e+01
8.800000000000000000e+01,6.503565999999999292e+01
8.900000000000000000e+01,6.600643200000000377e+01
9.000000000000000000e+01,6.698176599999999326e+01
9.100000000000000000e+01,6.796155500000000416e+01
9.200000000000000000e+01,6.894554100000000574e+01
9.300000000000000000e+01,6.993357799999999713e+01
9.400000000000000000e+01,7.092546799999999507e+01
9.500000000000000000e+01,7.192102800000000684e+01
9.600000000000000000e+01,7.292008199999999363e+01
9.700000000000000000e+01,7.392247000000000412e+01
9.800000000000000000e+01,7.492801699999999698e+01
9.900000000000000000e+01,7.593655400000000100e+01
1.000000000000000000e+02,7.694795200000000079e+01
1.010000000000000000e+02,7.796201299999999890e+01
1.020000000000000000e+02,7.897859200000000612e+01
1.030000000000000000e+02,7.999756600000000617e+01
1.040000000000000000e+02,8.101879099999999312e+01
1.050000000000000000e+02,8.204217500000000030e+01
1.060000000000000000e+02,8.306745899999999949e+01
1.070000000000000000e+02,8.409465000000000146e+01
1.080000000000000000e+02,8.512354299999999796e+01
1.090000000000000000e+02,8.615405300000000466e+01
1.100000000000000000e+02,8.718602799999999320e+01
1.110000000000000000e+02,8.821935999999999467e+01
1.120000000000000000e+02,8.925400500000000648e+01
1.130000000000000000e+02,9.028970300000000293e+01
1.140000000000000000e+02,9.132654599999999334e+01
1.150000000000000000e+02,9.236428100000000541e+01
1.160000000000000000e+02,9.340283200000000363e+01
1.170000000000000000e+02,9.444217700000000093e+01
1.180000000000000000e+02,9.548208599999999535e+01
1.190000000000000000e+02,9.652264399999999966e+01
1.200000000000000000e+02,9.756362900000000593e+01
1.210000000000000000e+02,9.860497999999999763e+01
1.220000000000000000e+02,9.964667500000000189e+01
1.230000000000000000e+02,1.006885000000000048e+02
1.240000000000000000e+02,1.017305599999999970e+02
1.250000000000000000e+02,1.027726399999999956e+02
1.260000000000000000e+02,1.038147000000000020e+02
1.270000000000000000e+02,1.048567000000000036e+02
1.280000000000000000e+02,1.058984800000000064e+02
1.290000000000000000e+02,1.069401199999999932e+02
1.300000000000000000e+02,1.079814400000000063e+02
1.310000000000000000e+02,1.090223900000000015e+02
1.320000000000000000e+02,1.100629799999999960e+02
1.330000000000000000e+02,1.111029999999999944e+02
1.340000000000000000e+02,1.121425899999999984e+02
1.350000000000000000e+02,1.131815399999999983e+02
1.360000000000000000e+02,1.142198300000000017e+02
1.370000000000000000e+02,1.152574500000000057e+02
1.380000000000000000e+02,1.162942599999999942e+02
1.390000000000000000e+02,1.173303599999999989e+02
1.400000000000000000e+02,1.183655799999999942e+02
1.410000000000000000e+02,1.193999199999999945e+02
1.420000000000000000e+02,1.204332899999999995e+02
1.430000000000000000e+02,1.214656499999999966e+02
1.440000000000000000e+02,1.224970200000000062e+02
1.450000000000000000e+02,1.235272400000000061e+02
1.460000000000000000e+02,1.245564200000000028e+02
1.470000000000000000e+02,1.255844299999999976e+02
1.480000000000000000e+02,1.266112700000000046e+02
1.490000000000000000e+02,1.276369100000000003e+02
1.500000000000000000e+02,1.286612100000000112e+02
1.510000000000000000e+02,1.296842699999999979e+02
1.520000000000000000e+02,1.307059000000000140e+02
1.530000000000000000e+02,1.317262299999999868e+02
1.540000000000000000e+02,1.327451499999999953e+02
1.550000000000000000e+02,1.337625999999999920e+02
1.560000000000000000e+02,1.347785900000000083e+02
1.570000000000000000e+02,1.357930599999999970e+02
1.580000000000000000e+02,1.368060299999999927e+02
1.590000000000000000e+02,1.378174699999999859e+02
1.600000000000000000e+02,1.388273599999999988e+02
1.610000000000000000e+02,1.398355699999999899e+02
1.620000000000000000e+02,1.408422099999999944e+02
1.630000000000000000e+02,1.418471099999999865e+02
1.640000000000000000e+02,1.428503699999999981e+02
1.650000000000000000e+02,1.438518699999999910e+02
1.660000000000000000e+02,1.448516799999999876e+02
1.670000000000000000e+02,1.458496900000000096e+02
1.680000000000000000e+02,1.468459799999999973e+02
1.690000000000000000e+02,1.478403800000000103e+02
1.700000000000000000e+02,1.488330499999999859e+02
1.710000000000000000e+02,1.498238100000000088e+02
1.720000000000000000e+02,1.508127700000000004e+02
1.730000000000000000e+02,1.517997900000000016e+02
1.740000000000000000e+02,1.527849400000000060e+02
1.750000000000000000e+02,1.537681599999999946e+02
1.760000000000000000e+02,1.547494499999999960e+02
1.770000000000000000e+02,1.557287599999999941e+02
1.780000000000000000e+02,1.567060500000000047e+02
1.790000000000000000e+02,1.576814300000000060e+02
1.800000000000000000e+02,1.586547099999999944e+02
1.810000000000000000e+02,1.596260399999999890e+02
1.820000000000000000e+02,1.605952599999999961e+02
1.830000000000000000e+02,1.615624500000000126e+02
1.840000000000000000e+02,1.625275900000000036e+02
1.850000000000000000e+02,1.634905400000000100e+02
1.860000000000000000e+02,1.644514900000000068e+02
1.870000000000000000e+02,1.654102499999999907e+02
1.880000000000000000e+02,1.663669399999999996e+02
1.890000000000000000e+02,1.673214299999999923e+02
1.900000000000000000e+02,1.682736999999999910e+02
1.910000000000000000e+02,1.692238800000000083e+02
1.920000000000000000e+02,1.701717999999999904e+02
1.930000000000000000e+02,1.711174800000000005e+02
1.940000000000000000e+02,1.720610200000000134e+02
1.950000000000000000e+02,1.730022700000000100e+02
1.960000000000000000e+02,1.739412700000000029e+02
1.970000000000000000e+02,1.748780199999999923e+02
1.980000000000000000e+02,1.758124799999999937e+02
1.990000000000000000e+02,1.767446300000000008e+02
2.000000000000000000e+02,1.776745099999999979e+02
2.010000000000000000e+02,1.786020699999999977e+02
2.020000000000000000e+02,1.795272799999999904e+02
2.030000000000000000e+02,1.804501999999999953e+02
2.040000000000000000e+02,1.813707100000000025e+02
2.050000000000000000e+02,1.822888499999999965e+02
2.060000000000000000e+02,1.832046699999999930e+02
2.070000000000000000e+02,1.841180400000000077e+02
2.080000000000000000e+02,1.850290200000000027e+02
2.090000000000000000e+02,1.859375900000000001e+02
2.100000000000000000e+02,1.868437999999999874e+02
2.110000000000000000e+02,1.877475100000000054e+02
2.120000000000000000e+02,1.886487400000000036e+02
2.130000000000000000e+02,1.895475800000000106e+02
2.140000000000000000e+02,1.904438600000000008e+02
2.150000000000000000e+02,1.913376800000000060e+02
2.160000000000000000e+02,1.922290000000000134e+02
2.170000000000000000e+02,1.931178299999999979e+02
2.180000000000000000e+02,1.940041500000000099e+02
2.190000000000000000e+02,1.948879200000000083e+02
2.200000000000000000e+02,1.957691199999999867e+02
2.210000000000000000e+02,1.966477399999999989e+02
2.220000000000000000e+02,1.975238300000000038e+02
2.230000000000000000e+02,1.983973799999999983e+02
2.240000000000000000e+02,1.992683000000000106e+02
2.250000000000000000e+02,2.001366099999999904e+02
2.260000000000000000e+02,2.010022999999999911e+02
2.270000000000000000e+02,2.018653899999999908e+02
2.280000000000000000e+02,2.027257700000000114e+02
2.290000000000000000e+02,2.035835600000000056e+02
2.300000000000000000e+02,2.044386700000000019e+02
2.310000000000000000e+02,2.052911200000000065e+02
2.320000000000000000e+02,2.061408999999999878e+02
2.330000000000000000e+02,2.069879899999999964e+02
2.340000000000000000e+02,2.078714799999999912e+02
2.350000000000000000e+02,2.087278100000000052e+02
2.360000000000000000e+02,2.095750299999999982e+02
2.370000000000000000e+02,2.104175299999999993e+02
2.380000000000000000e+02,2.112558699999999874e+02
2.390000000000000000e+02,2.120905600000000106e+02
2.400000000000000000e+02,2.129218099999999936e+02
2.410000000000000000e+02,2.137497700000000123e+02
2.420000000000000000e+02,2.145745200000000068e+02
2.430000000000000000e+02,2.153961799999999869e+02
2.440000000000000000e+02,2.162147799999999904e+02
2.450000000000000000e+02,2.170303999999999860e+02
2.460000000000000000e+02,2.178429700000000082e+02
2.470000000000000000e+02,2.186526000000000067e+02
2.480000000000000000e+02,2.194592600000000004e+02
2.490000000000000000e+02,2.202629900000000021e+02
2.500000000000000000e+02,2.210637999999999863e+02
2.510000000000000000e+02,2.218617099999999880e+02
2.520000000000000000e+02,2.226566799999999944e+02
2.530000000000000000e+02,2.234487599999999929e+02
2.540000000000000000e+02,2.242379200000000026e+02
2.550000000000000000e+02,2.250241499999999917e+02
2.560000000000000000e+02,2.258075000000000045e+02
2.570000000000000000e+02,2.265878899999999874e+02
2.580000000000000000e+02,2.273653300000000002e+02
2.590000000000000000e+02,2.281398299999999892e+02
2.600000000000000000e+02,2.289113900000000115e+02
2.610000000000000000e+02,2.296799499999999910e+02
2.620000000000000000e+02,2.304455100000000130e+02
2.630000000000000000e+02,2.312080699999999922e+02
2.640000000000000000e+02,2.319676499999999919e+02
2.650000000000000000e+02,2.327242099999999994e+02
2.660000000000000000e+02,2.334777400000000114e+02
2.670000000000000000e+02,2.342282600000000059e+02
2.680000000000000000e+02,2.349757500000000050e+02
2.690000000000000000e+02,2.357201499999999896e+02
2.700000000000000000e+02,2.364614899999999977e+02
2.710000000000000000e+02,2.371997800000000041e+02
2.720000000000000000e+02,2.379350100000000054e+02
2.730000000000000000e+02,2.386671299999999860e+02
2.740000000000000000e+02,2.393961500000000058e+02
2.750000000000000000e+02,2.401220399999999984e+02
2.760000000000000000e+02,2.408448300000000017e+02
2.770000000000000000e+02,2.415645100000000127e+02
2.780000000000000000e+02,2.422810699999999997e+02
2.790000000000000000e+02,2.429944199999999910e+02
2.800000000000000000e+02,2.437045899999999961e+02
2.810000000000000000e+02,2.444116500000000087e+02
2.820000000000000000e+02,2.451155500000000131e+02
2.830000000000000000e+02,2.458162199999999871e+02
2.840000000000000000e+02,2.465137000000000000e+02
2.850000000000000000e+02,2.472079899999999952e+02
2.860000000000000000e+02,2.478990900000000011e+02
2.870000000000000000e+02,2.485869299999999953e+02
2.880000000000000000e+02,2.492715000000000032e+02
2.890000000000000000e+02,2.499528999999999996e+02
2.900000000000000000e+02,2.506309699999999907e+02
2.910000000000000000e+02,2.513058000000000050e+02
2.920000000000000000e+02,2.519773600000000044e+02
2.930000000000000000e+02,2.526456000000000017e+02
