# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.620264099999999985e+01
3.000000000000000000e+00,5.793476100000000173e+01
4.000000000000000000e+00,6.749227899999999636e+01
5.000000000000000000e+00,7.543501299999999787e+01
6.000000000000000000e+00,8.240530400000000100e+01
7.000000000000000000e+00,8.863841200000000242e+01
8.000000000000000000e+00,9.431454499999999541e+01
9.000000000000000000e+00,9.954422800000000393e+01
1.000000000000000000e+01,1.044045899999999989e+02
1.100000000000000000e+01,1.089563299999999941e+02
1.200000000000000000e+01,1.132424599999999941e+02
1.300000000000000000e+01,1.172988799999999969e+02
1.400000000000000000e+01,1.211526300000000020e+02
1.500000000000000000e+01,1.248252099999999984e+02
1.600000000000000000e+01,1.283373599999999897e+02
1.700000000000000000e+01,1.317030900000000031e+02
1.800000000000000000e+01,1.349356200000000001e+02
1.900000000000000000e+01,1.380483999999999867e+02
2.000000000000000000e+01,1.410498800000000017e+02
2.100000000000000000e+01,1.439486400000000117e+02
2.200000000000000000e+01,1.467519800000000032e+02
2.300000000000000000e+01,1.494682300000000055e+02
2.400000000000000000e+01,1.521021100000000104e+02
2.500000000000000000e+01,1.546575499999999863e+02
2.600000000000000000e+01,1.571408800000000099e+02
2.700000000000000000e+01,1.595572099999999978e+02
2.800000000000000000e+01,1.619089800000000139e+02
2.900000000000000000e+01,1.642005299999999863e+02
3.000000000000000000e+01,1.664341300000000103e+02
3.100000000000000000e+01,1.686135899999999879e+02
3.200000000000000000e+01,1.707403899999999908e+02
3.300000000000000000e+01,1.728194900000000018e+02
3.400000000000000000e+01,1.748504499999999950e+02
3.500000000000000000e+01,1.768377499999999998e+02
3.600000000000000000e+01,1.787821800000000110e+02
3.700000000000000000e+01,1.806855300000000000e+02
3.800000000000000000e+01,1.825499399999999923e+02
3.900000000000000000e+01,1.843762099999999862e+02
4.000000000000000000e+01,1.861667500000000075e+02
4.100000000000000000e+01,1.879229899999999986e+02
4.200000000000000000e+01,1.896458299999999895e+02
4.300000000000000000e+01,1.913364400000000103e+02
4.400000000000000000e+01,1.929964899999999943e+02
4.500000000000000000e+01,1.946270600000000002e+02
4.600000000000000000e+01,1.962289299999999912e+02
4.700000000000000000e+01,1.978026999999999873e+02
4.800000000000000000e+01,1.993499500000000069e+02
4.900000000000000000e+01,2.008712199999999939e+02
5.000000000000000000e+01,2.023682300000000112e+02
5.100000000000000000e+01,2.038409299999999860e+02
5.200000000000000000e+01,2.052912300000000130e+02
5.300000000000000000e+01,2.067193599999999947e+02
5.400000000000000000e+01,2.081244000000000085e+02
5.500000000000000000e+01,2.095092300000000023e+02
5.600000000000000000e+01,2.108741899999999987e+02
5.700000000000000000e+01,2.122191300000000069e+02
5.800000000000000000e+01,2.135449800000000096e+02
5.900000000000000000e+01,2.148527100000000019e+02
6.000000000000000000e+01,2.161429599999999880e+02
6.100000000000000000e+01,2.174143500000000131e+02
6.200000000000000000e+01,2.186706399999999917e+02
6.300000000000000000e+01,2.199104199999999878e+02
6.400000000000000000e+01,2.211343999999999994e+02
6.500000000000000000e+01,2.223427700000000016e+02
6.600000000000000000e+01,2.235368799999999965e+02
6.700000000000000000e+01,2.247163999999999930e+02
6.800000000000000000e+01,2.258821700000000021e+02
6.900000000000000000e+01,2.270343599999999924e+02
7.000000000000000000e+01,2.281733600000000024e+02
7.100000000000000000e+01,2.292998499999999922e+02
7.200000000000000000e+01,2.304135599999999897e+02
7.300000000000000000e+01,2.315149199999999894e+02
7.400000000000000000e+01,2.326062900000000013e+02
7.500000000000000000e+01,2.336844299999999919e+02
7.600000000000000000e+01,2.347511399999999924e+02
7.700000000000000000e+01,2.358075300000000141e+02
7.800000000000000000e+01,2.368520699999999977e+02
7.900000000000000000e+01,2.378872700000000009e+02
8.000000000000000000e+01,2.389123500000000035e+02
8.100000000000000000e+01,2.399257399999999905e+02
8.200000000000000000e+01,2.409298400000000129e+02
8.300000000000000000e+01,2.419244199999999978e+02
8.400000000000000000e+01,2.429090899999999920e+02
8.500000000000000000e+01,2.438839700000000050e+02
8.600000000000000000e+01,2.448504800000000046e+02
8.700000000000000000e+01,2.458061399999999992e+02
8.800000000000000000e+01,2.467540700000000129e+02
8.900000000000000000e+01,2.476916999999999973e+02
9.000000000000000000e+01,2.486217000000000041e+02
9.100000000000000000e+01,2.495419899999999984e+02
9.200000000000000000e+01,2.504540599999999984e+02
9.300000000000000000e+01,2.513583500000000015e+02
9.400000000000000000e+01,2.522531299999999987e+02
9.500000000000000000e+01,2.531401700000000119e+02
9.600000000000000000e+01,2.540198399999999879e+02
9.700000000000000000e+01,2.548917399999999986e+02
9.800000000000000000e+01,2.557552300000000116e+02
9.900000000000000000e+01,2.566114799999999718e+02
1.000000000000000000e+02,2.574598700000000235e+02
1.010000000000000000e+02,2.583019400000000019e+02
1.020000000000000000e+02,2.591354699999999980e+02
1.030000000000000000e+02,2.599628900000000158e+02
1.040000000000000000e+02,2.607837499999999977e+02
1.050000000000000000e+02,2.615975999999999999e+02
1.060000000000000000e+02,2.624050599999999918e+02
1.070000000000000000e+02,2.632065699999999993e+02
1.080000000000000000e+02,2.640015000000000214e+02
1.090000000000000000e+02,2.647900099999999952e+02
1.100000000000000000e+02,2.655721399999999903e+02
1.110000000000000000e+02,2.663488199999999892e+02
1.120000000000000000e+02,2.671196899999999914e+02
1.130000000000000000e+02,2.678855300000000170e+02
1.140000000000000000e+02,2.686456000000000017e+02
1.150000000000000000e+02,2.694001200000000154e+02
1.160000000000000000e+02,2.701497800000000211e+02
1.170000000000000000e+02,2.708937099999999987e+02
1.180000000000000000e+02,2.716323899999999867e+02
1.190000000000000000e+02,2.723673999999999751e+02
1.200000000000000000e+02,2.730973200000000247e+02
1.210000000000000000e+02,2.738219000000000278e+02
1.220000000000000000e+02,2.745420799999999986e+02
1.230000000000000000e+02,2.752571100000000115e+02
1.240000000000000000e+02,2.759674699999999916e+02
1.250000000000000000e+02,2.766747100000000046e+02
1.260000000000000000e+02,2.773763700000000085e+02
1.270000000000000000e+02,2.780737899999999740e+02
1.280000000000000000e+02,2.787675800000000095e+02
1.290000000000000000e+02,2.794580700000000206e+02
1.300000000000000000e+02,2.801432199999999852e+02
1.310000000000000000e+02,2.808252899999999954e+02
1.320000000000000000e+02,2.815025600000000168e+02
1.330000000000000000e+02,2.821762699999999882e+02
1.340000000000000000e+02,2.828460999999999785e+02
1.350000000000000000e+02,2.835124799999999823e+02
1.360000000000000000e+02,2.841748400000000174e+02
1.370000000000000000e+02,2.848334699999999771e+02
1.380000000000000000e+02,2.854879199999999742e+02
1.390000000000000000e+02,2.861401099999999929e+02
1.400000000000000000e+02,2.867883899999999926e+02
1.410000000000000000e+02,2.874322500000000105e+02
1.420000000000000000e+02,2.880728500000000167e+02
1.430000000000000000e+02,2.887110900000000129e+02
1.440000000000000000e+02,2.893452800000000025e+02
1.450000000000000000e+02,2.899751600000000167e+02
1.460000000000000000e+02,2.906038199999999847e+02
1.470000000000000000e+02,2.912278400000000147e+02
1.480000000000000000e+02,2.918474400000000060e+02
1.490000000000000000e+02,2.924666700000000219e+02
1.500000000000000000e+02,2.930803500000000099e+02
1.510000000000000000e+02,2.936910700000000247e+02
1.520000000000000000e+02,2.942997700000000236e+02
1.530000000000000000e+02,2.949039000000000215e+02
1.540000000000000000e+02,2.955049700000000144e+02
1.550000000000000000e+02,2.961042499999999791e+02
1.560000000000000000e+02,2.966994599999999878e+02
1.570000000000000000e+02,2.972912900000000036e+02
1.580000000000000000e+02,2.978816499999999792e+02
1.590000000000000000e+02,2.984665800000000218e+02
1.600000000000000000e+02,2.990497399999999857e+02
1.610000000000000000e+02,2.996309200000000033e+02
1.620000000000000000e+02,3.002074600000000260e+02
1.630000000000000000e+02,3.007807300000000055e+02
1.640000000000000000e+02,3.013530000000000086e+02
1.650000000000000000e+02,3.019208399999999983e+02
1.660000000000000000e+02,3.024851100000000201e+02
1.670000000000000000e+02,3.030483699999999772e+02
1.680000000000000000e+02,3.036068700000000149e+02
1.690000000000000000e+02,3.041621099999999842e+02
1.700000000000000000e+02,3.047170399999999972e+02
1.710000000000000000e+02,3.052660200000000259e+02
1.720000000000000000e+02,3.058129000000000133e+02
1.730000000000000000e+02,3.063580600000000231e+02
1.740000000000000000e+02,3.068995699999999829e+02
1.750000000000000000e+02,3.074367399999999861e+02
1.760000000000000000e+02,3.079739700000000084e+02
1.770000000000000000e+02,3.085058599999999842e+02
1.780000000000000000e+02,3.090346999999999866e+02
1.790000000000000000e+02,3.095624099999999999e+02
1.800000000000000000e+02,3.100860299999999938e+02
1.810000000000000000e+02,3.106059900000000198e+02
1.820000000000000000e+02,3.111253100000000131e+02
1.830000000000000000e+02,3.116401700000000119e+02
1.840000000000000000e+02,3.121504199999999969e+02
1.850000000000000000e+02,3.126622899999999845e+02
1.860000000000000000e+02,3.131676600000000121e+02
1.870000000000000000e+02,3.136695900000000279e+02
1.880000000000000000e+02,3.141729700000000207e+02
1.890000000000000000e+02,3.146696800000000280e+02
1.900000000000000000e+02,3.151626899999999978e+02
1.910000000000000000e+02,3.156575900000000274e+02
1.920000000000000000e+02,3.161460299999999961e+02
1.930000000000000000e+02,3.166294300000000135e+02
1.940000000000000000e+02,3.171161200000000235e+02
1.950000000000000000e+02,3.175956699999999842e+02
1.960000000000000000e+02,3.180710100000000011e+02
1.970000000000000000e+02,3.185491000000000099e+02
1.980000000000000000e+02,3.190195299999999747e+02
1.990000000000000000e+02,3.194863899999999717e+02
2.000000000000000000e+02,3.199562399999999798e+02
2.010000000000000000e+02,3.204185800000000199e+02
2.020000000000000000e+02,3.208770400000000222e+02
2.030000000000000000e+02,3.213380099999999970e+02
2.040000000000000000e+02,3.217914400000000228e+02
2.050000000000000000e+02,3.222415500000000179e+02
2.060000000000000000e+02,3.226951599999999871e+02
2.070000000000000000e+02,3.231401399999999740e+02
2.080000000000000000e+02,3.235817000000000121e+02
2.090000000000000000e+02,3.240273399999999810e+02
2.100000000000000000e+02,3.244643899999999803e+02
2.110000000000000000e+02,3.248972200000000043e+02
2.120000000000000000e+02,3.253346300000000042e+02
2.130000000000000000e+02,3.257633700000000090e+02
2.140000000000000000e+02,3.261884499999999889e+02
2.150000000000000000e+02,3.266188700000000154e+02
2.160000000000000000e+02,3.270397899999999822e+02
2.170000000000000000e+02,3.274567599999999743e+02
2.180000000000000000e+02,3.278796699999999760e+02
2.190000000000000000e+02,3.282921799999999735e+02
2.200000000000000000e+02,3.287012300000000096e+02
2.210000000000000000e+02,3.291166699999999992e+02
2.220000000000000000e+02,3.295221300000000042e+02
2.230000000000000000e+02,3.299237100000000282e+02
2.240000000000000000e+02,3.303323399999999879e+02
2.250000000000000000e+02,3.307301600000000121e+02
2.260000000000000000e+02,3.311240799999999922e+02
2.270000000000000000e+02,3.315258799999999724e+02
2.280000000000000000e+02,3.319166299999999978e+02
2.290000000000000000e+02,3.323028299999999717e+02
2.300000000000000000e+02,3.326979699999999980e+02
2.310000000000000000e+02,3.330817299999999932e+02
2.320000000000000000e+02,3.334614900000000262e+02
2.330000000000000000e+02,3.338500700000000165e+02
2.340000000000000000e+02,3.342057500000000232e+02
2.350000000000000000e+02,3.340137300000000096e+02
2.360000000000000000e+02,3.343793900000000008e+02
2.370000000000000000e+02,3.346859999999999786e+02
2.380000000000000000e+02,3.350383600000000115e+02
2.390000000000000000e+02,3.353987099999999941e+02
2.400000000000000000e+02,3.357568400000000111e+02
2.410000000000000000e+02,3.361124599999999987e+02
2.420000000000000000e+02,3.364812600000000202e+02
2.430000000000000000e+02,3.368382300000000100e+02
2.440000000000000000e+02,3.371926599999999894e+02
2.450000000000000000e+02,3.375583799999999997e+02
2.460000000000000000e+02,3.379119900000000030e+02
2.470000000000000000e+02,3.382621199999999817e+02
2.480000000000000000e+02,3.386244500000000244e+02
2.490000000000000000e+02,3.389732999999999947e+02
2.500000000000000000e+02,3.393185100000000034e+02
2.510000000000000000e+02,3.396757499999999936e+02
2.520000000000000000e+02,3.400201099999999883e+02
2.530000000000000000e+02,3.403600799999999822e+02
2.540000000000000000e+02,3.407129499999999780e+02
2.550000000000000000e+02,3.410519400000000019e+02
2.560000000000000000e+02,3.413874200000000201e+02
2.570000000000000000e+02,3.417359599999999773e+02
2.580000000000000000e+02,3.420702499999999873e+02
2.590000000000000000e+02,3.424016100000000051e+02
2.600000000000000000e+02,3.427457899999999995e+02
2.610000000000000000e+02,3.430757800000000088e+02
2.620000000000000000e+02,3.434030500000000075e+02
2.630000000000000000e+02,3.437439299999999776e+02
2.640000000000000000e+02,3.440696699999999737e+02
2.650000000000000000e+02,3.443922099999999773e+02
2.660000000000000000e+02,3.447300700000000120e+02
2.670000000000000000e+02,3.450515100000000075e+02
2.680000000000000000e+02,3.453702999999999861e+02
2.690000000000000000e+02,3.457041600000000017e+02
2.700000000000000000e+02,3.460222200000000043e+02
2.710000000000000000e+02,3.463386199999999917e+02
2.720000000000000000e+02,3.466690699999999765e+02
2.730000000000000000e+02,3.469836700000000178e+02
2.740000000000000000e+02,3.472955000000000041e+02
2.750000000000000000e+02,3.476236000000000104e+02
2.760000000000000000e+02,3.479353899999999840e+02
2.770000000000000000e+02,3.482435300000000211e+02
2.780000000000000000e+02,3.485694599999999923e+02
2.790000000000000000e+02,3.488774999999999977e+02
2.800000000000000000e+02,3.491831099999999992e+02
2.810000000000000000e+02,3.495061999999999784e+02
2.820000000000000000e+02,3.498109099999999785e+02
2.830000000000000000e+02,3.501140399999999886e+02
2.840000000000000000e+02,3.504350000000000023e+02
2.850000000000000000e+02,3.507373400000000174e+02
2.860000000000000000e+02,3.510381199999999922e+02
2.870000000000000000e+02,3.513551899999999932e+02
2.880000000000000000e+02,3.516549099999999726e+02
2.890000000000000000e+02,3.519530599999999936e+02
2.900000000000000000e+02,3.522690999999999804e+02
2.910000000000000000e+02,3.525658900000000244e+02
2.920000000000000000e+02,3.528613599999999906e+02
2.930000000000000000e+02,3.531744400000000041e+02
2.940000000000000000e+02,3.534705799999999840e+02
2.950000000000000000e+02,3.537629999999999768e+02
2.960000000000000000e+02,3.540743400000000065e+02
2.970000000000000000e+02,3.543668200000000184e+02
2.980000000000000000e+02,3.546577800000000025e+02
2.990000000000000000e+02,3.549682599999999866e+02
3.000000000000000000e+02,3.552577499999999873e+02
3.010000000000000000e+02,3.555465399999999931e+02
3.020000000000000000e+02,3.558544600000000173e+02
3.030000000000000000e+02,3.561420299999999770e+02
3.040000000000000000e+02,3.564294699999999807e+02
3.050000000000000000e+02,3.567344400000000064e+02
3.060000000000000000e+02,3.570209399999999960e+02
3.070000000000000000e+02,3.573048099999999749e+02
3.080000000000000000e+02,3.576092499999999745e+02
3.090000000000000000e+02,3.578931600000000230e+02
3.100000000000000000e+02,3.581767300000000205e+02
3.110000000000000000e+02,3.584772899999999822e+02
3.120000000000000000e+02,3.587599799999999846e+02
3.130000000000000000e+02,3.590408300000000281e+02
3.140000000000000000e+02,3.593412799999999834e+02
3.150000000000000000e+02,3.596204200000000242e+02
3.160000000000000000e+02,3.599005399999999781e+02
3.170000000000000000e+02,3.601986699999999928e+02
3.180000000000000000e+02,3.604760699999999929e+02
3.190000000000000000e+02,3.607533000000000243e+02
3.200000000000000000e+02,3.610496499999999855e+02
3.210000000000000000e+02,3.613262300000000096e+02
3.220000000000000000e+02,3.616012299999999868e+02
3.230000000000000000e+02,3.618951700000000073e+02
3.240000000000000000e+02,3.621698299999999904e+02
3.250000000000000000e+02,3.624443999999999733e+02
3.260000000000000000e+02,3.627355000000000018e+02
3.270000000000000000e+02,3.630079700000000003e+02
3.280000000000000000e+02,3.632813400000000001e+02
3.290000000000000000e+02,3.635701900000000251e+02
3.300000000000000000e+02,3.638409100000000080e+02
3.310000000000000000e+02,3.641118799999999851e+02
3.320000000000000000e+02,3.643994799999999827e+02
3.330000000000000000e+02,3.646678499999999872e+02
3.340000000000000000e+02,3.649363700000000108e+02
3.350000000000000000e+02,3.652239999999999895e+02
3.360000000000000000e+02,3.654892899999999827e+02
3.370000000000000000e+02,3.657561999999999784e+02
3.380000000000000000e+02,3.660406800000000089e+02
3.390000000000000000e+02,3.663055100000000266e+02
3.400000000000000000e+02,3.665700400000000059e+02
3.410000000000000000e+02,3.668523299999999949e+02
3.420000000000000000e+02,3.671143799999999828e+02
3.430000000000000000e+02,3.673786000000000058e+02
3.440000000000000000e+02,3.676582000000000221e+02
3.450000000000000000e+02,3.679184900000000198e+02
3.460000000000000000e+02,3.681808800000000019e+02
3.470000000000000000e+02,3.684583999999999833e+02
3.480000000000000000e+02,3.687161899999999832e+02
3.490000000000000000e+02,3.689766799999999876e+02
3.500000000000000000e+02,3.692524700000000166e+02
3.510000000000000000e+02,3.695083000000000197e+02
3.520000000000000000e+02,3.697660200000000259e+02
3.530000000000000000e+02,3.700406800000000089e+02
3.540000000000000000e+02,3.702942499999999768e+02
3.550000000000000000e+02,3.705497399999999857e+02
3.560000000000000000e+02,3.708219599999999900e+02
3.570000000000000000e+02,3.710739699999999743e+02
3.580000000000000000e+02,3.713274499999999989e+02
3.590000000000000000e+02,3.715974400000000060e+02
3.600000000000000000e+02,3.718472600000000057e+02
3.610000000000000000e+02,3.720988199999999892e+02
3.620000000000000000e+02,3.723663000000000238e+02
3.630000000000000000e+02,3.726140100000000075e+02
3.640000000000000000e+02,3.728636799999999880e+02
3.650000000000000000e+02,3.731285700000000247e+02
3.660000000000000000e+02,3.733742399999999861e+02
3.670000000000000000e+02,3.736221300000000269e+02
3.680000000000000000e+02,3.738844599999999900e+02
3.690000000000000000e+02,3.741281999999999925e+02
3.700000000000000000e+02,3.743750299999999811e+02
3.710000000000000000e+02,3.746328100000000063e+02
3.720000000000000000e+02,3.748757299999999759e+02
3.730000000000000000e+02,3.751197500000000105e+02
3.740000000000000000e+02,3.753756099999999947e+02
3.750000000000000000e+02,3.756161500000000046e+02
3.760000000000000000e+02,3.758582499999999982e+02
3.770000000000000000e+02,3.761113899999999717e+02
3.780000000000000000e+02,3.763509500000000116e+02
3.790000000000000000e+02,3.765886199999999917e+02
3.800000000000000000e+02,3.768409100000000080e+02
3.810000000000000000e+02,3.770775499999999738e+02
3.820000000000000000e+02,3.773135700000000270e+02
3.830000000000000000e+02,3.775640599999999836e+02
3.840000000000000000e+02,3.777964799999999741e+02
3.850000000000000000e+02,3.780317400000000134e+02
3.860000000000000000e+02,3.782790200000000027e+02
3.870000000000000000e+02,3.785096700000000283e+02
3.880000000000000000e+02,3.787435300000000211e+02
3.890000000000000000e+02,3.789871499999999855e+02
3.900000000000000000e+02,3.792158800000000269e+02
3.910000000000000000e+02,3.794485199999999736e+02
