# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,9.999999400000000316e-01
4.500000000000000000e+01,9.999999400000000316e-01
4.600000000000000000e+01,9.999999400000000316e-01
4.700000000000000000e+01,9.999999400000000316e-01
4.800000000000000000e+01,9.999999400000000316e-01
4.900000000000000000e+01,9.999999400000000316e-01
5.000000000000000000e+01,9.999999400000000316e-01
5.100000000000000000e+01,9.999998799999999521e-01
5.200000000000000000e+01,9.999998799999999521e-01
5.300000000000000000e+01,9.999998799999999521e-01
5.400000000000000000e+01,9.999998199999999837e-01
5.500000000000000000e+01,9.999998199999999837e-01
5.600000000000000000e+01,9.999997600000000153e-01
5.700000000000000000e+01,9.999997600000000153e-01
5.800000000000000000e+01,9.999997000000000469e-01
5.900000000000000000e+01,9.999996399999999674e-01
6.000000000000000000e+01,9.999996399999999674e-01
6.100000000000000000e+01,9.999995799999999990e-01
6.200000000000000000e+01,9.999995200000000306e-01
6.300000000000000000e+01,9.999994599999999512e-01
6.400000000000000000e+01,9.999993400000000143e-01
6.500000000000000000e+01,9.999992800000000459e-01
6.600000000000000000e+01,9.999991700000000483e-01
6.700000000000000000e+01,9.999991099999999689e-01
6.800000000000000000e+01,9.999989900000000320e-01
6.900000000000000000e+01,9.999988699999999842e-01
7.000000000000000000e+01,9.999987500000000473e-01
7.100000000000000000e+01,9.999985700000000310e-01
7.200000000000000000e+01,9.999983900000000148e-01
7.300000000000000000e+01,9.999982099999999985e-01
7.400000000000000000e+01,9.999980299999999822e-01
7.500000000000000000e+01,9.999977899999999975e-01
7.600000000000000000e+01,9.999975599999999520e-01
7.700000000000000000e+01,9.999973199999999673e-01
7.800000000000000000e+01,9.999970200000000142e-01
7.900000000000000000e+01,9.999967199999999501e-01
8.000000000000000000e+01,9.999964199999999970e-01
8.100000000000000000e+01,9.999960700000000147e-01
8.200000000000000000e+01,9.999956500000000137e-01
8.300000000000000000e+01,9.999952300000000127e-01
8.400000000000000000e+01,9.999947500000000433e-01
8.500000000000000000e+01,9.999942800000000132e-01
8.600000000000000000e+01,9.999937399999999643e-01
8.700000000000000000e+01,9.999931499999999973e-01
8.800000000000000000e+01,9.999925499999999801e-01
8.900000000000000000e+01,9.999918300000000260e-01
9.000000000000000000e+01,9.999911200000000111e-01
9.100000000000000000e+01,9.999903399999999776e-01
9.200000000000000000e+01,9.999895100000000259e-01
9.300000000000000000e+01,9.999886199999999947e-01
9.400000000000000000e+01,9.999876599999999449e-01
9.500000000000000000e+01,9.999866499999999769e-01
9.600000000000000000e+01,9.999855199999999611e-01
9.700000000000000000e+01,9.999843800000000060e-01
9.800000000000000000e+01,9.999830699999999739e-01
9.900000000000000000e+01,9.999817600000000528e-01
1.000000000000000000e+02,9.999803299999999728e-01
1.010000000000000000e+02,9.999787799999999560e-01
1.020000000000000000e+02,9.999771699999999708e-01
1.030000000000000000e+02,9.999753799999999693e-01
1.040000000000000000e+02,9.999735400000000496e-01
1.050000000000000000e+02,9.999715700000000318e-01
1.060000000000000000e+02,9.999694799999999661e-01
1.070000000000000000e+02,9.999672800000000139e-01
1.080000000000000000e+02,9.999649499999999636e-01
1.090000000000000000e+02,9.999624499999999472e-01
1.100000000000000000e+02,9.999597700000000255e-01
1.110000000000000000e+02,9.999569699999999450e-01
1.120000000000000000e+02,9.999539899999999593e-01
1.130000000000000000e+02,9.999508299999999572e-01
1.140000000000000000e+02,9.999475500000000183e-01
1.150000000000000000e+02,9.999439700000000153e-01
1.160000000000000000e+02,9.999402800000000147e-01
1.170000000000000000e+02,9.999363399999999791e-01
1.180000000000000000e+02,9.999322299999999775e-01
1.190000000000000000e+02,9.999278200000000227e-01
1.200000000000000000e+02,9.999232300000000517e-01
1.210000000000000000e+02,9.999183400000000166e-01
1.220000000000000000e+02,9.999132200000000470e-01
1.230000000000000000e+02,9.999078500000000425e-01
1.240000000000000000e+02,9.999021900000000240e-01
1.250000000000000000e+02,9.998961699999999730e-01
1.260000000000000000e+02,9.998899100000000484e-01
1.270000000000000000e+02,9.998832899999999801e-01
1.280000000000000000e+02,9.998763800000000090e-01
1.290000000000000000e+02,9.998690500000000370e-01
1.300000000000000000e+02,9.998614200000000007e-01
