# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,7.999999400000000829e-03
1.000000000000000000e+01,7.999999400000000829e-03
1.100000000000000000e+01,7.999997599999999348e-03
1.200000000000000000e+01,7.999991999999999173e-03
1.300000000000000000e+01,7.999979000000000812e-03
1.400000000000000000e+01,7.999949200000000191e-03
1.500000000000000000e+01,7.999886799999999729e-03
1.600000000000000000e+01,7.999767499999999379e-03
1.700000000000000000e+01,7.999553300000000061e-03
1.800000000000000000e+01,7.999192900000000328e-03
1.900000000000000000e+01,7.998615500000000322e-03
2.000000000000000000e+01,7.997736300000000617e-03
2.100000000000000000e+01,7.996456699999999682e-03
2.200000000000000000e+01,7.994682499999999220e-03
2.300000000000000000e+01,7.992336500000000662e-03
2.400000000000000000e+01,7.989353500000000857e-03
2.500000000000000000e+01,7.985739999999999852e-03
2.600000000000000000e+01,7.981531300000000578e-03
2.700000000000000000e+01,7.976731299999999594e-03
2.800000000000000000e+01,7.971483300000000230e-03
2.900000000000000000e+01,7.965873000000000051e-03
3.000000000000000000e+01,7.959864100000000123e-03
3.100000000000000000e+01,7.952044700000000799e-03
3.200000000000000000e+01,7.946024600000000521e-03
3.300000000000000000e+01,7.939083499999999294e-03
3.400000000000000000e+01,7.932529799999999201e-03
3.500000000000000000e+01,7.925766500000000492e-03
3.600000000000000000e+01,7.918995800000000126e-03
3.700000000000000000e+01,7.912260500000000557e-03
3.800000000000000000e+01,7.905579200000000320e-03
3.900000000000000000e+01,7.898762800000000417e-03
4.000000000000000000e+01,7.891987499999999350e-03
4.100000000000000000e+01,7.885160900000000306e-03
4.200000000000000000e+01,7.878202000000000815e-03
4.300000000000000000e+01,7.871202199999999954e-03
4.400000000000000000e+01,7.864170700000000860e-03
4.500000000000000000e+01,7.857074999999999823e-03
4.600000000000000000e+01,7.849995000000000236e-03
4.700000000000000000e+01,7.842964500000000616e-03
4.800000000000000000e+01,7.835964699999999755e-03
4.900000000000000000e+01,7.829037500000000233e-03
5.000000000000000000e+01,7.822182999999999914e-03
5.100000000000000000e+01,7.815380599999999581e-03
5.200000000000000000e+01,7.808625700000000266e-03
5.300000000000000000e+01,7.801909499999999838e-03
5.400000000000000000e+01,7.795206699999999642e-03
5.500000000000000000e+01,7.788514699999999659e-03
5.600000000000000000e+01,7.781832500000000416e-03
5.700000000000000000e+01,7.775158199999999964e-03
5.800000000000000000e+01,7.768500599999999569e-03
5.900000000000000000e+01,7.761872399999999658e-03
6.000000000000000000e+01,7.755279999999999813e-03
6.100000000000000000e+01,7.748731400000000158e-03
6.200000000000000000e+01,7.742233999999999748e-03
6.300000000000000000e+01,7.735785599999999568e-03
6.400000000000000000e+01,7.729384599999999939e-03
6.500000000000000000e+01,7.723026000000000023e-03
6.600000000000000000e+01,7.716700899999999821e-03
6.700000000000000000e+01,7.710402800000000154e-03
6.800000000000000000e+01,7.704125299999999704e-03
6.900000000000000000e+01,7.697863999999999575e-03
7.000000000000000000e+01,7.691614299999999932e-03
7.100000000000000000e+01,7.685379600000000200e-03
7.200000000000000000e+01,7.679158799999999570e-03
7.300000000000000000e+01,7.672955300000000069e-03
7.400000000000000000e+01,7.666773600000000195e-03
7.500000000000000000e+01,7.660616200000000368e-03
7.600000000000000000e+01,7.654483400000000257e-03
7.700000000000000000e+01,7.648377700000000279e-03
7.800000000000000000e+01,7.642296100000000279e-03
7.900000000000000000e+01,7.636237399999999849e-03
8.000000000000000000e+01,7.630198700000000167e-03
8.100000000000000000e+01,7.624175399999999665e-03
8.200000000000000000e+01,7.618162799999999776e-03
8.300000000000000000e+01,7.612159000000000286e-03
8.400000000000000000e+01,7.606161299999999841e-03
8.500000000000000000e+01,7.600167799999999960e-03
8.600000000000000000e+01,7.594176999999999698e-03
8.700000000000000000e+01,7.588189999999999866e-03
8.800000000000000000e+01,7.582206699999999994e-03
8.900000000000000000e+01,7.576228100000000423e-03
9.000000000000000000e+01,7.570255100000000160e-03
9.100000000000000000e+01,7.564287200000000336e-03
9.200000000000000000e+01,7.558324400000000082e-03
9.300000000000000000e+01,7.552366700000000266e-03
9.400000000000000000e+01,7.546411799999999670e-03
9.500000000000000000e+01,7.540457900000000283e-03
9.600000000000000000e+01,7.533781199999999879e-03
9.700000000000000000e+01,7.527169299999999889e-03
9.800000000000000000e+01,7.520716600000000411e-03
9.900000000000000000e+01,7.514432500000000313e-03
1.000000000000000000e+02,7.508178699999999706e-03
1.010000000000000000e+02,7.501978400000000428e-03
1.020000000000000000e+02,7.495792599999999591e-03
1.030000000000000000e+02,7.489613699999999805e-03
1.040000000000000000e+02,7.483443200000000281e-03
1.050000000000000000e+02,7.477263900000000359e-03
1.060000000000000000e+02,7.471086499999999783e-03
1.070000000000000000e+02,7.464896399999999647e-03
1.080000000000000000e+02,7.458700799999999805e-03
1.090000000000000000e+02,7.452492100000000265e-03
1.100000000000000000e+02,7.446271400000000103e-03
1.110000000000000000e+02,7.440034800000000156e-03
1.120000000000000000e+02,7.433780499999999812e-03
1.130000000000000000e+02,7.427507499999999596e-03
1.140000000000000000e+02,7.421213200000000357e-03
1.150000000000000000e+02,7.414897900000000028e-03
1.160000000000000000e+02,7.408557500000000247e-03
1.170000000000000000e+02,7.402194200000000029e-03
1.180000000000000000e+02,7.395804399999999883e-03
1.190000000000000000e+02,7.389389399999999816e-03
1.200000000000000000e+02,7.382946999999999947e-03
1.210000000000000000e+02,7.376478100000000149e-03
1.220000000000000000e+02,7.369980200000000002e-03
1.230000000000000000e+02,7.363453499999999576e-03
1.240000000000000000e+02,7.356895599999999785e-03
1.250000000000000000e+02,7.350306000000000027e-03
1.260000000000000000e+02,7.343682899999999687e-03
1.270000000000000000e+02,7.337024400000000286e-03
1.280000000000000000e+02,7.330329200000000080e-03
1.290000000000000000e+02,7.323596199999999994e-03
1.300000000000000000e+02,7.316823600000000281e-03
1.310000000000000000e+02,7.310009600000000329e-03
1.320000000000000000e+02,7.303153199999999796e-03
1.330000000000000000e+02,7.296252999999999940e-03
1.340000000000000000e+02,7.289307200000000146e-03
1.350000000000000000e+02,7.282314800000000074e-03
1.360000000000000000e+02,7.275274499999999714e-03
1.370000000000000000e+02,7.268183899999999982e-03
1.380000000000000000e+02,7.261042500000000274e-03
1.390000000000000000e+02,7.253847100000000367e-03
1.400000000000000000e+02,7.246596699999999919e-03
1.410000000000000000e+02,7.239289599999999651e-03
1.420000000000000000e+02,7.231923300000000013e-03
1.430000000000000000e+02,7.224495499999999786e-03
1.440000000000000000e+02,7.217005400000000431e-03
1.450000000000000000e+02,7.209449500000000323e-03
1.460000000000000000e+02,7.201826199999999782e-03
1.470000000000000000e+02,7.194134399999999735e-03
1.480000000000000000e+02,7.186370400000000221e-03
1.490000000000000000e+02,7.178532900000000362e-03
1.500000000000000000e+02,7.170619900000000345e-03
1.510000000000000000e+02,7.162628699999999682e-03
1.520000000000000000e+02,7.154557399999999893e-03
1.530000000000000000e+02,7.146404099999999898e-03
1.540000000000000000e+02,7.138166599999999813e-03
1.550000000000000000e+02,7.129842400000000087e-03
1.560000000000000000e+02,7.121429299999999969e-03
1.570000000000000000e+02,7.112426699999999623e-03
1.580000000000000000e+02,7.103493899999999660e-03
1.590000000000000000e+02,7.094558800000000214e-03
1.600000000000000000e+02,7.085586399999999757e-03
1.610000000000000000e+02,7.076558200000000222e-03
1.620000000000000000e+02,7.067462000000000050e-03
1.630000000000000000e+02,7.058288400000000372e-03
1.640000000000000000e+02,7.049032499999999951e-03
1.650000000000000000e+02,7.039689000000000016e-03
1.660000000000000000e+02,7.030256099999999952e-03
1.670000000000000000e+02,7.020732400000000151e-03
1.680000000000000000e+02,7.011116900000000270e-03
1.690000000000000000e+02,7.001411199999999987e-03
1.700000000000000000e+02,6.991616499999999713e-03
1.710000000000000000e+02,6.981734199999999925e-03
1.720000000000000000e+02,6.971767599999999579e-03
1.730000000000000000e+02,6.961719600000000098e-03
1.740000000000000000e+02,6.951594699999999981e-03
1.750000000000000000e+02,6.941396699999999656e-03
1.760000000000000000e+02,6.931131200000000166e-03
1.770000000000000000e+02,6.920802900000000077e-03
1.780000000000000000e+02,6.910417200000000364e-03
1.790000000000000000e+02,6.899979900000000402e-03
1.800000000000000000e+02,6.889496900000000035e-03
1.810000000000000000e+02,6.878974799999999779e-03
1.820000000000000000e+02,6.868419199999999808e-03
1.830000000000000000e+02,6.857836600000000171e-03
1.840000000000000000e+02,6.847233000000000312e-03
1.850000000000000000e+02,6.836614100000000006e-03
1.860000000000000000e+02,6.825985900000000432e-03
1.870000000000000000e+02,6.815354299999999699e-03
1.880000000000000000e+02,6.804724199999999910e-03
1.890000000000000000e+02,6.794101999999999780e-03
