# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.483891299999999802e+01
3.000000000000000000e+00,5.599096699999999771e+01
4.000000000000000000e+00,6.501972999999999558e+01
5.000000000000000000e+00,7.255454299999999535e+01
6.000000000000000000e+00,7.916416900000000112e+01
7.000000000000000000e+00,8.508341199999999560e+01
8.000000000000000000e+00,9.047685199999999384e+01
9.000000000000000000e+00,9.544908900000000074e+01
1.000000000000000000e+01,1.000759000000000043e+02
1.100000000000000000e+01,1.044111699999999985e+02
1.200000000000000000e+01,1.084965100000000007e+02
1.300000000000000000e+01,1.123653300000000002e+02
1.400000000000000000e+01,1.160430400000000049e+02
1.500000000000000000e+01,1.195516099999999966e+02
1.600000000000000000e+01,1.229077900000000056e+02
1.700000000000000000e+01,1.261269800000000032e+02
1.800000000000000000e+01,1.292215999999999951e+02
1.900000000000000000e+01,1.322024700000000053e+02
2.000000000000000000e+01,1.350781100000000094e+02
2.100000000000000000e+01,1.378575899999999876e+02
2.200000000000000000e+01,1.405472300000000132e+02
2.300000000000000000e+01,1.431539899999999932e+02
2.400000000000000000e+01,1.456825900000000047e+02
2.500000000000000000e+01,1.481392199999999946e+02
2.600000000000000000e+01,1.505279700000000105e+02
2.700000000000000000e+01,1.528521000000000072e+02
2.800000000000000000e+01,1.551154899999999941e+02
2.900000000000000000e+01,1.573220100000000059e+02
3.000000000000000000e+01,1.594744100000000060e+02
3.100000000000000000e+01,1.615745499999999879e+02
3.200000000000000000e+01,1.636271999999999878e+02
3.300000000000000000e+01,1.656332400000000007e+02
3.400000000000000000e+01,1.675949200000000019e+02
3.500000000000000000e+01,1.695145300000000077e+02
3.600000000000000000e+01,1.713932200000000137e+02
3.700000000000000000e+01,1.732332000000000107e+02
3.800000000000000000e+01,1.750364199999999926e+02
3.900000000000000000e+01,1.768040799999999990e+02
4.000000000000000000e+01,1.785375099999999975e+02
4.100000000000000000e+01,1.802385700000000099e+02
4.200000000000000000e+01,1.819082300000000032e+02
4.300000000000000000e+01,1.835469500000000096e+02
4.400000000000000000e+01,1.851568000000000040e+02
4.500000000000000000e+01,1.867385999999999910e+02
4.600000000000000000e+01,1.882930499999999938e+02
4.700000000000000000e+01,1.898216199999999958e+02
4.800000000000000000e+01,1.913251199999999983e+02
4.900000000000000000e+01,1.928035999999999888e+02
5.000000000000000000e+01,1.942587300000000141e+02
5.100000000000000000e+01,1.956905999999999892e+02
5.200000000000000000e+01,1.971011699999999962e+02
5.300000000000000000e+01,1.984898699999999963e+02
5.400000000000000000e+01,1.998580200000000104e+02
5.500000000000000000e+01,2.012059000000000140e+02
5.600000000000000000e+01,2.025346800000000087e+02
5.700000000000000000e+01,2.038447700000000111e+02
5.800000000000000000e+01,2.051356800000000078e+02
5.900000000000000000e+01,2.064099699999999871e+02
6.000000000000000000e+01,2.076669200000000046e+02
6.100000000000000000e+01,2.089065899999999942e+02
6.200000000000000000e+01,2.101302599999999927e+02
6.300000000000000000e+01,2.113387299999999982e+02
6.400000000000000000e+01,2.125318900000000042e+02
6.500000000000000000e+01,2.137105099999999993e+02
6.600000000000000000e+01,2.148739300000000014e+02
