# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,9.999999400000000316e-01
4.600000000000000000e+01,9.999999400000000316e-01
4.700000000000000000e+01,9.999999400000000316e-01
4.800000000000000000e+01,9.999999400000000316e-01
4.900000000000000000e+01,9.999999400000000316e-01
5.000000000000000000e+01,9.999999400000000316e-01
5.100000000000000000e+01,9.999999400000000316e-01
5.200000000000000000e+01,9.999998799999999521e-01
5.300000000000000000e+01,9.999998799999999521e-01
5.400000000000000000e+01,9.999998799999999521e-01
5.500000000000000000e+01,9.999998199999999837e-01
5.600000000000000000e+01,9.999998199999999837e-01
5.700000000000000000e+01,9.999998199999999837e-01
5.800000000000000000e+01,9.999997600000000153e-01
5.900000000000000000e+01,9.999997000000000469e-01
6.000000000000000000e+01,9.999997000000000469e-01
6.100000000000000000e+01,9.999996399999999674e-01
6.200000000000000000e+01,9.999995799999999990e-01
6.300000000000000000e+01,9.999995200000000306e-01
6.400000000000000000e+01,9.999994599999999512e-01
6.500000000000000000e+01,9.999993999999999827e-01
6.600000000000000000e+01,9.999993400000000143e-01
6.700000000000000000e+01,9.999992800000000459e-01
6.800000000000000000e+01,9.999991700000000483e-01
6.900000000000000000e+01,9.999990500000000004e-01
7.000000000000000000e+01,9.999989299999999526e-01
7.100000000000000000e+01,9.999988100000000157e-01
7.200000000000000000e+01,9.999986899999999679e-01
7.300000000000000000e+01,9.999985700000000310e-01
7.400000000000000000e+01,9.999983900000000148e-01
7.500000000000000000e+01,9.999982099999999985e-01
7.600000000000000000e+01,9.999979700000000138e-01
7.700000000000000000e+01,9.999977899999999975e-01
7.800000000000000000e+01,9.999975599999999520e-01
7.900000000000000000e+01,9.999973199999999673e-01
8.000000000000000000e+01,9.999970200000000142e-01
8.100000000000000000e+01,9.999967199999999501e-01
8.200000000000000000e+01,9.999963600000000286e-01
8.300000000000000000e+01,9.999960100000000462e-01
8.400000000000000000e+01,9.999956500000000137e-01
8.500000000000000000e+01,9.999952300000000127e-01
8.600000000000000000e+01,9.999947500000000433e-01
8.700000000000000000e+01,9.999942800000000132e-01
8.800000000000000000e+01,9.999937399999999643e-01
8.900000000000000000e+01,9.999932099999999657e-01
9.000000000000000000e+01,9.999926099999999485e-01
9.100000000000000000e+01,9.999919499999999628e-01
9.200000000000000000e+01,9.999912399999999479e-01
9.300000000000000000e+01,9.999904600000000254e-01
9.400000000000000000e+01,9.999896299999999627e-01
9.500000000000000000e+01,9.999887899999999608e-01
9.600000000000000000e+01,9.999878399999999612e-01
9.700000000000000000e+01,9.999868299999999932e-01
9.800000000000000000e+01,9.999857500000000066e-01
9.900000000000000000e+01,9.999845600000000223e-01
1.000000000000000000e+02,9.999833700000000380e-01
1.010000000000000000e+02,9.999820600000000059e-01
1.020000000000000000e+02,9.999806300000000370e-01
1.030000000000000000e+02,9.999791399999999886e-01
1.040000000000000000e+02,9.999775300000000033e-01
1.050000000000000000e+02,9.999758600000000497e-01
1.060000000000000000e+02,9.999740700000000482e-01
1.070000000000000000e+02,9.999721099999999696e-01
1.080000000000000000e+02,9.999700799999999834e-01
1.090000000000000000e+02,9.999679299999999493e-01
1.100000000000000000e+02,9.999656099999999492e-01
1.110000000000000000e+02,9.999631599999999620e-01
1.120000000000000000e+02,9.999605400000000088e-01
1.130000000000000000e+02,9.999578000000000078e-01
1.140000000000000000e+02,9.999548799999999904e-01
1.150000000000000000e+02,9.999517799999999568e-01
1.160000000000000000e+02,9.999485599999999863e-01
1.170000000000000000e+02,9.999451000000000311e-01
1.180000000000000000e+02,9.999414100000000305e-01
1.190000000000000000e+02,9.999375900000000428e-01
1.200000000000000000e+02,9.999334800000000412e-01
1.210000000000000000e+02,9.999291900000000233e-01
1.220000000000000000e+02,9.999246600000000207e-01
1.230000000000000000e+02,9.999198900000000334e-01
1.240000000000000000e+02,9.999148199999999820e-01
1.250000000000000000e+02,9.999095199999999961e-01
1.260000000000000000e+02,9.999039199999999461e-01
1.270000000000000000e+02,9.998980200000000540e-01
1.280000000000000000e+02,9.998918199999999867e-01
1.290000000000000000e+02,9.998853199999999664e-01
1.300000000000000000e+02,9.998784099999999953e-01
