# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500000999999999962e+01
7.000000000000000000e+00,2.500004600000000110e+01
8.000000000000000000e+00,2.500016400000000161e+01
9.000000000000000000e+00,2.500049999999999883e+01
1.000000000000000000e+01,2.500132800000000088e+01
1.100000000000000000e+01,2.500313399999999930e+01
1.200000000000000000e+01,2.500669299999999851e+01
1.300000000000000000e+01,2.501311899999999966e+01
1.400000000000000000e+01,2.502387399999999928e+01
1.500000000000000000e+01,2.504077300000000150e+01
1.600000000000000000e+01,2.506592399999999898e+01
1.700000000000000000e+01,2.510167099999999962e+01
1.800000000000000000e+01,2.515052000000000021e+01
1.900000000000000000e+01,2.521506099999999861e+01
2.000000000000000000e+01,2.529790099999999953e+01
2.100000000000000000e+01,2.540159799999999990e+01
2.200000000000000000e+01,2.552861400000000103e+01
2.300000000000000000e+01,2.568127099999999885e+01
2.400000000000000000e+01,2.586172699999999836e+01
2.500000000000000000e+01,2.607194499999999948e+01
2.600000000000000000e+01,2.631370400000000132e+01
2.700000000000000000e+01,2.658855099999999894e+01
2.800000000000000000e+01,2.689784799999999976e+01
2.900000000000000000e+01,2.724274300000000082e+01
3.000000000000000000e+01,2.762418900000000122e+01
3.100000000000000000e+01,2.804295199999999966e+01
3.200000000000000000e+01,2.849962199999999868e+01
3.300000000000000000e+01,2.899463799999999836e+01
3.400000000000000000e+01,2.952828399999999931e+01
3.500000000000000000e+01,3.010066199999999981e+01
3.600000000000000000e+01,3.071181100000000086e+01
3.700000000000000000e+01,3.136158599999999907e+01
3.800000000000000000e+01,3.204980100000000220e+01
3.900000000000000000e+01,3.277616100000000188e+01
4.000000000000000000e+01,3.354025299999999987e+01
4.100000000000000000e+01,3.434162100000000351e+01
4.200000000000000000e+01,3.517974099999999993e+01
4.300000000000000000e+01,3.605401599999999718e+01
4.400000000000000000e+01,3.696384400000000170e+01
4.500000000000000000e+01,3.790857299999999697e+01
4.600000000000000000e+01,3.888743600000000100e+01
4.700000000000000000e+01,3.989975700000000103e+01
4.800000000000000000e+01,4.094471000000000060e+01
4.900000000000000000e+01,4.202156099999999839e+01
5.000000000000000000e+01,4.312950899999999876e+01
5.100000000000000000e+01,4.426772299999999660e+01
5.200000000000000000e+01,4.543534100000000109e+01
5.300000000000000000e+01,4.663157700000000006e+01
5.400000000000000000e+01,4.785560999999999865e+01
5.500000000000000000e+01,4.910655200000000065e+01
5.600000000000000000e+01,5.038355599999999868e+01
5.700000000000000000e+01,5.168575299999999828e+01
5.800000000000000000e+01,5.301234099999999927e+01
5.900000000000000000e+01,5.436250299999999669e+01
6.000000000000000000e+01,5.573531299999999788e+01
6.100000000000000000e+01,5.713001599999999769e+01
6.200000000000000000e+01,5.854570799999999764e+01
6.300000000000000000e+01,5.998163199999999762e+01
6.400000000000000000e+01,6.143692399999999765e+01
6.500000000000000000e+01,6.291080500000000342e+01
6.600000000000000000e+01,6.440247300000000052e+01
6.700000000000000000e+01,6.591116300000000194e+01
6.800000000000000000e+01,6.743603500000000395e+01
6.900000000000000000e+01,6.897640199999999311e+01
7.000000000000000000e+01,7.053150200000000325e+01
7.100000000000000000e+01,7.210060099999999750e+01
7.200000000000000000e+01,7.368298299999999301e+01
7.300000000000000000e+01,7.527796899999999880e+01
7.400000000000000000e+01,7.688487200000000144e+01
7.500000000000000000e+01,7.850305199999999672e+01
7.600000000000000000e+01,8.013187399999999627e+01
7.700000000000000000e+01,8.177072099999999466e+01
7.800000000000000000e+01,8.341899100000000544e+01
7.900000000000000000e+01,8.507617199999999968e+01
8.000000000000000000e+01,8.674162300000000414e+01
8.100000000000000000e+01,8.841481799999999680e+01
8.200000000000000000e+01,9.009525299999999959e+01
8.300000000000000000e+01,9.178243999999999403e+01
8.400000000000000000e+01,9.347602100000000291e+01
8.500000000000000000e+01,9.517542299999999500e+01
8.600000000000000000e+01,9.688019599999999798e+01
8.700000000000000000e+01,9.858997300000000052e+01
8.800000000000000000e+01,1.003044399999999996e+02
8.900000000000000000e+01,1.020231200000000058e+02
9.000000000000000000e+01,1.037456200000000024e+02
9.100000000000000000e+01,1.054716899999999953e+02
9.200000000000000000e+01,1.072010300000000029e+02
9.300000000000000000e+01,1.089331799999999930e+02
9.400000000000000000e+01,1.106679500000000047e+02
9.500000000000000000e+01,1.124051000000000045e+02
9.600000000000000000e+01,1.141442100000000011e+02
9.700000000000000000e+01,1.158851499999999959e+02
9.800000000000000000e+01,1.176275899999999979e+02
9.900000000000000000e+01,1.193713199999999972e+02
1.000000000000000000e+02,1.211161400000000015e+02
1.010000000000000000e+02,1.228617299999999943e+02
1.020000000000000000e+02,1.246079500000000024e+02
1.030000000000000000e+02,1.263546300000000002e+02
1.040000000000000000e+02,1.281014600000000030e+02
1.050000000000000000e+02,1.298483300000000042e+02
1.060000000000000000e+02,1.315951100000000054e+02
1.070000000000000000e+02,1.333414799999999900e+02
1.080000000000000000e+02,1.350874000000000024e+02
1.090000000000000000e+02,1.368326299999999947e+02
1.100000000000000000e+02,1.385769699999999887e+02
1.110000000000000000e+02,1.403203900000000033e+02
1.120000000000000000e+02,1.420626399999999876e+02
1.130000000000000000e+02,1.438035900000000140e+02
1.140000000000000000e+02,1.455431700000000035e+02
1.150000000000000000e+02,1.472810800000000029e+02
1.160000000000000000e+02,1.490173200000000122e+02
1.170000000000000000e+02,1.507517499999999870e+02
1.180000000000000000e+02,1.524841199999999901e+02
1.190000000000000000e+02,1.542143900000000087e+02
1.200000000000000000e+02,1.559424999999999955e+02
1.210000000000000000e+02,1.576682299999999941e+02
1.220000000000000000e+02,1.593914499999999919e+02
1.230000000000000000e+02,1.611122000000000014e+02
1.240000000000000000e+02,1.628301999999999907e+02
1.250000000000000000e+02,1.645453300000000070e+02
1.260000000000000000e+02,1.662575199999999995e+02
1.270000000000000000e+02,1.679667499999999905e+02
1.280000000000000000e+02,1.696728200000000015e+02
1.290000000000000000e+02,1.713756300000000010e+02
1.300000000000000000e+02,1.730750899999999888e+02
1.310000000000000000e+02,1.747711799999999869e+02
1.320000000000000000e+02,1.764636999999999887e+02
1.330000000000000000e+02,1.781525399999999877e+02
1.340000000000000000e+02,1.798376599999999996e+02
1.350000000000000000e+02,1.815189799999999991e+02
1.360000000000000000e+02,1.831963700000000017e+02
1.370000000000000000e+02,1.848697400000000073e+02
1.380000000000000000e+02,1.865389900000000125e+02
1.390000000000000000e+02,1.882195100000000139e+02
1.400000000000000000e+02,1.898868600000000129e+02
1.410000000000000000e+02,1.915475500000000011e+02
1.420000000000000000e+02,1.932030799999999999e+02
1.430000000000000000e+02,1.948535899999999970e+02
1.440000000000000000e+02,1.964992200000000082e+02
1.450000000000000000e+02,1.981400800000000118e+02
1.460000000000000000e+02,1.997762099999999919e+02
1.470000000000000000e+02,2.014077299999999866e+02
1.480000000000000000e+02,2.030346800000000087e+02
1.490000000000000000e+02,2.046570600000000013e+02
1.500000000000000000e+02,2.062748100000000022e+02
1.510000000000000000e+02,2.078879100000000051e+02
1.520000000000000000e+02,2.094962899999999877e+02
1.530000000000000000e+02,2.110997900000000129e+02
1.540000000000000000e+02,2.126983199999999954e+02
1.550000000000000000e+02,2.142917500000000075e+02
1.560000000000000000e+02,2.158799300000000017e+02
1.570000000000000000e+02,2.174628099999999904e+02
1.580000000000000000e+02,2.190402699999999925e+02
1.590000000000000000e+02,2.206121799999999951e+02
1.600000000000000000e+02,2.221784399999999948e+02
1.610000000000000000e+02,2.237389100000000042e+02
1.620000000000000000e+02,2.252935200000000009e+02
1.630000000000000000e+02,2.268421899999999880e+02
1.640000000000000000e+02,2.283848299999999938e+02
1.650000000000000000e+02,2.299213100000000054e+02
1.660000000000000000e+02,2.314514800000000037e+02
1.670000000000000000e+02,2.329753100000000074e+02
1.680000000000000000e+02,2.344927099999999882e+02
1.690000000000000000e+02,2.360035699999999963e+02
1.700000000000000000e+02,2.375077699999999936e+02
1.710000000000000000e+02,2.390051300000000083e+02
1.720000000000000000e+02,2.404956400000000087e+02
1.730000000000000000e+02,2.419791600000000074e+02
1.740000000000000000e+02,2.434555200000000070e+02
1.750000000000000000e+02,2.449246699999999919e+02
1.760000000000000000e+02,2.463864599999999996e+02
1.770000000000000000e+02,2.478407100000000014e+02
1.780000000000000000e+02,2.492873400000000004e+02
1.790000000000000000e+02,2.507262100000000089e+02
1.800000000000000000e+02,2.521571000000000140e+02
1.810000000000000000e+02,2.535799700000000030e+02
1.820000000000000000e+02,2.549945700000000102e+02
1.830000000000000000e+02,2.564007899999999722e+02
1.840000000000000000e+02,2.577984299999999962e+02
1.850000000000000000e+02,2.591873499999999808e+02
1.860000000000000000e+02,2.605673199999999952e+02
1.870000000000000000e+02,2.619381999999999948e+02
1.880000000000000000e+02,2.632997399999999857e+02
1.890000000000000000e+02,2.646517600000000243e+02
1.900000000000000000e+02,2.659941400000000158e+02
1.910000000000000000e+02,2.673265400000000227e+02
1.920000000000000000e+02,2.686487700000000132e+02
1.930000000000000000e+02,2.699607199999999807e+02
1.940000000000000000e+02,2.712619900000000257e+02
1.950000000000000000e+02,2.725523999999999774e+02
1.960000000000000000e+02,2.738317599999999743e+02
1.970000000000000000e+02,2.750998500000000035e+02
1.980000000000000000e+02,2.763563500000000204e+02
1.990000000000000000e+02,2.776010099999999738e+02
2.000000000000000000e+02,2.788336199999999963e+02
2.010000000000000000e+02,2.800538599999999860e+02
2.020000000000000000e+02,2.812615700000000061e+02
2.030000000000000000e+02,2.824563899999999990e+02
2.040000000000000000e+02,2.836381200000000149e+02
2.050000000000000000e+02,2.848064899999999966e+02
2.060000000000000000e+02,2.859612099999999941e+02
2.070000000000000000e+02,2.871021099999999819e+02
2.080000000000000000e+02,2.882289099999999848e+02
2.090000000000000000e+02,2.893413400000000024e+02
2.100000000000000000e+02,2.904392399999999839e+02
2.110000000000000000e+02,2.915223700000000235e+02
2.120000000000000000e+02,2.925905200000000264e+02
2.130000000000000000e+02,2.936472800000000234e+02
2.140000000000000000e+02,2.946875600000000190e+02
2.150000000000000000e+02,2.957126499999999965e+02
2.160000000000000000e+02,2.967230200000000195e+02
2.170000000000000000e+02,2.977186300000000188e+02
2.180000000000000000e+02,2.986992799999999875e+02
2.190000000000000000e+02,2.996645800000000008e+02
2.200000000000000000e+02,3.006142600000000016e+02
2.210000000000000000e+02,3.015479100000000017e+02
2.220000000000000000e+02,3.024654199999999946e+02
2.230000000000000000e+02,3.033666699999999992e+02
2.240000000000000000e+02,3.042516499999999837e+02
2.250000000000000000e+02,3.051203600000000051e+02
2.260000000000000000e+02,3.059729899999999816e+02
2.270000000000000000e+02,3.068096300000000269e+02
2.280000000000000000e+02,3.076305500000000279e+02
2.290000000000000000e+02,3.084359999999999786e+02
2.300000000000000000e+02,3.092262000000000057e+02
2.310000000000000000e+02,3.100014600000000087e+02
2.320000000000000000e+02,3.107620499999999879e+02
2.330000000000000000e+02,3.115084800000000200e+02
2.340000000000000000e+02,3.122410600000000045e+02
2.350000000000000000e+02,3.129601700000000051e+02
2.360000000000000000e+02,3.136662299999999846e+02
2.370000000000000000e+02,3.143597399999999880e+02
2.380000000000000000e+02,3.150410499999999843e+02
2.390000000000000000e+02,3.157107199999999807e+02
2.400000000000000000e+02,3.163692899999999781e+02
2.410000000000000000e+02,3.170172099999999773e+02
2.420000000000000000e+02,3.176550599999999918e+02
2.430000000000000000e+02,3.182834199999999782e+02
2.440000000000000000e+02,3.189027100000000132e+02
2.450000000000000000e+02,3.195136400000000094e+02
2.460000000000000000e+02,3.201166699999999992e+02
2.470000000000000000e+02,3.207124000000000024e+02
2.480000000000000000e+02,3.213014200000000073e+02
2.490000000000000000e+02,3.218842799999999897e+02
2.500000000000000000e+02,3.224615499999999884e+02
2.510000000000000000e+02,3.230338100000000168e+02
2.520000000000000000e+02,3.236016200000000254e+02
2.530000000000000000e+02,3.241655900000000088e+02
2.540000000000000000e+02,3.247261700000000246e+02
2.550000000000000000e+02,3.252839700000000107e+02
2.560000000000000000e+02,3.258395399999999995e+02
2.570000000000000000e+02,3.263933999999999855e+02
2.580000000000000000e+02,3.269460399999999822e+02
2.590000000000000000e+02,3.274979900000000157e+02
2.600000000000000000e+02,3.280497700000000236e+02
2.610000000000000000e+02,3.286018100000000004e+02
2.620000000000000000e+02,3.291546000000000163e+02
2.630000000000000000e+02,3.297086800000000153e+02
2.640000000000000000e+02,3.302644300000000044e+02
2.650000000000000000e+02,3.308223600000000033e+02
2.660000000000000000e+02,3.314481499999999983e+02
2.670000000000000000e+02,3.320455600000000231e+02
2.680000000000000000e+02,3.326357399999999984e+02
2.690000000000000000e+02,3.332249100000000226e+02
2.700000000000000000e+02,3.338135700000000270e+02
2.710000000000000000e+02,3.344035299999999893e+02
2.720000000000000000e+02,3.349958799999999997e+02
2.730000000000000000e+02,3.355918300000000158e+02
2.740000000000000000e+02,3.361923800000000142e+02
2.750000000000000000e+02,3.367983100000000150e+02
2.760000000000000000e+02,3.374104300000000194e+02
2.770000000000000000e+02,3.380293300000000158e+02
2.780000000000000000e+02,3.386556699999999864e+02
2.790000000000000000e+02,3.392900999999999954e+02
2.800000000000000000e+02,3.399330699999999865e+02
2.810000000000000000e+02,3.405842900000000100e+02
2.820000000000000000e+02,3.412420299999999997e+02
2.830000000000000000e+02,3.419047199999999975e+02
2.840000000000000000e+02,3.425720800000000281e+02
2.850000000000000000e+02,3.432465799999999945e+02
2.860000000000000000e+02,3.439318499999999972e+02
2.870000000000000000e+02,3.446297299999999950e+02
2.880000000000000000e+02,3.453411600000000021e+02
2.890000000000000000e+02,3.460664400000000001e+02
2.900000000000000000e+02,3.468061799999999835e+02
2.910000000000000000e+02,3.475604200000000219e+02
2.920000000000000000e+02,3.483293499999999767e+02
2.930000000000000000e+02,3.491132200000000125e+02
