Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,7.93e+11,6.57e+13,1.0,0.0,2926.7102373507523,1006.5416379215984,0.044842916737239204,0.4149768137713734,1.07e+05,3.03e+05,386338.58762340783,371448.92764835834,31536.96498764566,100000000.0,0.0017854971567636932,0.6005115810830625,0.6222100267108364,0.6150578159460861,0.94,0.5401249568481824,0.03070764985049095,6.845670470939831e-05,0.0008122215627172322,1.824670481585453,2.2859614353087574,0.0,0.0,1683.0,1235.0,
0,235.3780,7.93e+11,6.57e+13,1.0,0.0,2926.7102373507523,1006.5416379215984,0.044842916737239204,0.4149768137713734,1.07e+05,3.03e+05,386338.58762340783,371448.92764835834,31536.96498764566,100000000.0,0.0017854971567636932,0.6005115810830625,0.6222100267108364,0.6150578159460861,0.94,0.5401249568481824,0.03070764985049095,6.845670470939831e-05,0.0008122215627172322,1.824670481585453,2.2859614353087574,0.0,0.0,1683.0,1235.0,
1,478.7840,3.24e+12,1.75e+14,1.0,0.0,2636.9409897608903,852.0829850935252,0.14764289349361664,0.5963925667508096,2.34e+05,1.35e+05,193723.1788599412,201095.8847650853,14494.574234444532,100000000.0,0.0011611478887606336,0.7943919008117805,0.561597887878958,0.6371806630775788,0.94,0.4335463771571034,0.07150640438539918,8.233837321785164e-05,0.00048311065804498745,2.6779775044627825,4.866133980202824,0.0,0.0,1683.0,1235.0,
2,740.8610,3.74e+12,1.39e+14,1.0,0.0,2186.3381424707304,1976.7845699520972,0.09418310699902967,0.493266177413791,1.36e+05,2.01e+05,215333.20755871915,360312.700234505,23133.51350695936,100000000.0,0.0007463499175614356,0.587058378606967,0.4312279646913126,0.6637572935264984,0.94,0.47839484356095147,0.13978873904411457,5.4742476936514925e-05,0.000530117904696676,1.882362229282121,4.004683448388355,0.0,0.0,1683.0,1235.0,
3,1004.5550,3.74e+12,1.39e+14,1.0,0.0,2186.3381424707304,1976.7845699520972,0.09418310699902967,0.493266177413791,1.36e+05,2.01e+05,215333.20755871915,360312.700234505,23133.51350695936,100000000.0,0.0007463499175614356,0.587058378606967,0.4312279646913126,0.6637572935264984,0.94,0.47839484356095147,0.13978873904411457,5.4742476936514925e-05,0.000530117904696676,1.882362229282121,4.004683448388355,0.0,0.0,1683.0,1235.0,
4,1280.3640,3.74e+12,1.39e+14,1.0,0.0,2186.3381424707304,1976.7845699520972,0.09418310699902967,0.493266177413791,1.36e+05,2.01e+05,215333.20755871915,360312.700234505,23133.51350695936,100000000.0,0.0007463499175614356,0.587058378606967,0.4312279646913126,0.6637572935264984,0.94,0.47839484356095147,0.13978873904411457,5.4742476936514925e-05,0.000530117904696676,1.882362229282121,4.004683448388355,0.0,0.0,1683.0,1235.0,
5,1550.8430,3.74e+12,1.39e+14,1.0,0.0,2186.3381424707304,1976.7845699520972,0.09418310699902967,0.493266177413791,1.36e+05,2.01e+05,215333.20755871915,360312.700234505,23133.51350695936,100000000.0,0.0007463499175614356,0.587058378606967,0.4312279646913126,0.6637572935264984,0.94,0.47839484356095147,0.13978873904411457,5.4742476936514925e-05,0.000530117904696676,1.882362229282121,4.004683448388355,0.0,0.0,1683.0,1235.0,
6,1820.2310,3.74e+12,1.39e+14,1.0,0.0,2186.3381424707304,1976.7845699520972,0.09418310699902967,0.493266177413791,1.36e+05,2.01e+05,215333.20755871915,360312.700234505,23133.51350695936,100000000.0,0.0007463499175614356,0.587058378606967,0.4312279646913126,0.6637572935264984,0.94,0.47839484356095147,0.13978873904411457,5.4742476936514925e-05,0.000530117904696676,1.882362229282121,4.004683448388355,0.0,0.0,1683.0,1235.0,
7,2097.3080,3.74e+12,1.39e+14,1.0,0.0,2186.3381424707304,1976.7845699520972,0.09418310699902967,0.493266177413791,1.36e+05,2.01e+05,215333.20755871915,360312.700234505,23133.51350695936,100000000.0,0.0007463499175614356,0.587058378606967,0.4312279646913126,0.6637572935264984,0.94,0.47839484356095147,0.13978873904411457,5.4742476936514925e-05,0.000530117904696676,1.882362229282121,4.004683448388355,0.0,0.0,1683.0,1235.0,
8,2380.0150,4.72e+12,1.23e+14,1.0,0.0,1732.062131644835,2463.60686316185,0.09703549457268051,0.539576449860738,1.42e+05,3.32e+05,176451.9505886536,375944.6659738519,22892.534149312938,100000000.0,0.0006986966593747145,0.5728327173094179,0.5106856324397189,0.6184922267770238,0.94,0.4340819926917217,0.10824904866326805,7.066426939177596e-05,0.00044819528022611,2.039958116715422,3.058226577427638,0.0,0.0,1683.0,1235.0,
9,2667.2900,2.51e+12,9.74e+13,1.0,0.0,2366.9067900446958,1545.4278787536682,0.0697116855819614,0.5049547973673103,1.24e+05,3.06e+05,293399.85184743337,385108.3149137866,27192.61800736427,100000000.0,0.0006770500374459169,0.5861934297782373,0.5660427559880945,0.6194262440589746,0.94,0.4923155214077136,0.08603210236364933,6.583403353516501e-05,0.0006284701010259845,1.9418500831293395,2.752545404715539,0.0,0.0,1683.0,1235.0,
10,2945.9620,3.97e+12,1.10e+14,1.0,0.0,1817.3286172561552,2074.8210680638495,0.09363731893893336,0.5657113639172042,1.37e+05,2.27e+05,205480.945484358,406476.19324918586,21945.191988098068,100000000.0,0.0005901303307097319,0.5785002291012544,0.5605307698917159,0.6436886783523742,0.94,0.43727913445665856,0.13638058578064888,6.395975453598762e-05,0.0004758584242193938,2.341061892526281,3.384316314806974,0.0,0.0,1683.0,1235.0,
11,3226.0280,3.25e+12,1.42e+14,1.0,0.0,1448.8084774034141,2288.0693704858304,0.08220282812720671,0.6290065761281091,1.42e+05,3.03e+05,236128.00826160103,435575.2512960586,25401.172642076544,100000000.0,0.0004007645300510861,0.5794528406501886,0.5468777204344593,0.6247800723357557,0.94,0.4175038581020667,0.15482181935657838,5.982127199319482e-05,0.00044753709759655006,2.415577764252977,3.6458931466789752,0.0,0.0,1683.0,1235.0,
12,3500.7340,3.25e+12,1.42e+14,1.0,0.0,1448.8084774034141,2288.0693704858304,0.08220282812720671,0.6290065761281091,1.42e+05,3.03e+05,236128.00826160103,435575.2512960586,25401.172642076544,100000000.0,0.0004007645300510861,0.5794528406501886,0.5468777204344593,0.6247800723357557,0.94,0.4175038581020667,0.15482181935657838,5.982127199319482e-05,0.00044753709759655006,2.415577764252977,3.6458931466789752,0.0,0.0,1683.0,1235.0,
13,3780.0080,2.66e+12,1.33e+14,1.0,0.0,1419.6787697369439,2403.029860237044,0.07794959402604394,0.6826256437905887,1.47e+05,3.96e+05,232470.17502023868,466968.42380751896,23596.418965898032,100000000.0,0.0001954935067487133,0.5788427724772823,0.5697242634026679,0.6865767689020437,0.94,0.3310002614513978,0.17419044999172772,6.695270941355547e-05,0.0005353411701372315,2.3293710037935877,3.105568686198878,0.0,0.0,1683.0,1235.0,
14,4064.1770,2.66e+12,1.33e+14,1.0,0.0,1419.6787697369439,2403.029860237044,0.07794959402604394,0.6826256437905887,1.47e+05,3.96e+05,232470.17502023868,466968.42380751896,23596.418965898032,100000000.0,0.0001954935067487133,0.5788427724772823,0.5697242634026679,0.6865767689020437,0.94,0.3310002614513978,0.17419044999172772,6.695270941355547e-05,0.0005353411701372315,2.3293710037935877,3.105568686198878,0.0,0.0,1683.0,1235.0,
15,4348.3680,2.66e+12,1.33e+14,1.0,0.0,1419.6787697369439,2403.029860237044,0.07794959402604394,0.6826256437905887,1.47e+05,3.96e+05,232470.17502023868,466968.42380751896,23596.418965898032,100000000.0,0.0001954935067487133,0.5788427724772823,0.5697242634026679,0.6865767689020437,0.94,0.3310002614513978,0.17419044999172772,6.695270941355547e-05,0.0005353411701372315,2.3293710037935877,3.105568686198878,0.0,0.0,1683.0,1235.0,
16,4627.5650,2.74e+12,1.18e+14,1.0,0.0,1314.4638430796908,2173.4526982335483,0.07254419429891559,0.63571119286515,1.48e+05,4.00e+05,240888.99206908236,448967.3056963721,25206.122430171876,100000000.0,0.00017446751025685845,0.5793057409284197,0.5180246114825646,0.6484635861862675,0.94,0.338701448436098,0.1536450182903354,6.510645471747832e-05,0.0005384898763712252,2.229481600284525,2.8531804680974395,0.0,0.0,1683.0,1235.0,
17,4910.3520,2.32e+12,1.22e+14,1.0,0.0,1246.0186830450948,2242.6518632297675,0.07277755098137126,0.6454137384638837,1.49e+05,4.28e+05,236068.9949831968,463919.6325881283,25116.48663705014,100000000.0,0.00015629004629646843,0.5784792965683795,0.5312251394545762,0.6554098166239538,0.94,0.28713719712313535,0.1581287052362113,7.207283994776603e-05,0.0005332743458748752,2.2627009646897536,2.806936940641715,0.0,0.0,1683.0,1235.0,
18,5196.4260,2.45e+12,1.21e+14,1.0,0.0,1244.8036891361112,2174.806051826856,0.07905983510825913,0.6466417321236122,1.51e+05,4.19e+05,228943.8191582323,462593.2460150012,23803.442099510154,100000000.0,0.00014541233046218627,0.5792440383647169,0.5340252207795305,0.6734636645883212,0.94,0.28181437733648296,0.15946733728787515,7.477447347072243e-05,0.0005390223557977729,2.2637343051471075,2.8762196873016377,0.0,0.0,1683.0,1235.0,
19,5482.7810,2.56e+12,1.21e+14,1.0,0.0,1252.5567862724515,2156.034706933407,0.07838270672583818,0.6430236614180115,1.50e+05,4.15e+05,233374.01126103773,462651.4736693911,23654.340630495597,100000000.0,0.00014053234641977992,0.5788798171438101,0.5313960176293739,0.6696672021284071,0.94,0.29121820878381893,0.1578162555849976,7.208847946609848e-05,0.0005418403483710922,2.2469512278003507,2.890318565988414,0.0,0.0,1683.0,1235.0,
20,5761.3590,2.92e+12,1.20e+14,1.0,0.0,1281.4044953623297,2043.1258638207878,0.0869625682669609,0.6232877555321777,1.51e+05,3.99e+05,229746.11044558985,464974.0118477143,21907.361452978705,100000000.0,0.00013619790089704578,0.5790819092622418,0.527076517801346,0.6860193913419503,0.94,0.29708526958049475,0.15306868271380258,7.353595867908141e-05,0.0005306202598878381,2.2180590048954434,2.9680724749526695,0.0,0.0,1683.0,1235.0,
21,6037.6280,2.88e+12,1.18e+14,1.0,0.0,1267.8653071900856,1988.0934438141062,0.08691391762830246,0.6236334964326382,1.53e+05,4.18e+05,231627.76114161982,467341.04599283205,22054.876656450913,100000000.0,0.00012776547355031895,0.5792964017176114,0.5220568049800401,0.7004946550956561,0.94,0.29630714711206635,0.15512681698464337,7.317881571678948e-05,0.0005417798798843072,2.189617162948892,2.876991402322549,0.0,0.0,1683.0,1235.0,
22,6314.2000,3.46e+12,1.17e+14,1.0,0.0,1246.5139412637018,1822.6871940587826,0.09926581160708448,0.6011327481818443,1.55e+05,3.94e+05,233884.32377378212,482161.6808191731,19072.647697983586,100000000.0,0.00012170488418183662,0.5788108738631796,0.5149800977286281,0.7258319045549229,0.94,0.2942811547951343,0.14970844136276712,7.542166683408827e-05,0.000539370460924571,2.168003914520808,3.0550033059188664,0.0,0.0,1683.0,1235.0,
23,6582.2790,3.79e+12,1.16e+14,1.0,0.0,1235.8901461011205,1677.804600067198,0.10597351327946306,0.586475405117812,1.57e+05,3.84e+05,232651.53899745282,481862.30820361676,17708.54282608747,100000000.0,0.00011184508991234622,0.5790974328461258,0.506809554146131,0.7436124137963092,0.94,0.3012119970076526,0.14670076933768217,7.608431370365845e-05,0.0005341502515676317,2.1426346898478705,3.100656163810495,0.0,0.0,1683.0,1235.0,
24,6844.9780,3.94e+12,1.11e+14,1.0,0.0,1240.0244860887262,1527.4390821631127,0.11141172187692717,0.5628539272361761,1.59e+05,3.95e+05,233391.57599964345,488011.93991212454,16706.20917358605,100000000.0,0.00010431856491426894,0.5790544454631623,0.5053182017133562,0.7685624616043933,0.94,0.30757792672105955,0.14591293738768515,7.891162315148051e-05,0.0005323883042562565,2.1254533474472623,3.044392885068005,0.0,0.0,1683.0,1235.0,
25,7109.9520,4.08e+12,1.06e+14,1.0,0.0,1226.944684873065,1319.2379122741654,0.11889102490911779,0.538034000631013,1.61e+05,4.08e+05,228835.37400284552,488656.20982253074,15570.067764483349,100000000.0,9.604141051432343e-05,0.5791280278703201,0.5029328374303478,0.80402898294228,0.94,0.30681299616719293,0.14569899102927558,8.382936296860604e-05,0.0005300382041639942,2.095997225916269,2.9430778943742455,0.0,0.0,1683.0,1235.0,
26,7388.9430,4.14e+12,1.07e+14,1.0,0.0,1247.4318460762706,1255.17802646272,0.12065193479951732,0.5317003401118598,1.61e+05,3.96e+05,230701.05493485965,486267.70500991447,15409.248643935716,100000000.0,9.268668265087894e-05,0.5792689401795785,0.5059445334496495,0.811906107998529,0.94,0.3186998585241664,0.14429077903515727,8.196623471275658e-05,0.0005130520415010717,2.096858046179142,2.955333930274328,0.0,0.0,1683.0,1235.0,
27,7652.2280,4.31e+12,1.01e+14,1.0,0.0,1244.321514998604,1102.7916897051864,0.12901307100140577,0.5109451799654667,1.63e+05,4.18e+05,226721.73017544782,491424.35386905086,14230.848629222866,100000000.0,8.906371040477451e-05,0.5791359244985748,0.5060031881189435,0.8423799807758976,0.94,0.3153670165125104,0.14467941438509613,8.871185382423324e-05,0.0005211723744423394,2.0941421150526565,2.8508492772083684,0.0,0.0,1683.0,1235.0,
28,7923.3120,4.22e+12,9.46e+13,1.0,0.0,1243.6912985647677,1075.6590806934946,0.11304390190889746,0.5059986595404835,1.64e+05,3.98e+05,226765.73666058888,471725.48191766045,15284.461017535003,100000000.0,8.510521150695006e-05,0.5793605804855575,0.5337860325359831,0.8543880537529047,0.94,0.31414729380111683,0.15781782703405917,8.292766036169198e-05,0.0004950029343301567,2.049444130286235,2.797804951179186,0.0,0.0,1683.0,1235.0,
29,8191.7600,4.19e+12,9.23e+13,1.0,0.0,1245.0676419755405,1139.7548000770494,0.1124037514554749,0.5142192708769384,1.63e+05,4.04e+05,224394.33129580878,470111.5555191249,15810.377153679692,100000000.0,8.44421439215883e-05,0.5790677224103711,0.5419740485553013,0.8532955696414988,0.94,0.3118668466402925,0.16044618373592562,8.4715950762894e-05,0.0004967680261833879,2.07748534623882,2.7557473337404628,0.0,0.0,1683.0,1235.0,
30,8455.1350,4.02e+12,8.19e+13,1.0,0.0,1236.5838556480257,1045.7140021844057,0.08522859074955463,0.5165262437216129,1.65e+05,3.58e+05,223172.13760997905,441593.5690437894,17776.145338046954,100000000.0,8.127067759328393e-05,0.5791280214836672,0.5981228259110276,0.8786415898063602,0.94,0.310833731063782,0.17968672402566654,7.386450993655328e-05,0.0004561845684892421,1.9465389959250592,2.6285314083373597,0.0,0.0,1683.0,1235.0,
