Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.33e+12,6.83e+13,1.0,0.0,659.9425785060134,307.80334352302384,0.12441700954662524,0.9255397064459043,1.79e+05,1.76e+05,79182.27004680462,306930.78203641763,17651.11595209551,100000000.0,0.0014033551291073648,0.7332591630242803,0.5443718918738586,0.5000132408390058,0.94,0.44896039260841797,0.047705995369604834,1.4092789299773727e-05,0.00013058084170982284,1.07347037449693,1.3722977832711454,0.0,0.0,1683.0,1235.0,
0,274.0810,2.29e+12,7.66e+13,1.0,0.0,818.9499104072347,2667.033417944602,0.13460372661846806,0.6745855989430724,1.75e+05,1.87e+05,261193.06833237267,396859.54706634127,17885.068996322698,100000000.0,0.001022225566000362,0.7214313408856903,0.4889095411478638,0.8169143098520038,0.94,0.7199605823872551,0.13636351676356911,9.515035958680645e-05,0.0004620931607936025,0.9533228823372539,1.4746262140220454,0.0,0.0,1683.0,1235.0,
1,554.1960,2.29e+12,7.66e+13,1.0,0.0,818.9499104072347,2667.033417944602,0.13460372661846806,0.6745855989430724,1.75e+05,1.87e+05,261193.06833237267,396859.54706634127,17885.068996322698,100000000.0,0.001022225566000362,0.7214313408856903,0.4889095411478638,0.8169143098520038,0.94,0.7199605823872551,0.13636351676356911,9.515035958680645e-05,0.0004620931607936025,0.9533228823372539,1.4746262140220454,0.0,0.0,1683.0,1235.0,
2,915.5080,2.39e+12,7.34e+13,1.0,0.0,636.7022015022239,1703.4476680517187,0.08430914229879977,0.5911580115770452,1.74e+05,1.85e+05,140255.47680364206,386458.4688485244,12287.711305266646,100000000.0,0.0009087673303222439,0.774243243600343,0.51061682838319,0.5963030417220572,0.94,0.4689191891906498,0.13824750774913813,4.778371404874528e-05,0.000659725630348038,0.9969610418583226,1.5319764885297666,0.0,0.0,1683.0,1235.0,
3,1330.3100,2.42e+12,8.03e+13,1.0,0.0,823.6263667267026,1355.2720939398387,0.11558321506141092,0.43623744167119294,1.81e+05,1.91e+05,348403.7866228262,176961.76228669204,10384.495346915079,100000000.0,0.0005915512126042857,0.7355642599649268,0.5412094742156534,0.7320563944572017,0.94,0.41650720333613045,0.06938031162686614,4.8383770786690646e-05,0.00020942784159462644,0.966437611678693,1.4712811319347563,0.0,0.0,1683.0,1235.0,
4,1733.7080,2.42e+12,8.03e+13,1.0,0.0,823.6263667267026,1355.2720939398387,0.11558321506141092,0.43623744167119294,1.81e+05,1.91e+05,348403.7866228262,176961.76228669204,10384.495346915079,100000000.0,0.0005915512126042857,0.7355642599649268,0.5412094742156534,0.7320563944572017,0.94,0.41650720333613045,0.06938031162686614,4.8383770786690646e-05,0.00020942784159462644,0.966437611678693,1.4712811319347563,0.0,0.0,1683.0,1235.0,
5,2134.0310,2.36e+12,7.35e+13,1.0,0.0,1104.8754700948207,2663.6226650262547,0.08707950620075591,0.4087983717400666,1.73e+05,1.81e+05,146113.98435071972,331749.64974260534,31390.480223098148,100000000.0,0.0004903184801896508,0.7357156151535177,0.5421200019019241,0.7890037940163646,0.94,0.8063898870002651,0.12652904223338243,7.861991985423185e-05,0.0005182424093396339,1.015047830725295,1.6068041564056894,0.0,0.0,1683.0,1235.0,
6,2540.1348,2.30e+12,7.49e+13,1.0,0.0,969.0647477887118,2263.397352999408,0.08431071211332665,0.5695890515697019,1.79e+05,1.89e+05,166993.68951920175,248831.44059442374,21589.692987230745,100000000.0,0.00040578523081404434,0.7523607564391217,0.5135799367267588,0.8284319055275586,0.94,0.36985524741161424,0.13022761034147234,6.504905104315144e-05,0.0004352119404742613,0.9965557104419682,1.49670406964518,0.0,0.0,1683.0,1235.0,
7,2944.8761,2.33e+12,7.40e+13,1.0,0.0,1077.7385270384057,2428.0537497292717,0.08143181733550633,0.553425822333208,1.74e+05,1.85e+05,192031.3110730978,240309.14772347116,22261.445542967398,100000000.0,0.0002925111619754264,0.742999836492712,0.5148131144488028,0.7961860399145768,0.94,0.43402102521177177,0.13941975530737666,6.379517237441155e-05,0.0005390118863339129,1.0028565623361623,1.5257697521154074,0.0,0.0,1683.0,1235.0,
8,3372.2348,2.37e+12,7.49e+13,1.0,0.0,1098.7606197407729,2373.3785640929564,0.07788651742267261,0.5758357577932373,1.74e+05,1.84e+05,214043.8050278637,194571.81369002815,23560.41522687689,100000000.0,0.00015793393105316433,0.7375429231443376,0.5145933115573794,0.81788668597654,0.94,0.3211224504327622,0.17247709386664112,4.794112624383382e-05,0.0004460178371397178,0.9935667039000342,1.5292514624161566,0.0,0.0,1683.0,1235.0,
9,3770.2850,2.34e+12,7.57e+13,1.0,0.0,1146.0300328751664,2203.7187644835994,0.08355519704222748,0.5160402546213481,1.73e+05,1.84e+05,176336.47641455656,245185.3327512585,21441.25114140749,100000000.0,0.00011547964187150019,0.7350058458676547,0.5131366450703105,0.8601522944212859,0.94,0.32896868170040594,0.1508844372007322,5.6430422093991487e-05,0.0005052696980331908,0.995233902437209,1.497264769565028,0.0,0.0,1683.0,1235.0,
10,4186.6270,2.33e+12,7.51e+13,1.0,0.0,1152.4778303452172,2402.389114329081,0.08629472944285232,0.542037412199538,1.72e+05,1.83e+05,175024.60475058708,226094.94768763095,20290.93355130012,100000000.0,9.820155806738182e-05,0.729936036558813,0.5115924055988315,0.8493913770085699,0.94,0.3149286688481203,0.14956780597263883,5.831885908737861e-05,0.00046515483541048326,0.9944067538105664,1.5191713566163902,0.0,0.0,1683.0,1235.0,
