Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,8.14e+11,1.53e+14,1.0,0.0,2500.4985694129737,1529.7928526673454,0.04161644012406651,0.8953097528127273,1.13e+05,1.21e+05,265146.3508641344,787855.2424319742,39575.7846240338,100000000.0,0.00180378949717789,0.8335337519939031,0.5171965560560132,0.6404308963791611,0.94,0.23340773454743682,0.12819238754055443,1.8181357084308046e-05,0.0009511641674724245,3.1959974466504564,4.6783346949527616,0.0,0.0,1683.0,1235.0,
0,306.3610,3.19e+12,6.47e+13,1.0,0.0,773.1922163212766,3041.1069648215243,0.06578709941636045,0.7905077664741008,1.45e+05,4.10e+05,249136.81206350186,456037.39761116373,12556.91013394046,100000000.0,0.0010792147457697623,0.5546359722083969,0.5969065454393173,0.4628843078663185,0.94,0.4630787497302997,0.3345398356439239,1.3511888549323368e-05,0.00023866620359852127,3.8850439548457327,5.2254116373917325,0.0,0.0,1683.0,1235.0,
1,660.4540,2.93e+12,5.08e+13,1.0,0.0,1790.1990528309038,1497.8393612927603,0.07531759115104707,0.8103064625134526,1.40e+05,1.46e+05,221695.0111705612,521083.95179144706,23803.513757563876,100000000.0,0.001048256923003665,0.5498818038557322,0.568418571038088,0.7302409891498938,0.94,0.4506140799313964,0.13347357259080053,9.31541469623239e-05,0.00036815162775020955,2.0442285798260764,4.114292625552816,0.0,0.0,1683.0,1235.0,
2,1049.9850,2.00e+12,1.18e+14,1.0,0.0,1892.7930734902543,1041.7169888706017,0.11698993777508748,0.8313794036864026,1.27e+05,1.42e+05,276204.90438015515,639095.9932179986,34505.07717672011,100000000.0,0.0007858963500095595,0.5904129016137831,0.521010307978,0.6107182723569717,0.94,0.7157524176910984,0.0870202720874802,5.8222839461013464e-05,0.0003929855445360276,1.8473467367897358,3.377476898727054,0.0,0.0,1683.0,1235.0,
3,1473.7140,2.00e+12,1.18e+14,1.0,0.0,1892.7930734902543,1041.7169888706017,0.11698993777508748,0.8313794036864026,1.27e+05,1.42e+05,276204.90438015515,639095.9932179986,34505.07717672011,100000000.0,0.0007858963500095595,0.5904129016137831,0.521010307978,0.6107182723569717,0.94,0.7157524176910984,0.0870202720874802,5.8222839461013464e-05,0.0003929855445360276,1.8473467367897358,3.377476898727054,0.0,0.0,1683.0,1235.0,
4,1914.0160,3.96e+12,8.82e+13,1.0,0.0,1688.1005254130425,1818.7116537007466,0.10772762029203489,0.5338635397972363,1.67e+05,1.48e+05,228756.3833533306,355275.6767799044,25954.824505899305,100000000.0,0.0006411190655975868,0.6835182936780799,0.5774561496885287,0.6585204954600663,0.94,0.5043410969024451,0.13897044069481923,6.396085611948603e-05,0.0004093385127386085,1.6624548878264853,3.05829951710997,0.0,0.0,1683.0,1235.0,
5,2381.1470,3.96e+12,8.82e+13,1.0,0.0,1688.1005254130425,1818.7116537007466,0.10772762029203489,0.5338635397972363,1.67e+05,1.48e+05,228756.3833533306,355275.6767799044,25954.824505899305,100000000.0,0.0006411190655975868,0.6835182936780799,0.5774561496885287,0.6585204954600663,0.94,0.5043410969024451,0.13897044069481923,6.396085611948603e-05,0.0004093385127386085,1.6624548878264853,3.05829951710997,0.0,0.0,1683.0,1235.0,
6,2845.5440,3.96e+12,8.82e+13,1.0,0.0,1688.1005254130425,1818.7116537007466,0.10772762029203489,0.5338635397972363,1.67e+05,1.48e+05,228756.3833533306,355275.6767799044,25954.824505899305,100000000.0,0.0006411190655975868,0.6835182936780799,0.5774561496885287,0.6585204954600663,0.94,0.5043410969024451,0.13897044069481923,6.396085611948603e-05,0.0004093385127386085,1.6624548878264853,3.05829951710997,0.0,0.0,1683.0,1235.0,
7,3306.2810,2.73e+12,8.61e+13,1.0,0.0,1414.9896328117957,2158.9221858479104,0.08454005700227206,0.49111196099069554,2.17e+05,1.62e+05,238027.32823714853,280612.02820754575,25903.051290454274,100000000.0,0.0004543072230620072,0.5995214826586843,0.573367190225736,0.7031945727285787,0.94,0.581930184385511,0.1507196015209321,6.188898373765945e-05,0.00037027586170353414,1.9366043166499214,2.593245486938131,0.0,0.0,1683.0,1235.0,
8,3725.8230,3.37e+12,9.15e+13,1.0,0.0,1681.1809953256738,1420.6210839980945,0.09490507848827823,0.4678064369227046,2.93e+05,1.58e+05,236579.67919354842,284541.8034060357,21180.29698964522,100000000.0,0.0003915558011102554,0.6202452623599395,0.5788514859614218,0.754558286579432,0.94,0.614293290200361,0.1640856908473996,5.212386763474901e-05,0.0004272332739653561,1.924804114066852,2.8348397131791705,0.0,0.0,1683.0,1235.0,
9,4126.6640,3.24e+12,8.24e+13,1.0,0.0,1497.2647431500045,1952.516050748604,0.08590435296777213,0.4838606300957796,1.92e+05,1.50e+05,236098.97481326264,295125.13681908185,23699.721851301416,100000000.0,0.0003766135651646151,0.6355887505789912,0.5812296299373485,0.597207748269199,0.94,0.49932891551113534,0.13297434926151813,5.323701058320627e-05,0.00044794946286007156,1.9752054729678183,2.764964633007251,0.0,0.0,1683.0,1235.0,
10,4567.1230,4.19e+12,9.85e+13,1.0,0.0,1384.8441783511234,1887.6659740164978,0.08053215707008768,0.5184572905767579,3.02e+05,1.61e+05,245619.9142847919,237653.48408854392,21260.54825669298,100000000.0,0.00031895337507930325,0.68891306049247,0.5802209593199021,0.6372215581989533,0.94,0.4479958647160006,0.16827063059501135,4.7197357036403334e-05,0.0004319106125237588,1.8507760836798175,2.6405329018860586,0.0,0.0,1683.0,1235.0,
11,5017.3220,4.19e+12,9.85e+13,1.0,0.0,1384.8441783511234,1887.6659740164978,0.08053215707008768,0.5184572905767579,3.02e+05,1.61e+05,245619.9142847919,237653.48408854392,21260.54825669298,100000000.0,0.00031895337507930325,0.68891306049247,0.5802209593199021,0.6372215581989533,0.94,0.4479958647160006,0.16827063059501135,4.7197357036403334e-05,0.0004319106125237588,1.8507760836798175,2.6405329018860586,0.0,0.0,1683.0,1235.0,
12,5448.5440,3.00e+12,8.43e+13,1.0,0.0,1400.546198330379,1653.66375991686,0.08864070943797786,0.5650367610487081,2.29e+05,1.63e+05,233488.6685359419,258156.574586513,22765.789361327985,100000000.0,0.0002451863667382538,0.6309940239937828,0.5797678490490876,0.705829714021473,0.94,0.4556202948074737,0.1578749859400776,5.5503523609764535e-05,0.0004946414334129387,1.817896848781601,2.5695155071265434,0.0,0.0,1683.0,1235.0,
