# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.724654000000000309e+01
3.000000000000000000e+00,5.930538599999999860e+01
4.000000000000000000e+00,6.915607500000000130e+01
5.000000000000000000e+00,7.732183100000000309e+01
6.000000000000000000e+00,8.448852499999999566e+01
7.000000000000000000e+00,9.089505800000000590e+01
8.000000000000000000e+00,9.672912599999999372e+01
9.000000000000000000e+00,1.021034499999999952e+02
1.000000000000000000e+01,1.070992799999999932e+02
1.100000000000000000e+01,1.117766100000000051e+02
1.200000000000000000e+01,1.161829500000000053e+02
1.300000000000000000e+01,1.203519299999999959e+02
1.400000000000000000e+01,1.243121000000000009e+02
1.500000000000000000e+01,1.280874200000000087e+02
1.600000000000000000e+01,1.316975899999999911e+02
1.700000000000000000e+01,1.351574099999999987e+02
1.800000000000000000e+01,1.384817999999999927e+02
1.900000000000000000e+01,1.416813999999999965e+02
2.000000000000000000e+01,1.447668199999999956e+02
2.100000000000000000e+01,1.477464300000000037e+02
2.200000000000000000e+01,1.506291400000000067e+02
2.300000000000000000e+01,1.534214900000000057e+02
2.400000000000000000e+01,1.561279399999999953e+02
2.500000000000000000e+01,1.587550500000000113e+02
2.600000000000000000e+01,1.613086700000000064e+02
2.700000000000000000e+01,1.637918099999999981e+02
2.800000000000000000e+01,1.662092100000000130e+02
2.900000000000000000e+01,1.685633200000000045e+02
3.000000000000000000e+01,1.708586899999999957e+02
3.100000000000000000e+01,1.730983300000000042e+02
3.200000000000000000e+01,1.752851300000000094e+02
3.300000000000000000e+01,1.774210199999999986e+02
3.400000000000000000e+01,1.795076099999999997e+02
3.500000000000000000e+01,1.815496699999999919e+02
3.600000000000000000e+01,1.835471000000000004e+02
3.700000000000000000e+01,1.855021500000000003e+02
3.800000000000000000e+01,1.874173900000000117e+02
3.900000000000000000e+01,1.892933999999999912e+02
4.000000000000000000e+01,1.911319100000000049e+02
4.100000000000000000e+01,1.929354999999999905e+02
4.200000000000000000e+01,1.947036600000000135e+02
4.300000000000000000e+01,1.964398300000000006e+02
4.400000000000000000e+01,1.981435400000000016e+02
4.500000000000000000e+01,1.998172500000000014e+02
4.600000000000000000e+01,2.014606200000000058e+02
4.700000000000000000e+01,2.030762499999999875e+02
4.800000000000000000e+01,2.046637399999999900e+02
4.900000000000000000e+01,2.062249099999999942e+02
5.000000000000000000e+01,2.077611799999999960e+02
5.100000000000000000e+01,2.092717700000000036e+02
5.200000000000000000e+01,2.107582600000000070e+02
5.300000000000000000e+01,2.122218599999999924e+02
5.400000000000000000e+01,2.136625699999999881e+02
5.500000000000000000e+01,2.150817900000000122e+02
5.600000000000000000e+01,2.164796900000000051e+02
5.700000000000000000e+01,2.178581499999999949e+02
5.800000000000000000e+01,2.192157899999999984e+02
5.900000000000000000e+01,2.205554400000000044e+02
6.000000000000000000e+01,2.218751800000000003e+02
6.100000000000000000e+01,2.231778400000000033e+02
6.200000000000000000e+01,2.244626499999999965e+02
6.300000000000000000e+01,2.257306499999999971e+02
6.400000000000000000e+01,2.269810799999999915e+02
6.500000000000000000e+01,2.282168599999999969e+02
6.600000000000000000e+01,2.294367699999999957e+02
6.700000000000000000e+01,2.306417099999999891e+02
6.800000000000000000e+01,2.318322900000000004e+02
6.900000000000000000e+01,2.330077100000000030e+02
7.000000000000000000e+01,2.341696799999999996e+02
7.100000000000000000e+01,2.353187100000000100e+02
7.200000000000000000e+01,2.364544799999999896e+02
7.300000000000000000e+01,2.375774999999999864e+02
7.400000000000000000e+01,2.386883400000000108e+02
7.500000000000000000e+01,2.397872299999999939e+02
7.600000000000000000e+01,2.408745900000000120e+02
7.700000000000000000e+01,2.419505800000000022e+02
7.800000000000000000e+01,2.430153400000000090e+02
7.900000000000000000e+01,2.440697000000000116e+02
8.000000000000000000e+01,2.451133600000000001e+02
8.100000000000000000e+01,2.461471400000000074e+02
8.200000000000000000e+01,2.471708700000000078e+02
8.300000000000000000e+01,2.481846899999999891e+02
8.400000000000000000e+01,2.491894499999999937e+02
8.500000000000000000e+01,2.501850699999999961e+02
8.600000000000000000e+01,2.511720300000000066e+02
8.700000000000000000e+01,2.521498599999999897e+02
8.800000000000000000e+01,2.531192000000000064e+02
8.900000000000000000e+01,2.540799100000000124e+02
9.000000000000000000e+01,2.550330999999999904e+02
9.100000000000000000e+01,2.559773900000000140e+02
9.200000000000000000e+01,2.569150999999999954e+02
9.300000000000000000e+01,2.578450599999999895e+02
9.400000000000000000e+01,2.587665099999999825e+02
9.500000000000000000e+01,2.596817899999999781e+02
9.600000000000000000e+01,2.605891399999999862e+02
9.700000000000000000e+01,2.614893500000000017e+02
9.800000000000000000e+01,2.623834499999999821e+02
9.900000000000000000e+01,2.632699299999999880e+02
1.000000000000000000e+02,2.641500899999999774e+02
1.010000000000000000e+02,2.650240200000000073e+02
1.020000000000000000e+02,2.658903199999999742e+02
1.030000000000000000e+02,2.667510700000000270e+02
1.040000000000000000e+02,2.676059900000000198e+02
1.050000000000000000e+02,2.684544999999999959e+02
1.060000000000000000e+02,2.692963599999999929e+02
1.070000000000000000e+02,2.701330300000000193e+02
1.080000000000000000e+02,2.709632300000000100e+02
1.090000000000000000e+02,2.717880599999999731e+02
1.100000000000000000e+02,2.726075399999999718e+02
1.110000000000000000e+02,2.734208100000000172e+02
1.120000000000000000e+02,2.742287900000000036e+02
1.130000000000000000e+02,2.750316799999999944e+02
1.140000000000000000e+02,2.758291899999999828e+02
1.150000000000000000e+02,2.766214899999999943e+02
1.160000000000000000e+02,2.774087799999999788e+02
1.170000000000000000e+02,2.781907299999999736e+02
1.180000000000000000e+02,2.789677699999999732e+02
1.190000000000000000e+02,2.797402299999999968e+02
1.200000000000000000e+02,2.805076900000000251e+02
1.210000000000000000e+02,2.812703599999999824e+02
1.220000000000000000e+02,2.820278299999999945e+02
1.230000000000000000e+02,2.827809399999999869e+02
