Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.55e+12,4.88e+13,1.0,0.0,487.21906338411804,1235.5180290216601,0.08308673783904971,0.358743759865053,1.87e+05,6.37e+05,273767.7680469132,99218.63031761852,34668.632110716586,100000000.0,0.0032391804712383434,0.5551767027577104,0.27893246358536705,0.8053629238640904,0.94,0.13655155739579175,0.04584171905733844,3.9540105292646974e-05,0.0006351285017098261,0.7812840303124157,4.483957975190498,0.0,0.0,1683.0,1235.0,
0,110.0110,2.55e+12,4.88e+13,1.0,0.0,487.21906338411804,1235.5180290216601,0.08308673783904971,0.358743759865053,1.87e+05,6.37e+05,273767.7680469132,99218.63031761852,34668.632110716586,100000000.0,0.0032391804712383434,0.5551767027577104,0.27893246358536705,0.8053629238640904,0.94,0.13655155739579175,0.04584171905733844,3.9540105292646974e-05,0.0006351285017098261,0.7812840303124157,4.483957975190498,0.0,0.0,1683.0,1235.0,
1,225.1760,4.01e+12,8.72e+13,1.0,0.0,780.1031836761467,3221.951252030889,0.11942824338716149,0.4440733652679748,1.74e+05,4.35e+05,168497.89823963615,355083.9523467766,21600.381510769228,100000000.0,0.0021948510351955577,0.5692198958272652,0.5885720840208621,0.8387864118053648,0.94,0.1116070892039378,0.19109805851239423,8.467925777315156e-05,0.00046351771830384434,2.798166824081774,3.7901691265463695,0.0,0.0,1683.0,1235.0,
2,342.7370,4.01e+12,8.72e+13,1.0,0.0,780.1031836761467,3221.951252030889,0.11942824338716149,0.4440733652679748,1.74e+05,4.35e+05,168497.89823963615,355083.9523467766,21600.381510769228,100000000.0,0.0021948510351955577,0.5692198958272652,0.5885720840208621,0.8387864118053648,0.94,0.1116070892039378,0.19109805851239423,8.467925777315156e-05,0.00046351771830384434,2.798166824081774,3.7901691265463695,0.0,0.0,1683.0,1235.0,
3,463.6250,4.01e+12,8.72e+13,1.0,0.0,780.1031836761467,3221.951252030889,0.11942824338716149,0.4440733652679748,1.74e+05,4.35e+05,168497.89823963615,355083.9523467766,21600.381510769228,100000000.0,0.0021948510351955577,0.5692198958272652,0.5885720840208621,0.8387864118053648,0.94,0.1116070892039378,0.19109805851239423,8.467925777315156e-05,0.00046351771830384434,2.798166824081774,3.7901691265463695,0.0,0.0,1683.0,1235.0,
4,583.1080,3.62e+12,1.21e+14,1.0,0.0,1059.3501992178337,1741.0505376108772,0.1042535250700938,0.5634763683040573,1.73e+05,4.22e+05,148019.845018884,429719.7996106606,24495.72180905686,100000000.0,0.0013160835101276194,0.5363916752004645,0.6941664905864147,0.7315381886512623,0.94,0.518526318581863,0.1652222809203054,8.175363140607768e-05,0.000444432119192152,2.069504473133154,3.500870340471966,0.0,0.0,1683.0,1235.0,
5,704.6800,3.55e+12,8.29e+13,1.0,0.0,1051.012680355547,1888.9466757486657,0.09475247355666488,0.5046612301252318,1.73e+05,3.89e+05,128538.4613220295,324412.4732910637,24246.789223406366,100000000.0,0.001164208092355826,0.587107728764437,0.5481222807867021,0.7596679976478902,0.94,0.38762370189660916,0.15368609580954137,9.305120495970066e-05,0.0006309618082624051,2.3320381612867975,3.01897583784252,0.0,0.0,1683.0,1235.0,
6,823.1690,4.30e+12,9.26e+13,1.0,0.0,984.4365955810742,2119.5747222344007,0.08909253027290984,0.37090601443952514,1.73e+05,5.03e+05,122515.30995515572,267132.337313504,22689.309879322478,100000000.0,0.0009175569967293236,0.5824198097191771,0.5625301787537276,0.7716632790103872,0.94,0.3372100203813863,0.17439781846628338,8.654199696357455e-05,0.00045644386450073424,2.61990309422151,3.516873492025603,0.0,0.0,1683.0,1235.0,
7,946.0440,3.72e+12,8.97e+13,1.0,0.0,1013.217015393433,1937.694222186316,0.09894897772322697,0.49452324649488866,1.71e+05,4.05e+05,138290.77175526856,332494.49211021885,24757.629462069657,100000000.0,0.0008369597502636904,0.5811931341488696,0.5670761142233285,0.7449885293457768,0.94,0.4201406188696578,0.15630869563837235,8.575505589221873e-05,0.0005664443353100889,2.3597527160727707,3.0004528967069035,0.0,0.0,1683.0,1235.0,
8,1074.6340,3.83e+12,9.47e+13,1.0,0.0,975.1042097354089,1984.6177923614841,0.10313921094472663,0.46879379089449613,1.71e+05,4.23e+05,155830.18980022264,327916.5795676962,24991.593905620874,100000000.0,0.0007595603448742654,0.5808160380445222,0.5820449949235948,0.7547361500928227,0.94,0.4184892186120206,0.15421258283235417,8.15257204565411e-05,0.0005107400651315318,2.3520314947054626,3.1289644687853753,0.0,0.0,1683.0,1235.0,
