# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.590354500000000115e+01
3.000000000000000000e+00,5.778714000000000084e+01
4.000000000000000000e+00,6.747920999999999481e+01
5.000000000000000000e+00,7.557437099999999930e+01
6.000000000000000000e+00,8.269258100000000411e+01
7.000000000000000000e+00,8.907121999999999673e+01
8.000000000000000000e+00,9.488873300000000199e+01
9.000000000000000000e+00,1.002538100000000014e+02
1.000000000000000000e+01,1.052467500000000058e+02
1.100000000000000000e+01,1.099257900000000063e+02
1.200000000000000000e+01,1.143359800000000064e+02
1.300000000000000000e+01,1.185118599999999986e+02
1.400000000000000000e+01,1.224814300000000031e+02
1.500000000000000000e+01,1.262674599999999998e+02
1.600000000000000000e+01,1.298889800000000037e+02
1.700000000000000000e+01,1.333620799999999917e+02
1.800000000000000000e+01,1.366993699999999876e+02
1.900000000000000000e+01,1.399129499999999950e+02
2.000000000000000000e+01,1.430133800000000122e+02
2.100000000000000000e+01,1.460083600000000104e+02
2.200000000000000000e+01,1.489061599999999999e+02
2.300000000000000000e+01,1.517136500000000012e+02
2.400000000000000000e+01,1.544363600000000076e+02
2.500000000000000000e+01,1.570797599999999932e+02
2.600000000000000000e+01,1.596492800000000045e+02
2.700000000000000000e+01,1.621491100000000074e+02
2.800000000000000000e+01,1.645823699999999974e+02
2.900000000000000000e+01,1.669536699999999882e+02
3.000000000000000000e+01,1.692657000000000096e+02
3.100000000000000000e+01,1.715217100000000130e+02
3.200000000000000000e+01,1.737245599999999968e+02
3.300000000000000000e+01,1.758766899999999964e+02
3.400000000000000000e+01,1.779801300000000026e+02
3.500000000000000000e+01,1.800382199999999955e+02
3.600000000000000000e+01,1.820511799999999880e+02
3.700000000000000000e+01,1.840222300000000075e+02
3.800000000000000000e+01,1.859532499999999970e+02
3.900000000000000000e+01,1.878454999999999870e+02
4.000000000000000000e+01,1.896999999999999886e+02
4.100000000000000000e+01,1.915190900000000056e+02
4.200000000000000000e+01,1.933036700000000110e+02
4.300000000000000000e+01,1.950551299999999912e+02
4.400000000000000000e+01,1.967751499999999965e+02
4.500000000000000000e+01,1.984641300000000115e+02
4.600000000000000000e+01,2.001234100000000069e+02
4.700000000000000000e+01,2.017547000000000139e+02
4.800000000000000000e+01,2.033582499999999982e+02
4.900000000000000000e+01,2.049351299999999867e+02
5.000000000000000000e+01,2.064869400000000041e+02
5.100000000000000000e+01,2.080136599999999873e+02
5.200000000000000000e+01,2.095163400000000138e+02
5.300000000000000000e+01,2.109963099999999940e+02
5.400000000000000000e+01,2.124536099999999976e+02
5.500000000000000000e+01,2.138894999999999982e+02
5.600000000000000000e+01,2.153045500000000061e+02
5.700000000000000000e+01,2.166999500000000012e+02
5.800000000000000000e+01,2.180753200000000049e+02
5.900000000000000000e+01,2.194325100000000077e+02
6.000000000000000000e+01,2.207711199999999963e+02
6.100000000000000000e+01,2.220922199999999975e+02
6.200000000000000000e+01,2.233966499999999940e+02
6.300000000000000000e+01,2.246849200000000053e+02
6.400000000000000000e+01,2.259568899999999871e+02
6.500000000000000000e+01,2.272143100000000118e+02
6.600000000000000000e+01,2.284567700000000059e+02
6.700000000000000000e+01,2.296842800000000011e+02
6.800000000000000000e+01,2.308991100000000074e+02
6.900000000000000000e+01,2.321004499999999950e+02
7.000000000000000000e+01,2.332888900000000092e+02
7.100000000000000000e+01,2.344653299999999945e+02
7.200000000000000000e+01,2.356296499999999980e+02
7.300000000000000000e+01,2.367822999999999922e+02
7.400000000000000000e+01,2.379241499999999974e+02
7.500000000000000000e+01,2.390552199999999914e+02
7.600000000000000000e+01,2.401753999999999962e+02
7.700000000000000000e+01,2.412856299999999976e+02
7.800000000000000000e+01,2.423856399999999951e+02
7.900000000000000000e+01,2.434762299999999868e+02
8.000000000000000000e+01,2.445576800000000048e+02
8.100000000000000000e+01,2.456291699999999878e+02
8.200000000000000000e+01,2.466915099999999939e+02
8.300000000000000000e+01,2.477455099999999959e+02
8.400000000000000000e+01,2.487902400000000114e+02
8.500000000000000000e+01,2.498256100000000117e+02
8.600000000000000000e+01,2.508532700000000091e+02
8.700000000000000000e+01,2.518714400000000069e+02
8.800000000000000000e+01,2.528811000000000035e+02
8.900000000000000000e+01,2.538824199999999962e+02
9.000000000000000000e+01,2.548748500000000092e+02
9.100000000000000000e+01,2.558585500000000081e+02
9.200000000000000000e+01,2.568339199999999778e+02
9.300000000000000000e+01,2.578005699999999933e+02
9.400000000000000000e+01,2.587585399999999822e+02
9.500000000000000000e+01,2.597084399999999960e+02
9.600000000000000000e+01,2.606498399999999833e+02
9.700000000000000000e+01,2.615825800000000072e+02
9.800000000000000000e+01,2.625072299999999927e+02
9.900000000000000000e+01,2.634236500000000092e+02
1.000000000000000000e+02,2.643315999999999804e+02
1.010000000000000000e+02,2.652318999999999960e+02
1.020000000000000000e+02,2.661241499999999860e+02
1.030000000000000000e+02,2.670082699999999818e+02
1.040000000000000000e+02,2.678854400000000169e+02
1.050000000000000000e+02,2.687543299999999817e+02
1.060000000000000000e+02,2.696159999999999854e+02
1.070000000000000000e+02,2.704708299999999781e+02
1.080000000000000000e+02,2.713180199999999900e+02
1.090000000000000000e+02,2.721581100000000220e+02
1.100000000000000000e+02,2.729920700000000124e+02
1.110000000000000000e+02,2.738192099999999982e+02
1.120000000000000000e+02,2.746397400000000175e+02
1.130000000000000000e+02,2.754542500000000018e+02
1.140000000000000000e+02,2.762624200000000201e+02
1.150000000000000000e+02,2.770644800000000032e+02
1.160000000000000000e+02,2.778608699999999772e+02
1.170000000000000000e+02,2.786512799999999856e+02
1.180000000000000000e+02,2.794356700000000160e+02
1.190000000000000000e+02,2.802151799999999753e+02
1.200000000000000000e+02,2.809891700000000014e+02
1.210000000000000000e+02,2.817579000000000065e+02
1.220000000000000000e+02,2.825217000000000098e+02
1.230000000000000000e+02,2.832802100000000110e+02
1.240000000000000000e+02,2.840337799999999788e+02
1.250000000000000000e+02,2.847829300000000217e+02
1.260000000000000000e+02,2.855271900000000187e+02
1.270000000000000000e+02,2.862669999999999959e+02
1.280000000000000000e+02,2.870023199999999974e+02
1.290000000000000000e+02,2.877330600000000231e+02
1.300000000000000000e+02,2.884597499999999854e+02
1.310000000000000000e+02,2.891821299999999724e+02
1.320000000000000000e+02,2.899001200000000154e+02
1.330000000000000000e+02,2.906138900000000262e+02
1.340000000000000000e+02,2.913239699999999743e+02
1.350000000000000000e+02,2.920295699999999783e+02
1.360000000000000000e+02,2.927312600000000202e+02
1.370000000000000000e+02,2.934291999999999803e+02
1.380000000000000000e+02,2.941234400000000164e+02
1.390000000000000000e+02,2.948138999999999896e+02
1.400000000000000000e+02,2.955006399999999758e+02
1.410000000000000000e+02,2.961834400000000187e+02
1.420000000000000000e+02,2.968627900000000182e+02
1.430000000000000000e+02,2.975383600000000115e+02
1.440000000000000000e+02,2.982103000000000179e+02
1.450000000000000000e+02,2.988793299999999817e+02
1.460000000000000000e+02,2.995444299999999771e+02
1.470000000000000000e+02,3.002059300000000235e+02
1.480000000000000000e+02,3.008638900000000262e+02
1.490000000000000000e+02,3.015190400000000182e+02
1.500000000000000000e+02,3.021701400000000035e+02
1.510000000000000000e+02,3.028180800000000090e+02
1.520000000000000000e+02,3.034622800000000211e+02
1.530000000000000000e+02,3.041036399999999844e+02
1.540000000000000000e+02,3.047416400000000181e+02
1.550000000000000000e+02,3.053760100000000079e+02
1.560000000000000000e+02,3.060071100000000115e+02
1.570000000000000000e+02,3.066354699999999980e+02
1.580000000000000000e+02,3.072601000000000226e+02
1.590000000000000000e+02,3.078817399999999793e+02
1.600000000000000000e+02,3.085000299999999811e+02
1.610000000000000000e+02,3.091150499999999965e+02
1.620000000000000000e+02,3.097264700000000062e+02
1.630000000000000000e+02,3.103351700000000051e+02
1.640000000000000000e+02,3.109405499999999734e+02
1.650000000000000000e+02,3.115423900000000117e+02
1.660000000000000000e+02,3.121417200000000207e+02
1.670000000000000000e+02,3.127370300000000043e+02
1.680000000000000000e+02,3.133297999999999774e+02
1.690000000000000000e+02,3.139187299999999823e+02
1.700000000000000000e+02,3.145046699999999760e+02
1.710000000000000000e+02,3.150875500000000216e+02
1.720000000000000000e+02,3.156672100000000114e+02
1.730000000000000000e+02,3.162436500000000024e+02
1.740000000000000000e+02,3.168166200000000003e+02
1.750000000000000000e+02,3.173869300000000067e+02
1.760000000000000000e+02,3.179531600000000253e+02
1.770000000000000000e+02,3.185166300000000206e+02
1.780000000000000000e+02,3.190768100000000231e+02
1.790000000000000000e+02,3.196335100000000011e+02
1.800000000000000000e+02,3.201874399999999810e+02
1.810000000000000000e+02,3.207377000000000180e+02
1.820000000000000000e+02,3.212847600000000057e+02
1.830000000000000000e+02,3.218282500000000255e+02
1.840000000000000000e+02,3.223691999999999780e+02
1.850000000000000000e+02,3.229063100000000190e+02
1.860000000000000000e+02,3.234400600000000168e+02
1.870000000000000000e+02,3.239711599999999976e+02
1.880000000000000000e+02,3.244979200000000219e+02
1.890000000000000000e+02,3.250219399999999723e+02
1.900000000000000000e+02,3.255426600000000121e+02
1.910000000000000000e+02,3.260595400000000268e+02
1.920000000000000000e+02,3.265731799999999794e+02
1.930000000000000000e+02,3.270841699999999719e+02
1.940000000000000000e+02,3.275909700000000271e+02
1.950000000000000000e+02,3.280944799999999759e+02
1.960000000000000000e+02,3.285953400000000215e+02
1.970000000000000000e+02,3.290917699999999968e+02
1.980000000000000000e+02,3.295853599999999801e+02
1.990000000000000000e+02,3.300757100000000150e+02
2.000000000000000000e+02,3.305620700000000056e+02
2.010000000000000000e+02,3.310453800000000228e+02
2.020000000000000000e+02,3.315257300000000100e+02
2.030000000000000000e+02,3.320015599999999836e+02
2.040000000000000000e+02,3.324743700000000217e+02
2.050000000000000000e+02,3.329445499999999925e+02
2.060000000000000000e+02,3.334099100000000249e+02
2.070000000000000000e+02,3.338727099999999837e+02
2.080000000000000000e+02,3.343325199999999882e+02
2.090000000000000000e+02,3.347872300000000223e+02
2.100000000000000000e+02,3.352401100000000156e+02
2.110000000000000000e+02,3.356893600000000220e+02
2.120000000000000000e+02,3.361338499999999954e+02
2.130000000000000000e+02,3.364209900000000175e+02
2.140000000000000000e+02,3.364928300000000263e+02
2.150000000000000000e+02,3.368999900000000025e+02
2.160000000000000000e+02,3.372966299999999933e+02
2.170000000000000000e+02,3.377157599999999888e+02
2.180000000000000000e+02,3.381326000000000249e+02
2.190000000000000000e+02,3.385526399999999967e+02
2.200000000000000000e+02,3.389710699999999974e+02
2.210000000000000000e+02,3.393859600000000114e+02
2.220000000000000000e+02,3.397997700000000236e+02
2.230000000000000000e+02,3.402111499999999751e+02
2.240000000000000000e+02,3.406175200000000132e+02
2.250000000000000000e+02,3.410224600000000237e+02
2.260000000000000000e+02,3.414246200000000044e+02
2.270000000000000000e+02,3.418212599999999952e+02
2.280000000000000000e+02,3.422162200000000212e+02
2.290000000000000000e+02,3.426086700000000178e+02
2.300000000000000000e+02,3.429955699999999865e+02
2.310000000000000000e+02,3.433810700000000224e+02
2.320000000000000000e+02,3.437639199999999846e+02
2.330000000000000000e+02,3.441410799999999881e+02
2.340000000000000000e+02,3.445171799999999962e+02
2.350000000000000000e+02,3.448906200000000126e+02
2.360000000000000000e+02,3.452582699999999818e+02
2.370000000000000000e+02,3.456250000000000000e+02
2.380000000000000000e+02,3.459894699999999830e+02
2.390000000000000000e+02,3.463476900000000001e+02
2.400000000000000000e+02,3.467054099999999721e+02
2.410000000000000000e+02,3.470608199999999783e+02
2.420000000000000000e+02,3.474101900000000001e+02
2.430000000000000000e+02,3.477592200000000275e+02
2.440000000000000000e+02,3.481060200000000009e+02
2.450000000000000000e+02,3.484468400000000088e+02
2.460000000000000000e+02,3.487875099999999975e+02
2.470000000000000000e+02,3.491264300000000276e+02
2.480000000000000000e+02,3.494587399999999775e+02
2.490000000000000000e+02,3.497912900000000036e+02
2.500000000000000000e+02,3.501219199999999887e+02
2.510000000000000000e+02,3.504464699999999766e+02
2.520000000000000000e+02,3.507714199999999778e+02
