Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,1.91e+12,2.72e+13,1.0,0.0,700.7359960356133,2549.225093028946,0.14395637754586402,0.3350803796818057,1.80e+05,2.77e+05,156283.80331664614,737884.8231092553,21309.31168731342,100000000.0,0.004126473253478249,0.47722592543864206,0.7799794726732519,0.9947304485894237,0.94,0.0994336837131759,0.3299898726042509,0.0001130321672687078,7.714988904099805e-05,3.611452327979768,0.42067256057611535,0.0,0.0,1683.0,1235.0,
0,152.3270,3.98e+12,9.88e+13,1.0,0.0,941.319146376396,2104.2121009697134,0.0762352259804117,0.6278719516898811,1.79e+05,3.71e+05,178922.748335663,431125.9745778246,26755.54647406571,100000000.0,0.0030733468159052976,0.4750344271720961,0.6022535758422487,0.7835113782627409,0.94,0.3078426867497033,0.16668603697341683,6.179742876319643e-05,0.0005080595523646108,2.3106218451598783,3.938827974818235,0.0,0.0,1683.0,1235.0,
1,324.5780,3.98e+12,9.88e+13,1.0,0.0,941.319146376396,2104.2121009697134,0.0762352259804117,0.6278719516898811,1.79e+05,3.71e+05,178922.748335663,431125.9745778246,26755.54647406571,100000000.0,0.0030733468159052976,0.4750344271720961,0.6022535758422487,0.7835113782627409,0.94,0.3078426867497033,0.16668603697341683,6.179742876319643e-05,0.0005080595523646108,2.3106218451598783,3.938827974818235,0.0,0.0,1683.0,1235.0,
2,518.1300,4.84e+12,6.09e+13,1.0,0.0,754.5175198089878,1855.5098757181984,0.13096697030542911,0.6134199418716225,1.70e+05,1.94e+05,203769.05836782337,322989.19183471205,29242.119584632586,100000000.0,0.002309939453449575,0.5913644777645528,0.6590177185172343,0.7897309939265047,0.94,0.2509692875983924,0.19489437632314238,4.3480553520633365e-05,0.0005050751585998301,1.5388232744448924,2.982308138543331,0.0,0.0,1683.0,1235.0,
3,726.2350,3.98e+12,1.05e+14,1.0,0.0,1052.260327013102,2575.1038417656164,0.12796364588949607,0.16655447874692642,1.80e+05,3.06e+05,125480.65021649515,360503.937400943,12546.31901569385,100000000.0,0.0017847996127075025,0.580101446582704,0.7349089819238095,0.8985687812611536,0.94,0.27747972597802095,0.19200102783705353,4.952751799753136e-05,0.0006960759740222885,1.6173879527360784,3.8560723541659936,0.0,0.0,1683.0,1235.0,
4,928.1170,3.98e+12,1.05e+14,1.0,0.0,1052.260327013102,2575.1038417656164,0.12796364588949607,0.16655447874692642,1.80e+05,3.06e+05,125480.65021649515,360503.937400943,12546.31901569385,100000000.0,0.0017847996127075025,0.580101446582704,0.7349089819238095,0.8985687812611536,0.94,0.27747972597802095,0.19200102783705353,4.952751799753136e-05,0.0006960759740222885,1.6173879527360784,3.8560723541659936,0.0,0.0,1683.0,1235.0,
5,1154.8180,3.98e+12,1.05e+14,1.0,0.0,1052.260327013102,2575.1038417656164,0.12796364588949607,0.16655447874692642,1.80e+05,3.06e+05,125480.65021649515,360503.937400943,12546.31901569385,100000000.0,0.0017847996127075025,0.580101446582704,0.7349089819238095,0.8985687812611536,0.94,0.27747972597802095,0.19200102783705353,4.952751799753136e-05,0.0006960759740222885,1.6173879527360784,3.8560723541659936,0.0,0.0,1683.0,1235.0,
6,1389.5350,2.76e+12,8.32e+13,1.0,0.0,881.093472711141,1771.238453998601,0.08621686247389801,0.5381980988319777,1.70e+05,3.60e+05,184304.77328183042,427112.2220801371,19610.340488360223,100000000.0,0.0017197752976092033,0.6011266941546988,0.5048852036369659,0.8019937213206263,0.94,0.24912060024989652,0.15390346198769883,6.750917507787427e-05,0.00042895843284729165,1.9381803515476863,3.036240265358542,0.0,0.0,1683.0,1235.0,
7,1614.4290,3.64e+12,9.46e+13,1.0,0.0,954.1308502108965,2007.994997140574,0.09685711609752165,0.48178426281945574,1.75e+05,3.45e+05,164224.49318441295,380648.3482066596,22577.77135493994,100000000.0,0.0012349017323268346,0.5723846088507658,0.5896405365652886,0.8599251141174806,0.94,0.25386062793036684,0.1608075553016406,6.473049265025302e-05,0.0004976439605204483,2.1104123470861333,3.0730398235918326,0.0,0.0,1683.0,1235.0,
8,1832.9970,3.29e+12,1.07e+14,1.0,0.0,882.5125523401515,1584.5709251329533,0.09155387348668388,0.508297962981084,1.73e+05,3.85e+05,144998.09829645837,411261.268192276,21057.261613588726,100000000.0,0.0010931033257032664,0.5764259001995173,0.506312277325522,0.8245348059970584,0.94,0.22259352264400267,0.14720201996174256,5.854775400216281e-05,0.0003808094466434062,2.102923698717479,3.3046885845001213,0.0,0.0,1683.0,1235.0,
9,2045.6080,3.44e+12,9.34e+13,1.0,0.0,910.2908403670779,1861.9479033918572,0.09531029578191207,0.46569796051566675,1.76e+05,3.82e+05,148618.62237155825,430417.3662224468,19992.704195068316,100000000.0,0.0010620622056363989,0.5763183596247697,0.5422403501756652,0.8445653247932792,0.94,0.260119922210541,0.16710058076365053,6.851031954043947e-05,0.000448965460078963,2.227547318818391,2.9714005396605137,0.0,0.0,1683.0,1235.0,
10,2270.3030,3.67e+12,9.70e+13,1.0,0.0,915.8361787353288,1636.5166615903086,0.0894805310111554,0.5019784961414423,1.76e+05,3.49e+05,153940.1686769165,428563.51590456616,21657.30787807887,100000000.0,0.0009298938047018939,0.5805321139138867,0.5137864818994136,0.8565893979117856,0.94,0.25734551763744007,0.15458266312236607,6.368178209800076e-05,0.0004669853099126317,2.0057276892431553,3.304340134908383,0.0,0.0,1683.0,1235.0,
11,2497.3590,3.62e+12,1.01e+14,1.0,0.0,951.8667062304644,1616.434909468129,0.09277951458143702,0.47713329335637444,1.74e+05,3.68e+05,151459.250707007,395950.2401945834,20688.241093967765,100000000.0,0.0008462314914913018,0.5811732780114856,0.534349672676632,0.8505229379953814,0.94,0.24744162295627792,0.16546235359087463,6.586249962618968e-05,0.0004521977357701856,1.9893048087656737,3.075410850544438,0.0,0.0,1683.0,1235.0,
12,2713.5630,3.70e+12,9.08e+13,1.0,0.0,929.898599821295,1463.584477902864,0.08895034828130374,0.4595942864747673,1.75e+05,3.34e+05,159139.54107670003,394036.1037228793,21017.872883906035,100000000.0,0.000761888606353254,0.5764894376764917,0.5495325059945673,0.8540719279036566,0.94,0.2500318402020183,0.15535996046354753,6.655347526054033e-05,0.0004709463286163975,1.9006558742790154,3.233276564763501,0.0,0.0,1683.0,1235.0,
13,2915.7290,3.60e+12,9.37e+13,1.0,0.0,923.6316873133437,1421.3887262956098,0.08544047698642245,0.48786594136426675,1.75e+05,3.76e+05,166550.71943008387,407402.8846526395,21231.96304448637,100000000.0,0.0006823773033346706,0.5784752593458717,0.5327214919197022,0.8449193575733358,0.94,0.2631194386994866,0.1561164505880376,6.940626739750001e-05,0.00042198488273981324,1.9141945848100645,3.1896808226029205,0.0,0.0,1683.0,1235.0,
14,3091.2810,3.57e+12,9.63e+13,1.0,0.0,937.8310629900516,1062.8628263731862,0.07995389364332259,0.5031129409369768,1.75e+05,3.85e+05,172616.14905472036,411073.83034067205,22613.674217490057,100000000.0,0.0005113702478525084,0.5778753670256418,0.5232999399965472,0.8414722204430796,0.94,0.2579805898767215,0.13486344134353911,7.230383576686869e-05,0.0004019756166967314,1.6861774916630146,3.202163192577336,0.0,0.0,1683.0,1235.0,
15,3266.4510,3.54e+12,1.04e+14,1.0,0.0,927.6596289884022,1106.654724837857,0.08942127690651937,0.4827299865840967,1.76e+05,3.71e+05,174702.21791620058,379723.04754003126,22088.543131132887,100000000.0,0.00042753145193572103,0.5836653012190874,0.525808273082789,0.841866437532572,0.94,0.25885369416135784,0.13912597653209102,6.786179631885318e-05,0.00038395711628502223,1.4183809850042004,3.247040936386482,0.0,0.0,1683.0,1235.0,
16,3443.0890,3.46e+12,9.84e+13,1.0,0.0,921.7449250079028,910.902129896662,0.07093821140703202,0.4930988033985052,1.76e+05,3.51e+05,177829.00709578447,358120.9830548558,21838.334195113443,100000000.0,0.00027837524322823484,0.5845017295431201,0.5134359869906349,0.8388062282293891,0.94,0.2512675865316225,0.12188277268737158,7.349162968470498e-05,0.0002935830845689924,1.2064133982725451,3.1181599302297944,0.0,0.0,1683.0,1235.0,
17,3652.0970,3.46e+12,1.10e+14,1.0,0.0,915.3851145999074,815.0542251389945,0.07644195710465775,0.5651280377095016,1.76e+05,4.06e+05,179666.4547748979,421668.6864855115,23047.07733019062,100000000.0,0.00025368142588450714,0.5777471851440578,0.5154792648285723,0.8401113452215876,0.94,0.25078150758606677,0.12422320113700824,7.406183775947656e-05,0.000279143174392305,1.3983504413839598,3.3081746603138256,0.0,0.0,1683.0,1235.0,
18,3862.6990,3.32e+12,1.02e+14,1.0,0.0,891.7759539002977,872.5379554553556,0.0649977157008961,0.5578698956032352,1.75e+05,3.58e+05,174650.87861770825,382876.0174002751,22424.50601826739,100000000.0,0.00020932282758562794,0.5819001581271952,0.4716801954821279,0.8204145958660882,0.94,0.24768087975468533,0.11561673204287787,7.272485856020958e-05,0.0002673541099795139,1.2110616888417067,3.3452820935419854,0.0,0.0,1683.0,1235.0,
19,4072.5970,3.56e+12,9.47e+13,1.0,0.0,914.6630742318494,863.349647796392,0.0753608242567899,0.5197986753790287,1.76e+05,3.44e+05,172301.21435916904,359260.4200203093,21686.132287490385,100000000.0,0.00014814999598982347,0.5830791355086087,0.5128032353457807,0.8338969005418246,0.94,0.2544965283533466,0.12216714151134633,6.935561756062685e-05,0.0002724345668655606,1.2030138159599915,3.168058172831395,0.0,0.0,1683.0,1235.0,
20,4289.0520,3.32e+12,1.04e+14,1.0,0.0,916.659601689371,856.3022239851283,0.07566562995594933,0.5352055196340564,1.76e+05,3.59e+05,166831.31071729743,374938.36550193396,21960.914669750862,100000000.0,0.00014166177462745624,0.5811763756086932,0.5105011689820598,0.8307196758865656,0.94,0.253139390548147,0.12627021009889827,7.09999238252849e-05,0.00024291732727332502,1.1954559532919284,3.347780192775236,0.0,0.0,1683.0,1235.0,
21,4514.3052,3.27e+12,1.02e+14,1.0,0.0,909.8388418100192,831.9547221534947,0.0691893701593965,0.5520132378696391,1.76e+05,3.61e+05,169347.0845774354,375212.49863164354,22199.40597360222,100000000.0,0.00013224881255559828,0.5825253047277996,0.49116271553424407,0.8276239758460483,0.94,0.25273140277081957,0.12016997801478657,7.169993600404652e-05,0.00025159138986457407,1.1636409047657157,3.3273486851150054,0.0,0.0,1683.0,1235.0,
