# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.687788799999999867e+01
3.000000000000000000e+00,5.892563599999999724e+01
4.000000000000000000e+00,6.876039099999999848e+01
5.000000000000000000e+00,7.693389100000000269e+01
6.000000000000000000e+00,8.411189299999999491e+01
7.000000000000000000e+00,9.053297399999999584e+01
8.000000000000000000e+00,9.638314099999999485e+01
9.000000000000000000e+00,1.017736299999999972e+02
1.000000000000000000e+01,1.067872500000000002e+02
1.100000000000000000e+01,1.114825199999999938e+02
1.200000000000000000e+01,1.159051000000000045e+02
1.300000000000000000e+01,1.200909000000000049e+02
1.400000000000000000e+01,1.240687300000000022e+02
1.500000000000000000e+01,1.278608700000000056e+02
1.600000000000000000e+01,1.314864200000000096e+02
1.700000000000000000e+01,1.349624900000000025e+02
1.800000000000000000e+01,1.383016200000000140e+02
1.900000000000000000e+01,1.415165100000000109e+02
2.000000000000000000e+01,1.446166499999999928e+02
2.100000000000000000e+01,1.476107499999999959e+02
2.200000000000000000e+01,1.505070299999999861e+02
2.300000000000000000e+01,1.533124400000000094e+02
2.400000000000000000e+01,1.560324899999999957e+02
2.500000000000000000e+01,1.586727300000000014e+02
2.600000000000000000e+01,1.612391399999999919e+02
2.700000000000000000e+01,1.637347300000000132e+02
2.800000000000000000e+01,1.661635300000000086e+02
2.900000000000000000e+01,1.685299699999999916e+02
3.000000000000000000e+01,1.708369099999999889e+02
3.100000000000000000e+01,1.730877399999999966e+02
3.200000000000000000e+01,1.752849899999999934e+02
3.300000000000000000e+01,1.774313500000000090e+02
3.400000000000000000e+01,1.795289300000000026e+02
3.500000000000000000e+01,1.815809600000000046e+02
3.600000000000000000e+01,1.835878099999999904e+02
3.700000000000000000e+01,1.855519600000000082e+02
3.800000000000000000e+01,1.874768400000000099e+02
3.900000000000000000e+01,1.893619199999999978e+02
4.000000000000000000e+01,1.912094700000000103e+02
4.100000000000000000e+01,1.930214100000000030e+02
4.200000000000000000e+01,1.947991299999999910e+02
4.300000000000000000e+01,1.965427099999999996e+02
4.400000000000000000e+01,1.982554800000000057e+02
4.500000000000000000e+01,1.999363600000000076e+02
4.600000000000000000e+01,2.015880400000000066e+02
4.700000000000000000e+01,2.032109199999999873e+02
4.800000000000000000e+01,2.048061199999999928e+02
4.900000000000000000e+01,2.063746299999999962e+02
5.000000000000000000e+01,2.079178300000000092e+02
5.100000000000000000e+01,2.094356500000000096e+02
5.200000000000000000e+01,2.109292000000000087e+02
5.300000000000000000e+01,2.124001000000000090e+02
5.400000000000000000e+01,2.138477000000000032e+02
5.500000000000000000e+01,2.152733000000000061e+02
5.600000000000000000e+01,2.166787999999999954e+02
5.700000000000000000e+01,2.180628100000000131e+02
5.800000000000000000e+01,2.194271500000000117e+02
5.900000000000000000e+01,2.207727399999999989e+02
6.000000000000000000e+01,2.220994300000000123e+02
6.100000000000000000e+01,2.234079000000000121e+02
6.200000000000000000e+01,2.246991999999999905e+02
6.300000000000000000e+01,2.259734200000000044e+02
6.400000000000000000e+01,2.272312300000000107e+02
6.500000000000000000e+01,2.284729800000000068e+02
6.600000000000000000e+01,2.296995400000000132e+02
6.700000000000000000e+01,2.309109599999999887e+02
6.800000000000000000e+01,2.321083700000000078e+02
6.900000000000000000e+01,2.332912900000000036e+02
7.000000000000000000e+01,2.344600100000000111e+02
7.100000000000000000e+01,2.356162099999999953e+02
7.200000000000000000e+01,2.367593200000000024e+02
7.300000000000000000e+01,2.378898499999999956e+02
7.400000000000000000e+01,2.390089299999999923e+02
7.500000000000000000e+01,2.401156599999999912e+02
7.600000000000000000e+01,2.412113600000000133e+02
7.700000000000000000e+01,2.422959099999999921e+02
7.800000000000000000e+01,2.433693499999999972e+02
7.900000000000000000e+01,2.444325000000000045e+02
8.000000000000000000e+01,2.454854699999999923e+02
8.100000000000000000e+01,2.465286700000000053e+02
