Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.49e+12,6.77e+13,1.0,0.0,900.4736093857141,1460.3683194183914,0.044741342900360165,0.18711943939835318,1.81e+05,1.91e+05,351753.34875844483,181335.60556364723,14675.496971843115,100000000.0,0.0015319304578371386,0.7116996658926442,0.5348257955320628,0.6938238916568555,0.94,0.3922142572049675,0.028137902606200742,5.629384382257931e-05,0.000913125393041467,0.918648416804738,1.4791475024040248,0.0,0.0,1683.0,1235.0,
0,153.1710,2.49e+12,6.77e+13,1.0,0.0,900.4736093857141,1460.3683194183914,0.044741342900360165,0.18711943939835318,1.81e+05,1.91e+05,351753.34875844483,181335.60556364723,14675.496971843115,100000000.0,0.0015319304578371386,0.7116996658926442,0.5348257955320628,0.6938238916568555,0.94,0.3922142572049675,0.028137902606200742,5.629384382257931e-05,0.000913125393041467,0.918648416804738,1.4791475024040248,0.0,0.0,1683.0,1235.0,
1,299.8580,2.49e+12,6.77e+13,1.0,0.0,900.4736093857141,1460.3683194183914,0.044741342900360165,0.18711943939835318,1.81e+05,1.91e+05,351753.34875844483,181335.60556364723,14675.496971843115,100000000.0,0.0015319304578371386,0.7116996658926442,0.5348257955320628,0.6938238916568555,0.94,0.3922142572049675,0.028137902606200742,5.629384382257931e-05,0.000913125393041467,0.918648416804738,1.4791475024040248,0.0,0.0,1683.0,1235.0,
2,496.8430,2.41e+12,7.16e+13,1.0,0.0,1077.1715461481629,1228.995669035794,0.11130289696775435,0.7326043762397704,1.78e+05,1.91e+05,86398.90527590842,254045.5729060925,20323.84170456234,100000000.0,0.0004573517255744371,0.7131684131854796,0.5169664718266502,0.9092806419724646,0.94,0.36088188801995513,0.1138225558226285,5.9669346530772014e-05,0.0005295398433043975,1.0356781262959394,1.41774007732416,0.0,0.0,1683.0,1235.0,
3,692.0020,2.41e+12,7.16e+13,1.0,0.0,1077.1715461481629,1228.995669035794,0.11130289696775435,0.7326043762397704,1.78e+05,1.91e+05,86398.90527590842,254045.5729060925,20323.84170456234,100000000.0,0.0004573517255744371,0.7131684131854796,0.5169664718266502,0.9092806419724646,0.94,0.36088188801995513,0.1138225558226285,5.9669346530772014e-05,0.0005295398433043975,1.0356781262959394,1.41774007732416,0.0,0.0,1683.0,1235.0,
4,902.4500,2.41e+12,7.16e+13,1.0,0.0,1077.1715461481629,1228.995669035794,0.11130289696775435,0.7326043762397704,1.78e+05,1.91e+05,86398.90527590842,254045.5729060925,20323.84170456234,100000000.0,0.0004573517255744371,0.7131684131854796,0.5169664718266502,0.9092806419724646,0.94,0.36088188801995513,0.1138225558226285,5.9669346530772014e-05,0.0005295398433043975,1.0356781262959394,1.41774007732416,0.0,0.0,1683.0,1235.0,
5,1124.3060,2.41e+12,7.16e+13,1.0,0.0,1077.1715461481629,1228.995669035794,0.11130289696775435,0.7326043762397704,1.78e+05,1.91e+05,86398.90527590842,254045.5729060925,20323.84170456234,100000000.0,0.0004573517255744371,0.7131684131854796,0.5169664718266502,0.9092806419724646,0.94,0.36088188801995513,0.1138225558226285,5.9669346530772014e-05,0.0005295398433043975,1.0356781262959394,1.41774007732416,0.0,0.0,1683.0,1235.0,
6,1360.4530,2.41e+12,7.16e+13,1.0,0.0,1077.1715461481629,1228.995669035794,0.11130289696775435,0.7326043762397704,1.78e+05,1.91e+05,86398.90527590842,254045.5729060925,20323.84170456234,100000000.0,0.0004573517255744371,0.7131684131854796,0.5169664718266502,0.9092806419724646,0.94,0.36088188801995513,0.1138225558226285,5.9669346530772014e-05,0.0005295398433043975,1.0356781262959394,1.41774007732416,0.0,0.0,1683.0,1235.0,
7,1584.1200,2.41e+12,7.16e+13,1.0,0.0,1077.1715461481629,1228.995669035794,0.11130289696775435,0.7326043762397704,1.78e+05,1.91e+05,86398.90527590842,254045.5729060925,20323.84170456234,100000000.0,0.0004573517255744371,0.7131684131854796,0.5169664718266502,0.9092806419724646,0.94,0.36088188801995513,0.1138225558226285,5.9669346530772014e-05,0.0005295398433043975,1.0356781262959394,1.41774007732416,0.0,0.0,1683.0,1235.0,
8,1785.7300,2.36e+12,7.36e+13,1.0,0.0,1155.336115580733,1146.369401552598,0.11042623063708784,0.5437211433532775,1.78e+05,1.91e+05,176208.8209728918,209246.38991713853,21942.868151931507,100000000.0,0.00042447945311011937,0.7218513132622313,0.5086308038476449,0.9146913163003962,0.94,0.45089064256829214,0.1651442019374359,7.29200189156074e-05,0.0004901676688169765,1.0039091030886231,1.512971786487077,0.0,0.0,1683.0,1235.0,
