# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,2.500000599999999906e+01
7.000000000000000000e+00,2.500002100000000027e+01
8.000000000000000000e+00,2.500007599999999996e+01
9.000000000000000000e+00,2.500023099999999943e+01
1.000000000000000000e+01,2.500061200000000028e+01
1.100000000000000000e+01,2.500144999999999840e+01
1.200000000000000000e+01,2.500310699999999997e+01
1.300000000000000000e+01,2.500611100000000064e+01
1.400000000000000000e+01,2.501116400000000084e+01
1.500000000000000000e+01,2.501913800000000165e+01
1.600000000000000000e+01,2.503105899999999906e+01
1.700000000000000000e+01,2.504807900000000132e+01
1.800000000000000000e+01,2.507143800000000056e+01
1.900000000000000000e+01,2.510242799999999974e+01
2.000000000000000000e+01,2.514236500000000163e+01
2.100000000000000000e+01,2.519254700000000113e+01
2.200000000000000000e+01,2.525424200000000141e+01
2.300000000000000000e+01,2.532865500000000125e+01
2.400000000000000000e+01,2.541692000000000107e+01
2.500000000000000000e+01,2.552007300000000001e+01
2.600000000000000000e+01,2.563905899999999960e+01
2.700000000000000000e+01,2.577473300000000123e+01
2.800000000000000000e+01,2.592786399999999958e+01
2.900000000000000000e+01,2.609909800000000146e+01
3.000000000000000000e+01,2.628900000000000148e+01
3.100000000000000000e+01,2.649802400000000091e+01
3.200000000000000000e+01,2.672655299999999912e+01
3.300000000000000000e+01,2.697486699999999971e+01
3.400000000000000000e+01,2.724319500000000005e+01
3.500000000000000000e+01,2.753171899999999894e+01
3.600000000000000000e+01,2.784050399999999925e+01
3.700000000000000000e+01,2.816953699999999827e+01
3.800000000000000000e+01,2.851880600000000143e+01
3.900000000000000000e+01,2.888826200000000100e+01
4.000000000000000000e+01,2.927776000000000067e+01
4.100000000000000000e+01,2.968713400000000036e+01
4.200000000000000000e+01,3.011617899999999892e+01
4.300000000000000000e+01,3.056465499999999835e+01
4.400000000000000000e+01,3.103233900000000034e+01
4.500000000000000000e+01,3.151900900000000050e+01
4.600000000000000000e+01,3.202422700000000333e+01
4.700000000000000000e+01,3.254774499999999904e+01
4.800000000000000000e+01,3.308926400000000001e+01
4.900000000000000000e+01,3.364836499999999830e+01
5.000000000000000000e+01,3.422468899999999792e+01
5.100000000000000000e+01,3.481800100000000242e+01
5.200000000000000000e+01,3.542775000000000318e+01
5.300000000000000000e+01,3.605368399999999696e+01
5.400000000000000000e+01,3.669538099999999758e+01
5.500000000000000000e+01,3.735245900000000319e+01
5.600000000000000000e+01,3.802456999999999709e+01
5.700000000000000000e+01,3.871135699999999957e+01
5.800000000000000000e+01,3.941230399999999889e+01
5.900000000000000000e+01,4.012713999999999714e+01
6.000000000000000000e+01,4.085546500000000236e+01
6.100000000000000000e+01,4.159694700000000012e+01
6.200000000000000000e+01,4.235117300000000284e+01
6.300000000000000000e+01,4.311778300000000286e+01
6.400000000000000000e+01,4.389639700000000033e+01
6.500000000000000000e+01,4.468659600000000154e+01
6.600000000000000000e+01,4.548813599999999724e+01
6.700000000000000000e+01,4.630073900000000009e+01
6.800000000000000000e+01,4.712394299999999703e+01
6.900000000000000000e+01,4.795740099999999728e+01
7.000000000000000000e+01,4.880084599999999995e+01
7.100000000000000000e+01,4.965393399999999957e+01
7.200000000000000000e+01,5.051631199999999922e+01
7.300000000000000000e+01,5.138768799999999715e+01
7.400000000000000000e+01,5.226775700000000313e+01
7.500000000000000000e+01,5.315638400000000274e+01
7.600000000000000000e+01,5.405307799999999929e+01
7.700000000000000000e+01,5.495754199999999656e+01
7.800000000000000000e+01,5.586952200000000346e+01
7.900000000000000000e+01,5.678893999999999664e+01
8.000000000000000000e+01,5.771529000000000309e+01
8.100000000000000000e+01,5.864833500000000299e+01
8.200000000000000000e+01,5.958802399999999722e+01
8.300000000000000000e+01,6.053388600000000253e+01
8.400000000000000000e+01,6.148572899999999919e+01
8.500000000000000000e+01,6.244342799999999727e+01
8.600000000000000000e+01,6.340651299999999679e+01
8.700000000000000000e+01,6.437503800000000354e+01
8.800000000000000000e+01,6.534855699999999956e+01
8.900000000000000000e+01,6.632700300000000482e+01
9.000000000000000000e+01,6.731010399999999549e+01
9.100000000000000000e+01,6.829759199999999453e+01
9.200000000000000000e+01,6.928945199999999716e+01
9.300000000000000000e+01,7.028527099999999450e+01
9.400000000000000000e+01,7.128505699999999479e+01
9.500000000000000000e+01,7.228840599999999483e+01
9.600000000000000000e+01,7.329534099999999341e+01
9.700000000000000000e+01,7.430550399999999911e+01
9.800000000000000000e+01,7.531892399999999554e+01
9.900000000000000000e+01,7.633529699999999707e+01
1.000000000000000000e+02,7.735450699999999813e+01
1.010000000000000000e+02,7.837635000000000218e+01
1.020000000000000000e+02,7.940067299999999761e+01
1.030000000000000000e+02,8.042739100000000008e+01
1.040000000000000000e+02,8.145624499999999557e+01
1.050000000000000000e+02,8.248728199999999333e+01
1.060000000000000000e+02,8.352012600000000475e+01
1.070000000000000000e+02,8.455490100000000098e+01
1.080000000000000000e+02,8.559129299999999319e+01
1.090000000000000000e+02,8.662921099999999797e+01
1.100000000000000000e+02,8.766861699999999757e+01
1.110000000000000000e+02,8.870921300000000542e+01
1.120000000000000000e+02,8.975112199999999518e+01
1.130000000000000000e+02,9.079406699999999830e+01
1.140000000000000000e+02,9.183796700000000612e+01
1.150000000000000000e+02,9.288279699999999650e+01
1.160000000000000000e+02,9.392826800000000276e+01
1.170000000000000000e+02,9.497454100000000210e+01
1.180000000000000000e+02,9.602133200000000102e+01
1.190000000000000000e+02,9.706859599999999944e+01
1.200000000000000000e+02,9.811631800000000680e+01
1.210000000000000000e+02,9.916431400000000451e+01
1.220000000000000000e+02,1.002125400000000042e+02
1.230000000000000000e+02,1.012609300000000019e+02
1.240000000000000000e+02,1.023092800000000011e+02
1.250000000000000000e+02,1.033577700000000021e+02
1.260000000000000000e+02,1.044061200000000014e+02
1.270000000000000000e+02,1.054542900000000003e+02
1.280000000000000000e+02,1.065023000000000053e+02
1.290000000000000000e+02,1.075499700000000018e+02
1.300000000000000000e+02,1.085972900000000010e+02
1.310000000000000000e+02,1.096441599999999994e+02
1.320000000000000000e+02,1.106905399999999986e+02
1.330000000000000000e+02,1.117364299999999986e+02
1.340000000000000000e+02,1.127816899999999976e+02
1.350000000000000000e+02,1.138263199999999955e+02
1.360000000000000000e+02,1.148702700000000050e+02
1.370000000000000000e+02,1.159133499999999941e+02
1.380000000000000000e+02,1.169557300000000026e+02
1.390000000000000000e+02,1.179972199999999987e+02
1.400000000000000000e+02,1.190378199999999964e+02
1.410000000000000000e+02,1.200774799999999942e+02
1.420000000000000000e+02,1.211160399999999981e+02
1.430000000000000000e+02,1.221536399999999958e+02
1.440000000000000000e+02,1.231901399999999995e+02
1.450000000000000000e+02,1.242255300000000062e+02
1.460000000000000000e+02,1.252597700000000032e+02
1.470000000000000000e+02,1.262926899999999932e+02
1.480000000000000000e+02,1.273244600000000020e+02
1.490000000000000000e+02,1.283548399999999958e+02
1.500000000000000000e+02,1.293840199999999925e+02
1.510000000000000000e+02,1.304118499999999869e+02
1.520000000000000000e+02,1.314383100000000013e+02
1.530000000000000000e+02,1.324633800000000008e+02
1.540000000000000000e+02,1.334868800000000135e+02
1.550000000000000000e+02,1.345089999999999861e+02
1.560000000000000000e+02,1.355295099999999877e+02
1.570000000000000000e+02,1.365485700000000122e+02
1.580000000000000000e+02,1.375660599999999931e+02
1.590000000000000000e+02,1.385819199999999967e+02
1.600000000000000000e+02,1.395961900000000071e+02
1.610000000000000000e+02,1.406087799999999959e+02
1.620000000000000000e+02,1.416197699999999884e+02
1.630000000000000000e+02,1.426289500000000032e+02
1.640000000000000000e+02,1.436365199999999902e+02
1.650000000000000000e+02,1.446422599999999932e+02
1.660000000000000000e+02,1.456463300000000061e+02
1.670000000000000000e+02,1.466485299999999938e+02
1.680000000000000000e+02,1.476490000000000009e+02
1.690000000000000000e+02,1.486475399999999922e+02
1.700000000000000000e+02,1.496442999999999870e+02
1.710000000000000000e+02,1.506391299999999944e+02
1.720000000000000000e+02,1.516321599999999989e+02
1.730000000000000000e+02,1.526231699999999876e+02
1.740000000000000000e+02,1.536123200000000111e+02
1.750000000000000000e+02,1.545994599999999934e+02
1.760000000000000000e+02,1.555846999999999980e+02
1.770000000000000000e+02,1.565679499999999962e+02
1.780000000000000000e+02,1.575491199999999878e+02
1.790000000000000000e+02,1.585283799999999985e+02
1.800000000000000000e+02,1.595054800000000057e+02
1.810000000000000000e+02,1.604806499999999971e+02
1.820000000000000000e+02,1.614536899999999946e+02
1.830000000000000000e+02,1.624247300000000109e+02
1.840000000000000000e+02,1.633935999999999922e+02
1.850000000000000000e+02,1.643602899999999920e+02
1.860000000000000000e+02,1.653249700000000075e+02
1.870000000000000000e+02,1.662874300000000005e+02
1.880000000000000000e+02,1.672478499999999997e+02
1.890000000000000000e+02,1.682060199999999952e+02
1.900000000000000000e+02,1.691619699999999966e+02
1.910000000000000000e+02,1.701157800000000009e+02
1.920000000000000000e+02,1.710673700000000110e+02
1.930000000000000000e+02,1.720168199999999956e+02
1.940000000000000000e+02,1.729639300000000048e+02
1.950000000000000000e+02,1.739087199999999882e+02
1.960000000000000000e+02,1.748513800000000060e+02
1.970000000000000000e+02,1.757916700000000105e+02
1.980000000000000000e+02,1.767296399999999892e+02
1.990000000000000000e+02,1.776654399999999896e+02
2.000000000000000000e+02,1.785988199999999892e+02
2.010000000000000000e+02,1.795298500000000104e+02
2.020000000000000000e+02,1.804586500000000058e+02
2.030000000000000000e+02,1.813850099999999941e+02
2.040000000000000000e+02,1.823089600000000132e+02
2.050000000000000000e+02,1.832306100000000129e+02
2.060000000000000000e+02,1.841497999999999990e+02
2.070000000000000000e+02,1.850665700000000129e+02
2.080000000000000000e+02,1.859809899999999914e+02
2.090000000000000000e+02,1.868928999999999974e+02
2.100000000000000000e+02,1.878023200000000088e+02
2.110000000000000000e+02,1.887093000000000131e+02
2.120000000000000000e+02,1.896138500000000136e+02
2.130000000000000000e+02,1.905158800000000099e+02
2.140000000000000000e+02,1.914154100000000085e+02
2.150000000000000000e+02,1.923124099999999999e+02
2.160000000000000000e+02,1.932069099999999935e+02
2.170000000000000000e+02,1.940988499999999988e+02
2.180000000000000000e+02,1.949882399999999905e+02
2.190000000000000000e+02,1.958750499999999874e+02
2.200000000000000000e+02,1.967592500000000086e+02
2.210000000000000000e+02,1.976408999999999878e+02
2.220000000000000000e+02,1.985199100000000101e+02
2.230000000000000000e+02,1.993963200000000029e+02
2.240000000000000000e+02,2.002700800000000072e+02
2.250000000000000000e+02,2.011411899999999946e+02
2.260000000000000000e+02,2.020096299999999871e+02
2.270000000000000000e+02,2.028753499999999974e+02
2.280000000000000000e+02,2.037383600000000001e+02
2.290000000000000000e+02,2.045987199999999859e+02
2.300000000000000000e+02,2.054563899999999990e+02
2.310000000000000000e+02,2.063113099999999918e+02
2.320000000000000000e+02,2.071634200000000021e+02
2.330000000000000000e+02,2.080128200000000049e+02
2.340000000000000000e+02,2.088593899999999906e+02
2.350000000000000000e+02,2.097031399999999906e+02
2.360000000000000000e+02,2.105440999999999860e+02
2.370000000000000000e+02,2.113822299999999927e+02
2.380000000000000000e+02,2.122553299999999865e+02
2.390000000000000000e+02,2.131022499999999980e+02
2.400000000000000000e+02,2.139399099999999976e+02
2.410000000000000000e+02,2.147727700000000084e+02
2.420000000000000000e+02,2.156013599999999997e+02
2.430000000000000000e+02,2.164261799999999880e+02
2.440000000000000000e+02,2.172474100000000021e+02
2.450000000000000000e+02,2.180652200000000107e+02
2.460000000000000000e+02,2.188797299999999950e+02
2.470000000000000000e+02,2.196909899999999993e+02
2.480000000000000000e+02,2.204990500000000111e+02
2.490000000000000000e+02,2.213039200000000051e+02
2.500000000000000000e+02,2.221056700000000035e+02
2.510000000000000000e+02,2.229042699999999968e+02
2.520000000000000000e+02,2.236997499999999945e+02
2.530000000000000000e+02,2.244921699999999873e+02
2.540000000000000000e+02,2.252815400000000068e+02
2.550000000000000000e+02,2.260678299999999865e+02
2.560000000000000000e+02,2.268510400000000118e+02
2.570000000000000000e+02,2.276312000000000069e+02
2.580000000000000000e+02,2.284082899999999938e+02
2.590000000000000000e+02,2.291823100000000011e+02
2.600000000000000000e+02,2.299532600000000002e+02
2.610000000000000000e+02,2.307211299999999881e+02
2.620000000000000000e+02,2.314858600000000024e+02
2.630000000000000000e+02,2.322474699999999928e+02
2.640000000000000000e+02,2.330059799999999939e+02
2.650000000000000000e+02,2.337613200000000120e+02
2.660000000000000000e+02,2.345134999999999934e+02
2.670000000000000000e+02,2.352625899999999888e+02
2.680000000000000000e+02,2.360085300000000075e+02
2.690000000000000000e+02,2.367513099999999895e+02
2.700000000000000000e+02,2.374908399999999915e+02
2.710000000000000000e+02,2.382272299999999916e+02
2.720000000000000000e+02,2.389603999999999928e+02
2.730000000000000000e+02,2.396903200000000140e+02
2.740000000000000000e+02,2.404170799999999986e+02
2.750000000000000000e+02,2.411406200000000126e+02
2.760000000000000000e+02,2.418608600000000024e+02
2.770000000000000000e+02,2.425778500000000122e+02
2.780000000000000000e+02,2.432915500000000009e+02
2.790000000000000000e+02,2.440020399999999938e+02
2.800000000000000000e+02,2.447092600000000004e+02
2.810000000000000000e+02,2.454130999999999858e+02
2.820000000000000000e+02,2.461136600000000101e+02
2.830000000000000000e+02,2.468109300000000133e+02
2.840000000000000000e+02,2.475048999999999921e+02
2.850000000000000000e+02,2.481954499999999939e+02
2.860000000000000000e+02,2.488826599999999871e+02
2.870000000000000000e+02,2.495665600000000097e+02
2.880000000000000000e+02,2.502470199999999920e+02
2.890000000000000000e+02,2.509241299999999910e+02
2.900000000000000000e+02,2.515978200000000129e+02
2.910000000000000000e+02,2.522681000000000040e+02
2.920000000000000000e+02,2.529349499999999864e+02
2.930000000000000000e+02,2.535983699999999885e+02
