# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,4.681507899999999722e+01
3.000000000000000000e+00,5.888273600000000130e+01
4.000000000000000000e+00,6.873129299999999375e+01
5.000000000000000000e+00,7.692247799999999813e+01
6.000000000000000000e+00,8.411701999999999657e+01
7.000000000000000000e+00,9.055554999999999666e+01
8.000000000000000000e+00,9.642244700000000535e+01
9.000000000000000000e+00,1.018292600000000050e+02
1.000000000000000000e+01,1.068586899999999957e+02
1.100000000000000000e+01,1.115688600000000008e+02
1.200000000000000000e+01,1.160066099999999949e+02
1.300000000000000000e+01,1.202070800000000048e+02
1.400000000000000000e+01,1.241983900000000034e+02
1.500000000000000000e+01,1.280041200000000003e+02
1.600000000000000000e+01,1.316437999999999988e+02
1.700000000000000000e+01,1.351326599999999871e+02
1.800000000000000000e+01,1.384847000000000037e+02
1.900000000000000000e+01,1.417117800000000045e+02
2.000000000000000000e+01,1.448245400000000132e+02
2.100000000000000000e+01,1.478308600000000013e+02
2.200000000000000000e+01,1.507389400000000137e+02
2.300000000000000000e+01,1.535559100000000115e+02
2.400000000000000000e+01,1.562875400000000070e+02
2.500000000000000000e+01,1.589389199999999960e+02
2.600000000000000000e+01,1.615160099999999943e+02
2.700000000000000000e+01,1.640215599999999938e+02
2.800000000000000000e+01,1.664611199999999940e+02
2.900000000000000000e+01,1.688378899999999874e+02
3.000000000000000000e+01,1.711548300000000040e+02
3.100000000000000000e+01,1.734149600000000078e+02
3.200000000000000000e+01,1.756218399999999917e+02
3.300000000000000000e+01,1.777779400000000010e+02
3.400000000000000000e+01,1.798842600000000118e+02
3.500000000000000000e+01,1.819453300000000127e+02
3.600000000000000000e+01,1.839610099999999875e+02
3.700000000000000000e+01,1.859342499999999916e+02
3.800000000000000000e+01,1.878673200000000065e+02
3.900000000000000000e+01,1.897608899999999892e+02
4.000000000000000000e+01,1.916167299999999898e+02
4.100000000000000000e+01,1.934368599999999958e+02
4.200000000000000000e+01,1.952226400000000126e+02
4.300000000000000000e+01,1.969741199999999992e+02
4.400000000000000000e+01,1.986942300000000046e+02
4.500000000000000000e+01,2.003830399999999941e+02
4.600000000000000000e+01,2.020418899999999951e+02
4.700000000000000000e+01,2.036725000000000136e+02
4.800000000000000000e+01,2.052750499999999931e+02
4.900000000000000000e+01,2.068507700000000114e+02
5.000000000000000000e+01,2.084009200000000135e+02
5.100000000000000000e+01,2.099255799999999965e+02
5.200000000000000000e+01,2.114259000000000128e+02
5.300000000000000000e+01,2.129031799999999919e+02
5.400000000000000000e+01,2.143577400000000068e+02
5.500000000000000000e+01,2.157898600000000044e+02
5.600000000000000000e+01,2.172012300000000096e+02
5.700000000000000000e+01,2.185924699999999916e+02
5.800000000000000000e+01,2.199628899999999874e+02
5.900000000000000000e+01,2.213146099999999876e+02
6.000000000000000000e+01,2.226474300000000142e+02
6.100000000000000000e+01,2.239620500000000050e+02
6.200000000000000000e+01,2.252596699999999998e+02
6.300000000000000000e+01,2.265394300000000101e+02
6.400000000000000000e+01,2.278032399999999882e+02
6.500000000000000000e+01,2.290514799999999980e+02
6.600000000000000000e+01,2.302835399999999879e+02
6.700000000000000000e+01,2.315008500000000140e+02
6.800000000000000000e+01,2.327039900000000046e+02
6.900000000000000000e+01,2.338927300000000002e+02
7.000000000000000000e+01,2.350677799999999991e+02
7.100000000000000000e+01,2.362298700000000053e+02
7.200000000000000000e+01,2.373787199999999871e+02
7.300000000000000000e+01,2.385149800000000084e+02
7.400000000000000000e+01,2.396395599999999888e+02
7.500000000000000000e+01,2.407520800000000065e+02
7.600000000000000000e+01,2.418530399999999929e+02
7.700000000000000000e+01,2.429435000000000002e+02
7.800000000000000000e+01,2.440226399999999956e+02
7.900000000000000000e+01,2.450913099999999929e+02
8.000000000000000000e+01,2.461505600000000129e+02
8.100000000000000000e+01,2.471997399999999914e+02
8.200000000000000000e+01,2.482388300000000072e+02
8.300000000000000000e+01,2.492688100000000020e+02
8.400000000000000000e+01,2.502899800000000141e+02
8.500000000000000000e+01,2.513014799999999980e+02
8.600000000000000000e+01,2.523049200000000098e+02
8.700000000000000000e+01,2.532995099999999979e+02
8.800000000000000000e+01,2.542855500000000006e+02
8.900000000000000000e+01,2.552637000000000000e+02
9.000000000000000000e+01,2.562335800000000177e+02
9.100000000000000000e+01,2.571952800000000252e+02
9.200000000000000000e+01,2.581494799999999827e+02
9.300000000000000000e+01,2.590957300000000032e+02
9.400000000000000000e+01,2.600343300000000113e+02
9.500000000000000000e+01,2.609660000000000082e+02
9.600000000000000000e+01,2.618898300000000177e+02
9.700000000000000000e+01,2.628061500000000024e+02
9.800000000000000000e+01,2.637158200000000079e+02
9.900000000000000000e+01,2.646174899999999752e+02
1.000000000000000000e+02,2.655125699999999824e+02
1.010000000000000000e+02,2.664010000000000105e+02
1.020000000000000000e+02,2.672819499999999948e+02
