Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.46e+12,7.70e+13,1.0,0.0,1085.762766199852,3805.9854769490953,0.04628872891727619,0.5741196337898251,1.74e+05,1.84e+05,65405.60797711702,183815.5710820072,14787.560181858105,100000000.0,0.0003407327392330381,0.6888143590386752,0.5471232295984567,0.7860131672977895,0.94,0.179946114680026,0.20270131358161733,0.0001353546059001479,0.00025756330767950686,0.9487199545015962,1.4086817102745326,0.0,0.0,1683.0,1235.0,
0,151.3490,2.46e+12,7.70e+13,1.0,0.0,1085.762766199852,3805.9854769490953,0.04628872891727619,0.5741196337898251,1.74e+05,1.84e+05,65405.60797711702,183815.5710820072,14787.560181858105,100000000.0,0.0003407327392330381,0.6888143590386752,0.5471232295984567,0.7860131672977895,0.94,0.179946114680026,0.20270131358161733,0.0001353546059001479,0.00025756330767950686,0.9487199545015962,1.4086817102745326,0.0,0.0,1683.0,1235.0,
1,325.6000,2.44e+12,7.68e+13,1.0,0.0,1096.8979530052688,2873.063941889823,0.04539842387876589,0.645529915317149,1.81e+05,1.90e+05,268234.3019318392,261060.8080353364,16217.562521675642,100000000.0,0.00031310704728633963,0.7652006300273022,0.508862565764916,0.8883971157479567,0.94,0.5499997408641969,0.11210006308730625,8.42132438666965e-05,0.0004344229834999653,1.0083037383598659,1.4908066106286055,0.0,0.0,1683.0,1235.0,
2,518.8160,2.33e+12,7.70e+13,1.0,0.0,1067.3993730704617,2036.85425182224,0.04455380400625088,0.5416113168974883,1.75e+05,1.86e+05,188575.51626773828,279884.4330856629,15408.781028767024,100000000.0,0.0001858550650093968,0.7417055960303813,0.5162626899164323,0.8069776412693219,0.94,0.5527909248577609,0.15966711619002966,4.4921575858432295e-05,0.0003857613119084306,1.0145420505552987,1.465005720483517,0.0,0.0,1683.0,1235.0,
3,728.1200,2.35e+12,7.45e+13,1.0,0.0,1104.8501896731982,1829.3995787773258,0.045951647106612,0.7353249936670163,1.71e+05,1.84e+05,220613.7978899583,281174.90471319726,16374.900065250695,100000000.0,9.311515261720004e-05,0.7256083531664327,0.4918992939357046,0.7948459132084003,0.94,0.5171405511937359,0.1673236740724532,8.523599278877173e-05,0.00039119045554561493,1.0129916588207375,1.47361785170912,0.0,0.0,1683.0,1235.0,
4,952.1850,2.35e+12,7.45e+13,1.0,0.0,1104.8501896731982,1829.3995787773258,0.045951647106612,0.7353249936670163,1.71e+05,1.84e+05,220613.7978899583,281174.90471319726,16374.900065250695,100000000.0,9.311515261720004e-05,0.7256083531664327,0.4918992939357046,0.7948459132084003,0.94,0.5171405511937359,0.1673236740724532,8.523599278877173e-05,0.00039119045554561493,1.0129916588207375,1.47361785170912,0.0,0.0,1683.0,1235.0,
5,1179.6810,2.45e+12,7.45e+13,1.0,0.0,1056.9621073238707,2021.9070745614254,0.04804062395187783,0.6290338459032265,1.74e+05,1.85e+05,185806.8293006727,232293.1090923685,19646.60740693073,100000000.0,8.391763166906175e-05,0.717236616317994,0.5149095013596643,0.8129566299735445,0.94,0.32410554430802263,0.19827777913939576,0.00010204472667867837,0.00025690982445372604,0.9676864235159783,1.448379269015404,0.0,0.0,1683.0,1235.0,
6,1411.6600,2.45e+12,7.45e+13,1.0,0.0,1056.9621073238707,2021.9070745614254,0.04804062395187783,0.6290338459032265,1.74e+05,1.85e+05,185806.8293006727,232293.1090923685,19646.60740693073,100000000.0,8.391763166906175e-05,0.717236616317994,0.5149095013596643,0.8129566299735445,0.94,0.32410554430802263,0.19827777913939576,0.00010204472667867837,0.00025690982445372604,0.9676864235159783,1.448379269015404,0.0,0.0,1683.0,1235.0,
7,1637.8700,2.45e+12,7.45e+13,1.0,0.0,1056.9621073238707,2021.9070745614254,0.04804062395187783,0.6290338459032265,1.74e+05,1.85e+05,185806.8293006727,232293.1090923685,19646.60740693073,100000000.0,8.391763166906175e-05,0.717236616317994,0.5149095013596643,0.8129566299735445,0.94,0.32410554430802263,0.19827777913939576,0.00010204472667867837,0.00025690982445372604,0.9676864235159783,1.448379269015404,0.0,0.0,1683.0,1235.0,
8,1861.8220,2.37e+12,7.43e+13,1.0,0.0,1069.6096556955654,1697.3020260330309,0.04617924555432566,0.6642500199872811,1.76e+05,1.86e+05,159737.53012144016,297695.01831956056,24279.89153848374,100000000.0,7.329892238023849e-05,0.7525967363075382,0.5211314641013383,0.8221174985285551,0.94,0.5157931956887642,0.1626754950766811,7.340149576626651e-05,0.0006075014565268991,0.9960390855497643,1.4769572186230935,0.0,0.0,1683.0,1235.0,
9,2081.5180,2.38e+12,7.43e+13,1.0,0.0,1068.4290646143859,1923.4040718080364,0.04576007951803207,0.6138826651818619,1.76e+05,1.87e+05,160230.290039886,266527.05272644956,19436.02709367988,100000000.0,6.712854445006152e-05,0.7302394497944198,0.5247290461288527,0.8279116034623213,0.94,0.4471541287604176,0.15912890309760655,7.272527500819527e-05,0.0005336050918404096,0.9953921679358209,1.4743268890562573,0.0,0.0,1683.0,1235.0,
10,2268.7810,2.39e+12,7.39e+13,1.0,0.0,1065.1827437702036,1802.491514045009,0.04597725738695267,0.6350217568029515,1.75e+05,1.86e+05,176864.12683286113,265214.49752051703,20849.67817668902,100000000.0,4.351203597357843e-05,0.7298083988917639,0.517138423545655,0.8283774512054609,0.94,0.38044675060922484,0.18549206195570028,8.020220320957913e-05,0.0004700408297160551,0.9932416525892569,1.4673232420110458,0.0,0.0,1683.0,1235.0,
11,2435.4860,2.38e+12,7.32e+13,1.0,0.0,1059.9145575465786,1658.9479440115542,0.04601894607135131,0.5836718661714102,1.75e+05,1.85e+05,140214.5174209738,289205.9245627114,19597.492026567583,100000000.0,2.7562550536259987e-05,0.7269843292673286,0.5249710299384716,0.8296302565285815,0.94,0.3283204019187654,0.19208946028325605,7.951648694363498e-05,0.0006082951139951402,0.9926948714664641,1.4684527915587866,0.0,0.0,1683.0,1235.0,
12,2657.4700,2.34e+12,7.33e+13,1.0,0.0,1067.4786116591831,1674.337987073392,0.04645066309448256,0.5544376192848639,1.75e+05,1.85e+05,169138.42689300887,258709.482048448,18784.636622703125,100000000.0,2.483550201887152e-05,0.7293143536760804,0.525286525745662,0.8250601968992046,0.94,0.3352427098630245,0.16849720861506812,7.24829508571162e-05,0.0005230915050848152,0.9971355569036071,1.493479288926534,0.0,0.0,1683.0,1235.0,
