# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997300000000067e+01
2.000000000000000000e+00,4.622391100000000108e+01
3.000000000000000000e+00,5.787137200000000092e+01
4.000000000000000000e+00,6.738507099999999639e+01
5.000000000000000000e+00,7.529270200000000557e+01
6.000000000000000000e+00,8.224057000000000528e+01
7.000000000000000000e+00,8.846003000000000327e+01
8.000000000000000000e+00,9.413043199999999899e+01
9.000000000000000000e+00,9.935765800000000070e+01
1.000000000000000000e+01,1.042230799999999959e+02
1.100000000000000000e+01,1.087825799999999958e+02
1.200000000000000000e+01,1.130791300000000064e+02
1.300000000000000000e+01,1.171494399999999985e+02
1.400000000000000000e+01,1.210180000000000007e+02
1.500000000000000000e+01,1.247100099999999969e+02
1.600000000000000000e+01,1.282406000000000006e+02
1.700000000000000000e+01,1.316287399999999934e+02
1.800000000000000000e+01,1.348853599999999915e+02
1.900000000000000000e+01,1.380220300000000009e+02
2.000000000000000000e+01,1.410488300000000095e+02
2.100000000000000000e+01,1.439733999999999980e+02
2.200000000000000000e+01,1.468044700000000091e+02
2.300000000000000000e+01,1.495476500000000044e+02
2.400000000000000000e+01,1.522089499999999873e+02
2.500000000000000000e+01,1.547940800000000081e+02
2.600000000000000000e+01,1.573070400000000006e+02
2.700000000000000000e+01,1.597522099999999909e+02
2.800000000000000000e+01,1.621339099999999860e+02
2.900000000000000000e+01,1.644558000000000106e+02
3.000000000000000000e+01,1.667200799999999958e+02
3.100000000000000000e+01,1.689298599999999908e+02
3.200000000000000000e+01,1.710894600000000025e+02
3.300000000000000000e+01,1.731985899999999958e+02
3.400000000000000000e+01,1.752617600000000095e+02
3.500000000000000000e+01,1.772800599999999918e+02
3.600000000000000000e+01,1.792556899999999871e+02
3.700000000000000000e+01,1.811903200000000140e+02
3.800000000000000000e+01,1.830863799999999912e+02
3.900000000000000000e+01,1.849443799999999953e+02
4.000000000000000000e+01,1.867660700000000134e+02
4.100000000000000000e+01,1.885540499999999895e+02
4.200000000000000000e+01,1.903084299999999871e+02
4.300000000000000000e+01,1.920304299999999955e+02
4.400000000000000000e+01,1.937224999999999966e+02
4.500000000000000000e+01,1.953834500000000105e+02
4.600000000000000000e+01,1.970164800000000014e+02
4.700000000000000000e+01,1.986222500000000082e+02
4.800000000000000000e+01,2.002008999999999901e+02
4.900000000000000000e+01,2.017535399999999868e+02
5.000000000000000000e+01,2.032810499999999934e+02
5.100000000000000000e+01,2.047850599999999872e+02
5.200000000000000000e+01,2.062651199999999960e+02
5.300000000000000000e+01,2.077233400000000074e+02
5.400000000000000000e+01,2.091587700000000041e+02
5.500000000000000000e+01,2.105729200000000105e+02
5.600000000000000000e+01,2.119681199999999990e+02
5.700000000000000000e+01,2.133421299999999974e+02
5.800000000000000000e+01,2.146968699999999899e+02
5.900000000000000000e+01,2.160331999999999937e+02
6.000000000000000000e+01,2.173512699999999995e+02
6.100000000000000000e+01,2.186520500000000027e+02
6.200000000000000000e+01,2.199354999999999905e+02
6.300000000000000000e+01,2.212021799999999985e+02
6.400000000000000000e+01,2.224532499999999970e+02
6.500000000000000000e+01,2.236886100000000113e+02
6.600000000000000000e+01,2.249088700000000074e+02
6.700000000000000000e+01,2.261143800000000113e+02
6.800000000000000000e+01,2.273061700000000087e+02
6.900000000000000000e+01,2.284837799999999959e+02
7.000000000000000000e+01,2.296476600000000019e+02
7.100000000000000000e+01,2.307987699999999904e+02
