# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001299999999915e+01
7.000000000000000000e+00,2.500005499999999969e+01
8.000000000000000000e+00,2.500019299999999944e+01
9.000000000000000000e+00,2.500056999999999974e+01
1.000000000000000000e+01,2.500146499999999961e+01
1.100000000000000000e+01,2.500334900000000005e+01
1.200000000000000000e+01,2.500693899999999914e+01
1.300000000000000000e+01,2.501320499999999925e+01
1.400000000000000000e+01,2.502337100000000092e+01
1.500000000000000000e+01,2.503887699999999938e+01
1.600000000000000000e+01,2.506133300000000119e+01
1.700000000000000000e+01,2.509244899999999845e+01
1.800000000000000000e+01,2.513398700000000119e+01
1.900000000000000000e+01,2.518769800000000103e+01
2.000000000000000000e+01,2.525527999999999906e+01
2.100000000000000000e+01,2.533834099999999978e+01
2.200000000000000000e+01,2.543837900000000118e+01
2.300000000000000000e+01,2.555674199999999985e+01
2.400000000000000000e+01,2.569465100000000035e+01
2.500000000000000000e+01,2.585317399999999921e+01
2.600000000000000000e+01,2.603321299999999994e+01
2.700000000000000000e+01,2.623554800000000142e+01
2.800000000000000000e+01,2.646079299999999890e+01
2.900000000000000000e+01,2.670945899999999895e+01
3.000000000000000000e+01,2.698190299999999908e+01
3.100000000000000000e+01,2.727839300000000122e+01
3.200000000000000000e+01,2.759907499999999914e+01
3.300000000000000000e+01,2.794400800000000018e+01
3.400000000000000000e+01,2.831316199999999839e+01
3.500000000000000000e+01,2.870643600000000006e+01
3.600000000000000000e+01,2.912366899999999958e+01
3.700000000000000000e+01,2.956462900000000005e+01
3.800000000000000000e+01,3.002902800000000028e+01
3.900000000000000000e+01,3.051654399999999967e+01
4.000000000000000000e+01,3.102682499999999877e+01
4.100000000000000000e+01,3.155947099999999850e+01
4.200000000000000000e+01,3.211404000000000281e+01
4.300000000000000000e+01,3.269011700000000076e+01
4.400000000000000000e+01,3.328718899999999792e+01
4.500000000000000000e+01,3.390481900000000337e+01
4.600000000000000000e+01,3.454246100000000297e+01
4.700000000000000000e+01,3.519967299999999710e+01
4.800000000000000000e+01,3.587590000000000146e+01
4.900000000000000000e+01,3.657065599999999961e+01
5.000000000000000000e+01,3.728343600000000180e+01
5.100000000000000000e+01,3.801372500000000088e+01
5.200000000000000000e+01,3.876099399999999662e+01
5.300000000000000000e+01,3.952473400000000225e+01
5.400000000000000000e+01,4.030443600000000259e+01
5.500000000000000000e+01,4.109961299999999795e+01
5.600000000000000000e+01,4.190977099999999922e+01
5.700000000000000000e+01,4.273442500000000166e+01
5.800000000000000000e+01,4.357309000000000054e+01
5.900000000000000000e+01,4.442530399999999702e+01
6.000000000000000000e+01,4.529061500000000251e+01
6.100000000000000000e+01,4.616854899999999873e+01
6.200000000000000000e+01,4.705866199999999822e+01
6.300000000000000000e+01,4.796054800000000284e+01
6.400000000000000000e+01,4.887374499999999955e+01
6.500000000000000000e+01,4.979783599999999666e+01
6.600000000000000000e+01,5.073247899999999788e+01
6.700000000000000000e+01,5.167719300000000260e+01
6.800000000000000000e+01,5.263162200000000013e+01
6.900000000000000000e+01,5.359541300000000064e+01
7.000000000000000000e+01,5.456814200000000170e+01
7.100000000000000000e+01,5.554953400000000130e+01
7.200000000000000000e+01,5.653915400000000346e+01
7.300000000000000000e+01,5.753673599999999766e+01
7.400000000000000000e+01,5.854190100000000285e+01
7.500000000000000000e+01,5.955436300000000216e+01
7.600000000000000000e+01,6.057376500000000163e+01
7.700000000000000000e+01,6.159986500000000120e+01
7.800000000000000000e+01,6.263228999999999758e+01
7.900000000000000000e+01,6.367082599999999815e+01
8.000000000000000000e+01,6.471513400000000615e+01
8.100000000000000000e+01,6.576500699999999711e+01
8.200000000000000000e+01,6.682016000000000133e+01
8.300000000000000000e+01,6.788027999999999906e+01
8.400000000000000000e+01,6.894518999999999664e+01
8.500000000000000000e+01,7.001462600000000691e+01
8.600000000000000000e+01,7.108831000000000699e+01
8.700000000000000000e+01,7.216610000000000014e+01
8.800000000000000000e+01,7.324777199999999766e+01
8.900000000000000000e+01,7.433306100000000072e+01
9.000000000000000000e+01,7.542171500000000606e+01
9.100000000000000000e+01,7.651362600000000214e+01
9.200000000000000000e+01,7.760859700000000316e+01
9.300000000000000000e+01,7.870638300000000243e+01
9.400000000000000000e+01,7.980683100000000252e+01
9.500000000000000000e+01,8.090976700000000221e+01
9.600000000000000000e+01,8.201502999999999588e+01
9.700000000000000000e+01,8.312239800000000400e+01
9.800000000000000000e+01,8.423178099999999802e+01
9.900000000000000000e+01,8.534298699999999371e+01
1.000000000000000000e+02,8.645588700000000415e+01
1.010000000000000000e+02,8.757031999999999528e+01
1.020000000000000000e+02,8.868607299999999327e+01
1.030000000000000000e+02,8.980310099999999807e+01
1.040000000000000000e+02,9.092124200000000656e+01
1.050000000000000000e+02,9.204038199999999392e+01
1.060000000000000000e+02,9.316037799999999436e+01
1.070000000000000000e+02,9.428105899999999906e+01
1.080000000000000000e+02,9.540238999999999692e+01
1.090000000000000000e+02,9.652423100000000034e+01
1.100000000000000000e+02,9.764648400000000095e+01
1.110000000000000000e+02,9.876901200000000358e+01
1.120000000000000000e+02,9.989167799999999886e+01
1.130000000000000000e+02,1.010144499999999965e+02
1.140000000000000000e+02,1.021372199999999992e+02
1.150000000000000000e+02,1.032599000000000018e+02
1.160000000000000000e+02,1.043823600000000056e+02
1.170000000000000000e+02,1.055044900000000041e+02
1.180000000000000000e+02,1.066262700000000052e+02
1.190000000000000000e+02,1.077476199999999977e+02
1.200000000000000000e+02,1.088684400000000068e+02
1.210000000000000000e+02,1.099886599999999959e+02
1.220000000000000000e+02,1.111081400000000059e+02
1.230000000000000000e+02,1.122268899999999974e+02
1.240000000000000000e+02,1.133448300000000017e+02
1.250000000000000000e+02,1.144618799999999936e+02
1.260000000000000000e+02,1.155779699999999934e+02
1.270000000000000000e+02,1.166929999999999978e+02
1.280000000000000000e+02,1.178069700000000068e+02
1.290000000000000000e+02,1.189197900000000061e+02
1.300000000000000000e+02,1.200314500000000066e+02
1.310000000000000000e+02,1.211418500000000051e+02
1.320000000000000000e+02,1.222509000000000015e+02
1.330000000000000000e+02,1.233586300000000051e+02
1.340000000000000000e+02,1.244649900000000002e+02
1.350000000000000000e+02,1.255698900000000009e+02
1.360000000000000000e+02,1.266732400000000069e+02
1.370000000000000000e+02,1.277750900000000058e+02
1.380000000000000000e+02,1.288753800000000069e+02
1.390000000000000000e+02,1.299740600000000086e+02
1.400000000000000000e+02,1.310710100000000011e+02
1.410000000000000000e+02,1.321663100000000099e+02
1.420000000000000000e+02,1.332598700000000065e+02
1.430000000000000000e+02,1.343516500000000065e+02
1.440000000000000000e+02,1.354415700000000129e+02
1.450000000000000000e+02,1.365296899999999880e+02
1.460000000000000000e+02,1.376159399999999948e+02
1.470000000000000000e+02,1.387002400000000080e+02
1.480000000000000000e+02,1.397826499999999896e+02
1.490000000000000000e+02,1.408631100000000060e+02
1.500000000000000000e+02,1.419415600000000097e+02
1.510000000000000000e+02,1.430179400000000101e+02
1.520000000000000000e+02,1.440923200000000008e+02
1.530000000000000000e+02,1.451646299999999883e+02
1.540000000000000000e+02,1.462347900000000038e+02
1.550000000000000000e+02,1.473028899999999908e+02
1.560000000000000000e+02,1.483688400000000058e+02
1.570000000000000000e+02,1.494325900000000047e+02
1.580000000000000000e+02,1.504941699999999969e+02
1.590000000000000000e+02,1.515535600000000045e+02
1.600000000000000000e+02,1.526106699999999989e+02
1.610000000000000000e+02,1.536655700000000024e+02
1.620000000000000000e+02,1.547181899999999928e+02
1.630000000000000000e+02,1.557685700000000111e+02
1.640000000000000000e+02,1.568166500000000099e+02
1.650000000000000000e+02,1.578623699999999985e+02
1.660000000000000000e+02,1.589057799999999929e+02
1.670000000000000000e+02,1.599468400000000088e+02
1.680000000000000000e+02,1.609855000000000018e+02
1.690000000000000000e+02,1.620218199999999911e+02
1.700000000000000000e+02,1.630557300000000112e+02
1.710000000000000000e+02,1.640872200000000021e+02
1.720000000000000000e+02,1.651162899999999922e+02
1.730000000000000000e+02,1.661429300000000069e+02
1.740000000000000000e+02,1.671671299999999860e+02
1.750000000000000000e+02,1.681888299999999958e+02
1.760000000000000000e+02,1.692080799999999954e+02
1.770000000000000000e+02,1.702248199999999940e+02
1.780000000000000000e+02,1.712390599999999949e+02
1.790000000000000000e+02,1.722507799999999918e+02
1.800000000000000000e+02,1.732599800000000130e+02
1.810000000000000000e+02,1.742666299999999922e+02
1.820000000000000000e+02,1.752707699999999988e+02
1.830000000000000000e+02,1.762723200000000077e+02
1.840000000000000000e+02,1.772713300000000061e+02
1.850000000000000000e+02,1.782677600000000098e+02
1.860000000000000000e+02,1.792616099999999904e+02
1.870000000000000000e+02,1.802528399999999920e+02
1.880000000000000000e+02,1.812414899999999989e+02
1.890000000000000000e+02,1.822274899999999889e+02
1.900000000000000000e+02,1.832108900000000062e+02
1.910000000000000000e+02,1.841916200000000003e+02
1.920000000000000000e+02,1.851697399999999902e+02
1.930000000000000000e+02,1.861451900000000137e+02
1.940000000000000000e+02,1.871179799999999886e+02
1.950000000000000000e+02,1.880880999999999972e+02
1.960000000000000000e+02,1.890555300000000045e+02
1.970000000000000000e+02,1.900202800000000138e+02
1.980000000000000000e+02,1.909822800000000029e+02
1.990000000000000000e+02,1.919416500000000099e+02
2.000000000000000000e+02,1.928982499999999902e+02
2.010000000000000000e+02,1.938521100000000104e+02
2.020000000000000000e+02,1.948032699999999977e+02
2.030000000000000000e+02,1.957516599999999869e+02
2.040000000000000000e+02,1.966973099999999874e+02
2.050000000000000000e+02,1.976402300000000025e+02
2.060000000000000000e+02,1.985803400000000067e+02
2.070000000000000000e+02,1.995176700000000096e+02
2.080000000000000000e+02,2.004522399999999891e+02
2.090000000000000000e+02,2.013839900000000114e+02
2.100000000000000000e+02,2.023618500000000040e+02
2.110000000000000000e+02,2.033056200000000047e+02
2.120000000000000000e+02,2.042387699999999882e+02
2.130000000000000000e+02,2.051666099999999915e+02
2.140000000000000000e+02,2.060899000000000001e+02
2.150000000000000000e+02,2.070092500000000086e+02
2.160000000000000000e+02,2.079249000000000080e+02
2.170000000000000000e+02,2.088370400000000018e+02
2.180000000000000000e+02,2.097458200000000090e+02
2.190000000000000000e+02,2.106513500000000079e+02
2.200000000000000000e+02,2.115536299999999983e+02
2.210000000000000000e+02,2.124527600000000120e+02
2.220000000000000000e+02,2.133487900000000081e+02
2.230000000000000000e+02,2.142417599999999993e+02
2.240000000000000000e+02,2.151316799999999887e+02
2.250000000000000000e+02,2.160185500000000047e+02
2.260000000000000000e+02,2.169024200000000064e+02
2.270000000000000000e+02,2.177832899999999938e+02
2.280000000000000000e+02,2.186612100000000112e+02
2.290000000000000000e+02,2.195360599999999920e+02
2.300000000000000000e+02,2.204079000000000121e+02
2.310000000000000000e+02,2.212767299999999864e+02
2.320000000000000000e+02,2.221425600000000031e+02
2.330000000000000000e+02,2.230053900000000056e+02
2.340000000000000000e+02,2.238652199999999937e+02
2.350000000000000000e+02,2.247219800000000021e+02
2.360000000000000000e+02,2.255757000000000119e+02
2.370000000000000000e+02,2.264263300000000072e+02
2.380000000000000000e+02,2.272739100000000008e+02
2.390000000000000000e+02,2.281183900000000051e+02
2.400000000000000000e+02,2.289597899999999981e+02
2.410000000000000000e+02,2.297981000000000051e+02
2.420000000000000000e+02,2.306332700000000102e+02
2.430000000000000000e+02,2.314653299999999945e+02
2.440000000000000000e+02,2.322942500000000052e+02
2.450000000000000000e+02,2.331200300000000141e+02
2.460000000000000000e+02,2.339426300000000083e+02
2.470000000000000000e+02,2.347620699999999943e+02
2.480000000000000000e+02,2.355783099999999877e+02
2.490000000000000000e+02,2.363913599999999917e+02
2.500000000000000000e+02,2.372012000000000000e+02
2.510000000000000000e+02,2.380078300000000127e+02
2.520000000000000000e+02,2.388112199999999916e+02
2.530000000000000000e+02,2.396113599999999906e+02
2.540000000000000000e+02,2.404082300000000032e+02
2.550000000000000000e+02,2.412018600000000106e+02
2.560000000000000000e+02,2.419921999999999969e+02
2.570000000000000000e+02,2.427792499999999905e+02
2.580000000000000000e+02,2.435629900000000134e+02
2.590000000000000000e+02,2.443434000000000026e+02
2.600000000000000000e+02,2.451204999999999927e+02
2.610000000000000000e+02,2.458942600000000027e+02
2.620000000000000000e+02,2.466646700000000010e+02
2.630000000000000000e+02,2.474317000000000064e+02
2.640000000000000000e+02,2.481953900000000033e+02
2.650000000000000000e+02,2.489556900000000041e+02
2.660000000000000000e+02,2.497126199999999869e+02
2.670000000000000000e+02,2.504661399999999958e+02
2.680000000000000000e+02,2.512162299999999959e+02
2.690000000000000000e+02,2.519629099999999937e+02
2.700000000000000000e+02,2.527061500000000080e+02
2.710000000000000000e+02,2.534459200000000010e+02
2.720000000000000000e+02,2.541822500000000105e+02
2.730000000000000000e+02,2.549151300000000049e+02
2.740000000000000000e+02,2.556445500000000095e+02
2.750000000000000000e+02,2.563704500000000053e+02
2.760000000000000000e+02,2.570928599999999733e+02
2.770000000000000000e+02,2.578117700000000241e+02
2.780000000000000000e+02,2.585271599999999808e+02
2.790000000000000000e+02,2.592390399999999886e+02
2.800000000000000000e+02,2.599473899999999844e+02
2.810000000000000000e+02,2.606521900000000187e+02
2.820000000000000000e+02,2.613534200000000283e+02
2.830000000000000000e+02,2.620511200000000258e+02
2.840000000000000000e+02,2.627452400000000239e+02
2.850000000000000000e+02,2.634357600000000161e+02
2.860000000000000000e+02,2.641226800000000026e+02
2.870000000000000000e+02,2.648060300000000211e+02
2.880000000000000000e+02,2.654857799999999770e+02
2.890000000000000000e+02,2.661618700000000217e+02
2.900000000000000000e+02,2.668343499999999722e+02
2.910000000000000000e+02,2.675032299999999736e+02
2.920000000000000000e+02,2.681684000000000196e+02
2.930000000000000000e+02,2.688299600000000282e+02
