# Time [s], Temperature [C]
1.000000000000000000e+00,2.499996900000000011e+01
2.000000000000000000e+00,4.738680999999999699e+01
3.000000000000000000e+00,5.960151700000000119e+01
4.000000000000000000e+00,6.956509400000000198e+01
5.000000000000000000e+00,7.782836899999999503e+01
6.000000000000000000e+00,8.507639299999999594e+01
7.000000000000000000e+00,9.155425999999999931e+01
8.000000000000000000e+00,9.745082899999999881e+01
9.000000000000000000e+00,1.028798500000000047e+02
1.000000000000000000e+01,1.079243500000000040e+02
1.100000000000000000e+01,1.126463899999999967e+02
1.200000000000000000e+01,1.170913800000000009e+02
1.300000000000000000e+01,1.212964199999999977e+02
1.400000000000000000e+01,1.252909300000000030e+02
1.500000000000000000e+01,1.290959000000000003e+02
1.600000000000000000e+01,1.327330499999999915e+02
1.700000000000000000e+01,1.362187999999999874e+02
1.800000000000000000e+01,1.395655399999999986e+02
1.900000000000000000e+01,1.427861200000000110e+02
2.000000000000000000e+01,1.458907600000000002e+02
2.100000000000000000e+01,1.488891299999999944e+02
2.200000000000000000e+01,1.517870000000000061e+02
2.300000000000000000e+01,1.545943499999999915e+02
2.400000000000000000e+01,1.573152499999999918e+02
2.500000000000000000e+01,1.599553799999999910e+02
2.600000000000000000e+01,1.625201900000000137e+02
2.700000000000000000e+01,1.650140199999999879e+02
2.800000000000000000e+01,1.674405199999999923e+02
2.900000000000000000e+01,1.698047799999999938e+02
3.000000000000000000e+01,1.721086699999999894e+02
3.100000000000000000e+01,1.743554800000000000e+02
3.200000000000000000e+01,1.765491800000000069e+02
3.300000000000000000e+01,1.786902800000000013e+02
3.400000000000000000e+01,1.807836000000000070e+02
3.500000000000000000e+01,1.828300299999999936e+02
3.600000000000000000e+01,1.848312699999999893e+02
3.700000000000000000e+01,1.867904399999999896e+02
3.800000000000000000e+01,1.887088599999999872e+02
3.900000000000000000e+01,1.905881200000000035e+02
4.000000000000000000e+01,1.924290499999999895e+02
4.100000000000000000e+01,1.942343899999999906e+02
4.200000000000000000e+01,1.960051899999999989e+02
4.300000000000000000e+01,1.977423100000000034e+02
4.400000000000000000e+01,1.994475999999999942e+02
4.500000000000000000e+01,2.011214899999999943e+02
