Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.47e+12,8.08e+13,1.0,0.0,1035.1816273553063,1084.5414381671765,0.1575956064249168,0.7580489115809431,1.69e+05,1.79e+05,87019.59362567344,286333.78786014684,10792.931832385244,100000000.0,0.0005037529987836516,0.7413221384850163,0.5385806154098344,0.7909238531263126,0.94,0.25048451639239444,0.0511025929810747,0.00013723126379918378,0.00045018191254490354,1.0962729440352164,1.6231709442810502,0.0,0.0,1683.0,1235.0,
0,297.9911,2.47e+12,8.08e+13,1.0,0.0,1035.1816273553063,1084.5414381671765,0.1575956064249168,0.7580489115809431,1.69e+05,1.79e+05,87019.59362567344,286333.78786014684,10792.931832385244,100000000.0,0.0005037529987836516,0.7413221384850163,0.5385806154098344,0.7909238531263126,0.94,0.25048451639239444,0.0511025929810747,0.00013723126379918378,0.00045018191254490354,1.0962729440352164,1.6231709442810502,0.0,0.0,1683.0,1235.0,
1,597.3153,2.47e+12,8.08e+13,1.0,0.0,1035.1816273553063,1084.5414381671765,0.1575956064249168,0.7580489115809431,1.69e+05,1.79e+05,87019.59362567344,286333.78786014684,10792.931832385244,100000000.0,0.0005037529987836516,0.7413221384850163,0.5385806154098344,0.7909238531263126,0.94,0.25048451639239444,0.0511025929810747,0.00013723126379918378,0.00045018191254490354,1.0962729440352164,1.6231709442810502,0.0,0.0,1683.0,1235.0,
2,904.4606,2.34e+12,7.42e+13,1.0,0.0,1080.694594128003,2213.1333008986912,0.10268701441164355,0.6933380155993945,1.80e+05,1.90e+05,184072.3700299461,195933.68381845622,19773.276408849073,100000000.0,0.00039668691277736816,0.7361046828861868,0.5278245138584587,0.8524929922927725,0.94,0.4828376004274739,0.1924684828344334,5.731071864581625e-05,0.00034854626691987545,0.9775834285324672,1.5015417983810848,0.0,0.0,1683.0,1235.0,
3,1209.6018,2.37e+12,7.65e+13,1.0,0.0,1175.3107359784904,1137.7417488923338,0.13355263584856936,0.6925076602254041,1.73e+05,1.81e+05,237396.2227866709,244252.00930100324,22726.997323957712,100000000.0,0.0001558627365062376,0.7329523748956137,0.5352969912095938,0.8679544490063813,0.94,0.3458059843558976,0.14189269218932393,4.7743525486957164e-05,0.00037572967588365167,0.9684629578239796,1.5166212686730949,0.0,0.0,1683.0,1235.0,
4,1522.0474,2.37e+12,7.63e+13,1.0,0.0,1199.5363681929643,1815.3135775751489,0.12626229389675903,0.6089680766156385,1.75e+05,1.83e+05,202978.31942942436,206759.35333440354,17472.555815805787,100000000.0,0.00013235218075510606,0.738202290367233,0.5321686703476192,0.8773881274902237,0.94,0.32910766498837407,0.15527214125381034,5.9422952334084166e-05,0.0004819674931027004,0.974303931507279,1.5240965595640108,0.0,0.0,1683.0,1235.0,
5,1842.9918,2.36e+12,7.62e+13,1.0,0.0,1140.7931384269446,1490.3400905133349,0.13521332972441924,0.6469885192332021,1.74e+05,1.83e+05,221558.49722229625,246289.4512094594,21282.615191646233,100000000.0,0.00010137365621958009,0.7328854831538438,0.5288500221819523,0.8600592295370031,0.94,0.3468514530277406,0.16077262957596583,5.605134119009908e-05,0.0004746362373361897,0.9826425099489137,1.5348272748927823,0.0,0.0,1683.0,1235.0,
6,2166.9194,2.36e+12,7.60e+13,1.0,0.0,1155.977029824557,1633.8098600416697,0.1315275313039286,0.6558909549267199,1.74e+05,1.83e+05,225544.28466612854,228957.9257584563,21717.715980929413,100000000.0,8.166976441856386e-05,0.7322466832974748,0.5305356763974483,0.8714939949198861,0.94,0.33286939518354036,0.16102055005368637,5.389323339271938e-05,0.00045691999369492677,0.975537507486486,1.5264739725451002,0.0,0.0,1683.0,1235.0,
7,2489.3328,2.36e+12,7.61e+13,1.0,0.0,1124.4725889336696,1657.6160562871005,0.1329005433428021,0.6160218116549474,1.75e+05,1.84e+05,223151.63774739354,232782.7157125735,20985.932180533466,100000000.0,7.15862822072062e-05,0.7308158089203878,0.5321137472744868,0.8745452251871719,0.94,0.32723711665351213,0.16463105113727716,5.3089866046774564e-05,0.00046780655781543466,0.9738243170695362,1.5296990368392238,0.0,0.0,1683.0,1235.0,
8,2826.3669,2.36e+12,7.61e+13,1.0,0.0,1156.059793769491,1702.5307290901046,0.13073121139160654,0.6188618973945679,1.74e+05,1.83e+05,218588.7950207466,234192.7267911871,20245.96349148278,100000000.0,6.40308529379414e-05,0.7312920386197673,0.5308822820975837,0.8802981196844912,0.94,0.33417696510690187,0.16819029124770923,5.296250922214744e-05,0.0004795109728254393,0.977240466713164,1.5298082965513404,0.0,0.0,1683.0,1235.0,
9,3154.3502,2.35e+12,7.58e+13,1.0,0.0,1135.5908669255828,1653.1641059338667,0.12802737101483502,0.6236829527930448,1.75e+05,1.84e+05,225112.78697781987,227939.20006576594,21218.83410119557,100000000.0,6.0579505232873595e-05,0.7299830958169663,0.5312233177251966,0.8749676494674764,0.94,0.33371821813149294,0.16218685489964524,5.177271418250677e-05,0.00046556247401496594,0.9753635523128392,1.5230319061867508,0.0,0.0,1683.0,1235.0,
10,3490.5483,2.34e+12,7.56e+13,1.0,0.0,1156.425743602693,1714.1553985527826,0.1257844686251198,0.61316347334559,1.75e+05,1.84e+05,220046.35068125144,223902.9183542673,21043.178699023127,100000000.0,5.786317943320507e-05,0.7321673106879154,0.5292391306644255,0.8901616358626574,0.94,0.33838990089211507,0.16855063097786316,4.57685365717582e-05,0.00047738369462324256,0.9770277187587236,1.5136448857561344,0.0,0.0,1683.0,1235.0,
