# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.040000000141642594e-02
7.000000000000000000e+00,4.825699198029582276e-02
8.000000000000000000e+00,7.455399559927175512e-02
9.000000000000000000e+00,1.076266210163906445e-01
1.000000000000000000e+01,1.486326171179766509e-01
1.100000000000000000e+01,1.973298082318193925e-01
1.200000000000000000e+01,2.533947939768209645e-01
1.300000000000000000e+01,3.162546905720634016e-01
1.400000000000000000e+01,3.851821291177642825e-01
1.500000000000000000e+01,4.594029858491819329e-01
1.600000000000000000e+01,5.381169353389892995e-01
1.700000000000000000e+01,6.205939958416972768e-01
1.800000000000000000e+01,7.061418160755872364e-01
1.900000000000000000e+01,7.941484670056929707e-01
2.000000000000000000e+01,8.840691777725829814e-01
2.100000000000000000e+01,9.754325828424813549e-01
2.200000000000000000e+01,1.067826548311365586e+00
2.300000000000000000e+01,1.160897294100729393e+00
2.400000000000000000e+01,1.254339639865967637e+00
2.500000000000000000e+01,1.347898535662611419e+00
2.600000000000000000e+01,1.441358257700906531e+00
2.700000000000000000e+01,1.534529681545208080e+00
2.800000000000000000e+01,1.627258521318948992e+00
2.900000000000000000e+01,1.719414210670571430e+00
3.000000000000000000e+01,1.810891369090665171e+00
3.100000000000000000e+01,1.901598586367507782e+00
3.200000000000000000e+01,1.991461846186059592e+00
3.300000000000000000e+01,2.080421827188633888e+00
3.400000000000000000e+01,2.168430114651092477e+00
3.500000000000000000e+01,2.255448320714951382e+00
3.600000000000000000e+01,2.341448001853568162e+00
3.700000000000000000e+01,2.426407085231629512e+00
3.800000000000000000e+01,2.510309649526652809e+00
3.900000000000000000e+01,2.593143011202566850e+00
4.000000000000000000e+01,2.674900474385329296e+00
4.100000000000000000e+01,2.755579979297976934e+00
4.200000000000000000e+01,2.835182090729797100e+00
4.300000000000000000e+01,2.913705262828713671e+00
4.400000000000000000e+01,2.991154045738472433e+00
4.500000000000000000e+01,3.067535065743775213e+00
4.600000000000000000e+01,3.142851496721109417e+00
4.700000000000000000e+01,3.217111480820525671e+00
4.800000000000000000e+01,3.290324947471164663e+00
4.900000000000000000e+01,3.362498014724535800e+00
5.000000000000000000e+01,3.433640882788112858e+00
5.100000000000000000e+01,3.503760619899890738e+00
5.200000000000000000e+01,3.572865962975826370e+00
5.300000000000000000e+01,3.640967181934969155e+00
5.400000000000000000e+01,3.708073592393837270e+00
5.500000000000000000e+01,3.774195289054419700e+00
5.600000000000000000e+01,3.839342552108866879e+00
5.700000000000000000e+01,3.903525528996753646e+00
5.800000000000000000e+01,3.966754354603715615e+00
5.900000000000000000e+01,4.029039687948508863e+00
6.000000000000000000e+01,4.090392528816537698e+00
6.100000000000000000e+01,4.150824682910271513e+00
6.200000000000000000e+01,4.210349616013134622e+00
6.300000000000000000e+01,4.268977520991683150e+00
6.400000000000000000e+01,4.326720242211522738e+00
6.500000000000000000e+01,4.383592029105605192e+00
6.600000000000000000e+01,4.439606915164214129e+00
6.700000000000000000e+01,4.494776313050667937e+00
6.800000000000000000e+01,4.549114366341301618e+00
6.900000000000000000e+01,4.602635818073063767e+00
7.000000000000000000e+01,4.655353579628673799e+00
7.100000000000000000e+01,4.707283808416547366e+00
7.200000000000000000e+01,4.758438599126071367e+00
7.300000000000000000e+01,4.808834225856774225e+00
7.400000000000000000e+01,4.858483696800129259e+00
7.500000000000000000e+01,4.907402889915538857e+00
7.600000000000000000e+01,4.955605201034783747e+00
7.700000000000000000e+01,5.003106906436737944e+00
7.800000000000000000e+01,5.049921051158902330e+00
7.900000000000000000e+01,5.096062597001406402e+00
8.000000000000000000e+01,5.141545451486671858e+00
8.100000000000000000e+01,5.186385247864564008e+00
8.200000000000000000e+01,5.230593886019227590e+00
8.300000000000000000e+01,5.274186736000230802e+00
8.400000000000000000e+01,5.317176803014163511e+00
8.500000000000000000e+01,5.359578170928793739e+00
8.600000000000000000e+01,5.401403507620419653e+00
8.700000000000000000e+01,5.442664841600503678e+00
8.800000000000000000e+01,5.483376993977351788e+00
8.900000000000000000e+01,5.523550467577363676e+00
9.000000000000000000e+01,5.563982946928624607e+00
9.100000000000000000e+01,5.603422641216591060e+00
9.200000000000000000e+01,5.642239627582465999e+00
9.300000000000000000e+01,5.680525059686500455e+00
9.400000000000000000e+01,5.718303983875672181e+00
9.500000000000000000e+01,5.755593957258924753e+00
9.600000000000000000e+01,5.792412512631031518e+00
9.700000000000000000e+01,5.828772273837594220e+00
9.800000000000000000e+01,5.864686605460270208e+00
9.900000000000000000e+01,5.900166847722339014e+00
1.000000000000000000e+02,5.935223170565381068e+00
1.010000000000000000e+02,5.969867205879503480e+00
1.020000000000000000e+02,6.004109011319879841e+00
1.030000000000000000e+02,6.037955363266726216e+00
1.040000000000000000e+02,6.071416004797729471e+00
1.050000000000000000e+02,6.104498208198751996e+00
1.060000000000000000e+02,6.137209301670062622e+00
1.070000000000000000e+02,6.169556605766297608e+00
1.080000000000000000e+02,6.201545669458666588e+00
1.090000000000000000e+02,6.233184669491999230e+00
1.100000000000000000e+02,6.264479268396131673e+00
1.110000000000000000e+02,6.295436136387257520e+00
1.120000000000000000e+02,6.326061616184204262e+00
1.130000000000000000e+02,6.356360899565757450e+00
1.140000000000000000e+02,6.386341182137781125e+00
1.150000000000000000e+02,6.416007988414669683e+00
1.160000000000000000e+02,6.445366883801108671e+00
1.170000000000000000e+02,6.474423585336494646e+00
1.180000000000000000e+02,6.503182765742973714e+00
1.190000000000000000e+02,6.531650569413801399e+00
1.200000000000000000e+02,6.559831557562671556e+00
1.210000000000000000e+02,6.587731204139986474e+00
1.220000000000000000e+02,6.615354788513535311e+00
1.230000000000000000e+02,6.642705017002019652e+00
1.240000000000000000e+02,6.669787654146415612e+00
1.250000000000000000e+02,6.696605918656247880e+00
1.260000000000000000e+02,6.723164728788561639e+00
1.270000000000000000e+02,6.749467039011696201e+00
1.280000000000000000e+02,6.775517486274664769e+00
1.290000000000000000e+02,6.801319289786206923e+00
1.300000000000000000e+02,6.826876063135427941e+00
1.310000000000000000e+02,6.852190304231386087e+00
1.320000000000000000e+02,6.877266406502227980e+00
1.330000000000000000e+02,6.902106659360133456e+00
1.340000000000000000e+02,6.926713275604527098e+00
1.350000000000000000e+02,6.951090332380234216e+00
1.360000000000000000e+02,6.975239135481430708e+00
1.370000000000000000e+02,6.999163093902161847e+00
1.380000000000000000e+02,7.022864088567299490e+00
1.390000000000000000e+02,7.046344409935629827e+00
1.400000000000000000e+02,7.069607447246194276e+00
1.410000000000000000e+02,7.092654860730198685e+00
1.420000000000000000e+02,7.115490568192069709e+00
1.430000000000000000e+02,7.138116767955422937e+00
1.440000000000000000e+02,7.160537418109279351e+00
1.450000000000000000e+02,7.182754325182451716e+00
1.460000000000000000e+02,7.204768789291941644e+00
1.470000000000000000e+02,7.226582516156018876e+00
1.480000000000000000e+02,7.248196268078038962e+00
1.490000000000000000e+02,7.269609670319619354e+00
1.500000000000000000e+02,7.290823666349282917e+00
1.510000000000000000e+02,7.311837414008742542e+00
1.520000000000000000e+02,7.332651384014445384e+00
1.530000000000000000e+02,7.353264940966294461e+00
1.540000000000000000e+02,7.373678311335766011e+00
1.550000000000000000e+02,7.393890846253612814e+00
1.560000000000000000e+02,7.413903174433792209e+00
1.570000000000000000e+02,7.433713989948968148e+00
1.580000000000000000e+02,7.453323685150092359e+00
1.590000000000000000e+02,7.472732419007297011e+00
1.600000000000000000e+02,7.491939080042062216e+00
1.610000000000000000e+02,7.510943808093645480e+00
1.620000000000000000e+02,7.529746310517122510e+00
1.630000000000000000e+02,7.548346077926145092e+00
1.640000000000000000e+02,7.566742388933183960e+00
1.650000000000000000e+02,7.584934314618877238e+00
1.660000000000000000e+02,7.602922140315998334e+00
1.670000000000000000e+02,7.620704917721185190e+00
1.680000000000000000e+02,7.638280894267805543e+00
1.690000000000000000e+02,7.655649927335264948e+00
1.700000000000000000e+02,7.672810464559990606e+00
1.710000000000000000e+02,7.689761752031397890e+00
1.720000000000000000e+02,7.706502436176224435e+00
1.730000000000000000e+02,7.723031753435909863e+00
1.740000000000000000e+02,7.739347757949643025e+00
1.750000000000000000e+02,7.755449096974135870e+00
1.760000000000000000e+02,7.771334028360470825e+00
1.770000000000000000e+02,7.787001006531886205e+00
1.780000000000000000e+02,7.802482904163418276e+00
1.790000000000000000e+02,7.817727779923627551e+00
1.800000000000000000e+02,7.832749726259040202e+00
1.810000000000000000e+02,7.847552326675421241e+00
1.820000000000000000e+02,7.862135863980029171e+00
1.830000000000000000e+02,7.876500212127604428e+00
