# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500002299999999877e+01
7.000000000000000000e+00,2.500009500000000173e+01
8.000000000000000000e+00,2.500033399999999872e+01
9.000000000000000000e+00,2.500099000000000160e+01
1.000000000000000000e+01,2.500255999999999901e+01
1.100000000000000000e+01,2.500589000000000084e+01
1.200000000000000000e+01,2.501226799999999884e+01
1.300000000000000000e+01,2.502346999999999966e+01
1.400000000000000000e+01,2.504174400000000134e+01
1.500000000000000000e+01,2.506976900000000086e+01
1.600000000000000000e+01,2.511054599999999937e+01
1.700000000000000000e+01,2.516730300000000042e+01
1.800000000000000000e+01,2.524337600000000137e+01
1.900000000000000000e+01,2.534210799999999963e+01
2.000000000000000000e+01,2.546676400000000129e+01
2.100000000000000000e+01,2.562044900000000069e+01
2.200000000000000000e+01,2.580605699999999914e+01
2.300000000000000000e+01,2.602625499999999903e+01
2.400000000000000000e+01,2.628342100000000059e+01
2.500000000000000000e+01,2.657964700000000136e+01
2.600000000000000000e+01,2.691675800000000152e+01
2.700000000000000000e+01,2.729628800000000055e+01
2.800000000000000000e+01,2.771948799999999835e+01
2.900000000000000000e+01,2.818735699999999866e+01
3.000000000000000000e+01,2.870066999999999879e+01
3.100000000000000000e+01,2.925992799999999860e+01
3.200000000000000000e+01,2.986542899999999889e+01
3.300000000000000000e+01,3.051733000000000118e+01
3.400000000000000000e+01,3.121557800000000071e+01
3.500000000000000000e+01,3.195996299999999835e+01
3.600000000000000000e+01,3.275013700000000227e+01
3.700000000000000000e+01,3.358565099999999859e+01
3.800000000000000000e+01,3.446590400000000187e+01
3.900000000000000000e+01,3.539021699999999981e+01
4.000000000000000000e+01,3.635787200000000041e+01
4.100000000000000000e+01,3.736800399999999911e+01
4.200000000000000000e+01,3.841973899999999986e+01
4.300000000000000000e+01,3.951205399999999912e+01
4.400000000000000000e+01,4.064399300000000181e+01
4.500000000000000000e+01,4.181454099999999841e+01
4.600000000000000000e+01,4.302258700000000147e+01
4.700000000000000000e+01,4.426698700000000031e+01
4.800000000000000000e+01,4.554662700000000086e+01
4.900000000000000000e+01,4.686029099999999659e+01
5.000000000000000000e+01,4.820680200000000326e+01
5.100000000000000000e+01,4.958498399999999862e+01
5.200000000000000000e+01,5.099351500000000215e+01
5.300000000000000000e+01,5.243125899999999717e+01
5.400000000000000000e+01,5.396767799999999937e+01
5.500000000000000000e+01,5.548794600000000088e+01
5.600000000000000000e+01,5.702310200000000151e+01
5.700000000000000000e+01,5.857903300000000257e+01
5.800000000000000000e+01,6.015556300000000078e+01
5.900000000000000000e+01,6.175223199999999935e+01
6.000000000000000000e+01,6.336818300000000193e+01
6.100000000000000000e+01,6.500251799999999491e+01
6.200000000000000000e+01,6.665434999999999377e+01
6.300000000000000000e+01,6.832260100000000591e+01
6.400000000000000000e+01,7.000630200000000514e+01
6.500000000000000000e+01,7.170453600000000449e+01
6.600000000000000000e+01,7.341640499999999747e+01
6.700000000000000000e+01,7.514102200000000664e+01
6.800000000000000000e+01,7.687741099999999506e+01
6.900000000000000000e+01,7.862474100000000021e+01
7.000000000000000000e+01,8.038218700000000183e+01
7.100000000000000000e+01,8.214888000000000545e+01
7.200000000000000000e+01,8.392410999999999888e+01
7.300000000000000000e+01,8.570702400000000409e+01
7.400000000000000000e+01,8.749695599999999729e+01
7.500000000000000000e+01,8.929313700000000154e+01
7.600000000000000000e+01,9.109499399999999980e+01
7.700000000000000000e+01,9.290180200000000355e+01
7.800000000000000000e+01,9.471302000000000021e+01
7.900000000000000000e+01,9.652800799999999981e+01
8.000000000000000000e+01,9.834630599999999845e+01
8.100000000000000000e+01,1.001672999999999973e+02
8.200000000000000000e+01,1.019905700000000053e+02
8.300000000000000000e+01,1.038156100000000066e+02
8.400000000000000000e+01,1.056420300000000054e+02
8.500000000000000000e+01,1.074693800000000010e+02
8.600000000000000000e+01,1.092972299999999990e+02
8.700000000000000000e+01,1.111252999999999957e+02
8.800000000000000000e+01,1.129531499999999937e+02
8.900000000000000000e+01,1.147805100000000067e+02
9.000000000000000000e+01,1.166070200000000057e+02
9.100000000000000000e+01,1.184324299999999965e+02
9.200000000000000000e+01,1.202564200000000056e+02
9.300000000000000000e+01,1.220788000000000011e+02
9.400000000000000000e+01,1.238992800000000045e+02
9.500000000000000000e+01,1.257175900000000013e+02
9.600000000000000000e+01,1.275335699999999974e+02
9.700000000000000000e+01,1.293469399999999894e+02
9.800000000000000000e+01,1.311575499999999863e+02
9.900000000000000000e+01,1.329651599999999974e+02
1.000000000000000000e+02,1.347696799999999939e+02
1.010000000000000000e+02,1.365708600000000104e+02
1.020000000000000000e+02,1.383685900000000117e+02
1.030000000000000000e+02,1.401626699999999914e+02
1.040000000000000000e+02,1.419530200000000093e+02
1.050000000000000000e+02,1.437394299999999987e+02
1.060000000000000000e+02,1.455218199999999911e+02
1.070000000000000000e+02,1.473000299999999925e+02
1.080000000000000000e+02,1.490739700000000028e+02
1.090000000000000000e+02,1.508434799999999996e+02
1.100000000000000000e+02,1.526084600000000080e+02
1.110000000000000000e+02,1.543688999999999965e+02
1.120000000000000000e+02,1.561250000000000000e+02
1.130000000000000000e+02,1.578761599999999987e+02
1.140000000000000000e+02,1.596223400000000083e+02
1.150000000000000000e+02,1.613635299999999972e+02
1.160000000000000000e+02,1.630997199999999907e+02
1.170000000000000000e+02,1.648307599999999979e+02
1.180000000000000000e+02,1.665567200000000128e+02
1.190000000000000000e+02,1.682776800000000037e+02
1.200000000000000000e+02,1.699937400000000025e+02
1.210000000000000000e+02,1.717048200000000122e+02
1.220000000000000000e+02,1.734110100000000045e+02
1.230000000000000000e+02,1.751124399999999923e+02
1.240000000000000000e+02,1.768089300000000037e+02
1.250000000000000000e+02,1.785004000000000133e+02
1.260000000000000000e+02,1.801867399999999861e+02
1.270000000000000000e+02,1.818678600000000074e+02
1.280000000000000000e+02,1.835437300000000107e+02
1.290000000000000000e+02,1.852141399999999862e+02
1.300000000000000000e+02,1.868789800000000128e+02
1.310000000000000000e+02,1.885381600000000049e+02
1.320000000000000000e+02,1.901915600000000097e+02
1.330000000000000000e+02,1.918390799999999956e+02
1.340000000000000000e+02,1.934806499999999971e+02
1.350000000000000000e+02,1.951161800000000142e+02
1.360000000000000000e+02,1.967455600000000118e+02
1.370000000000000000e+02,1.983686999999999898e+02
1.380000000000000000e+02,1.999855300000000113e+02
1.390000000000000000e+02,2.015959599999999909e+02
1.400000000000000000e+02,2.031999099999999885e+02
1.410000000000000000e+02,2.047972599999999943e+02
1.420000000000000000e+02,2.063879399999999862e+02
1.430000000000000000e+02,2.079718499999999892e+02
1.440000000000000000e+02,2.095488900000000001e+02
1.450000000000000000e+02,2.111190200000000061e+02
1.460000000000000000e+02,2.126820700000000102e+02
1.470000000000000000e+02,2.142380200000000059e+02
1.480000000000000000e+02,2.157867300000000057e+02
1.490000000000000000e+02,2.173280799999999999e+02
1.500000000000000000e+02,2.188619700000000137e+02
1.510000000000000000e+02,2.203883500000000026e+02
1.520000000000000000e+02,2.219070700000000045e+02
1.530000000000000000e+02,2.234179499999999905e+02
1.540000000000000000e+02,2.249209600000000080e+02
1.550000000000000000e+02,2.264159899999999936e+02
1.560000000000000000e+02,2.279028600000000040e+02
1.570000000000000000e+02,2.293814399999999978e+02
1.580000000000000000e+02,2.308516700000000128e+02
1.590000000000000000e+02,2.323136599999999987e+02
1.600000000000000000e+02,2.337667800000000113e+02
1.610000000000000000e+02,2.352111199999999940e+02
1.620000000000000000e+02,2.366465800000000002e+02
1.630000000000000000e+02,2.380732399999999984e+02
1.640000000000000000e+02,2.394911500000000046e+02
1.650000000000000000e+02,2.409001800000000060e+02
1.660000000000000000e+02,2.423002899999999897e+02
1.670000000000000000e+02,2.436912700000000029e+02
1.680000000000000000e+02,2.450728599999999915e+02
1.690000000000000000e+02,2.464447800000000086e+02
1.700000000000000000e+02,2.478066900000000032e+02
1.710000000000000000e+02,2.491583100000000002e+02
1.720000000000000000e+02,2.504992699999999957e+02
1.730000000000000000e+02,2.518292999999999893e+02
1.740000000000000000e+02,2.531481499999999869e+02
1.750000000000000000e+02,2.544554300000000069e+02
1.760000000000000000e+02,2.557508699999999919e+02
1.770000000000000000e+02,2.570342099999999732e+02
1.780000000000000000e+02,2.583052400000000262e+02
1.790000000000000000e+02,2.595636000000000081e+02
1.800000000000000000e+02,2.608089600000000132e+02
1.810000000000000000e+02,2.620410800000000222e+02
1.820000000000000000e+02,2.632596100000000092e+02
1.830000000000000000e+02,2.644642600000000243e+02
1.840000000000000000e+02,2.656547499999999786e+02
1.850000000000000000e+02,2.668307800000000043e+02
1.860000000000000000e+02,2.679919699999999807e+02
1.870000000000000000e+02,2.691380899999999770e+02
1.880000000000000000e+02,2.702687999999999988e+02
1.890000000000000000e+02,2.713837300000000141e+02
1.900000000000000000e+02,2.724827000000000226e+02
1.910000000000000000e+02,2.735653399999999920e+02
1.920000000000000000e+02,2.746313499999999976e+02
1.930000000000000000e+02,2.756804200000000264e+02
1.940000000000000000e+02,2.767123700000000213e+02
1.950000000000000000e+02,2.777269000000000005e+02
1.960000000000000000e+02,2.787237900000000081e+02
1.970000000000000000e+02,2.797027299999999741e+02
1.980000000000000000e+02,2.806682400000000257e+02
1.990000000000000000e+02,2.816139200000000073e+02
2.000000000000000000e+02,2.825415300000000229e+02
2.010000000000000000e+02,2.834515099999999848e+02
2.020000000000000000e+02,2.843438400000000001e+02
2.030000000000000000e+02,2.852182900000000245e+02
2.040000000000000000e+02,2.860745499999999879e+02
2.050000000000000000e+02,2.869123200000000224e+02
2.060000000000000000e+02,2.877313500000000204e+02
2.070000000000000000e+02,2.885314900000000193e+02
2.080000000000000000e+02,2.893126500000000192e+02
2.090000000000000000e+02,2.900748899999999821e+02
2.100000000000000000e+02,2.908183300000000031e+02
2.110000000000000000e+02,2.915431800000000067e+02
2.120000000000000000e+02,2.922496300000000247e+02
2.130000000000000000e+02,2.929379299999999944e+02
2.140000000000000000e+02,2.936084000000000174e+02
2.150000000000000000e+02,2.942614399999999932e+02
2.160000000000000000e+02,2.948974000000000046e+02
2.170000000000000000e+02,2.955166600000000017e+02
2.180000000000000000e+02,2.961197500000000105e+02
2.190000000000000000e+02,2.967070299999999747e+02
2.200000000000000000e+02,2.972790499999999838e+02
2.210000000000000000e+02,2.978362999999999943e+02
2.220000000000000000e+02,2.983793000000000006e+02
2.230000000000000000e+02,2.989085699999999974e+02
2.240000000000000000e+02,2.994246200000000044e+02
2.250000000000000000e+02,2.999280999999999722e+02
2.260000000000000000e+02,3.004194600000000150e+02
2.270000000000000000e+02,3.008993199999999888e+02
2.280000000000000000e+02,3.013682900000000018e+02
2.290000000000000000e+02,3.018268699999999853e+02
2.300000000000000000e+02,3.022756299999999783e+02
2.310000000000000000e+02,3.027402299999999968e+02
2.320000000000000000e+02,3.031856999999999971e+02
2.330000000000000000e+02,3.036210599999999999e+02
2.340000000000000000e+02,3.040484299999999962e+02
2.350000000000000000e+02,3.044677399999999921e+02
2.360000000000000000e+02,3.048793299999999817e+02
2.370000000000000000e+02,3.052835400000000163e+02
2.380000000000000000e+02,3.056809400000000210e+02
2.390000000000000000e+02,3.060720800000000281e+02
2.400000000000000000e+02,3.064575800000000072e+02
2.410000000000000000e+02,3.068380700000000161e+02
2.420000000000000000e+02,3.072140200000000050e+02
2.430000000000000000e+02,3.075859699999999748e+02
2.440000000000000000e+02,3.079544399999999769e+02
2.450000000000000000e+02,3.083199200000000246e+02
2.460000000000000000e+02,3.086827999999999861e+02
2.470000000000000000e+02,3.090435499999999820e+02
2.480000000000000000e+02,3.094025300000000129e+02
2.490000000000000000e+02,3.097601000000000226e+02
2.500000000000000000e+02,3.101165500000000179e+02
2.510000000000000000e+02,3.104722600000000057e+02
2.520000000000000000e+02,3.108275100000000180e+02
2.530000000000000000e+02,3.111826199999999858e+02
2.540000000000000000e+02,3.115377799999999979e+02
2.550000000000000000e+02,3.118932800000000043e+02
2.560000000000000000e+02,3.122493600000000242e+02
2.570000000000000000e+02,3.126061700000000201e+02
2.580000000000000000e+02,3.129640200000000050e+02
2.590000000000000000e+02,3.133230599999999981e+02
2.600000000000000000e+02,3.136834999999999809e+02
2.610000000000000000e+02,3.140455299999999852e+02
2.620000000000000000e+02,3.144092999999999734e+02
2.630000000000000000e+02,3.148507999999999925e+02
2.640000000000000000e+02,3.152549700000000144e+02
2.650000000000000000e+02,3.156477699999999800e+02
2.660000000000000000e+02,3.160364700000000084e+02
2.670000000000000000e+02,3.164227000000000203e+02
2.680000000000000000e+02,3.168083799999999997e+02
2.690000000000000000e+02,3.171944599999999923e+02
2.700000000000000000e+02,3.175818199999999933e+02
2.710000000000000000e+02,3.179710099999999784e+02
2.720000000000000000e+02,3.183625200000000177e+02
2.730000000000000000e+02,3.187567099999999982e+02
2.740000000000000000e+02,3.191538400000000024e+02
2.750000000000000000e+02,3.195541699999999992e+02
2.760000000000000000e+02,3.199578900000000203e+02
2.770000000000000000e+02,3.203652000000000157e+02
2.780000000000000000e+02,3.207762799999999856e+02
2.790000000000000000e+02,3.211912500000000250e+02
2.800000000000000000e+02,3.216103499999999826e+02
2.810000000000000000e+02,3.220335999999999785e+02
2.820000000000000000e+02,3.224612099999999941e+02
2.830000000000000000e+02,3.228933700000000044e+02
2.840000000000000000e+02,3.233301399999999717e+02
2.850000000000000000e+02,3.237717000000000098e+02
2.860000000000000000e+02,3.242181400000000053e+02
2.870000000000000000e+02,3.246696499999999901e+02
2.880000000000000000e+02,3.251262500000000273e+02
2.890000000000000000e+02,3.255881699999999910e+02
2.900000000000000000e+02,3.260554799999999886e+02
2.910000000000000000e+02,3.265285299999999893e+02
2.920000000000000000e+02,3.270072599999999738e+02
2.930000000000000000e+02,3.274918799999999806e+02
