# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.999999400000000316e-01
1.400000000000000000e+01,9.999998799999999521e-01
1.500000000000000000e+01,9.999997600000000153e-01
1.600000000000000000e+01,9.999995799999999990e-01
1.700000000000000000e+01,9.999991700000000483e-01
1.800000000000000000e+01,9.999985099999999516e-01
1.900000000000000000e+01,9.999974400000000152e-01
2.000000000000000000e+01,9.999957099999999821e-01
2.100000000000000000e+01,9.999930900000000289e-01
2.200000000000000000e+01,9.999890900000000249e-01
2.300000000000000000e+01,9.999831300000000534e-01
2.400000000000000000e+01,9.999744900000000492e-01
2.500000000000000000e+01,9.999622700000000419e-01
2.600000000000000000e+01,9.999452199999999680e-01
2.700000000000000000e+01,9.999218600000000512e-01
2.800000000000000000e+01,9.998904499999999862e-01
2.900000000000000000e+01,9.998489000000000404e-01
3.000000000000000000e+01,9.997949000000000419e-01
3.100000000000000000e+01,9.997256399999999710e-01
3.200000000000000000e+01,9.996382600000000007e-01
3.300000000000000000e+01,9.995294200000000018e-01
3.400000000000000000e+01,9.993958499999999745e-01
3.500000000000000000e+01,9.992341399999999929e-01
3.600000000000000000e+01,9.990409599999999779e-01
3.700000000000000000e+01,9.988132100000000069e-01
3.800000000000000000e+01,9.985481499999999677e-01
3.900000000000000000e+01,9.982433299999999843e-01
4.000000000000000000e+01,9.978971500000000106e-01
4.100000000000000000e+01,9.975083500000000436e-01
4.200000000000000000e+01,9.970761500000000499e-01
4.300000000000000000e+01,9.966007500000000352e-01
4.400000000000000000e+01,9.960826000000000402e-01
4.500000000000000000e+01,9.955222599999999922e-01
4.600000000000000000e+01,9.949212699999999687e-01
4.700000000000000000e+01,9.942812899999999843e-01
4.800000000000000000e+01,9.936034700000000441e-01
4.900000000000000000e+01,9.928902400000000350e-01
5.000000000000000000e+01,9.921433299999999900e-01
5.100000000000000000e+01,9.913641199999999598e-01
5.200000000000000000e+01,9.905551700000000404e-01
5.300000000000000000e+01,9.897181999999999924e-01
5.400000000000000000e+01,9.888542299999999452e-01
5.500000000000000000e+01,9.878134100000000029e-01
5.600000000000000000e+01,9.868867399999999845e-01
5.700000000000000000e+01,9.859268100000000423e-01
5.800000000000000000e+01,9.849568600000000451e-01
5.900000000000000000e+01,9.839665300000000059e-01
6.000000000000000000e+01,9.829586099999999549e-01
6.100000000000000000e+01,9.819335300000000544e-01
6.200000000000000000e+01,9.808927800000000197e-01
6.300000000000000000e+01,9.798359300000000216e-01
6.400000000000000000e+01,9.787650100000000464e-01
6.500000000000000000e+01,9.776809800000000328e-01
6.600000000000000000e+01,9.765832399999999636e-01
6.700000000000000000e+01,9.754736400000000307e-01
6.800000000000000000e+01,9.743528999999999662e-01
6.900000000000000000e+01,9.732201700000000510e-01
7.000000000000000000e+01,9.720771299999999560e-01
7.100000000000000000e+01,9.709244399999999997e-01
7.200000000000000000e+01,9.697610700000000028e-01
7.300000000000000000e+01,9.685884099999999552e-01
7.400000000000000000e+01,9.674069899999999667e-01
7.500000000000000000e+01,9.662157900000000188e-01
7.600000000000000000e+01,9.650161299999999720e-01
7.700000000000000000e+01,9.638084199999999990e-01
7.800000000000000000e+01,9.625915900000000525e-01
7.900000000000000000e+01,9.613669500000000534e-01
8.000000000000000000e+01,9.601349200000000028e-01
8.100000000000000000e+01,9.588944900000000438e-01
8.200000000000000000e+01,9.576468500000000494e-01
8.300000000000000000e+01,9.563924099999999706e-01
8.400000000000000000e+01,9.551303399999999666e-01
8.500000000000000000e+01,9.538616500000000054e-01
8.600000000000000000e+01,9.525867700000000271e-01
8.700000000000000000e+01,9.513049700000000275e-01
8.800000000000000000e+01,9.500170900000000085e-01
8.900000000000000000e+01,9.487237299999999873e-01
9.000000000000000000e+01,9.474241100000000415e-01
9.100000000000000000e+01,9.461189500000000141e-01
9.200000000000000000e+01,9.448086599999999668e-01
9.300000000000000000e+01,9.434927100000000122e-01
9.400000000000000000e+01,9.421716900000000061e-01
9.500000000000000000e+01,9.408459099999999520e-01
9.600000000000000000e+01,9.395148800000000522e-01
9.700000000000000000e+01,9.381790199999999746e-01
9.800000000000000000e+01,9.368386899999999740e-01
9.900000000000000000e+01,9.354934099999999697e-01
1.000000000000000000e+02,9.341434800000000260e-01
1.010000000000000000e+02,9.327892100000000353e-01
1.020000000000000000e+02,9.314302199999999754e-01
1.030000000000000000e+02,9.300667599999999924e-01
1.040000000000000000e+02,9.286990200000000417e-01
1.050000000000000000e+02,9.273268000000000066e-01
1.060000000000000000e+02,9.259500499999999690e-01
1.070000000000000000e+02,9.245692500000000091e-01
1.080000000000000000e+02,9.231839200000000467e-01
1.090000000000000000e+02,9.217942999999999554e-01
1.100000000000000000e+02,9.204005600000000342e-01
1.110000000000000000e+02,9.190024700000000157e-01
1.120000000000000000e+02,9.176001499999999478e-01
1.130000000000000000e+02,9.159250899999999973e-01
1.140000000000000000e+02,9.143235699999999744e-01
1.150000000000000000e+02,9.128106799999999854e-01
1.160000000000000000e+02,9.113125800000000387e-01
1.170000000000000000e+02,9.098323000000000382e-01
1.180000000000000000e+02,9.083560699999999599e-01
1.190000000000000000e+02,9.068833600000000272e-01
1.200000000000000000e+02,9.054102899999999510e-01
1.210000000000000000e+02,9.039360899999999699e-01
1.220000000000000000e+02,9.024596799999999863e-01
1.230000000000000000e+02,9.009803499999999854e-01
1.240000000000000000e+02,8.994977499999999848e-01
1.250000000000000000e+02,8.980115100000000128e-01
1.260000000000000000e+02,8.965212099999999573e-01
1.270000000000000000e+02,8.950268000000000113e-01
1.280000000000000000e+02,8.935281000000000473e-01
1.290000000000000000e+02,8.920249900000000176e-01
1.300000000000000000e+02,8.905173499999999853e-01
