# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,2.500000400000000056e+01
7.000000000000000000e+00,2.500001500000000121e+01
8.000000000000000000e+00,2.500005499999999969e+01
9.000000000000000000e+00,2.500017400000000123e+01
1.000000000000000000e+01,2.500048299999999912e+01
1.100000000000000000e+01,2.500118600000000058e+01
1.200000000000000000e+01,2.500263599999999897e+01
1.300000000000000000e+01,2.500535800000000108e+01
1.400000000000000000e+01,2.501009200000000021e+01
1.500000000000000000e+01,2.501779900000000012e+01
1.600000000000000000e+01,2.502965400000000074e+01
1.700000000000000000e+01,2.504701999999999984e+01
1.800000000000000000e+01,2.507142400000000038e+01
1.900000000000000000e+01,2.510450600000000065e+01
2.000000000000000000e+01,2.514798199999999895e+01
2.100000000000000000e+01,2.520359799999999950e+01
2.200000000000000000e+01,2.527310200000000151e+01
2.300000000000000000e+01,2.535819599999999951e+01
2.400000000000000000e+01,2.546052200000000099e+01
2.500000000000000000e+01,2.558162899999999951e+01
2.600000000000000000e+01,2.572296100000000152e+01
2.700000000000000000e+01,2.588585300000000089e+01
2.800000000000000000e+01,2.607149700000000081e+01
2.900000000000000000e+01,2.628096400000000088e+01
3.000000000000000000e+01,2.651516300000000115e+01
3.100000000000000000e+01,2.677488500000000116e+01
3.200000000000000000e+01,2.706077000000000155e+01
3.300000000000000000e+01,2.737330400000000097e+01
3.400000000000000000e+01,2.771285800000000066e+01
3.500000000000000000e+01,2.807966199999999901e+01
3.600000000000000000e+01,2.847381199999999879e+01
3.700000000000000000e+01,2.889529800000000037e+01
3.800000000000000000e+01,2.934399600000000063e+01
3.900000000000000000e+01,2.981970199999999949e+01
4.000000000000000000e+01,3.032212300000000127e+01
4.100000000000000000e+01,3.085086400000000140e+01
4.200000000000000000e+01,3.140550400000000053e+01
4.300000000000000000e+01,3.198556500000000113e+01
4.400000000000000000e+01,3.259050400000000280e+01
4.500000000000000000e+01,3.321978399999999709e+01
4.600000000000000000e+01,3.387282900000000296e+01
4.700000000000000000e+01,3.454903000000000191e+01
4.800000000000000000e+01,3.524779900000000055e+01
4.900000000000000000e+01,3.596853600000000029e+01
5.000000000000000000e+01,3.672341200000000327e+01
5.100000000000000000e+01,3.749214200000000119e+01
5.200000000000000000e+01,3.827946899999999886e+01
5.300000000000000000e+01,3.908596399999999704e+01
5.400000000000000000e+01,3.991123600000000238e+01
5.500000000000000000e+01,4.075486800000000187e+01
5.600000000000000000e+01,4.161641699999999844e+01
5.700000000000000000e+01,4.249545700000000181e+01
5.800000000000000000e+01,4.339154400000000322e+01
5.900000000000000000e+01,4.430427600000000155e+01
6.000000000000000000e+01,4.523323800000000006e+01
6.100000000000000000e+01,4.617804300000000239e+01
6.200000000000000000e+01,4.713836700000000235e+01
6.300000000000000000e+01,4.811381099999999833e+01
6.400000000000000000e+01,4.910406100000000151e+01
6.500000000000000000e+01,5.010875699999999711e+01
6.600000000000000000e+01,5.112759799999999899e+01
6.700000000000000000e+01,5.216024399999999872e+01
6.800000000000000000e+01,5.320641299999999774e+01
6.900000000000000000e+01,5.426582299999999748e+01
7.000000000000000000e+01,5.533813500000000118e+01
7.100000000000000000e+01,5.642309600000000103e+01
7.200000000000000000e+01,5.752042800000000256e+01
7.300000000000000000e+01,5.862989000000000317e+01
7.400000000000000000e+01,5.975120499999999879e+01
7.500000000000000000e+01,6.088416699999999793e+01
7.600000000000000000e+01,6.202853400000000050e+01
7.700000000000000000e+01,6.318405500000000075e+01
7.800000000000000000e+01,6.435101299999999469e+01
7.900000000000000000e+01,6.552845800000000054e+01
8.000000000000000000e+01,6.671633900000000494e+01
8.100000000000000000e+01,6.791446700000000192e+01
8.200000000000000000e+01,6.912266499999999780e+01
8.300000000000000000e+01,7.034075900000000559e+01
8.400000000000000000e+01,7.156857300000000066e+01
8.500000000000000000e+01,7.280596900000000460e+01
8.600000000000000000e+01,7.405281100000000549e+01
8.700000000000000000e+01,7.530896799999999303e+01
8.800000000000000000e+01,7.657429500000000644e+01
8.900000000000000000e+01,7.784864000000000317e+01
9.000000000000000000e+01,7.913175200000000586e+01
9.100000000000000000e+01,8.042343099999999367e+01
9.200000000000000000e+01,8.172351100000000201e+01
9.300000000000000000e+01,8.303177599999999359e+01
9.400000000000000000e+01,8.434796900000000619e+01
9.500000000000000000e+01,8.567186700000000599e+01
9.600000000000000000e+01,8.700326499999999896e+01
9.700000000000000000e+01,8.834195699999999363e+01
9.800000000000000000e+01,8.968769100000000094e+01
9.900000000000000000e+01,9.104027600000000575e+01
1.000000000000000000e+02,9.239946000000000481e+01
1.010000000000000000e+02,9.376502200000000187e+01
1.020000000000000000e+02,9.513676499999999692e+01
1.030000000000000000e+02,9.651444200000000251e+01
1.040000000000000000e+02,9.789785799999999938e+01
1.050000000000000000e+02,9.928675800000000606e+01
1.060000000000000000e+02,1.006809499999999957e+02
1.070000000000000000e+02,1.020813399999999973e+02
1.080000000000000000e+02,1.034860500000000059e+02
1.090000000000000000e+02,1.048952299999999980e+02
1.100000000000000000e+02,1.063087400000000002e+02
1.110000000000000000e+02,1.077264200000000045e+02
1.120000000000000000e+02,1.091482000000000028e+02
1.130000000000000000e+02,1.105739499999999964e+02
1.140000000000000000e+02,1.120035400000000010e+02
1.150000000000000000e+02,1.134366799999999955e+02
1.160000000000000000e+02,1.148731200000000001e+02
1.170000000000000000e+02,1.163125100000000032e+02
1.180000000000000000e+02,1.177544099999999929e+02
1.190000000000000000e+02,1.191984900000000067e+02
1.200000000000000000e+02,1.206443900000000014e+02
1.210000000000000000e+02,1.220916500000000013e+02
1.220000000000000000e+02,1.235399400000000014e+02
1.230000000000000000e+02,1.249888200000000040e+02
1.240000000000000000e+02,1.264379500000000007e+02
1.250000000000000000e+02,1.278869200000000035e+02
1.260000000000000000e+02,1.293352500000000020e+02
1.270000000000000000e+02,1.307825499999999863e+02
1.280000000000000000e+02,1.322283799999999871e+02
1.290000000000000000e+02,1.336723000000000070e+02
1.300000000000000000e+02,1.351138500000000136e+02
1.310000000000000000e+02,1.365524699999999996e+02
1.320000000000000000e+02,1.379877299999999991e+02
1.330000000000000000e+02,1.394190399999999954e+02
1.340000000000000000e+02,1.408458599999999876e+02
1.350000000000000000e+02,1.422695200000000000e+02
1.360000000000000000e+02,1.436866300000000081e+02
1.370000000000000000e+02,1.450976599999999905e+02
1.380000000000000000e+02,1.465024899999999946e+02
1.390000000000000000e+02,1.479007599999999911e+02
1.400000000000000000e+02,1.492917500000000075e+02
1.410000000000000000e+02,1.506744199999999978e+02
1.420000000000000000e+02,1.520475800000000106e+02
1.430000000000000000e+02,1.534099899999999934e+02
1.440000000000000000e+02,1.547604499999999916e+02
1.450000000000000000e+02,1.560978900000000067e+02
1.460000000000000000e+02,1.574211899999999957e+02
1.470000000000000000e+02,1.587292600000000107e+02
1.480000000000000000e+02,1.600210700000000088e+02
1.490000000000000000e+02,1.612955800000000011e+02
1.500000000000000000e+02,1.625516499999999951e+02
1.510000000000000000e+02,1.637882700000000114e+02
1.520000000000000000e+02,1.650043200000000070e+02
1.530000000000000000e+02,1.661988100000000088e+02
1.540000000000000000e+02,1.673706999999999994e+02
1.550000000000000000e+02,1.685190399999999897e+02
1.560000000000000000e+02,1.696429100000000005e+02
1.570000000000000000e+02,1.707415000000000020e+02
1.580000000000000000e+02,1.718140600000000120e+02
1.590000000000000000e+02,1.728598900000000071e+02
1.600000000000000000e+02,1.738784499999999866e+02
1.610000000000000000e+02,1.748786599999999964e+02
1.620000000000000000e+02,1.758489500000000021e+02
1.630000000000000000e+02,1.767930100000000095e+02
1.640000000000000000e+02,1.777111199999999940e+02
1.650000000000000000e+02,1.786020200000000102e+02
1.660000000000000000e+02,1.794645700000000090e+02
1.670000000000000000e+02,1.802984199999999930e+02
1.680000000000000000e+02,1.811039700000000039e+02
1.690000000000000000e+02,1.818822499999999991e+02
1.700000000000000000e+02,1.826344300000000089e+02
1.710000000000000000e+02,1.833618800000000135e+02
1.720000000000000000e+02,1.840658999999999992e+02
1.730000000000000000e+02,1.847480899999999906e+02
1.740000000000000000e+02,1.854099600000000123e+02
1.750000000000000000e+02,1.860530699999999911e+02
1.760000000000000000e+02,1.866789400000000114e+02
1.770000000000000000e+02,1.872892500000000098e+02
1.780000000000000000e+02,1.878855700000000013e+02
1.790000000000000000e+02,1.884696399999999983e+02
1.800000000000000000e+02,1.890429499999999905e+02
1.810000000000000000e+02,1.896072100000000091e+02
1.820000000000000000e+02,1.901637599999999964e+02
1.830000000000000000e+02,1.907142000000000053e+02
1.840000000000000000e+02,1.912599299999999971e+02
1.850000000000000000e+02,1.918023200000000088e+02
1.860000000000000000e+02,1.923968800000000101e+02
1.870000000000000000e+02,1.929723099999999931e+02
1.880000000000000000e+02,1.935401500000000112e+02
1.890000000000000000e+02,1.941006899999999860e+02
1.900000000000000000e+02,1.946547899999999913e+02
1.910000000000000000e+02,1.952064499999999896e+02
1.920000000000000000e+02,1.957590600000000052e+02
1.930000000000000000e+02,1.963152800000000013e+02
1.940000000000000000e+02,1.968767899999999997e+02
1.950000000000000000e+02,1.974447499999999991e+02
1.960000000000000000e+02,1.980201399999999978e+02
1.970000000000000000e+02,1.986038499999999942e+02
1.980000000000000000e+02,1.991965800000000115e+02
1.990000000000000000e+02,1.997989000000000033e+02
2.000000000000000000e+02,2.004114800000000116e+02
2.010000000000000000e+02,2.010348500000000058e+02
2.020000000000000000e+02,2.016697499999999934e+02
2.030000000000000000e+02,2.023167699999999911e+02
2.040000000000000000e+02,2.029767200000000003e+02
2.050000000000000000e+02,2.036499900000000025e+02
2.060000000000000000e+02,2.043375100000000089e+02
2.070000000000000000e+02,2.050398700000000076e+02
2.080000000000000000e+02,2.057578000000000031e+02
2.090000000000000000e+02,2.064920999999999935e+02
2.100000000000000000e+02,2.074795699999999954e+02
2.110000000000000000e+02,2.083279400000000123e+02
2.120000000000000000e+02,2.091289800000000128e+02
2.130000000000000000e+02,2.099297200000000032e+02
2.140000000000000000e+02,2.107466100000000040e+02
2.150000000000000000e+02,2.115883000000000038e+02
2.160000000000000000e+02,2.124563799999999958e+02
2.170000000000000000e+02,2.133518200000000036e+02
2.180000000000000000e+02,2.142754799999999875e+02
2.190000000000000000e+02,2.152279499999999928e+02
2.200000000000000000e+02,2.162106899999999996e+02
2.210000000000000000e+02,2.172250400000000070e+02
2.220000000000000000e+02,2.182716100000000097e+02
2.230000000000000000e+02,2.193536100000000033e+02
2.240000000000000000e+02,2.204721099999999865e+02
2.250000000000000000e+02,2.216292599999999879e+02
2.260000000000000000e+02,2.228276999999999930e+02
2.270000000000000000e+02,2.240705399999999941e+02
2.280000000000000000e+02,2.253591000000000122e+02
2.290000000000000000e+02,2.266973299999999938e+02
2.300000000000000000e+02,2.280880699999999877e+02
2.310000000000000000e+02,2.295347899999999868e+02
2.320000000000000000e+02,2.310423700000000053e+02
2.330000000000000000e+02,2.326137799999999913e+02
2.340000000000000000e+02,2.342526900000000012e+02
2.350000000000000000e+02,2.359645800000000122e+02
2.360000000000000000e+02,2.377546399999999949e+02
2.370000000000000000e+02,2.396262800000000084e+02
2.380000000000000000e+02,2.423127000000000066e+02
2.390000000000000000e+02,2.444697299999999984e+02
2.400000000000000000e+02,2.465776999999999930e+02
2.410000000000000000e+02,2.488225700000000131e+02
2.420000000000000000e+02,2.511827900000000113e+02
2.430000000000000000e+02,2.536663499999999942e+02
2.440000000000000000e+02,2.562736800000000130e+02
2.450000000000000000e+02,2.590115999999999872e+02
2.460000000000000000e+02,2.618820200000000114e+02
2.470000000000000000e+02,2.648913299999999822e+02
2.480000000000000000e+02,2.680415300000000229e+02
2.490000000000000000e+02,2.713325199999999882e+02
2.500000000000000000e+02,2.747665400000000204e+02
2.510000000000000000e+02,2.783405500000000075e+02
2.520000000000000000e+02,2.820503800000000183e+02
2.530000000000000000e+02,2.858903199999999742e+02
2.540000000000000000e+02,2.898509500000000116e+02
2.550000000000000000e+02,2.939218099999999936e+02
2.560000000000000000e+02,2.980914599999999837e+02
2.570000000000000000e+02,3.023428000000000111e+02
2.580000000000000000e+02,3.066632700000000114e+02
2.590000000000000000e+02,3.110360999999999763e+02
2.600000000000000000e+02,3.154462899999999763e+02
2.610000000000000000e+02,3.198773199999999974e+02
2.620000000000000000e+02,3.243162800000000061e+02
2.630000000000000000e+02,3.287490199999999732e+02
2.640000000000000000e+02,3.331657700000000091e+02
2.650000000000000000e+02,3.375542599999999993e+02
2.660000000000000000e+02,3.419082599999999843e+02
2.670000000000000000e+02,3.462205500000000029e+02
2.680000000000000000e+02,3.504865699999999720e+02
2.690000000000000000e+02,3.547002600000000143e+02
2.700000000000000000e+02,3.588601100000000201e+02
2.710000000000000000e+02,3.629640800000000240e+02
2.720000000000000000e+02,3.670114699999999743e+02
2.730000000000000000e+02,3.710018000000000029e+02
2.740000000000000000e+02,3.749343900000000076e+02
2.750000000000000000e+02,3.788099100000000021e+02
2.760000000000000000e+02,3.826286600000000249e+02
2.770000000000000000e+02,3.863920299999999770e+02
2.780000000000000000e+02,3.901018700000000194e+02
2.790000000000000000e+02,3.937590299999999957e+02
2.800000000000000000e+02,3.973650200000000154e+02
2.810000000000000000e+02,4.009214499999999930e+02
2.820000000000000000e+02,4.044290799999999990e+02
2.830000000000000000e+02,4.078904099999999744e+02
2.840000000000000000e+02,4.113066699999999969e+02
2.850000000000000000e+02,4.146784400000000232e+02
2.860000000000000000e+02,4.180084200000000010e+02
2.870000000000000000e+02,4.212977599999999825e+02
2.880000000000000000e+02,4.245468799999999874e+02
2.890000000000000000e+02,4.277571100000000115e+02
2.900000000000000000e+02,4.309301100000000133e+02
2.910000000000000000e+02,4.340673199999999952e+02
2.920000000000000000e+02,4.371691900000000146e+02
2.930000000000000000e+02,4.402372100000000046e+02
