# Time [s], Temperature [C]
1.000000000000000000e+00,2.499996900000000011e+01
2.000000000000000000e+00,7.024443100000000584e+01
3.000000000000000000e+00,9.528555299999999306e+01
4.000000000000000000e+00,1.153882799999999946e+02
5.000000000000000000e+00,1.320261399999999981e+02
6.000000000000000000e+00,1.465105000000000075e+02
7.000000000000000000e+00,1.593868600000000129e+02
8.000000000000000000e+00,1.710353200000000129e+02
9.000000000000000000e+00,1.816991399999999999e+02
1.000000000000000000e+01,1.915482599999999991e+02
1.100000000000000000e+01,2.007128899999999874e+02
1.200000000000000000e+01,2.092887399999999900e+02
1.300000000000000000e+01,2.173511799999999994e+02
1.400000000000000000e+01,2.249646099999999933e+02
1.500000000000000000e+01,2.321797500000000127e+02
1.600000000000000000e+01,2.390376699999999914e+02
1.700000000000000000e+01,2.455757900000000120e+02
1.800000000000000000e+01,2.518296100000000024e+02
1.900000000000000000e+01,2.578214699999999766e+02
2.000000000000000000e+01,2.635792799999999829e+02
2.100000000000000000e+01,2.691146899999999960e+02
2.200000000000000000e+01,2.744417399999999816e+02
2.300000000000000000e+01,2.795673499999999763e+02
2.400000000000000000e+01,2.844921899999999937e+02
2.500000000000000000e+01,2.892206400000000031e+02
2.600000000000000000e+01,2.937586099999999760e+02
2.700000000000000000e+01,2.981072100000000091e+02
2.800000000000000000e+01,3.022735900000000129e+02
2.900000000000000000e+01,3.062663600000000201e+02
3.000000000000000000e+01,3.100857500000000186e+02
3.100000000000000000e+01,3.137332799999999793e+02
3.200000000000000000e+01,3.172162799999999834e+02
3.300000000000000000e+01,3.205330500000000029e+02
3.400000000000000000e+01,3.236856700000000160e+02
3.500000000000000000e+01,3.266770599999999831e+02
3.600000000000000000e+01,3.295059200000000033e+02
3.700000000000000000e+01,3.321790500000000179e+02
3.800000000000000000e+01,3.347005599999999959e+02
3.900000000000000000e+01,3.370743100000000254e+02
4.000000000000000000e+01,3.393060600000000022e+02
4.100000000000000000e+01,3.414066199999999753e+02
4.200000000000000000e+01,3.433804900000000089e+02
4.300000000000000000e+01,3.452393799999999828e+02
4.400000000000000000e+01,3.469941699999999969e+02
4.500000000000000000e+01,3.486517000000000053e+02
4.600000000000000000e+01,3.502243000000000279e+02
4.700000000000000000e+01,3.517207900000000222e+02
4.800000000000000000e+01,3.531490200000000073e+02
4.900000000000000000e+01,3.545187700000000177e+02
5.000000000000000000e+01,3.558393599999999992e+02
5.100000000000000000e+01,3.571138900000000262e+02
5.200000000000000000e+01,3.583516799999999876e+02
5.300000000000000000e+01,3.595579200000000242e+02
5.400000000000000000e+01,3.607358399999999961e+02
5.500000000000000000e+01,3.618905300000000125e+02
5.600000000000000000e+01,3.630283200000000079e+02
5.700000000000000000e+01,3.641479199999999992e+02
5.800000000000000000e+01,3.652568699999999922e+02
5.900000000000000000e+01,3.663535499999999843e+02
6.000000000000000000e+01,3.674406399999999735e+02
6.100000000000000000e+01,3.685227699999999800e+02
6.200000000000000000e+01,3.695971700000000055e+02
6.300000000000000000e+01,3.706682099999999878e+02
6.400000000000000000e+01,3.717359900000000152e+02
6.500000000000000000e+01,3.727991000000000099e+02
6.600000000000000000e+01,3.738600799999999822e+02
6.700000000000000000e+01,3.749191900000000146e+02
6.800000000000000000e+01,3.759741500000000087e+02
6.900000000000000000e+01,3.770283800000000269e+02
7.000000000000000000e+01,3.780777299999999741e+02
7.100000000000000000e+01,3.791245400000000245e+02
7.200000000000000000e+01,3.801690399999999954e+02
7.300000000000000000e+01,3.812084699999999771e+02
7.400000000000000000e+01,3.822454500000000053e+02
7.500000000000000000e+01,3.832757599999999911e+02
7.600000000000000000e+01,3.843035300000000234e+02
7.700000000000000000e+01,3.853241899999999873e+02
7.800000000000000000e+01,3.863391700000000242e+02
7.900000000000000000e+01,3.873499100000000226e+02
8.000000000000000000e+01,3.883522600000000011e+02
8.100000000000000000e+01,3.893529100000000085e+02
8.200000000000000000e+01,3.903421599999999785e+02
8.300000000000000000e+01,3.913293499999999767e+02
8.400000000000000000e+01,3.923084400000000187e+02
8.500000000000000000e+01,3.932832300000000032e+02
8.600000000000000000e+01,3.942511600000000271e+02
8.700000000000000000e+01,3.952129499999999780e+02
8.800000000000000000e+01,3.961727300000000014e+02
8.900000000000000000e+01,3.971234400000000164e+02
9.000000000000000000e+01,3.980729699999999980e+02
9.100000000000000000e+01,3.990177899999999909e+02
9.200000000000000000e+01,3.999562399999999798e+02
9.300000000000000000e+01,4.008938299999999799e+02
9.400000000000000000e+01,4.018278500000000122e+02
9.500000000000000000e+01,4.027556500000000028e+02
9.600000000000000000e+01,4.036841999999999757e+02
9.700000000000000000e+01,4.046062000000000012e+02
9.800000000000000000e+01,4.055256699999999910e+02
9.900000000000000000e+01,4.064438499999999976e+02
1.000000000000000000e+02,4.073564099999999826e+02
1.010000000000000000e+02,4.082681900000000041e+02
1.020000000000000000e+02,4.091749899999999798e+02
1.030000000000000000e+02,4.100792500000000018e+02
1.040000000000000000e+02,4.109795799999999986e+02
1.050000000000000000e+02,4.125598800000000210e+02
1.060000000000000000e+02,4.038996599999999830e+02
1.070000000000000000e+02,4.059000199999999836e+02
1.080000000000000000e+02,4.057608599999999797e+02
1.090000000000000000e+02,4.069935600000000022e+02
