# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,9.999999400000000316e-01
1.200000000000000000e+01,9.999998799999999521e-01
1.300000000000000000e+01,9.999997600000000153e-01
1.400000000000000000e+01,9.999994599999999512e-01
1.500000000000000000e+01,9.999990500000000004e-01
1.600000000000000000e+01,9.999982099999999985e-01
1.700000000000000000e+01,9.999968399999999979e-01
1.800000000000000000e+01,9.999945799999999663e-01
1.900000000000000000e+01,9.999909399999999948e-01
2.000000000000000000e+01,9.999852799999999764e-01
2.100000000000000000e+01,9.999766900000000014e-01
2.200000000000000000e+01,9.999639399999999956e-01
2.300000000000000000e+01,9.999455800000000005e-01
2.400000000000000000e+01,9.999197699999999855e-01
2.500000000000000000e+01,9.998841899999999505e-01
2.600000000000000000e+01,9.998360899999999551e-01
2.700000000000000000e+01,9.997723699999999658e-01
2.800000000000000000e+01,9.996894600000000297e-01
2.900000000000000000e+01,9.995835400000000481e-01
3.000000000000000000e+01,9.994503900000000218e-01
3.100000000000000000e+01,9.992861200000000554e-01
3.200000000000000000e+01,9.990870400000000373e-01
3.300000000000000000e+01,9.988489200000000290e-01
3.400000000000000000e+01,9.985696099999999964e-01
3.500000000000000000e+01,9.982473899999999567e-01
3.600000000000000000e+01,9.978788499999999839e-01
3.700000000000000000e+01,9.974654899999999547e-01
3.800000000000000000e+01,9.970084399999999958e-01
3.900000000000000000e+01,9.965040099999999956e-01
4.000000000000000000e+01,9.959576700000000171e-01
4.100000000000000000e+01,9.953722400000000192e-01
4.200000000000000000e+01,9.947422099999999601e-01
4.300000000000000000e+01,9.940763700000000425e-01
4.400000000000000000e+01,9.933781000000000416e-01
4.500000000000000000e+01,9.926388299999999720e-01
4.600000000000000000e+01,9.918700499999999476e-01
4.700000000000000000e+01,9.910749800000000498e-01
4.800000000000000000e+01,9.902423000000000197e-01
4.900000000000000000e+01,9.893850699999999776e-01
5.000000000000000000e+01,9.885064999999999547e-01
5.100000000000000000e+01,9.875929399999999747e-01
5.200000000000000000e+01,9.866584499999999647e-01
5.300000000000000000e+01,9.857061499999999477e-01
5.400000000000000000e+01,9.847213000000000216e-01
5.500000000000000000e+01,9.837177999999999756e-01
5.600000000000000000e+01,9.826989799999999997e-01
5.700000000000000000e+01,9.816499899999999723e-01
5.800000000000000000e+01,9.805837299999999868e-01
5.900000000000000000e+01,9.795040499999999595e-01
6.000000000000000000e+01,9.783968899999999635e-01
6.100000000000000000e+01,9.770152600000000520e-01
6.200000000000000000e+01,9.757996799999999471e-01
6.300000000000000000e+01,9.746102700000000008e-01
6.400000000000000000e+01,9.734294399999999792e-01
6.500000000000000000e+01,9.722513600000000089e-01
6.600000000000000000e+01,9.710570600000000274e-01
6.700000000000000000e+01,9.698534599999999450e-01
6.800000000000000000e+01,9.686431899999999873e-01
6.900000000000000000e+01,9.674148599999999876e-01
7.000000000000000000e+01,9.661749600000000271e-01
7.100000000000000000e+01,9.649274899999999988e-01
7.200000000000000000e+01,9.636634600000000273e-01
7.300000000000000000e+01,9.623880999999999686e-01
7.400000000000000000e+01,9.611055899999999541e-01
7.500000000000000000e+01,9.598087699999999778e-01
7.600000000000000000e+01,9.585017000000000120e-01
7.700000000000000000e+01,9.571881300000000259e-01
7.800000000000000000e+01,9.558625800000000172e-01
7.900000000000000000e+01,9.545279100000000350e-01
8.000000000000000000e+01,9.531874099999999572e-01
8.100000000000000000e+01,9.518369399999999647e-01
8.200000000000000000e+01,9.504784299999999853e-01
8.300000000000000000e+01,9.491147399999999568e-01
8.400000000000000000e+01,9.477427000000000490e-01
8.500000000000000000e+01,9.463636300000000112e-01
8.600000000000000000e+01,9.449799100000000340e-01
8.700000000000000000e+01,9.435892700000000355e-01
8.800000000000000000e+01,9.421926099999999860e-01
8.900000000000000000e+01,9.407919000000000143e-01
9.000000000000000000e+01,9.393854699999999447e-01
9.100000000000000000e+01,9.379739200000000166e-01
9.200000000000000000e+01,9.365590200000000198e-01
9.300000000000000000e+01,9.351393000000000066e-01
9.400000000000000000e+01,9.337152800000000363e-01
9.500000000000000000e+01,9.322882300000000511e-01
9.600000000000000000e+01,9.308571799999999508e-01
9.700000000000000000e+01,9.294225000000000403e-01
9.800000000000000000e+01,9.279850699999999675e-01
9.900000000000000000e+01,9.265442499999999582e-01
1.000000000000000000e+02,9.251002699999999468e-01
1.010000000000000000e+02,9.236537200000000114e-01
1.020000000000000000e+02,9.222043199999999663e-01
1.030000000000000000e+02,9.207519899999999646e-01
1.040000000000000000e+02,9.192974600000000107e-01
1.050000000000000000e+02,9.178403000000000533e-01
1.060000000000000000e+02,9.163806399999999686e-01
1.070000000000000000e+02,9.149188400000000110e-01
1.080000000000000000e+02,9.133666200000000179e-01
1.090000000000000000e+02,9.118124199999999568e-01
1.100000000000000000e+02,9.102744499999999572e-01
1.110000000000000000e+02,9.087526200000000109e-01
1.120000000000000000e+02,9.072421800000000092e-01
1.130000000000000000e+02,9.057403800000000116e-01
1.140000000000000000e+02,9.042440099999999870e-01
1.150000000000000000e+02,9.027510899999999783e-01
1.160000000000000000e+02,9.012602600000000352e-01
1.170000000000000000e+02,8.997702600000000439e-01
1.180000000000000000e+02,8.982802600000000526e-01
1.190000000000000000e+02,8.967899099999999679e-01
1.200000000000000000e+02,8.952986600000000239e-01
1.210000000000000000e+02,8.938060399999999683e-01
1.220000000000000000e+02,8.923120500000000233e-01
1.230000000000000000e+02,8.908163900000000135e-01
1.240000000000000000e+02,8.893189400000000022e-01
1.250000000000000000e+02,8.878197100000000397e-01
1.260000000000000000e+02,8.863185599999999775e-01
1.270000000000000000e+02,8.848153399999999502e-01
1.280000000000000000e+02,8.833102600000000137e-01
1.290000000000000000e+02,8.818030399999999824e-01
1.300000000000000000e+02,8.802938500000000444e-01
