Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
-1,0,1.44e+12,5.89e+13,3.52e+13,1.0,0.0,1803.8574742854319,941.0136852632979,0.0860666909090963,0.8352211830659301,1.32e+05,5.90e+05,1.60e+05,322928.9100692079,332086.82557719265,710577.6086358748,37536.05731846739,100000000.0,0.005165495418823958,0.47373602889448485,0.5232544501361702,0.6458239346456368,0.7979960208333919,0.94,0.25315945610983154,0.09303449264463365,3.452499820396935e-05,0.0005908441343459297,3.470292861530843,2.859754279972434,5.566654291568725,0.0,0.0,0.0,1683.0,1235.0,
0,1468.7826,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
1,3260.5936,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
2,5009.1694,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
3,6771.2468,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
4,8565.3255,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
5,10337.4715,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
6,12097.9552,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
7,13842.8036,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
8,15663.5078,3.49e+12,1.15e+14,1.19e+13,1.0,0.0,1752.8988205155474,2964.3169837105725,0.08597297428152115,0.30715983447707484,1.27e+05,3.94e+05,2.30e+05,288025.5624226872,574714.995159479,963341.5960331707,13608.067066120271,100000000.0,0.001801028021525674,0.44418338162528936,0.4197768822908815,0.6256302224610903,0.47702829937875946,0.94,0.23740591002898936,0.15764539857600537,4.102791291396896e-05,0.00036937501923099876,2.771363704114073,3.7966198435180942,5.641664701202641,0.0,0.0,0.0,1683.0,1235.0,
