# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500000999999999962e+01
7.000000000000000000e+00,2.500003799999999998e+01
8.000000000000000000e+00,2.500013399999999919e+01
9.000000000000000000e+00,2.500040100000000010e+01
1.000000000000000000e+01,2.500105100000000036e+01
1.100000000000000000e+01,2.500245299999999915e+01
1.200000000000000000e+01,2.500517999999999930e+01
1.300000000000000000e+01,2.501004199999999855e+01
1.400000000000000000e+01,2.501808199999999971e+01
1.500000000000000000e+01,2.503056499999999929e+01
1.600000000000000000e+01,2.504893699999999868e+01
1.700000000000000000e+01,2.507477799999999846e+01
1.800000000000000000e+01,2.510974300000000170e+01
1.900000000000000000e+01,2.515551900000000174e+01
2.000000000000000000e+01,2.521377199999999874e+01
2.100000000000000000e+01,2.528611000000000075e+01
2.200000000000000000e+01,2.537405599999999950e+01
2.300000000000000000e+01,2.547902699999999854e+01
2.400000000000000000e+01,2.560230599999999868e+01
2.500000000000000000e+01,2.574504699999999957e+01
2.600000000000000000e+01,2.590826399999999907e+01
2.700000000000000000e+01,2.609283800000000042e+01
2.800000000000000000e+01,2.629950900000000047e+01
2.900000000000000000e+01,2.652888300000000044e+01
3.000000000000000000e+01,2.678144800000000103e+01
3.100000000000000000e+01,2.705758099999999899e+01
3.200000000000000000e+01,2.735752899999999954e+01
3.300000000000000000e+01,2.768146099999999876e+01
3.400000000000000000e+01,2.802945700000000073e+01
3.500000000000000000e+01,2.840149699999999910e+01
3.600000000000000000e+01,2.879750399999999999e+01
3.700000000000000000e+01,2.921732499999999888e+01
3.800000000000000000e+01,2.966075500000000176e+01
3.900000000000000000e+01,3.012753500000000173e+01
4.000000000000000000e+01,3.061736499999999950e+01
4.100000000000000000e+01,3.112991699999999895e+01
4.200000000000000000e+01,3.166479299999999952e+01
4.300000000000000000e+01,3.222159200000000112e+01
4.400000000000000000e+01,3.279991100000000159e+01
4.500000000000000000e+01,3.339927300000000088e+01
4.600000000000000000e+01,3.401923000000000030e+01
4.700000000000000000e+01,3.465931700000000149e+01
4.800000000000000000e+01,3.531901200000000074e+01
4.900000000000000000e+01,3.599784100000000109e+01
5.000000000000000000e+01,3.669532000000000238e+01
5.100000000000000000e+01,3.741091500000000281e+01
5.200000000000000000e+01,3.814414200000000221e+01
5.300000000000000000e+01,3.889448900000000009e+01
5.400000000000000000e+01,3.966146499999999975e+01
5.500000000000000000e+01,4.044456499999999721e+01
5.600000000000000000e+01,4.124329000000000178e+01
5.700000000000000000e+01,4.205715899999999863e+01
5.800000000000000000e+01,4.288568500000000228e+01
5.900000000000000000e+01,4.372838999999999743e+01
6.000000000000000000e+01,4.458480099999999879e+01
6.100000000000000000e+01,4.545446400000000153e+01
6.200000000000000000e+01,4.633694799999999958e+01
6.300000000000000000e+01,4.723176200000000335e+01
6.400000000000000000e+01,4.813847700000000174e+01
6.500000000000000000e+01,4.905667900000000259e+01
6.600000000000000000e+01,4.998597300000000132e+01
6.700000000000000000e+01,5.092590299999999814e+01
6.800000000000000000e+01,5.187610200000000304e+01
6.900000000000000000e+01,5.283614699999999686e+01
7.000000000000000000e+01,5.380566400000000016e+01
7.100000000000000000e+01,5.478430900000000037e+01
7.200000000000000000e+01,5.577167899999999889e+01
7.300000000000000000e+01,5.676744500000000215e+01
7.400000000000000000e+01,5.777124799999999993e+01
7.500000000000000000e+01,5.878277200000000136e+01
7.600000000000000000e+01,5.980166200000000032e+01
7.700000000000000000e+01,6.082761399999999696e+01
7.800000000000000000e+01,6.186029400000000322e+01
7.900000000000000000e+01,6.289943300000000193e+01
8.000000000000000000e+01,6.394472100000000125e+01
8.100000000000000000e+01,6.499585700000000088e+01
8.200000000000000000e+01,6.605258200000000102e+01
8.300000000000000000e+01,6.711463899999999683e+01
8.400000000000000000e+01,6.818171700000000612e+01
8.500000000000000000e+01,6.925359299999999507e+01
8.600000000000000000e+01,7.033003200000000277e+01
8.700000000000000000e+01,7.141075100000000475e+01
8.800000000000000000e+01,7.249555200000000355e+01
8.900000000000000000e+01,7.358419800000000066e+01
9.000000000000000000e+01,7.467647599999999386e+01
9.100000000000000000e+01,7.577214100000000485e+01
9.200000000000000000e+01,7.687100200000000427e+01
9.300000000000000000e+01,7.797289299999999912e+01
9.400000000000000000e+01,7.907759900000000641e+01
9.500000000000000000e+01,8.018488299999999924e+01
9.600000000000000000e+01,8.129459400000000358e+01
9.700000000000000000e+01,8.240658600000000433e+01
9.800000000000000000e+01,8.352066800000000057e+01
9.900000000000000000e+01,8.463664199999999482e+01
1.000000000000000000e+02,8.575436399999999537e+01
1.010000000000000000e+02,8.687367999999999313e+01
1.020000000000000000e+02,8.799445299999999293e+01
1.030000000000000000e+02,8.911652399999999830e+01
1.040000000000000000e+02,9.023972299999999791e+01
1.050000000000000000e+02,9.136392999999999631e+01
1.060000000000000000e+02,9.248901399999999740e+01
1.070000000000000000e+02,9.361486800000000130e+01
1.080000000000000000e+02,9.474134800000000212e+01
1.090000000000000000e+02,9.586830100000000243e+01
1.100000000000000000e+02,9.699564399999999864e+01
1.110000000000000000e+02,9.812323800000000062e+01
1.120000000000000000e+02,9.925099199999999655e+01
1.130000000000000000e+02,1.003787899999999951e+02
1.140000000000000000e+02,1.015065400000000011e+02
1.150000000000000000e+02,1.026341000000000037e+02
1.160000000000000000e+02,1.037613999999999947e+02
1.170000000000000000e+02,1.048883399999999995e+02
1.180000000000000000e+02,1.060148499999999956e+02
1.190000000000000000e+02,1.071408200000000051e+02
1.200000000000000000e+02,1.082661399999999929e+02
1.210000000000000000e+02,1.093907499999999970e+02
1.220000000000000000e+02,1.105145600000000030e+02
1.230000000000000000e+02,1.116375299999999982e+02
1.240000000000000000e+02,1.127595400000000012e+02
1.250000000000000000e+02,1.138805100000000010e+02
1.260000000000000000e+02,1.150003700000000038e+02
1.270000000000000000e+02,1.161190799999999967e+02
1.280000000000000000e+02,1.172365400000000051e+02
1.290000000000000000e+02,1.183527100000000019e+02
1.300000000000000000e+02,1.194675000000000011e+02
1.310000000000000000e+02,1.205808499999999981e+02
1.320000000000000000e+02,1.216927000000000021e+02
1.330000000000000000e+02,1.228030100000000004e+02
1.340000000000000000e+02,1.239117099999999994e+02
1.350000000000000000e+02,1.250187200000000018e+02
1.360000000000000000e+02,1.261240099999999984e+02
1.370000000000000000e+02,1.272275300000000016e+02
1.380000000000000000e+02,1.283292399999999986e+02
1.390000000000000000e+02,1.294290499999999895e+02
1.400000000000000000e+02,1.305269199999999898e+02
1.410000000000000000e+02,1.316228299999999933e+02
1.420000000000000000e+02,1.327167200000000093e+02
1.430000000000000000e+02,1.338085299999999904e+02
1.440000000000000000e+02,1.348982200000000091e+02
1.450000000000000000e+02,1.359857599999999991e+02
1.460000000000000000e+02,1.370710899999999981e+02
1.470000000000000000e+02,1.381541899999999998e+02
1.480000000000000000e+02,1.392350199999999916e+02
1.490000000000000000e+02,1.403135200000000111e+02
1.500000000000000000e+02,1.413896499999999889e+02
1.510000000000000000e+02,1.424633900000000040e+02
1.520000000000000000e+02,1.435347099999999898e+02
1.530000000000000000e+02,1.446035500000000127e+02
1.540000000000000000e+02,1.456698800000000062e+02
1.550000000000000000e+02,1.467336599999999862e+02
1.560000000000000000e+02,1.477948599999999999e+02
1.570000000000000000e+02,1.488534699999999873e+02
1.580000000000000000e+02,1.499094399999999894e+02
1.590000000000000000e+02,1.509627399999999966e+02
1.600000000000000000e+02,1.520133199999999931e+02
1.610000000000000000e+02,1.530611700000000042e+02
1.620000000000000000e+02,1.541062599999999918e+02
1.630000000000000000e+02,1.551485600000000034e+02
1.640000000000000000e+02,1.561880299999999977e+02
1.650000000000000000e+02,1.572246600000000001e+02
1.660000000000000000e+02,1.582583899999999915e+02
1.670000000000000000e+02,1.592892300000000034e+02
1.680000000000000000e+02,1.603171399999999949e+02
1.690000000000000000e+02,1.613420700000000068e+02
1.700000000000000000e+02,1.623640300000000138e+02
1.710000000000000000e+02,1.633829700000000003e+02
1.720000000000000000e+02,1.643988600000000133e+02
1.730000000000000000e+02,1.654116799999999898e+02
1.740000000000000000e+02,1.664214499999999930e+02
1.750000000000000000e+02,1.674280699999999911e+02
1.760000000000000000e+02,1.684315799999999967e+02
1.770000000000000000e+02,1.694319199999999910e+02
1.780000000000000000e+02,1.704290799999999990e+02
1.790000000000000000e+02,1.714230300000000113e+02
1.800000000000000000e+02,1.724137699999999995e+02
1.810000000000000000e+02,1.734012500000000045e+02
1.820000000000000000e+02,1.743854499999999916e+02
1.830000000000000000e+02,1.753663599999999860e+02
1.840000000000000000e+02,1.763439799999999877e+02
1.850000000000000000e+02,1.773182500000000061e+02
1.860000000000000000e+02,1.782891500000000065e+02
1.870000000000000000e+02,1.792567099999999982e+02
1.880000000000000000e+02,1.802208599999999876e+02
1.890000000000000000e+02,1.811816300000000126e+02
1.900000000000000000e+02,1.821389299999999878e+02
1.910000000000000000e+02,1.830927900000000079e+02
1.920000000000000000e+02,1.840432000000000130e+02
1.930000000000000000e+02,1.849901000000000124e+02
1.940000000000000000e+02,1.859335199999999872e+02
1.950000000000000000e+02,1.868734100000000069e+02
1.960000000000000000e+02,1.878097500000000082e+02
1.970000000000000000e+02,1.887425700000000006e+02
1.980000000000000000e+02,1.896717800000000125e+02
1.990000000000000000e+02,1.905974099999999964e+02
2.000000000000000000e+02,1.915194500000000062e+02
2.010000000000000000e+02,1.924378700000000038e+02
2.020000000000000000e+02,1.933526300000000049e+02
2.030000000000000000e+02,1.942637599999999907e+02
2.040000000000000000e+02,1.951712599999999895e+02
2.050000000000000000e+02,1.960750600000000077e+02
2.060000000000000000e+02,1.969751400000000103e+02
2.070000000000000000e+02,1.978715400000000102e+02
2.080000000000000000e+02,1.987642199999999946e+02
2.090000000000000000e+02,1.996531699999999887e+02
2.100000000000000000e+02,2.005383799999999894e+02
2.110000000000000000e+02,2.014198199999999872e+02
2.120000000000000000e+02,2.022974900000000105e+02
2.130000000000000000e+02,2.031713699999999960e+02
2.140000000000000000e+02,2.040414700000000039e+02
2.150000000000000000e+02,2.049077599999999961e+02
2.160000000000000000e+02,2.057702199999999948e+02
2.170000000000000000e+02,2.066288299999999936e+02
2.180000000000000000e+02,2.074836300000000051e+02
2.190000000000000000e+02,2.083345600000000104e+02
2.200000000000000000e+02,2.091816399999999874e+02
2.210000000000000000e+02,2.100248400000000117e+02
2.220000000000000000e+02,2.108641499999999951e+02
2.230000000000000000e+02,2.116995699999999943e+02
2.240000000000000000e+02,2.125310800000000029e+02
2.250000000000000000e+02,2.133586699999999894e+02
2.260000000000000000e+02,2.141823300000000074e+02
2.270000000000000000e+02,2.150020600000000002e+02
2.280000000000000000e+02,2.158178599999999960e+02
2.290000000000000000e+02,2.166296800000000076e+02
2.300000000000000000e+02,2.174375499999999874e+02
2.310000000000000000e+02,2.182414400000000114e+02
2.320000000000000000e+02,2.190413399999999911e+02
2.330000000000000000e+02,2.198372500000000116e+02
2.340000000000000000e+02,2.206291699999999878e+02
2.350000000000000000e+02,2.214170699999999954e+02
2.360000000000000000e+02,2.222009600000000091e+02
2.370000000000000000e+02,2.229808199999999943e+02
2.380000000000000000e+02,2.237566400000000044e+02
2.390000000000000000e+02,2.245284299999999860e+02
2.400000000000000000e+02,2.252961400000000083e+02
2.410000000000000000e+02,2.260597799999999893e+02
2.420000000000000000e+02,2.268193699999999922e+02
2.430000000000000000e+02,2.275748700000000042e+02
2.440000000000000000e+02,2.283262900000000002e+02
2.450000000000000000e+02,2.290736100000000022e+02
2.460000000000000000e+02,2.298168200000000070e+02
2.470000000000000000e+02,2.305558900000000051e+02
2.480000000000000000e+02,2.312908500000000060e+02
2.490000000000000000e+02,2.320216800000000035e+02
2.500000000000000000e+02,2.327483699999999942e+02
2.510000000000000000e+02,2.334708899999999971e+02
2.520000000000000000e+02,2.341892400000000123e+02
2.530000000000000000e+02,2.349034100000000080e+02
2.540000000000000000e+02,2.356134199999999908e+02
2.550000000000000000e+02,2.363192300000000046e+02
2.560000000000000000e+02,2.370208100000000115e+02
2.570000000000000000e+02,2.377181999999999960e+02
2.580000000000000000e+02,2.384113600000000019e+02
2.590000000000000000e+02,2.391002799999999979e+02
2.600000000000000000e+02,2.397849600000000123e+02
2.610000000000000000e+02,2.404653600000000040e+02
2.620000000000000000e+02,2.411415100000000109e+02
2.630000000000000000e+02,2.418318899999999871e+02
2.640000000000000000e+02,2.425070499999999925e+02
2.650000000000000000e+02,2.431751299999999958e+02
2.660000000000000000e+02,2.438380300000000034e+02
2.670000000000000000e+02,2.444960000000000093e+02
2.680000000000000000e+02,2.451492299999999886e+02
2.690000000000000000e+02,2.457978400000000079e+02
2.700000000000000000e+02,2.464418599999999913e+02
2.710000000000000000e+02,2.470814200000000085e+02
2.720000000000000000e+02,2.477164899999999932e+02
2.730000000000000000e+02,2.483471399999999960e+02
2.740000000000000000e+02,2.489733899999999949e+02
2.750000000000000000e+02,2.495952599999999961e+02
2.760000000000000000e+02,2.502127499999999998e+02
2.770000000000000000e+02,2.508258800000000122e+02
2.780000000000000000e+02,2.514345999999999890e+02
2.790000000000000000e+02,2.520388800000000060e+02
2.800000000000000000e+02,2.526387000000000000e+02
2.810000000000000000e+02,2.532340100000000120e+02
2.820000000000000000e+02,2.538248000000000104e+02
2.830000000000000000e+02,2.544110100000000045e+02
2.840000000000000000e+02,2.549926100000000133e+02
2.850000000000000000e+02,2.555695800000000020e+02
2.860000000000000000e+02,2.561418800000000147e+02
2.870000000000000000e+02,2.567094999999999914e+02
2.880000000000000000e+02,2.572723700000000235e+02
2.890000000000000000e+02,2.578305399999999850e+02
2.900000000000000000e+02,2.583839100000000144e+02
2.910000000000000000e+02,2.589325299999999856e+02
2.920000000000000000e+02,2.594763500000000249e+02
2.930000000000000000e+02,2.600153799999999933e+02
