# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,9.999999400000000316e-01
3.400000000000000000e+01,9.999999400000000316e-01
3.500000000000000000e+01,9.999999400000000316e-01
3.600000000000000000e+01,9.999999400000000316e-01
3.700000000000000000e+01,9.999998799999999521e-01
3.800000000000000000e+01,9.999998799999999521e-01
3.900000000000000000e+01,9.999998799999999521e-01
4.000000000000000000e+01,9.999998199999999837e-01
4.100000000000000000e+01,9.999997600000000153e-01
4.200000000000000000e+01,9.999997600000000153e-01
4.300000000000000000e+01,9.999997000000000469e-01
4.400000000000000000e+01,9.999996399999999674e-01
4.500000000000000000e+01,9.999995799999999990e-01
4.600000000000000000e+01,9.999994599999999512e-01
4.700000000000000000e+01,9.999993999999999827e-01
4.800000000000000000e+01,9.999992800000000459e-01
4.900000000000000000e+01,9.999991700000000483e-01
5.000000000000000000e+01,9.999990500000000004e-01
5.100000000000000000e+01,9.999988699999999842e-01
5.200000000000000000e+01,9.999986899999999679e-01
5.300000000000000000e+01,9.999985099999999516e-01
5.400000000000000000e+01,9.999982699999999669e-01
5.500000000000000000e+01,9.999979700000000138e-01
5.600000000000000000e+01,9.999976799999999999e-01
5.700000000000000000e+01,9.999973800000000468e-01
5.800000000000000000e+01,9.999970200000000142e-01
5.900000000000000000e+01,9.999966000000000133e-01
6.000000000000000000e+01,9.999961299999999831e-01
6.100000000000000000e+01,9.999956500000000137e-01
6.200000000000000000e+01,9.999951099999999649e-01
6.300000000000000000e+01,9.999944600000000294e-01
6.400000000000000000e+01,9.999938000000000438e-01
6.500000000000000000e+01,9.999930299999999495e-01
6.600000000000000000e+01,9.999921899999999475e-01
6.700000000000000000e+01,9.999913000000000274e-01
6.800000000000000000e+01,9.999902800000000092e-01
6.900000000000000000e+01,9.999892099999999617e-01
7.000000000000000000e+01,9.999880199999999775e-01
7.100000000000000000e+01,9.999867099999999454e-01
7.200000000000000000e+01,9.999852799999999764e-01
7.300000000000000000e+01,9.999837299999999596e-01
7.400000000000000000e+01,9.999820600000000059e-01
7.500000000000000000e+01,9.999802700000000044e-01
7.600000000000000000e+01,9.999782999999999866e-01
7.700000000000000000e+01,9.999761600000000028e-01
7.800000000000000000e+01,9.999738299999999525e-01
7.900000000000000000e+01,9.999713300000000471e-01
8.000000000000000000e+01,9.999686500000000144e-01
8.100000000000000000e+01,9.999657899999999655e-01
8.200000000000000000e+01,9.999626900000000429e-01
8.300000000000000000e+01,9.999592899999999451e-01
8.400000000000000000e+01,9.999557100000000531e-01
8.500000000000000000e+01,9.999518400000000362e-01
8.600000000000000000e+01,9.999477300000000346e-01
8.700000000000000000e+01,9.999433199999999689e-01
8.800000000000000000e+01,9.999386099999999500e-01
8.900000000000000000e+01,9.999335400000000096e-01
9.000000000000000000e+01,9.999281800000000553e-01
9.100000000000000000e+01,9.999224500000000182e-01
9.200000000000000000e+01,9.999163199999999696e-01
9.300000000000000000e+01,9.999098199999999492e-01
9.400000000000000000e+01,9.999028399999999595e-01
9.500000000000000000e+01,9.998955099999999874e-01
9.600000000000000000e+01,9.998877000000000459e-01
9.700000000000000000e+01,9.998794199999999632e-01
9.800000000000000000e+01,9.998706000000000538e-01
9.900000000000000000e+01,9.998612999999999529e-01
1.000000000000000000e+02,9.998514099999999960e-01
1.010000000000000000e+02,9.998409700000000511e-01
1.020000000000000000e+02,9.998299499999999673e-01
1.030000000000000000e+02,9.998182700000000089e-01
1.040000000000000000e+02,9.998059299999999538e-01
1.050000000000000000e+02,9.997929300000000241e-01
1.060000000000000000e+02,9.997792199999999685e-01
1.070000000000000000e+02,9.997648000000000090e-01
1.080000000000000000e+02,9.997495400000000476e-01
1.090000000000000000e+02,9.997335699999999603e-01
1.100000000000000000e+02,9.997167000000000137e-01
1.110000000000000000e+02,9.996989400000000359e-01
1.120000000000000000e+02,9.996803399999999451e-01
1.130000000000000000e+02,9.996607899999999658e-01
1.140000000000000000e+02,9.996402300000000185e-01
1.150000000000000000e+02,9.996187100000000214e-01
1.160000000000000000e+02,9.995961199999999769e-01
1.170000000000000000e+02,9.995724599999999960e-01
1.180000000000000000e+02,9.995475999999999805e-01
1.190000000000000000e+02,9.995216700000000287e-01
1.200000000000000000e+02,9.994944900000000132e-01
1.210000000000000000e+02,9.994660600000000450e-01
1.220000000000000000e+02,9.994363800000000131e-01
1.230000000000000000e+02,9.994053200000000414e-01
1.240000000000000000e+02,9.993729000000000084e-01
1.250000000000000000e+02,9.993390399999999563e-01
1.260000000000000000e+02,9.993037599999999854e-01
1.270000000000000000e+02,9.992669199999999474e-01
1.280000000000000000e+02,9.992284799999999745e-01
1.290000000000000000e+02,9.991884800000000455e-01
1.300000000000000000e+02,9.991468199999999911e-01
