# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500001500000000121e+01
7.000000000000000000e+00,2.500006099999999876e+01
8.000000000000000000e+00,2.500020999999999916e+01
9.000000000000000000e+00,2.500061399999999878e+01
1.000000000000000000e+01,2.500156199999999984e+01
1.100000000000000000e+01,2.500354199999999949e+01
1.200000000000000000e+01,2.500728000000000151e+01
1.300000000000000000e+01,2.501376300000000086e+01
1.400000000000000000e+01,2.502421800000000118e+01
1.500000000000000000e+01,2.504008699999999976e+01
1.600000000000000000e+01,2.506297299999999950e+01
1.700000000000000000e+01,2.509457400000000149e+01
1.800000000000000000e+01,2.513662899999999922e+01
1.900000000000000000e+01,2.519087000000000032e+01
2.000000000000000000e+01,2.525896799999999942e+01
2.100000000000000000e+01,2.534250799999999870e+01
2.200000000000000000e+01,2.544295699999999982e+01
2.300000000000000000e+01,2.556164199999999909e+01
2.400000000000000000e+01,2.569975300000000118e+01
2.500000000000000000e+01,2.585833900000000085e+01
2.600000000000000000e+01,2.603828000000000031e+01
2.700000000000000000e+01,2.624033500000000174e+01
2.800000000000000000e+01,2.646511100000000027e+01
2.900000000000000000e+01,2.671309700000000120e+01
3.000000000000000000e+01,2.698464200000000091e+01
3.100000000000000000e+01,2.728000300000000067e+01
3.200000000000000000e+01,2.759932299999999827e+01
3.300000000000000000e+01,2.794265899999999903e+01
3.400000000000000000e+01,2.830997699999999995e+01
3.500000000000000000e+01,2.870117400000000174e+01
3.600000000000000000e+01,2.911608500000000177e+01
3.700000000000000000e+01,2.955448700000000173e+01
3.800000000000000000e+01,3.001609600000000100e+01
3.900000000000000000e+01,3.050059699999999907e+01
4.000000000000000000e+01,3.100763500000000050e+01
4.100000000000000000e+01,3.153682299999999827e+01
4.200000000000000000e+01,3.208772299999999689e+01
4.300000000000000000e+01,3.265990800000000149e+01
4.400000000000000000e+01,3.325292999999999921e+01
4.500000000000000000e+01,3.386629099999999681e+01
4.600000000000000000e+01,3.449953500000000162e+01
4.700000000000000000e+01,3.515216399999999908e+01
4.800000000000000000e+01,3.582365399999999767e+01
4.900000000000000000e+01,3.651352299999999929e+01
5.000000000000000000e+01,3.722127900000000267e+01
5.100000000000000000e+01,3.794640400000000113e+01
5.200000000000000000e+01,3.868839299999999781e+01
5.300000000000000000e+01,3.944672800000000024e+01
5.400000000000000000e+01,4.022094299999999834e+01
5.500000000000000000e+01,4.101053199999999777e+01
5.600000000000000000e+01,4.181501000000000090e+01
5.700000000000000000e+01,4.263391099999999767e+01
5.800000000000000000e+01,4.346675900000000325e+01
5.900000000000000000e+01,4.431310700000000224e+01
6.000000000000000000e+01,4.517246999999999701e+01
6.100000000000000000e+01,4.604441500000000076e+01
6.200000000000000000e+01,4.692849700000000013e+01
6.300000000000000000e+01,4.782428399999999868e+01
6.400000000000000000e+01,4.873138399999999848e+01
6.500000000000000000e+01,4.964935299999999785e+01
6.600000000000000000e+01,5.057778199999999913e+01
6.700000000000000000e+01,5.151633499999999799e+01
6.800000000000000000e+01,5.246456899999999735e+01
6.900000000000000000e+01,5.342213100000000026e+01
7.000000000000000000e+01,5.438866800000000268e+01
7.100000000000000000e+01,5.536378100000000302e+01
7.200000000000000000e+01,5.634718300000000113e+01
7.300000000000000000e+01,5.733847800000000206e+01
7.400000000000000000e+01,5.833738699999999966e+01
7.500000000000000000e+01,5.934355200000000252e+01
7.600000000000000000e+01,6.035668900000000292e+01
7.700000000000000000e+01,6.137645700000000204e+01
7.800000000000000000e+01,6.240260700000000327e+01
7.900000000000000000e+01,6.343479200000000162e+01
8.000000000000000000e+01,6.447278599999999926e+01
8.100000000000000000e+01,6.551626600000000167e+01
8.200000000000000000e+01,6.656501000000000090e+01
8.300000000000000000e+01,6.761875899999999717e+01
8.400000000000000000e+01,6.867722299999999791e+01
8.500000000000000000e+01,6.974022700000000441e+01
8.600000000000000000e+01,7.080749500000000296e+01
8.700000000000000000e+01,7.187877699999999948e+01
8.800000000000000000e+01,7.295389600000000030e+01
8.900000000000000000e+01,7.403264599999999973e+01
9.000000000000000000e+01,7.511474599999999668e+01
9.100000000000000000e+01,7.620004299999999375e+01
9.200000000000000000e+01,7.728835300000000075e+01
9.300000000000000000e+01,7.837949399999999400e+01
9.400000000000000000e+01,7.947322800000000598e+01
9.500000000000000000e+01,8.056943499999999858e+01
9.600000000000000000e+01,8.166793800000000658e+01
9.700000000000000000e+01,8.276854699999999809e+01
9.800000000000000000e+01,8.387107799999999713e+01
9.900000000000000000e+01,8.497544100000000356e+01
1.000000000000000000e+02,8.608145899999999529e+01
1.010000000000000000e+02,8.718898799999999483e+01
1.020000000000000000e+02,8.829785200000000600e+01
1.030000000000000000e+02,8.940795099999999707e+01
1.040000000000000000e+02,9.051914999999999623e+01
1.050000000000000000e+02,9.163133200000000045e+01
1.060000000000000000e+02,9.274436199999999531e+01
1.070000000000000000e+02,9.385808600000000013e+01
1.080000000000000000e+02,9.497244299999999839e+01
1.090000000000000000e+02,9.608731799999999623e+01
1.100000000000000000e+02,9.720259099999999819e+01
1.110000000000000000e+02,9.831811500000000592e+01
1.120000000000000000e+02,9.943383799999999439e+01
1.130000000000000000e+02,1.005496700000000061e+02
1.140000000000000000e+02,1.016654800000000023e+02
1.150000000000000000e+02,1.027811999999999983e+02
1.160000000000000000e+02,1.038966900000000066e+02
1.170000000000000000e+02,1.050119200000000035e+02
1.180000000000000000e+02,1.061267899999999997e+02
1.190000000000000000e+02,1.072412300000000016e+02
1.200000000000000000e+02,1.083551499999999947e+02
1.210000000000000000e+02,1.094684400000000011e+02
1.220000000000000000e+02,1.105810699999999969e+02
1.230000000000000000e+02,1.116929700000000025e+02
1.240000000000000000e+02,1.128040600000000069e+02
1.250000000000000000e+02,1.139142200000000003e+02
1.260000000000000000e+02,1.150234499999999969e+02
1.270000000000000000e+02,1.161316499999999934e+02
1.280000000000000000e+02,1.172387899999999945e+02
1.290000000000000000e+02,1.183448000000000064e+02
1.300000000000000000e+02,1.194495500000000021e+02
1.310000000000000000e+02,1.205530799999999942e+02
1.320000000000000000e+02,1.216553100000000001e+02
1.330000000000000000e+02,1.227561800000000005e+02
1.340000000000000000e+02,1.238555800000000033e+02
1.350000000000000000e+02,1.249535300000000007e+02
1.360000000000000000e+02,1.260499800000000050e+02
1.370000000000000000e+02,1.271448400000000021e+02
1.380000000000000000e+02,1.282380499999999870e+02
1.390000000000000000e+02,1.293296100000000024e+02
1.400000000000000000e+02,1.304194500000000119e+02
1.410000000000000000e+02,1.315075199999999995e+02
1.420000000000000000e+02,1.325937999999999874e+02
1.430000000000000000e+02,1.336782699999999977e+02
1.440000000000000000e+02,1.347608299999999986e+02
1.450000000000000000e+02,1.358414300000000026e+02
1.460000000000000000e+02,1.369200700000000097e+02
1.470000000000000000e+02,1.379967300000000137e+02
1.480000000000000000e+02,1.390713000000000079e+02
1.490000000000000000e+02,1.402007099999999866e+02
1.500000000000000000e+02,1.412913399999999911e+02
1.510000000000000000e+02,1.423707100000000025e+02
1.520000000000000000e+02,1.434449600000000089e+02
1.530000000000000000e+02,1.445149499999999989e+02
1.540000000000000000e+02,1.455814100000000053e+02
1.550000000000000000e+02,1.466446100000000001e+02
1.560000000000000000e+02,1.477046799999999962e+02
1.570000000000000000e+02,1.487618400000000065e+02
1.580000000000000000e+02,1.498161499999999933e+02
1.590000000000000000e+02,1.508676499999999976e+02
1.600000000000000000e+02,1.519164000000000101e+02
1.610000000000000000e+02,1.529623699999999928e+02
1.620000000000000000e+02,1.540056800000000123e+02
1.630000000000000000e+02,1.550463000000000022e+02
1.640000000000000000e+02,1.560842000000000098e+02
1.650000000000000000e+02,1.571194199999999910e+02
1.660000000000000000e+02,1.581519199999999898e+02
1.670000000000000000e+02,1.591817299999999875e+02
1.680000000000000000e+02,1.602087999999999965e+02
1.690000000000000000e+02,1.612331399999999917e+02
1.700000000000000000e+02,1.622547099999999887e+02
1.710000000000000000e+02,1.632734700000000032e+02
1.720000000000000000e+02,1.642894599999999912e+02
1.730000000000000000e+02,1.653025700000000029e+02
1.740000000000000000e+02,1.663128399999999942e+02
1.750000000000000000e+02,1.673201899999999966e+02
1.760000000000000000e+02,1.683246499999999912e+02
1.770000000000000000e+02,1.693261599999999873e+02
1.780000000000000000e+02,1.703247100000000103e+02
1.790000000000000000e+02,1.713202499999999873e+02
1.800000000000000000e+02,1.723127900000000068e+02
1.810000000000000000e+02,1.733022499999999866e+02
1.820000000000000000e+02,1.742886499999999899e+02
1.830000000000000000e+02,1.752719299999999976e+02
1.840000000000000000e+02,1.762520800000000065e+02
1.850000000000000000e+02,1.772290600000000040e+02
1.860000000000000000e+02,1.782028500000000122e+02
1.870000000000000000e+02,1.791734199999999930e+02
1.880000000000000000e+02,1.801407299999999907e+02
1.890000000000000000e+02,1.811048299999999927e+02
1.900000000000000000e+02,1.820655800000000113e+02
1.910000000000000000e+02,1.830230400000000088e+02
1.920000000000000000e+02,1.839771299999999883e+02
1.930000000000000000e+02,1.849278400000000033e+02
1.940000000000000000e+02,1.858752000000000066e+02
1.950000000000000000e+02,1.868190800000000138e+02
1.960000000000000000e+02,1.877595200000000091e+02
1.970000000000000000e+02,1.886964999999999861e+02
1.980000000000000000e+02,1.896299699999999859e+02
1.990000000000000000e+02,1.905599200000000053e+02
2.000000000000000000e+02,1.914863599999999906e+02
2.010000000000000000e+02,1.924091899999999953e+02
2.020000000000000000e+02,1.933284500000000037e+02
2.030000000000000000e+02,1.942441100000000063e+02
2.040000000000000000e+02,1.951560800000000029e+02
2.050000000000000000e+02,1.960644100000000094e+02
2.060000000000000000e+02,1.969690699999999879e+02
2.070000000000000000e+02,1.978700599999999952e+02
2.080000000000000000e+02,1.987672699999999963e+02
2.090000000000000000e+02,1.996607500000000073e+02
2.100000000000000000e+02,2.005504599999999868e+02
2.110000000000000000e+02,2.014364199999999983e+02
2.120000000000000000e+02,2.023185900000000004e+02
2.130000000000000000e+02,2.031968999999999994e+02
2.140000000000000000e+02,2.040713800000000049e+02
2.150000000000000000e+02,2.049420200000000136e+02
2.160000000000000000e+02,2.058088099999999940e+02
2.170000000000000000e+02,2.066717199999999934e+02
2.180000000000000000e+02,2.075306999999999960e+02
2.190000000000000000e+02,2.083857399999999984e+02
2.200000000000000000e+02,2.092368600000000072e+02
2.210000000000000000e+02,2.100840100000000064e+02
2.220000000000000000e+02,2.109272200000000055e+02
2.230000000000000000e+02,2.117664300000000139e+02
2.240000000000000000e+02,2.126016700000000128e+02
2.250000000000000000e+02,2.134328800000000115e+02
2.260000000000000000e+02,2.142600899999999911e+02
2.270000000000000000e+02,2.150832699999999988e+02
2.280000000000000000e+02,2.159024000000000001e+02
2.290000000000000000e+02,2.167175000000000011e+02
2.300000000000000000e+02,2.175285000000000082e+02
2.310000000000000000e+02,2.183354500000000087e+02
2.320000000000000000e+02,2.191382900000000120e+02
2.330000000000000000e+02,2.199370399999999961e+02
2.340000000000000000e+02,2.207316899999999862e+02
2.350000000000000000e+02,2.215221999999999980e+02
2.360000000000000000e+02,2.223086099999999874e+02
2.370000000000000000e+02,2.230908799999999985e+02
2.380000000000000000e+02,2.238689999999999998e+02
2.390000000000000000e+02,2.246429699999999912e+02
2.400000000000000000e+02,2.254127799999999979e+02
2.410000000000000000e+02,2.261784399999999948e+02
2.420000000000000000e+02,2.269399300000000039e+02
2.430000000000000000e+02,2.276972199999999873e+02
2.440000000000000000e+02,2.284503200000000049e+02
2.450000000000000000e+02,2.291992199999999968e+02
2.460000000000000000e+02,2.299438900000000103e+02
2.470000000000000000e+02,2.306843700000000013e+02
2.480000000000000000e+02,2.314205800000000011e+02
2.490000000000000000e+02,2.321525699999999972e+02
2.500000000000000000e+02,2.328803599999999960e+02
2.510000000000000000e+02,2.336038700000000006e+02
2.520000000000000000e+02,2.343231000000000108e+02
2.530000000000000000e+02,2.350380700000000047e+02
2.540000000000000000e+02,2.357487500000000011e+02
2.550000000000000000e+02,2.364551500000000033e+02
2.560000000000000000e+02,2.371572400000000016e+02
2.570000000000000000e+02,2.378550400000000025e+02
2.580000000000000000e+02,2.385485099999999932e+02
2.590000000000000000e+02,2.392376600000000053e+02
2.600000000000000000e+02,2.399224499999999978e+02
2.610000000000000000e+02,2.406029100000000085e+02
2.620000000000000000e+02,2.412789899999999932e+02
2.630000000000000000e+02,2.419507000000000119e+02
2.640000000000000000e+02,2.426180099999999982e+02
2.650000000000000000e+02,2.432809399999999869e+02
2.660000000000000000e+02,2.439394499999999937e+02
2.670000000000000000e+02,2.445935499999999934e+02
2.680000000000000000e+02,2.452432300000000112e+02
2.690000000000000000e+02,2.458884400000000028e+02
2.700000000000000000e+02,2.465291699999999935e+02
2.710000000000000000e+02,2.471654699999999991e+02
2.720000000000000000e+02,2.477972599999999943e+02
2.730000000000000000e+02,2.484245500000000106e+02
2.740000000000000000e+02,2.490473499999999945e+02
2.750000000000000000e+02,2.496656000000000120e+02
2.760000000000000000e+02,2.502793399999999906e+02
2.770000000000000000e+02,2.508885199999999998e+02
2.780000000000000000e+02,2.514931300000000078e+02
2.790000000000000000e+02,2.520931500000000085e+02
2.800000000000000000e+02,2.526886100000000113e+02
2.810000000000000000e+02,2.532794499999999971e+02
2.820000000000000000e+02,2.538656799999999976e+02
2.830000000000000000e+02,2.544472499999999968e+02
2.840000000000000000e+02,2.550242200000000139e+02
2.850000000000000000e+02,2.555964999999999918e+02
2.860000000000000000e+02,2.561640899999999874e+02
2.870000000000000000e+02,2.567270500000000197e+02
2.880000000000000000e+02,2.572853099999999813e+02
2.890000000000000000e+02,2.578388400000000047e+02
2.900000000000000000e+02,2.583876300000000015e+02
2.910000000000000000e+02,2.589316999999999780e+02
2.920000000000000000e+02,2.594710400000000163e+02
2.930000000000000000e+02,2.600056500000000028e+02
