# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,9.999999400000000316e-01
3.900000000000000000e+01,9.999999400000000316e-01
4.000000000000000000e+01,9.999999400000000316e-01
4.100000000000000000e+01,9.999999400000000316e-01
4.200000000000000000e+01,9.999999400000000316e-01
4.300000000000000000e+01,9.999998799999999521e-01
4.400000000000000000e+01,9.999998799999999521e-01
4.500000000000000000e+01,9.999998799999999521e-01
4.600000000000000000e+01,9.999998199999999837e-01
4.700000000000000000e+01,9.999998199999999837e-01
4.800000000000000000e+01,9.999997600000000153e-01
4.900000000000000000e+01,9.999997000000000469e-01
5.000000000000000000e+01,9.999996399999999674e-01
5.100000000000000000e+01,9.999996399999999674e-01
5.200000000000000000e+01,9.999995200000000306e-01
5.300000000000000000e+01,9.999994599999999512e-01
5.400000000000000000e+01,9.999993999999999827e-01
5.500000000000000000e+01,9.999992800000000459e-01
5.600000000000000000e+01,9.999991700000000483e-01
5.700000000000000000e+01,9.999990500000000004e-01
5.800000000000000000e+01,9.999988699999999842e-01
5.900000000000000000e+01,9.999987500000000473e-01
6.000000000000000000e+01,9.999985700000000310e-01
6.100000000000000000e+01,9.999983300000000463e-01
6.200000000000000000e+01,9.999980899999999506e-01
6.300000000000000000e+01,9.999978499999999659e-01
6.400000000000000000e+01,9.999975599999999520e-01
6.500000000000000000e+01,9.999972599999999989e-01
6.600000000000000000e+01,9.999968399999999979e-01
6.700000000000000000e+01,9.999964799999999654e-01
6.800000000000000000e+01,9.999960100000000462e-01
6.900000000000000000e+01,9.999955299999999658e-01
7.000000000000000000e+01,9.999949900000000280e-01
7.100000000000000000e+01,9.999943399999999816e-01
7.200000000000000000e+01,9.999936799999999959e-01
7.300000000000000000e+01,9.999929699999999810e-01
7.400000000000000000e+01,9.999921299999999791e-01
7.500000000000000000e+01,9.999913000000000274e-01
7.600000000000000000e+01,9.999902800000000092e-01
7.700000000000000000e+01,9.999892099999999617e-01
7.800000000000000000e+01,9.999880799999999459e-01
7.900000000000000000e+01,9.999868299999999932e-01
8.000000000000000000e+01,9.999854599999999927e-01
8.100000000000000000e+01,9.999839099999999759e-01
8.200000000000000000e+01,9.999822999999999906e-01
8.300000000000000000e+01,9.999805699999999575e-01
8.400000000000000000e+01,9.999786000000000508e-01
8.500000000000000000e+01,9.999765800000000038e-01
8.600000000000000000e+01,9.999743100000000329e-01
8.700000000000000000e+01,9.999719299999999533e-01
8.800000000000000000e+01,9.999692999999999499e-01
8.900000000000000000e+01,9.999664999999999804e-01
9.000000000000000000e+01,9.999634600000000262e-01
9.100000000000000000e+01,9.999602399999999447e-01
9.200000000000000000e+01,9.999567299999999603e-01
9.300000000000000000e+01,9.999529700000000521e-01
9.400000000000000000e+01,9.999489799999999873e-01
9.500000000000000000e+01,9.999446899999999694e-01
9.600000000000000000e+01,9.999400999999999984e-01
9.700000000000000000e+01,9.999351499999999948e-01
9.800000000000000000e+01,9.999299000000000381e-01
9.900000000000000000e+01,9.999242999999999881e-01
1.000000000000000000e+02,9.999183400000000166e-01
1.010000000000000000e+02,9.999119600000000441e-01
1.020000000000000000e+02,9.999051700000000098e-01
1.030000000000000000e+02,9.998979599999999746e-01
1.040000000000000000e+02,9.998902699999999699e-01
1.050000000000000000e+02,9.998820999999999959e-01
1.060000000000000000e+02,9.998734599999999917e-01
1.070000000000000000e+02,9.998642199999999702e-01
1.080000000000000000e+02,9.998544499999999502e-01
1.090000000000000000e+02,9.998441300000000531e-01
1.100000000000000000e+02,9.998331700000000488e-01
1.110000000000000000e+02,9.998215999999999770e-01
1.120000000000000000e+02,9.998093200000000014e-01
1.130000000000000000e+02,9.997963300000000109e-01
1.140000000000000000e+02,9.997826199999999552e-01
1.150000000000000000e+02,9.997681400000000274e-01
1.160000000000000000e+02,9.997528199999999865e-01
1.170000000000000000e+02,9.997367299999999624e-01
1.180000000000000000e+02,9.997197399999999678e-01
1.190000000000000000e+02,9.997017999999999738e-01
1.200000000000000000e+02,9.996829000000000409e-01
1.210000000000000000e+02,9.996630499999999975e-01
1.220000000000000000e+02,9.996421300000000176e-01
1.230000000000000000e+02,9.996201399999999904e-01
1.240000000000000000e+02,9.995970100000000080e-01
1.250000000000000000e+02,9.995726900000000414e-01
1.260000000000000000e+02,9.995471799999999796e-01
1.270000000000000000e+02,9.995204199999999650e-01
1.280000000000000000e+02,9.994923500000000294e-01
1.290000000000000000e+02,9.994629000000000429e-01
1.300000000000000000e+02,9.994320300000000268e-01
