Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
-1,0,7.02e+12,2.62e+14,1.55e+13,1.0,0.0,561.1476262390806,2386.947364544684,0.05801215720770717,0.41867448828505993,1.68e+05,7.52e+05,6.81e+05,355697.4567733835,332380.4804317834,1269361.015756675,33427.10837002141,100000000.0,0.005797744402343242,0.4333113265136749,0.8000883020059104,0.8118390763195744,0.9637791335171886,0.94,0.33289090344995304,0.03644131373089314,1.5940545024851368e-05,0.0002500647214286858,1.9382113831696322,2.1761714720121246,3.2174302770650036,0.0,0.0,0.0,1683.0,1235.0,
0,175.2700,2.64e+12,1.13e+14,1.16e+13,1.0,0.0,820.8020953844855,1746.163093170227,0.062262704260843335,0.5323184510654193,3.16e+05,1.98e+05,3.86e+05,131269.29546248034,331770.71630798676,663644.4928504089,29599.23705076757,100000000.0,0.004619840405904543,0.6343985392085729,0.34294847782819005,0.7754056092573354,0.7959762517338073,0.94,0.27610049182490426,0.18968267005383846,5.328700508095053e-05,0.0002695652283805108,1.7206534729903418,2.3327319708964174,5.076512352959419,0.0,0.0,0.0,1683.0,1235.0,
1,355.8430,2.64e+12,1.13e+14,1.16e+13,1.0,0.0,820.8020953844855,1746.163093170227,0.062262704260843335,0.5323184510654193,3.16e+05,1.98e+05,3.86e+05,131269.29546248034,331770.71630798676,663644.4928504089,29599.23705076757,100000000.0,0.004619840405904543,0.6343985392085729,0.34294847782819005,0.7754056092573354,0.7959762517338073,0.94,0.27610049182490426,0.18968267005383846,5.328700508095053e-05,0.0002695652283805108,1.7206534729903418,2.3327319708964174,5.076512352959419,0.0,0.0,0.0,1683.0,1235.0,
2,536.1070,4.70e+12,1.11e+14,8.27e+12,1.0,0.0,678.7136835945864,2053.959900239179,0.09379167286321421,0.6991888735365649,1.56e+05,3.29e+05,4.15e+05,221932.02427614474,421985.6998085206,856934.8142097387,23927.500299486317,100000000.0,0.004591416792109112,0.5431447767986034,0.4107647001570939,0.5195451992424003,0.7659441320079352,0.94,0.30065225674396245,0.13793669915556278,7.410703147040594e-05,0.0003197299655423205,2.3413003333757554,2.7402509182448327,6.110860032397719,0.0,0.0,0.0,1683.0,1235.0,
3,719.2740,3.82e+12,1.11e+14,1.23e+13,1.0,0.0,795.8851575234796,2589.5543281295954,0.08313185892418887,0.5241097425432777,1.58e+05,3.17e+05,3.59e+05,200214.28692348895,408282.2634527264,782995.1418469048,17426.9991346983,100000000.0,0.004510099496690021,0.539723879711417,0.4543970191658027,0.5332519137706755,0.8105093272017141,0.94,0.3958270272438732,0.10911713176966825,5.157468967693242e-05,0.0003565585651960649,2.2060797511202286,2.696558676025851,5.971222884540821,0.0,0.0,0.0,1683.0,1235.0,
4,903.8370,3.59e+12,1.22e+14,1.23e+13,1.0,0.0,700.3201410036249,1831.414162922184,0.082874196427497,0.3756107986649758,1.63e+05,2.64e+05,4.49e+05,242772.74100783007,447253.7605770935,484154.4122874994,22829.938776180577,100000000.0,0.004250140292072985,0.5263076772245904,0.6852137414351558,0.33017894214875254,0.8555630495234039,0.94,0.10817042747301975,0.13950998978544188,6.28942093117645e-05,0.00029368191884111025,1.8775988833772952,2.0347497712836953,6.567660020480426,0.0,0.0,0.0,1683.0,1235.0,
5,1093.4030,4.33e+12,1.21e+14,1.50e+13,1.0,0.0,731.9485075001953,1955.199928469518,0.09253516802398029,0.5308654852036201,1.73e+05,3.23e+05,3.69e+05,212567.22284163887,431733.368483198,857253.7159313287,24197.16367096192,100000000.0,0.002974909427851994,0.48181994783065746,0.43323496085421676,0.48906783665622905,0.7518414489308719,0.94,0.30406997196298813,0.13462272103165754,6.331039880336512e-05,0.0004183933218317856,2.0950643430145828,3.2565647937717026,5.58047662700228,0.0,0.0,0.0,1683.0,1235.0,
6,1280.7700,5.35e+12,1.27e+14,1.06e+13,1.0,0.0,633.4247503904323,1168.2265093684607,0.07124896958858508,0.6896870216566192,1.71e+05,3.79e+05,5.11e+05,272871.2759070249,474649.0677110492,904300.1865299608,17199.03151014199,100000000.0,0.001422947019805773,0.45019033365964944,0.4450655529928706,0.33062238646555137,0.6223788978911955,0.94,0.22637654158467452,0.10916764785390912,5.770428872234661e-05,0.00030094273528939323,1.8304013691962857,2.8388849380122343,5.106855958843041,0.0,0.0,0.0,1683.0,1235.0,
7,1475.0430,5.35e+12,1.27e+14,1.06e+13,1.0,0.0,633.4247503904323,1168.2265093684607,0.07124896958858508,0.6896870216566192,1.71e+05,3.79e+05,5.11e+05,272871.2759070249,474649.0677110492,904300.1865299608,17199.03151014199,100000000.0,0.001422947019805773,0.45019033365964944,0.4450655529928706,0.33062238646555137,0.6223788978911955,0.94,0.22637654158467452,0.10916764785390912,5.770428872234661e-05,0.00030094273528939323,1.8304013691962857,2.8388849380122343,5.106855958843041,0.0,0.0,0.0,1683.0,1235.0,
8,1670.1850,5.35e+12,1.27e+14,1.06e+13,1.0,0.0,633.4247503904323,1168.2265093684607,0.07124896958858508,0.6896870216566192,1.71e+05,3.79e+05,5.11e+05,272871.2759070249,474649.0677110492,904300.1865299608,17199.03151014199,100000000.0,0.001422947019805773,0.45019033365964944,0.4450655529928706,0.33062238646555137,0.6223788978911955,0.94,0.22637654158467452,0.10916764785390912,5.770428872234661e-05,0.00030094273528939323,1.8304013691962857,2.8388849380122343,5.106855958843041,0.0,0.0,0.0,1683.0,1235.0,
