# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500001500000000121e+01
7.000000000000000000e+00,2.500006499999999932e+01
8.000000000000000000e+00,2.500021699999999925e+01
9.000000000000000000e+00,2.500063300000000055e+01
1.000000000000000000e+01,2.500160599999999889e+01
1.100000000000000000e+01,2.500362399999999852e+01
1.200000000000000000e+01,2.500742299999999929e+01
1.300000000000000000e+01,2.501398700000000019e+01
1.400000000000000000e+01,2.502454600000000084e+01
1.500000000000000000e+01,2.504053899999999899e+01
1.600000000000000000e+01,2.506356399999999951e+01
1.700000000000000000e+01,2.509531199999999984e+01
1.800000000000000000e+01,2.513751600000000153e+01
1.900000000000000000e+01,2.519189799999999835e+01
2.000000000000000000e+01,2.526012199999999908e+01
2.100000000000000000e+01,2.534375999999999962e+01
2.200000000000000000e+01,2.544427299999999903e+01
2.300000000000000000e+01,2.556297899999999856e+01
2.400000000000000000e+01,2.570106099999999927e+01
2.500000000000000000e+01,2.585955999999999833e+01
2.600000000000000000e+01,2.603935399999999944e+01
2.700000000000000000e+01,2.624119599999999863e+01
2.800000000000000000e+01,2.646567900000000151e+01
2.900000000000000000e+01,2.671329100000000167e+01
3.000000000000000000e+01,2.698438300000000112e+01
3.100000000000000000e+01,2.727920500000000104e+01
3.200000000000000000e+01,2.759789999999999921e+01
3.300000000000000000e+01,2.794051599999999880e+01
3.400000000000000000e+01,2.830702199999999991e+01
3.500000000000000000e+01,2.869731700000000174e+01
3.600000000000000000e+01,2.911123100000000008e+01
3.700000000000000000e+01,2.954853599999999858e+01
3.800000000000000000e+01,3.000895500000000027e+01
3.900000000000000000e+01,3.049217399999999856e+01
4.000000000000000000e+01,3.099783100000000147e+01
4.100000000000000000e+01,3.152554100000000048e+01
4.200000000000000000e+01,3.207487499999999869e+01
4.300000000000000000e+01,3.264541599999999733e+01
4.400000000000000000e+01,3.323668299999999931e+01
4.500000000000000000e+01,3.384823200000000298e+01
4.600000000000000000e+01,3.447954599999999914e+01
4.700000000000000000e+01,3.513016499999999809e+01
4.800000000000000000e+01,3.579957199999999773e+01
4.900000000000000000e+01,3.648729300000000109e+01
5.000000000000000000e+01,3.719280599999999737e+01
5.100000000000000000e+01,3.791559999999999775e+01
5.200000000000000000e+01,3.865518600000000049e+01
5.300000000000000000e+01,3.941104899999999844e+01
5.400000000000000000e+01,4.018272799999999734e+01
5.500000000000000000e+01,4.096972699999999890e+01
5.600000000000000000e+01,4.177156399999999792e+01
5.700000000000000000e+01,4.258776100000000042e+01
5.800000000000000000e+01,4.341788100000000128e+01
5.900000000000000000e+01,4.426141400000000203e+01
6.000000000000000000e+01,4.511789699999999925e+01
6.100000000000000000e+01,4.598691199999999668e+01
6.200000000000000000e+01,4.686802300000000088e+01
6.300000000000000000e+01,4.776081800000000044e+01
6.400000000000000000e+01,4.866489399999999677e+01
6.500000000000000000e+01,4.957979199999999764e+01
6.600000000000000000e+01,5.050514199999999931e+01
6.700000000000000000e+01,5.144059000000000026e+01
6.800000000000000000e+01,5.238569999999999993e+01
6.900000000000000000e+01,5.334012200000000092e+01
7.000000000000000000e+01,5.430350899999999825e+01
7.100000000000000000e+01,5.527548600000000079e+01
7.200000000000000000e+01,5.625574100000000044e+01
7.300000000000000000e+01,5.724390799999999757e+01
7.400000000000000000e+01,5.823969699999999960e+01
7.500000000000000000e+01,5.924274799999999885e+01
7.600000000000000000e+01,6.025280800000000170e+01
7.700000000000000000e+01,6.126951999999999998e+01
7.800000000000000000e+01,6.229264500000000027e+01
7.900000000000000000e+01,6.332184999999999775e+01
8.000000000000000000e+01,6.435690300000000263e+01
8.100000000000000000e+01,6.539753000000000327e+01
8.200000000000000000e+01,6.644345900000000427e+01
8.300000000000000000e+01,6.749444599999999639e+01
8.400000000000000000e+01,6.855020899999999529e+01
8.500000000000000000e+01,6.961055000000000348e+01
8.600000000000000000e+01,7.067523199999999406e+01
8.700000000000000000e+01,7.174399599999999566e+01
8.800000000000000000e+01,7.281665800000000388e+01
8.900000000000000000e+01,7.389300500000000227e+01
9.000000000000000000e+01,7.497281599999999457e+01
9.100000000000000000e+01,7.605591599999999630e+01
9.200000000000000000e+01,7.714208200000000204e+01
9.300000000000000000e+01,7.823114800000000457e+01
9.400000000000000000e+01,7.932289900000000671e+01
9.500000000000000000e+01,8.041719100000000253e+01
9.600000000000000000e+01,8.151384000000000185e+01
9.700000000000000000e+01,8.261266299999999774e+01
9.800000000000000000e+01,8.371355400000000202e+01
9.900000000000000000e+01,8.481631500000000301e+01
1.000000000000000000e+02,8.592079200000000583e+01
1.010000000000000000e+02,8.702685499999999763e+01
1.020000000000000000e+02,8.813433799999999962e+01
1.030000000000000000e+02,8.924314099999999428e+01
1.040000000000000000e+02,9.035310400000000186e+01
1.050000000000000000e+02,9.146410400000000607e+01
1.060000000000000000e+02,9.257599600000000351e+01
1.070000000000000000e+02,9.368871300000000701e+01
1.080000000000000000e+02,9.480211599999999805e+01
1.090000000000000000e+02,9.591606099999999913e+01
1.100000000000000000e+02,9.703045699999999840e+01
1.110000000000000000e+02,9.814517999999999631e+01
1.120000000000000000e+02,9.926018500000000699e+01
1.130000000000000000e+02,1.003753300000000053e+02
1.140000000000000000e+02,1.014904999999999973e+02
1.150000000000000000e+02,1.026056099999999986e+02
1.160000000000000000e+02,1.037206099999999935e+02
1.170000000000000000e+02,1.048354000000000070e+02
1.180000000000000000e+02,1.059498700000000042e+02
1.190000000000000000e+02,1.070639400000000023e+02
1.200000000000000000e+02,1.081775300000000044e+02
1.210000000000000000e+02,1.092905999999999977e+02
1.220000000000000000e+02,1.104030499999999932e+02
1.230000000000000000e+02,1.115147800000000018e+02
1.240000000000000000e+02,1.126257200000000012e+02
1.250000000000000000e+02,1.137358799999999945e+02
1.260000000000000000e+02,1.148451199999999943e+02
1.270000000000000000e+02,1.159534100000000052e+02
1.280000000000000000e+02,1.170606599999999986e+02
1.290000000000000000e+02,1.181667999999999950e+02
1.300000000000000000e+02,1.192717999999999989e+02
1.310000000000000000e+02,1.203756000000000057e+02
1.320000000000000000e+02,1.214781499999999994e+02
1.330000000000000000e+02,1.225793500000000051e+02
1.340000000000000000e+02,1.236791999999999945e+02
1.350000000000000000e+02,1.247776300000000020e+02
1.360000000000000000e+02,1.258745799999999946e+02
1.370000000000000000e+02,1.269699999999999989e+02
1.380000000000000000e+02,1.280638600000000054e+02
1.390000000000000000e+02,1.291561000000000092e+02
1.400000000000000000e+02,1.302466900000000010e+02
1.410000000000000000e+02,1.313355599999999868e+02
1.420000000000000000e+02,1.324226700000000108e+02
1.430000000000000000e+02,1.335080100000000130e+02
1.440000000000000000e+02,1.345914899999999932e+02
1.450000000000000000e+02,1.356731100000000083e+02
1.460000000000000000e+02,1.367528100000000109e+02
1.470000000000000000e+02,1.378305499999999881e+02
1.480000000000000000e+02,1.389063099999999906e+02
1.490000000000000000e+02,1.399800299999999993e+02
1.500000000000000000e+02,1.410516800000000046e+02
1.510000000000000000e+02,1.421211999999999875e+02
1.520000000000000000e+02,1.431885800000000017e+02
1.530000000000000000e+02,1.442538299999999936e+02
1.540000000000000000e+02,1.453168200000000070e+02
1.550000000000000000e+02,1.463775799999999947e+02
1.560000000000000000e+02,1.474361000000000104e+02
1.570000000000000000e+02,1.484922300000000064e+02
1.580000000000000000e+02,1.495460699999999861e+02
1.590000000000000000e+02,1.505974899999999934e+02
1.600000000000000000e+02,1.516465300000000127e+02
1.610000000000000000e+02,1.526931500000000028e+02
1.620000000000000000e+02,1.537372599999999920e+02
1.630000000000000000e+02,1.547788700000000119e+02
1.640000000000000000e+02,1.558179299999999898e+02
1.650000000000000000e+02,1.568544300000000078e+02
1.660000000000000000e+02,1.578883700000000090e+02
1.670000000000000000e+02,1.589196300000000122e+02
1.680000000000000000e+02,1.599482700000000079e+02
1.690000000000000000e+02,1.609741999999999962e+02
1.700000000000000000e+02,1.619974400000000117e+02
1.710000000000000000e+02,1.630178999999999974e+02
1.720000000000000000e+02,1.640356099999999913e+02
1.730000000000000000e+02,1.650505200000000059e+02
1.740000000000000000e+02,1.660625799999999970e+02
1.750000000000000000e+02,1.670717899999999929e+02
1.760000000000000000e+02,1.680780900000000031e+02
1.770000000000000000e+02,1.690815000000000055e+02
1.780000000000000000e+02,1.700819400000000030e+02
1.790000000000000000e+02,1.710794400000000053e+02
1.800000000000000000e+02,1.720739000000000090e+02
1.810000000000000000e+02,1.730653499999999951e+02
1.820000000000000000e+02,1.740537300000000016e+02
1.830000000000000000e+02,1.750390299999999968e+02
1.840000000000000000e+02,1.760212400000000059e+02
1.850000000000000000e+02,1.770002900000000068e+02
1.860000000000000000e+02,1.779762000000000057e+02
1.870000000000000000e+02,1.789488800000000026e+02
1.880000000000000000e+02,1.799183800000000133e+02
1.890000000000000000e+02,1.808846100000000092e+02
1.900000000000000000e+02,1.818476100000000031e+02
1.910000000000000000e+02,1.828072799999999916e+02
1.920000000000000000e+02,1.837636300000000062e+02
1.930000000000000000e+02,1.847166599999999903e+02
1.940000000000000000e+02,1.856663100000000099e+02
1.950000000000000000e+02,1.866125499999999988e+02
1.960000000000000000e+02,1.875553899999999885e+02
1.970000000000000000e+02,1.884947799999999916e+02
1.980000000000000000e+02,1.894306899999999985e+02
1.990000000000000000e+02,1.903631399999999871e+02
2.000000000000000000e+02,1.912920499999999890e+02
2.010000000000000000e+02,1.922174400000000105e+02
2.020000000000000000e+02,1.931392700000000104e+02
2.030000000000000000e+02,1.940575000000000045e+02
2.040000000000000000e+02,1.949721399999999960e+02
2.050000000000000000e+02,1.958831600000000037e+02
2.060000000000000000e+02,1.967905299999999897e+02
2.070000000000000000e+02,1.976942099999999982e+02
2.080000000000000000e+02,1.985942200000000071e+02
2.090000000000000000e+02,1.994905400000000100e+02
2.100000000000000000e+02,2.003831000000000131e+02
2.110000000000000000e+02,2.012718999999999880e+02
2.120000000000000000e+02,2.021569499999999948e+02
2.130000000000000000e+02,2.030382099999999923e+02
2.140000000000000000e+02,2.039156800000000089e+02
2.150000000000000000e+02,2.047893100000000004e+02
2.160000000000000000e+02,2.056590899999999920e+02
2.170000000000000000e+02,2.065250200000000120e+02
2.180000000000000000e+02,2.073870799999999974e+02
2.190000000000000000e+02,2.082452900000000113e+02
2.200000000000000000e+02,2.090995599999999968e+02
2.210000000000000000e+02,2.099499099999999885e+02
2.220000000000000000e+02,2.107963000000000022e+02
2.230000000000000000e+02,2.116387200000000064e+02
2.240000000000000000e+02,2.124771700000000010e+02
2.250000000000000000e+02,2.133116499999999860e+02
2.260000000000000000e+02,2.141421400000000119e+02
2.270000000000000000e+02,2.149686000000000092e+02
2.280000000000000000e+02,2.157910500000000127e+02
2.290000000000000000e+02,2.166094500000000096e+02
2.300000000000000000e+02,2.174238000000000000e+02
2.310000000000000000e+02,2.182340700000000027e+02
2.320000000000000000e+02,2.190402799999999957e+02
2.330000000000000000e+02,2.198424400000000105e+02
2.340000000000000000e+02,2.206404599999999903e+02
2.350000000000000000e+02,2.214343599999999981e+02
2.360000000000000000e+02,2.222241500000000087e+02
2.370000000000000000e+02,2.230098099999999874e+02
2.380000000000000000e+02,2.237913399999999911e+02
2.390000000000000000e+02,2.245687299999999880e+02
2.400000000000000000e+02,2.253419299999999907e+02
2.410000000000000000e+02,2.261109800000000121e+02
2.420000000000000000e+02,2.268758400000000108e+02
2.430000000000000000e+02,2.276365099999999870e+02
2.440000000000000000e+02,2.283929699999999912e+02
2.450000000000000000e+02,2.291452199999999948e+02
2.460000000000000000e+02,2.298932499999999948e+02
2.470000000000000000e+02,2.306370400000000132e+02
2.480000000000000000e+02,2.313765999999999963e+02
2.490000000000000000e+02,2.321119199999999978e+02
2.500000000000000000e+02,2.328429999999999893e+02
2.510000000000000000e+02,2.335697900000000118e+02
2.520000000000000000e+02,2.342923299999999927e+02
2.530000000000000000e+02,2.350105700000000013e+02
2.540000000000000000e+02,2.357245299999999872e+02
2.550000000000000000e+02,2.364341900000000010e+02
2.560000000000000000e+02,2.371395400000000109e+02
2.570000000000000000e+02,2.378405799999999886e+02
2.580000000000000000e+02,2.385372800000000097e+02
2.590000000000000000e+02,2.392296399999999892e+02
2.600000000000000000e+02,2.399176799999999901e+02
2.610000000000000000e+02,2.406013499999999965e+02
2.620000000000000000e+02,2.412806500000000085e+02
2.630000000000000000e+02,2.419555799999999977e+02
2.640000000000000000e+02,2.426261299999999892e+02
2.650000000000000000e+02,2.432922800000000052e+02
2.660000000000000000e+02,2.439540299999999888e+02
2.670000000000000000e+02,2.446113599999999906e+02
2.680000000000000000e+02,2.452642700000000104e+02
2.690000000000000000e+02,2.459127300000000105e+02
2.700000000000000000e+02,2.465567499999999939e+02
2.710000000000000000e+02,2.471963000000000079e+02
2.720000000000000000e+02,2.478314100000000053e+02
2.730000000000000000e+02,2.484620099999999923e+02
2.740000000000000000e+02,2.490880999999999972e+02
2.750000000000000000e+02,2.497096899999999948e+02
2.760000000000000000e+02,2.503267700000000104e+02
2.770000000000000000e+02,2.509393000000000029e+02
2.780000000000000000e+02,2.515472900000000038e+02
2.790000000000000000e+02,2.521507100000000037e+02
2.800000000000000000e+02,2.527495900000000120e+02
2.810000000000000000e+02,2.533438600000000065e+02
2.820000000000000000e+02,2.539335299999999904e+02
2.830000000000000000e+02,2.545185999999999922e+02
2.840000000000000000e+02,2.550990400000000022e+02
2.850000000000000000e+02,2.556748499999999922e+02
2.860000000000000000e+02,2.562459999999999809e+02
2.870000000000000000e+02,2.568125000000000000e+02
2.880000000000000000e+02,2.573743299999999863e+02
2.890000000000000000e+02,2.579314600000000155e+02
2.900000000000000000e+02,2.584838899999999740e+02
2.910000000000000000e+02,2.590316199999999753e+02
2.920000000000000000e+02,2.595746199999999817e+02
2.930000000000000000e+02,2.601128499999999804e+02
