# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.274740728807139234e-02
7.000000000000000000e+00,5.198326877831560555e-02
8.000000000000000000e+00,7.835807837898799144e-02
9.000000000000000000e+00,1.129201743898674559e-01
1.000000000000000000e+01,1.552730162683309822e-01
1.100000000000000000e+01,2.053007278674866265e-01
1.200000000000000000e+01,2.625918386947302952e-01
1.300000000000000000e+01,3.264117979203563502e-01
1.400000000000000000e+01,3.960302074021636032e-01
1.500000000000000000e+01,4.705929052857265038e-01
1.600000000000000000e+01,5.493146568780471473e-01
1.700000000000000000e+01,6.314425156004522810e-01
1.800000000000000000e+01,7.162849872670582485e-01
1.900000000000000000e+01,8.032446690288882474e-01
2.000000000000000000e+01,8.917957027083827093e-01
2.100000000000000000e+01,9.814825611778662529e-01
2.200000000000000000e+01,1.071921396479121436e+00
2.300000000000000000e+01,1.162781710450363715e+00
2.400000000000000000e+01,1.253778404676285430e+00
2.500000000000000000e+01,1.344679611880433612e+00
2.600000000000000000e+01,1.435289598425169677e+00
2.700000000000000000e+01,1.525441350944480412e+00
2.800000000000000000e+01,1.614998253838942910e+00
2.900000000000000000e+01,1.703850422072079596e+00
3.000000000000000000e+01,1.791906358733545312e+00
3.100000000000000000e+01,1.879084663837677915e+00
3.200000000000000000e+01,1.965329464343666732e+00
3.300000000000000000e+01,2.050595941198889438e+00
3.400000000000000000e+01,2.134840734300567533e+00
3.500000000000000000e+01,2.218039926617329183e+00
3.600000000000000000e+01,2.300173219911742617e+00
3.700000000000000000e+01,2.381225924635872460e+00
3.800000000000000000e+01,2.461189691245099898e+00
3.900000000000000000e+01,2.540059039517175599e+00
4.000000000000000000e+01,2.617834462292815356e+00
4.100000000000000000e+01,2.694519604031481386e+00
4.200000000000000000e+01,2.770124468577982224e+00
4.300000000000000000e+01,2.844652850910794228e+00
4.400000000000000000e+01,2.918113267547086220e+00
4.500000000000000000e+01,2.990520004081584471e+00
4.600000000000000000e+01,3.061889230393409100e+00
4.700000000000000000e+01,3.132229686175217687e+00
4.800000000000000000e+01,3.201560091620397674e+00
4.900000000000000000e+01,3.269892833867005688e+00
5.000000000000000000e+01,3.337245921282665950e+00
5.100000000000000000e+01,3.403633810856958597e+00
5.200000000000000000e+01,3.469075071770746810e+00
5.300000000000000000e+01,3.533586123960191561e+00
5.400000000000000000e+01,3.597182174609018457e+00
5.500000000000000000e+01,3.659880861447232014e+00
5.600000000000000000e+01,3.721697749007534473e+00
5.700000000000000000e+01,3.782652347365952128e+00
5.800000000000000000e+01,3.842759701840036346e+00
5.900000000000000000e+01,3.902036193524744956e+00
6.000000000000000000e+01,3.960498806795272664e+00
6.100000000000000000e+01,4.018163439542205673e+00
6.200000000000000000e+01,4.075044345629287967e+00
6.300000000000000000e+01,4.131156828000118963e+00
6.400000000000000000e+01,4.186515905198680443e+00
6.500000000000000000e+01,4.241137204208946798e+00
6.600000000000000000e+01,4.295036010131635607e+00
6.700000000000000000e+01,4.348226086705504478e+00
6.800000000000000000e+01,4.400720843882497846e+00
6.900000000000000000e+01,4.452534050473093252e+00
7.000000000000000000e+01,4.503678375060021999e+00
7.100000000000000000e+01,4.554171008343178784e+00
7.200000000000000000e+01,4.604020502059087860e+00
7.300000000000000000e+01,4.653239008034454116e+00
7.400000000000000000e+01,4.701839977574262086e+00
7.500000000000000000e+01,4.749837906532632381e+00
7.600000000000000000e+01,4.797241958236182491e+00
7.700000000000000000e+01,4.844062347688032233e+00
7.800000000000000000e+01,4.890313358943488176e+00
7.900000000000000000e+01,4.936003298627385405e+00
8.000000000000000000e+01,4.981142573088200187e+00
8.100000000000000000e+01,5.025744185513754125e+00
8.200000000000000000e+01,5.069815303079442614e+00
8.300000000000000000e+01,5.113366698309366853e+00
8.400000000000000000e+01,5.156410502296504106e+00
8.500000000000000000e+01,5.198952118096023867e+00
8.600000000000000000e+01,5.241004432954296632e+00
8.700000000000000000e+01,5.282572373492847362e+00
8.800000000000000000e+01,5.323668011909473030e+00
8.900000000000000000e+01,5.364298629090451520e+00
9.000000000000000000e+01,5.404473038358553083e+00
9.100000000000000000e+01,5.444198704660924371e+00
9.200000000000000000e+01,5.483483900785587117e+00
9.300000000000000000e+01,5.522335958126173949e+00
9.400000000000000000e+01,5.560762994436779572e+00
9.500000000000000000e+01,5.598771878514841482e+00
9.600000000000000000e+01,5.636370522042172482e+00
9.700000000000000000e+01,5.673565954380501708e+00
9.800000000000000000e+01,5.710365167527760910e+00
9.900000000000000000e+01,5.746773450870479749e+00
1.000000000000000000e+02,5.782800691443523711e+00
1.010000000000000000e+02,5.818450994384882335e+00
1.020000000000000000e+02,5.853730444121597820e+00
1.030000000000000000e+02,5.888645837396221161e+00
1.040000000000000000e+02,5.923202672317200879e+00
1.050000000000000000e+02,5.957407762026710074e+00
1.060000000000000000e+02,5.991266289894068287e+00
1.070000000000000000e+02,6.024785511853074205e+00
1.080000000000000000e+02,6.057969188018353712e+00
1.090000000000000000e+02,6.090822157229790257e+00
1.100000000000000000e+02,6.123350934400254353e+00
1.110000000000000000e+02,6.155560131553842851e+00
1.120000000000000000e+02,6.187456714490547682e+00
1.130000000000000000e+02,6.219042588967476526e+00
1.140000000000000000e+02,6.250324982101905569e+00
1.150000000000000000e+02,6.281307545349798183e+00
1.160000000000000000e+02,6.311994613103501628e+00
1.170000000000000000e+02,6.342392391865033119e+00
1.180000000000000000e+02,6.372503077883495237e+00
1.190000000000000000e+02,6.402332755190425218e+00
1.200000000000000000e+02,6.431884991343079783e+00
1.210000000000000000e+02,6.461163475791851241e+00
1.220000000000000000e+02,6.490173709584475148e+00
1.230000000000000000e+02,6.518917802133515238e+00
1.240000000000000000e+02,6.547401609824325064e+00
1.250000000000000000e+02,6.575627265316963843e+00
1.260000000000000000e+02,6.603599241687381216e+00
1.270000000000000000e+02,6.631321326180303011e+00
1.280000000000000000e+02,6.658797177035099324e+00
1.290000000000000000e+02,6.686029805339129162e+00
1.300000000000000000e+02,6.713022900118707170e+00
1.310000000000000000e+02,6.739779513071831651e+00
1.320000000000000000e+02,6.766303362323879966e+00
1.330000000000000000e+02,6.792597284602702956e+00
1.340000000000000000e+02,6.818665031744004956e+00
1.350000000000000000e+02,6.844509487229325728e+00
1.360000000000000000e+02,6.870132699026952672e+00
1.370000000000000000e+02,6.895538618650855156e+00
1.380000000000000000e+02,6.920729121512153803e+00
1.390000000000000000e+02,6.945707964453942118e+00
1.400000000000000000e+02,6.970477827837492590e+00
1.410000000000000000e+02,6.995042028541316625e+00
1.420000000000000000e+02,7.019401409627874955e+00
1.430000000000000000e+02,7.043560088395007135e+00
1.440000000000000000e+02,7.067520189419817633e+00
1.450000000000000000e+02,7.091283774294090847e+00
1.460000000000000000e+02,7.114853537584552967e+00
1.470000000000000000e+02,7.138231867322668123e+00
1.480000000000000000e+02,7.161420855256483975e+00
1.490000000000000000e+02,7.184422986951203072e+00
1.500000000000000000e+02,7.207241129517325540e+00
1.510000000000000000e+02,7.229875832612280284e+00
1.520000000000000000e+02,7.252330964607415886e+00
1.530000000000000000e+02,7.274607195984253316e+00
1.540000000000000000e+02,7.296707813274509569e+00
1.550000000000000000e+02,7.318632958327375704e+00
1.560000000000000000e+02,7.340386891393007929e+00
1.570000000000000000e+02,7.361969446865906264e+00
1.580000000000000000e+02,7.383384536916921981e+00
1.590000000000000000e+02,7.404631707674351304e+00
1.600000000000000000e+02,7.425715392322850050e+00
1.610000000000000000e+02,7.446634851837318436e+00
1.620000000000000000e+02,7.467393136481311977e+00
1.630000000000000000e+02,7.487991553062279593e+00
1.640000000000000000e+02,7.508431996913233597e+00
1.650000000000000000e+02,7.528715283953935078e+00
1.660000000000000000e+02,7.548843233902407412e+00
1.670000000000000000e+02,7.568818235098130565e+00
1.680000000000000000e+02,7.588640587337594390e+00
1.690000000000000000e+02,7.608313207340187567e+00
1.700000000000000000e+02,7.627836733134947700e+00
1.710000000000000000e+02,7.647212384651472128e+00
1.720000000000000000e+02,7.666440953240869938e+00
1.730000000000000000e+02,7.685524794212485133e+00
1.740000000000000000e+02,7.704465421931076641e+00
1.750000000000000000e+02,7.723262549400757848e+00
1.760000000000000000e+02,7.741919209719264394e+00
1.770000000000000000e+02,7.760436234235648101e+00
1.780000000000000000e+02,7.778814239625813975e+00
1.790000000000000000e+02,7.797055173350010193e+00
1.800000000000000000e+02,7.815158641276874540e+00
1.810000000000000000e+02,7.833127303551734144e+00
1.820000000000000000e+02,7.850962436947865442e+00
1.830000000000000000e+02,7.868663966421695299e+00
