Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
-1,0,2.31e+12,7.19e+13,8.66e+12,1.0,0.0,1126.1017928019446,3239.3117434490214,0.04701799618789115,0.3112166764756588,1.79e+05,1.99e+05,1.73e+05,161509.32967534562,269334.975193179,413360.2587669858,31738.463305355293,100000000.0,0.00028919133499055114,0.6891690992819401,0.5384005811314274,0.3112206280282833,0.9529855861753661,0.94,0.3185205394968479,0.07553138899015865,0.00016916037565358453,0.00035799606443537166,0.9891007111002388,1.4688859970720425,2.9855654829126244,0.0,0.0,0.0,1683.0,1235.0,
0,210.8630,2.35e+12,7.58e+13,9.17e+12,1.0,0.0,1167.1798858102447,1036.0905084056017,0.04415461440466378,0.6026174082280924,1.79e+05,1.89e+05,1.74e+05,114694.52711735357,486472.6707607089,406858.40817510244,21513.268193080105,100000000.0,0.000258188533164668,0.7419221920498111,0.4938824660954977,0.3063555797694385,0.9687180839566519,0.94,0.5294204033836597,0.06548095767515158,5.603532578421418e-05,0.0005381026236627282,1.0253394895477377,1.5591316594343039,2.94420822343662,0.0,0.0,0.0,1683.0,1235.0,
1,453.5130,2.27e+12,7.74e+13,8.80e+12,1.0,0.0,1067.969970775251,2644.9485265294907,0.04390389559942277,0.4075875116142665,1.76e+05,1.94e+05,1.69e+05,180765.07058903333,402615.34099328984,390645.0801320657,24571.975977234102,100000000.0,0.0001909726745023352,0.7483119069647766,0.4963360362876913,0.3069710291995461,0.8359333725870991,0.94,0.34914566934579955,0.13205576643629177,6.469207221485311e-05,0.0005078192587332162,0.9673483019644036,1.5186455180908918,3.154514822716982,0.0,0.0,0.0,1683.0,1235.0,
2,732.4600,2.27e+12,7.74e+13,8.80e+12,1.0,0.0,1067.969970775251,2644.9485265294907,0.04390389559942277,0.4075875116142665,1.76e+05,1.94e+05,1.69e+05,180765.07058903333,402615.34099328984,390645.0801320657,24571.975977234102,100000000.0,0.0001909726745023352,0.7483119069647766,0.4963360362876913,0.3069710291995461,0.8359333725870991,0.94,0.34914566934579955,0.13205576643629177,6.469207221485311e-05,0.0005078192587332162,0.9673483019644036,1.5186455180908918,3.154514822716982,0.0,0.0,0.0,1683.0,1235.0,
3,1047.6080,2.34e+12,7.43e+13,9.14e+12,1.0,0.0,1078.59123063421,2609.68643089819,0.04515318821877515,0.34324606026292115,1.86e+05,1.82e+05,1.69e+05,107923.94995829335,332075.1409991441,391900.9098918155,18561.43236225692,100000000.0,0.00012998787439642048,0.7353101164683049,0.5177285435995268,0.30843636077002523,0.8649744882769655,0.94,0.3374892488458229,0.14214678088674984,4.134725618997029e-05,0.0005391639534467723,0.9711656749695246,1.5591679462240302,3.016391564435193,0.0,0.0,0.0,1683.0,1235.0,
4,1375.9320,2.34e+12,7.43e+13,9.14e+12,1.0,0.0,1078.59123063421,2609.68643089819,0.04515318821877515,0.34324606026292115,1.86e+05,1.82e+05,1.69e+05,107923.94995829335,332075.1409991441,391900.9098918155,18561.43236225692,100000000.0,0.00012998787439642048,0.7353101164683049,0.5177285435995268,0.30843636077002523,0.8649744882769655,0.94,0.3374892488458229,0.14214678088674984,4.134725618997029e-05,0.0005391639534467723,0.9711656749695246,1.5591679462240302,3.016391564435193,0.0,0.0,0.0,1683.0,1235.0,
5,1717.5430,2.33e+12,7.47e+13,9.26e+12,1.0,0.0,1069.038367093083,2002.9634587791063,0.04453642939266638,0.5363411087408901,1.79e+05,1.90e+05,1.72e+05,210437.50156459506,328394.6048067411,395809.49498649314,20031.958108181327,100000000.0,0.00010638403769483676,0.7392776036514195,0.501605002261998,0.30433174422080667,0.8586275770162707,0.94,0.4284512615899486,0.1298690955876909,5.557658215755482e-05,0.00041848553640905987,1.001605517752589,1.5102574559484205,2.980253395379946,0.0,0.0,0.0,1683.0,1235.0,
6,2020.0920,2.38e+12,7.66e+13,8.98e+12,1.0,0.0,1078.7687959105906,2592.3507961046466,0.044355327832924216,0.5932948470421568,1.76e+05,1.84e+05,1.69e+05,219804.07698332673,311257.3321666358,402078.3372449025,18337.835686151502,100000000.0,9.748682158033727e-05,0.7486155003952727,0.4952953818183271,0.30099587846418235,0.8169802502462368,0.94,0.37839897737131156,0.18601079769196355,5.313883852994063e-05,0.0004534068783644691,0.9878878447631951,1.5138075256080854,3.071399986500563,0.0,0.0,0.0,1683.0,1235.0,
7,2243.3030,2.32e+12,7.50e+13,9.01e+12,1.0,0.0,1062.3418067966809,1993.5237293009009,0.045346362811636856,0.5137072259289428,1.81e+05,1.86e+05,1.72e+05,198743.2120672613,329364.80224430666,398561.82827505993,22751.140442023927,100000000.0,8.199865432550218e-05,0.7541804762760171,0.49788823163160567,0.30381185298630115,0.8603184743504498,0.94,0.39452738601483095,0.12849954638450858,6.107393937439018e-05,0.00043095972652023814,0.9970851026397922,1.484264603268884,3.0130162630987796,0.0,0.0,0.0,1683.0,1235.0,
8,2440.7670,2.34e+12,7.44e+13,9.09e+12,1.0,0.0,1071.4358242405624,2021.29701131321,0.04510440401441552,0.6002663215128391,1.79e+05,1.86e+05,1.71e+05,205592.7495061786,338959.1511549247,393052.8229351686,21256.319046492026,100000000.0,5.346976180377416e-05,0.7427286028855413,0.49988126326662474,0.30363857981270437,0.8648856325335823,0.94,0.35066191305987854,0.15166043133905877,5.712345519655679e-05,0.0004721300486171602,1.0068821016331337,1.4916933024562713,3.0143645082834105,0.0,0.0,0.0,1683.0,1235.0,
9,2622.8380,2.33e+12,7.45e+13,9.12e+12,1.0,0.0,1059.024936186202,1984.905231046704,0.0450802036085026,0.5631462541987875,1.79e+05,1.85e+05,1.70e+05,211147.24564314997,313366.1800138752,399652.0891854991,21021.779614204417,100000000.0,2.3699134970660206e-05,0.7499140629784636,0.5022133113677192,0.30593275142819154,0.8532662854882647,0.94,0.3099125981365048,0.13890036101178577,6.03291141115626e-05,0.0004882592686008147,0.9982552399776448,1.4810428344641422,3.0256054600486038,0.0,0.0,0.0,1683.0,1235.0,
10,2835.3280,2.32e+12,7.54e+13,9.09e+12,1.0,0.0,1067.3346016411633,1984.0930643651936,0.044851275200506725,0.5826724298909474,1.79e+05,1.84e+05,1.71e+05,207163.862340981,320413.24638428725,397884.2733770062,21384.510439364924,100000000.0,2.148546234633147e-05,0.7489201580136574,0.4988874648610282,0.3024450380799245,0.8626557229592603,0.94,0.30021684008919935,0.15235515000154076,5.675221870681476e-05,0.0004988554160565797,0.9930681560360246,1.4764313207123596,3.0269191857798567,0.0,0.0,0.0,1683.0,1235.0,
11,3064.3210,2.32e+12,7.54e+13,9.09e+12,1.0,0.0,1067.3346016411633,1984.0930643651936,0.044851275200506725,0.5826724298909474,1.79e+05,1.84e+05,1.71e+05,207163.862340981,320413.24638428725,397884.2733770062,21384.510439364924,100000000.0,2.148546234633147e-05,0.7489201580136574,0.4988874648610282,0.3024450380799245,0.8626557229592603,0.94,0.30021684008919935,0.15235515000154076,5.675221870681476e-05,0.0004988554160565797,0.9930681560360246,1.4764313207123596,3.0269191857798567,0.0,0.0,0.0,1683.0,1235.0,
12,3305.1030,2.33e+12,7.52e+13,9.11e+12,1.0,0.0,1066.716138222776,1968.7861463547713,0.04502941247589249,0.5696895166637774,1.79e+05,1.84e+05,1.70e+05,211422.177155816,317139.1742045544,398109.79774379823,21281.999112639754,100000000.0,2.0024563691903766e-05,0.7479871473962152,0.5002873911311596,0.30462951720471154,0.8577147058415462,0.94,0.3019351858347725,0.1428902589701609,5.779890374615959e-05,0.00048236072044433395,0.9965513109289177,1.4838750890975656,3.0227668116586743,0.0,0.0,0.0,1683.0,1235.0,
13,3536.4060,2.34e+12,7.51e+13,9.10e+12,1.0,0.0,1068.5094937939605,1836.5987339835442,0.044876800339477455,0.5757480544920661,1.80e+05,1.84e+05,1.71e+05,201486.02540931292,327007.7996545615,399373.8162136783,21204.30736578067,100000000.0,1.827817197692142e-05,0.7497766564324854,0.49939126107371284,0.3030844767849695,0.8631423397482653,0.94,0.309112900019763,0.1445992218636478,5.396821605006614e-05,0.0005014034245722553,0.996897960836548,1.4831807443219285,3.0208018589212537,0.0,0.0,0.0,1683.0,1235.0,
