# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.412849599104084641e-02
6.000000000000000000e+00,4.322677809297574558e-02
7.000000000000000000e+00,6.861823301886887938e-02
8.000000000000000000e+00,1.034222001625469539e-01
9.000000000000000000e+00,1.476726380180344023e-01
1.000000000000000000e+01,2.015959644778866355e-01
1.100000000000000000e+01,2.648973127427276530e-01
1.200000000000000000e+01,3.368112220106737609e-01
1.300000000000000000e+01,4.164406917631651162e-01
1.400000000000000000e+01,5.027836144045436662e-01
1.500000000000000000e+01,5.947820571546186263e-01
1.600000000000000000e+01,6.914375176806488721e-01
1.700000000000000000e+01,7.918401750754182622e-01
1.800000000000000000e+01,8.951843744735311637e-01
1.900000000000000000e+01,1.000750251701618909e+00
2.000000000000000000e+01,1.107920295864876170e+00
2.100000000000000000e+01,1.216172558844877294e+00
2.200000000000000000e+01,1.325056184071986332e+00
2.300000000000000000e+01,1.434198319788882126e+00
2.400000000000000000e+01,1.543280648125976207e+00
2.500000000000000000e+01,1.652041651035921488e+00
2.600000000000000000e+01,1.760260003406193707e+00
2.700000000000000000e+01,1.867757251889269332e+00
2.800000000000000000e+01,1.974385742765023322e+00
2.900000000000000000e+01,2.080022277670666053e+00
3.000000000000000000e+01,2.184570097349599838e+00
3.100000000000000000e+01,2.287950330999947823e+00
3.200000000000000000e+01,2.390100168124606572e+00
3.300000000000000000e+01,2.490973071477230238e+00
3.400000000000000000e+01,2.590534538505695927e+00
3.500000000000000000e+01,2.688754903074711766e+00
3.600000000000000000e+01,2.785619653531648865e+00
3.700000000000000000e+01,2.881115672562732488e+00
3.800000000000000000e+01,2.975240429073213289e+00
3.900000000000000000e+01,3.067992924404615795e+00
4.000000000000000000e+01,3.159376499979397845e+00
4.100000000000000000e+01,3.249398383031596449e+00
4.200000000000000000e+01,3.338069654461413904e+00
4.300000000000000000e+01,3.425403209503059987e+00
4.400000000000000000e+01,3.511413151481086459e+00
4.500000000000000000e+01,3.596114451211951835e+00
4.600000000000000000e+01,3.679527118569227984e+00
4.700000000000000000e+01,3.761667145192533646e+00
4.800000000000000000e+01,3.842556436164776379e+00
4.900000000000000000e+01,3.922214017591414859e+00
5.000000000000000000e+01,4.000660554366977095e+00
5.100000000000000000e+01,4.077916101813529259e+00
5.200000000000000000e+01,4.154004734785555542e+00
5.300000000000000000e+01,4.228946957519578831e+00
5.400000000000000000e+01,4.302763660258285938e+00
5.500000000000000000e+01,4.375476986253365119e+00
5.600000000000000000e+01,4.447108734611147085e+00
5.700000000000000000e+01,4.517679815279246114e+00
5.800000000000000000e+01,4.587211703575957422e+00
5.900000000000000000e+01,4.655726082514427766e+00
6.000000000000000000e+01,4.723242822408234787e+00
6.100000000000000000e+01,4.789781414897071876e+00
6.200000000000000000e+01,4.855362381106854919e+00
6.300000000000000000e+01,4.920004354652764533e+00
6.400000000000000000e+01,4.983726234190745785e+00
6.500000000000000000e+01,5.046547641686139229e+00
6.600000000000000000e+01,5.108483846740996981e+00
6.700000000000000000e+01,5.169553500675671209e+00
6.800000000000000000e+01,5.229774737156210662e+00
6.900000000000000000e+01,5.289161843303498145e+00
7.000000000000000000e+01,5.350832233073453459e+00
7.100000000000000000e+01,5.409648404192336280e+00
7.200000000000000000e+01,5.467173575514645556e+00
7.300000000000000000e+01,5.523756536170639109e+00
7.400000000000000000e+01,5.579468546775415483e+00
7.500000000000000000e+01,5.634362564930446737e+00
7.600000000000000000e+01,5.688470596921597178e+00
7.700000000000000000e+01,5.741819817803712311e+00
7.800000000000000000e+01,5.794432135099900627e+00
7.900000000000000000e+01,5.846327630413890475e+00
8.000000000000000000e+01,5.897522691798463335e+00
8.100000000000000000e+01,5.948034919372829243e+00
8.200000000000000000e+01,5.997878234349531823e+00
8.300000000000000000e+01,6.047066149278929714e+00
8.400000000000000000e+01,6.095612266399614398e+00
8.500000000000000000e+01,6.143527814659656805e+00
8.600000000000000000e+01,6.190826468194161158e+00
8.700000000000000000e+01,6.237518110774128210e+00
8.800000000000000000e+01,6.283613764723652295e+00
8.900000000000000000e+01,6.329122435971465954e+00
9.000000000000000000e+01,6.374053845455001088e+00
9.100000000000000000e+01,6.418417949396289401e+00
9.200000000000000000e+01,6.462223518779962816e+00
9.300000000000000000e+01,6.505477690075380792e+00
9.400000000000000000e+01,6.548190682584800193e+00
9.500000000000000000e+01,6.590371124309547746e+00
9.600000000000000000e+01,6.632026683283184454e+00
9.700000000000000000e+01,6.673164913808035337e+00
9.800000000000000000e+01,6.713793521304115330e+00
9.900000000000000000e+01,6.753920865177818200e+00
1.000000000000000000e+02,6.793554144342950352e+00
1.010000000000000000e+02,6.832699212625244378e+00
1.020000000000000000e+02,6.871365364127846931e+00
1.030000000000000000e+02,6.909559502705240774e+00
1.040000000000000000e+02,6.947288698151115938e+00
1.050000000000000000e+02,6.984559697305580350e+00
1.060000000000000000e+02,7.021378941142232932e+00
1.070000000000000000e+02,7.057753990693528046e+00
1.080000000000000000e+02,7.093690446419972595e+00
1.090000000000000000e+02,7.129196883415840347e+00
1.100000000000000000e+02,7.164278776258855785e+00
1.110000000000000000e+02,7.198942941738826207e+00
1.120000000000000000e+02,7.233195014431585079e+00
1.130000000000000000e+02,7.267042827783902759e+00
1.140000000000000000e+02,7.300490823210915359e+00
1.150000000000000000e+02,7.333546952246305040e+00
1.160000000000000000e+02,7.366216480627174157e+00
1.170000000000000000e+02,7.398505743157890890e+00
1.180000000000000000e+02,7.430420402437892591e+00
1.190000000000000000e+02,7.461966529876884024e+00
1.200000000000000000e+02,7.493150381377135183e+00
1.210000000000000000e+02,7.523977564127227069e+00
1.220000000000000000e+02,7.554452654124672151e+00
1.230000000000000000e+02,7.584582494234633820e+00
1.240000000000000000e+02,7.614372472205455544e+00
1.250000000000000000e+02,7.643826779111137171e+00
1.260000000000000000e+02,7.672951836158090622e+00
1.270000000000000000e+02,7.701753251957134339e+00
1.280000000000000000e+02,7.730234679026541933e+00
1.290000000000000000e+02,7.758402553666272183e+00
1.300000000000000000e+02,7.786260976848513593e+00
1.310000000000000000e+02,7.813815249575380761e+00
1.320000000000000000e+02,7.841070118539799516e+00
1.330000000000000000e+02,7.868029796599855352e+00
1.340000000000000000e+02,7.894699672400376400e+00
1.350000000000000000e+02,7.921083660311512453e+00
1.360000000000000000e+02,7.947186289180414143e+00
1.370000000000000000e+02,7.973011762628814836e+00
1.380000000000000000e+02,7.998565251449123004e+00
1.390000000000000000e+02,8.023849773296143795e+00
1.400000000000000000e+02,8.048870236280809110e+00
1.410000000000000000e+02,8.073629789930572898e+00
1.420000000000000000e+02,8.098132735757605616e+00
1.430000000000000000e+02,8.122383606389293575e+00
1.440000000000000000e+02,8.146385219625047469e+00
1.450000000000000000e+02,8.170141886124314468e+00
1.460000000000000000e+02,8.193656577370170169e+00
1.470000000000000000e+02,8.216932871879032874e+00
1.480000000000000000e+02,8.239974938887550948e+00
1.490000000000000000e+02,8.262785122556385531e+00
1.500000000000000000e+02,8.285367403263826702e+00
1.510000000000000000e+02,8.307725318754618726e+00
1.520000000000000000e+02,8.329860795997401368e+00
1.530000000000000000e+02,8.351777215105231633e+00
1.540000000000000000e+02,8.373477869416944941e+00
1.550000000000000000e+02,8.394966300754328259e+00
1.560000000000000000e+02,8.416244971857979706e+00
1.570000000000000000e+02,8.437315623074104209e+00
1.580000000000000000e+02,8.458181581441316155e+00
1.590000000000000000e+02,8.478845605525382467e+00
1.600000000000000000e+02,8.499310224007286863e+00
1.610000000000000000e+02,8.519578386877741494e+00
1.620000000000000000e+02,8.539651850890688678e+00
1.630000000000000000e+02,8.559533125239557450e+00
1.640000000000000000e+02,8.579224659383804408e+00
1.650000000000000000e+02,8.598728369982103104e+00
1.660000000000000000e+02,8.618052115475885344e+00
1.670000000000000000e+02,8.637190107461915289e+00
1.680000000000000000e+02,8.656146177092120197e+00
1.690000000000000000e+02,8.674923142931886488e+00
1.700000000000000000e+02,8.693522988461149126e+00
1.710000000000000000e+02,8.711948422700903194e+00
1.720000000000000000e+02,8.730202097502052894e+00
1.730000000000000000e+02,8.748287832974828149e+00
1.740000000000000000e+02,8.766208156937510765e+00
1.750000000000000000e+02,8.783966911088876728e+00
1.760000000000000000e+02,8.801566505347132363e+00
1.770000000000000000e+02,8.819009602668231196e+00
1.780000000000000000e+02,8.836297765288616546e+00
1.790000000000000000e+02,8.853432521974649916e+00
1.800000000000000000e+02,8.870415517699942853e+00
1.810000000000000000e+02,8.887246733194233528e+00
1.820000000000000000e+02,8.903926878852695737e+00
1.830000000000000000e+02,8.920456792646207944e+00
