# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000199999999850e+01
5.000000000000000000e+00,2.500000800000000112e+01
6.000000000000000000e+00,2.500003600000000148e+01
7.000000000000000000e+00,2.500015300000000096e+01
8.000000000000000000e+00,2.500052499999999966e+01
9.000000000000000000e+00,2.500152999999999892e+01
1.000000000000000000e+01,2.500389699999999849e+01
1.100000000000000000e+01,2.500884100000000032e+01
1.200000000000000000e+01,2.501817700000000144e+01
1.300000000000000000e+01,2.503436900000000165e+01
1.400000000000000000e+01,2.506049499999999952e+01
1.500000000000000000e+01,2.510017200000000059e+01
1.600000000000000000e+01,2.515740600000000171e+01
1.700000000000000000e+01,2.523645799999999895e+01
1.800000000000000000e+01,2.534169199999999833e+01
1.900000000000000000e+01,2.547743799999999936e+01
2.000000000000000000e+01,2.564787099999999853e+01
2.100000000000000000e+01,2.585693399999999897e+01
2.200000000000000000e+01,2.610825699999999827e+01
2.300000000000000000e+01,2.640512500000000173e+01
2.400000000000000000e+01,2.675043499999999952e+01
2.500000000000000000e+01,2.714668800000000104e+01
2.600000000000000000e+01,2.759600400000000064e+01
2.700000000000000000e+01,2.813075999999999866e+01
2.800000000000000000e+01,2.870691499999999863e+01
2.900000000000000000e+01,2.933694799999999958e+01
3.000000000000000000e+01,3.002394699999999972e+01
3.100000000000000000e+01,3.076856199999999930e+01
3.200000000000000000e+01,3.157106599999999830e+01
3.300000000000000000e+01,3.243137399999999815e+01
3.400000000000000000e+01,3.334917099999999834e+01
3.500000000000000000e+01,3.432392099999999857e+01
3.600000000000000000e+01,3.535483899999999835e+01
3.700000000000000000e+01,3.644101700000000221e+01
3.800000000000000000e+01,3.758138699999999943e+01
3.900000000000000000e+01,3.877469599999999872e+01
4.000000000000000000e+01,4.001957300000000117e+01
4.100000000000000000e+01,4.131452199999999664e+01
4.200000000000000000e+01,4.265795899999999818e+01
4.300000000000000000e+01,4.404818699999999865e+01
4.400000000000000000e+01,4.548351300000000208e+01
4.500000000000000000e+01,4.696211600000000175e+01
4.600000000000000000e+01,4.848218899999999820e+01
4.700000000000000000e+01,5.004189300000000173e+01
4.800000000000000000e+01,5.163938100000000020e+01
4.900000000000000000e+01,5.327284600000000125e+01
5.000000000000000000e+01,5.494049100000000152e+01
5.100000000000000000e+01,5.664058299999999946e+01
5.200000000000000000e+01,5.837144099999999725e+01
5.300000000000000000e+01,6.013130999999999915e+01
5.400000000000000000e+01,6.191864799999999747e+01
5.500000000000000000e+01,6.373185699999999798e+01
5.600000000000000000e+01,6.556948900000000435e+01
5.700000000000000000e+01,6.743005399999999838e+01
5.800000000000000000e+01,6.931220999999999322e+01
5.900000000000000000e+01,7.121462999999999965e+01
6.000000000000000000e+01,7.313608600000000592e+01
6.100000000000000000e+01,7.507537100000000407e+01
6.200000000000000000e+01,7.703129599999999755e+01
6.300000000000000000e+01,7.900284600000000523e+01
6.400000000000000000e+01,8.098896799999999985e+01
6.500000000000000000e+01,8.298864000000000374e+01
6.600000000000000000e+01,8.500094599999999900e+01
6.700000000000000000e+01,8.702498599999999840e+01
6.800000000000000000e+01,8.905990599999999802e+01
6.900000000000000000e+01,9.110489699999999402e+01
7.000000000000000000e+01,9.315919499999999687e+01
7.100000000000000000e+01,9.522205399999999997e+01
7.200000000000000000e+01,9.729276299999999367e+01
7.300000000000000000e+01,9.937069700000000694e+01
7.400000000000000000e+01,1.014556000000000040e+02
7.500000000000000000e+01,1.035463900000000024e+02
7.600000000000000000e+01,1.056425200000000046e+02
7.700000000000000000e+01,1.077435200000000037e+02
7.800000000000000000e+01,1.098489500000000021e+02
7.900000000000000000e+01,1.119583999999999975e+02
8.000000000000000000e+01,1.140713899999999938e+02
8.100000000000000000e+01,1.161876800000000003e+02
8.200000000000000000e+01,1.183070699999999960e+02
8.300000000000000000e+01,1.204292399999999930e+02
8.400000000000000000e+01,1.225540000000000020e+02
8.500000000000000000e+01,1.246811699999999945e+02
8.600000000000000000e+01,1.268103700000000060e+02
8.700000000000000000e+01,1.289413499999999999e+02
8.800000000000000000e+01,1.310738399999999899e+02
8.900000000000000000e+01,1.332074599999999975e+02
9.000000000000000000e+01,1.353418700000000001e+02
9.100000000000000000e+01,1.374768500000000131e+02
9.200000000000000000e+01,1.396119799999999884e+02
9.300000000000000000e+01,1.417469800000000077e+02
9.400000000000000000e+01,1.438815899999999885e+02
9.500000000000000000e+01,1.460154699999999934e+02
9.600000000000000000e+01,1.481483200000000124e+02
9.700000000000000000e+01,1.502798899999999946e+02
9.800000000000000000e+01,1.524099899999999934e+02
9.900000000000000000e+01,1.545382099999999923e+02
1.000000000000000000e+02,1.566643699999999910e+02
1.010000000000000000e+02,1.587882199999999955e+02
1.020000000000000000e+02,1.609094499999999925e+02
1.030000000000000000e+02,1.630278500000000008e+02
1.040000000000000000e+02,1.651432499999999948e+02
1.050000000000000000e+02,1.672553399999999897e+02
1.060000000000000000e+02,1.693638599999999883e+02
1.070000000000000000e+02,1.714686399999999935e+02
1.080000000000000000e+02,1.735695200000000114e+02
1.090000000000000000e+02,1.756661799999999971e+02
1.100000000000000000e+02,1.777584200000000010e+02
1.110000000000000000e+02,1.798460399999999879e+02
1.120000000000000000e+02,1.819288799999999924e+02
1.130000000000000000e+02,1.840066400000000044e+02
1.140000000000000000e+02,1.860791600000000017e+02
1.150000000000000000e+02,1.881471999999999980e+02
1.160000000000000000e+02,1.902091499999999940e+02
1.170000000000000000e+02,1.922651700000000119e+02
1.180000000000000000e+02,1.943151200000000074e+02
1.190000000000000000e+02,1.963589299999999866e+02
1.200000000000000000e+02,1.983966200000000129e+02
1.210000000000000000e+02,2.004281799999999976e+02
1.220000000000000000e+02,2.024535700000000134e+02
1.230000000000000000e+02,2.044726900000000001e+02
1.240000000000000000e+02,2.064853099999999984e+02
1.250000000000000000e+02,2.084911999999999921e+02
1.260000000000000000e+02,2.104900399999999934e+02
1.270000000000000000e+02,2.124815099999999859e+02
1.280000000000000000e+02,2.144653199999999913e+02
1.290000000000000000e+02,2.164411599999999964e+02
1.300000000000000000e+02,2.184087399999999946e+02
1.310000000000000000e+02,2.203677099999999882e+02
1.320000000000000000e+02,2.223177799999999991e+02
1.330000000000000000e+02,2.242586100000000044e+02
1.340000000000000000e+02,2.261899899999999946e+02
1.350000000000000000e+02,2.281116199999999878e+02
1.360000000000000000e+02,2.300232200000000091e+02
1.370000000000000000e+02,2.319244700000000137e+02
1.380000000000000000e+02,2.338150500000000136e+02
1.390000000000000000e+02,2.356947199999999896e+02
1.400000000000000000e+02,2.375631700000000137e+02
1.410000000000000000e+02,2.394200400000000002e+02
1.420000000000000000e+02,2.412650899999999865e+02
1.430000000000000000e+02,2.430979000000000099e+02
1.440000000000000000e+02,2.449182099999999878e+02
1.450000000000000000e+02,2.467256199999999922e+02
1.460000000000000000e+02,2.485196799999999939e+02
1.470000000000000000e+02,2.503000900000000115e+02
1.480000000000000000e+02,2.520663800000000094e+02
1.490000000000000000e+02,2.538180999999999869e+02
1.500000000000000000e+02,2.555548100000000034e+02
1.510000000000000000e+02,2.572759699999999725e+02
1.520000000000000000e+02,2.589816900000000146e+02
1.530000000000000000e+02,2.606709599999999796e+02
1.540000000000000000e+02,2.623437799999999811e+02
1.550000000000000000e+02,2.640000000000000000e+02
1.560000000000000000e+02,2.656394000000000233e+02
1.570000000000000000e+02,2.672614699999999743e+02
1.580000000000000000e+02,2.688653299999999717e+02
1.590000000000000000e+02,2.704499500000000012e+02
1.600000000000000000e+02,2.720142799999999852e+02
1.610000000000000000e+02,2.735572799999999916e+02
1.620000000000000000e+02,2.750779400000000123e+02
1.630000000000000000e+02,2.765753500000000145e+02
1.640000000000000000e+02,2.780486099999999965e+02
1.650000000000000000e+02,2.794969199999999887e+02
1.660000000000000000e+02,2.809194600000000150e+02
1.670000000000000000e+02,2.823154900000000112e+02
1.680000000000000000e+02,2.836843600000000265e+02
1.690000000000000000e+02,2.850253599999999778e+02
1.700000000000000000e+02,2.863378900000000158e+02
1.710000000000000000e+02,2.876214299999999753e+02
1.720000000000000000e+02,2.888754299999999944e+02
1.730000000000000000e+02,2.900994900000000030e+02
1.740000000000000000e+02,2.912932999999999879e+02
1.750000000000000000e+02,2.924565099999999802e+02
1.760000000000000000e+02,2.935889900000000239e+02
1.770000000000000000e+02,2.946905499999999734e+02
1.780000000000000000e+02,2.957612599999999929e+02
1.790000000000000000e+02,2.968011500000000069e+02
1.800000000000000000e+02,2.978104200000000219e+02
1.810000000000000000e+02,2.987894000000000005e+02
1.820000000000000000e+02,2.997383699999999749e+02
1.830000000000000000e+02,3.006730299999999829e+02
1.840000000000000000e+02,3.015748600000000010e+02
1.850000000000000000e+02,3.024496800000000007e+02
1.860000000000000000e+02,3.032988300000000095e+02
1.870000000000000000e+02,3.041220700000000079e+02
1.880000000000000000e+02,3.049193399999999770e+02
1.890000000000000000e+02,3.056910100000000057e+02
1.900000000000000000e+02,3.064378100000000131e+02
1.910000000000000000e+02,3.071608299999999758e+02
1.920000000000000000e+02,3.078612400000000093e+02
1.930000000000000000e+02,3.085403400000000147e+02
1.940000000000000000e+02,3.091994300000000067e+02
1.950000000000000000e+02,3.098399000000000001e+02
1.960000000000000000e+02,3.104630700000000161e+02
1.970000000000000000e+02,3.110701900000000251e+02
1.980000000000000000e+02,3.116626899999999978e+02
1.990000000000000000e+02,3.122417899999999804e+02
2.000000000000000000e+02,3.128087800000000129e+02
2.010000000000000000e+02,3.133648400000000152e+02
2.020000000000000000e+02,3.139111899999999764e+02
2.030000000000000000e+02,3.144489699999999743e+02
2.040000000000000000e+02,3.149791900000000169e+02
2.050000000000000000e+02,3.155029299999999921e+02
2.060000000000000000e+02,3.160212099999999964e+02
2.070000000000000000e+02,3.165348799999999869e+02
2.080000000000000000e+02,3.170449499999999716e+02
2.090000000000000000e+02,3.175521499999999833e+02
2.100000000000000000e+02,3.181321399999999926e+02
2.110000000000000000e+02,3.186766700000000014e+02
2.120000000000000000e+02,3.192087999999999965e+02
2.130000000000000000e+02,3.197341299999999933e+02
2.140000000000000000e+02,3.202544899999999757e+02
2.150000000000000000e+02,3.207721900000000232e+02
2.160000000000000000e+02,3.212886700000000246e+02
2.170000000000000000e+02,3.218053899999999885e+02
2.180000000000000000e+02,3.223235500000000116e+02
2.190000000000000000e+02,3.228438699999999812e+02
2.200000000000000000e+02,3.233670999999999935e+02
2.210000000000000000e+02,3.238939799999999991e+02
2.220000000000000000e+02,3.244249899999999798e+02
2.230000000000000000e+02,3.249606600000000185e+02
2.240000000000000000e+02,3.255013999999999896e+02
2.250000000000000000e+02,3.260476699999999823e+02
2.260000000000000000e+02,3.265998200000000224e+02
2.270000000000000000e+02,3.271581400000000031e+02
2.280000000000000000e+02,3.277231800000000135e+02
2.290000000000000000e+02,3.282950999999999908e+02
2.300000000000000000e+02,3.288743900000000053e+02
2.310000000000000000e+02,3.294612700000000132e+02
2.320000000000000000e+02,3.300562699999999836e+02
2.330000000000000000e+02,3.306594499999999925e+02
2.340000000000000000e+02,3.312713600000000156e+02
2.350000000000000000e+02,3.318922999999999774e+02
2.360000000000000000e+02,3.325226099999999860e+02
2.370000000000000000e+02,3.331626600000000167e+02
2.380000000000000000e+02,3.340433699999999817e+02
2.390000000000000000e+02,3.347810099999999807e+02
2.400000000000000000e+02,3.354782999999999902e+02
2.410000000000000000e+02,3.361754199999999742e+02
2.420000000000000000e+02,3.368776199999999790e+02
2.430000000000000000e+02,3.375891399999999862e+02
2.440000000000000000e+02,3.383123800000000188e+02
2.450000000000000000e+02,3.390486099999999965e+02
2.460000000000000000e+02,3.397988599999999906e+02
2.470000000000000000e+02,3.405638999999999896e+02
2.480000000000000000e+02,3.413445699999999761e+02
2.490000000000000000e+02,3.421413600000000201e+02
2.500000000000000000e+02,3.429547999999999774e+02
2.510000000000000000e+02,3.437859799999999950e+02
2.520000000000000000e+02,3.446353100000000040e+02
2.530000000000000000e+02,3.455036600000000249e+02
2.540000000000000000e+02,3.463917200000000207e+02
2.550000000000000000e+02,3.473009299999999939e+02
2.560000000000000000e+02,3.482317800000000148e+02
2.570000000000000000e+02,3.491856399999999780e+02
2.580000000000000000e+02,3.501632099999999923e+02
2.590000000000000000e+02,3.511658899999999903e+02
2.600000000000000000e+02,3.521947299999999927e+02
2.610000000000000000e+02,3.532513099999999895e+02
2.620000000000000000e+02,3.543371599999999830e+02
2.630000000000000000e+02,3.554533999999999878e+02
2.640000000000000000e+02,3.566020500000000197e+02
2.650000000000000000e+02,3.577846999999999866e+02
2.660000000000000000e+02,3.590034200000000055e+02
2.670000000000000000e+02,3.602605599999999981e+02
2.680000000000000000e+02,3.615566999999999780e+02
2.690000000000000000e+02,3.628953200000000265e+02
2.700000000000000000e+02,3.642788699999999835e+02
2.710000000000000000e+02,3.663167700000000195e+02
2.720000000000000000e+02,3.679092999999999734e+02
2.730000000000000000e+02,3.694638699999999858e+02
2.740000000000000000e+02,3.710705300000000193e+02
2.750000000000000000e+02,3.727311100000000010e+02
2.760000000000000000e+02,3.744562399999999798e+02
2.770000000000000000e+02,3.762490199999999732e+02
2.780000000000000000e+02,3.781137400000000071e+02
2.790000000000000000e+02,3.800542599999999993e+02
2.800000000000000000e+02,3.820758999999999901e+02
2.810000000000000000e+02,3.841823699999999917e+02
2.820000000000000000e+02,3.863792399999999816e+02
2.830000000000000000e+02,3.886705299999999852e+02
2.840000000000000000e+02,3.910624700000000189e+02
2.850000000000000000e+02,3.935586500000000001e+02
2.860000000000000000e+02,3.961634500000000116e+02
2.870000000000000000e+02,3.988817700000000173e+02
2.880000000000000000e+02,4.017182300000000055e+02
2.890000000000000000e+02,4.046757799999999747e+02
2.900000000000000000e+02,4.077583000000000197e+02
2.910000000000000000e+02,4.109671299999999974e+02
2.920000000000000000e+02,4.143063999999999965e+02
2.930000000000000000e+02,4.177774999999999750e+02
