# Time [s], Thickness [m]
1.000000000000000000e+00,8.000000400000000303e-03
2.000000000000000000e+00,8.000000400000000303e-03
3.000000000000000000e+00,8.000000400000000303e-03
4.000000000000000000e+00,8.000000400000000303e-03
5.000000000000000000e+00,8.000000400000000303e-03
6.000000000000000000e+00,8.000000400000000303e-03
7.000000000000000000e+00,8.000000400000000303e-03
8.000000000000000000e+00,8.000000400000000303e-03
9.000000000000000000e+00,8.000000400000000303e-03
1.000000000000000000e+01,8.000000400000000303e-03
1.100000000000000000e+01,8.000000400000000303e-03
1.200000000000000000e+01,8.000000400000000303e-03
1.300000000000000000e+01,8.000000400000000303e-03
1.400000000000000000e+01,8.000000400000000303e-03
1.500000000000000000e+01,8.000000400000000303e-03
1.600000000000000000e+01,8.000000400000000303e-03
1.700000000000000000e+01,8.000000400000000303e-03
1.800000000000000000e+01,8.000000400000000303e-03
1.900000000000000000e+01,8.000000400000000303e-03
2.000000000000000000e+01,8.000000400000000303e-03
2.100000000000000000e+01,7.999999400000000829e-03
2.200000000000000000e+01,7.999999400000000829e-03
2.300000000000000000e+01,7.999999400000000829e-03
2.400000000000000000e+01,7.999999400000000829e-03
2.500000000000000000e+01,7.999999400000000829e-03
2.600000000000000000e+01,7.999999400000000829e-03
2.700000000000000000e+01,7.999999400000000829e-03
2.800000000000000000e+01,7.999999400000000829e-03
2.900000000000000000e+01,7.999999400000000829e-03
3.000000000000000000e+01,7.999999400000000829e-03
3.100000000000000000e+01,7.999999400000000829e-03
3.200000000000000000e+01,7.999999400000000829e-03
3.300000000000000000e+01,7.999998499999999221e-03
3.400000000000000000e+01,7.999998499999999221e-03
3.500000000000000000e+01,7.999998499999999221e-03
3.600000000000000000e+01,7.999998499999999221e-03
3.700000000000000000e+01,7.999998499999999221e-03
3.800000000000000000e+01,7.999997599999999348e-03
3.900000000000000000e+01,7.999997599999999348e-03
4.000000000000000000e+01,7.999996699999999475e-03
4.100000000000000000e+01,7.999996699999999475e-03
4.200000000000000000e+01,7.999995700000000001e-03
4.300000000000000000e+01,7.999995700000000001e-03
4.400000000000000000e+01,7.999994800000000128e-03
4.500000000000000000e+01,7.999993900000000255e-03
4.600000000000000000e+01,7.999993900000000255e-03
4.700000000000000000e+01,7.999992900000000781e-03
4.800000000000000000e+01,7.999991999999999173e-03
4.900000000000000000e+01,7.999990099999999826e-03
5.000000000000000000e+01,7.999989199999999953e-03
5.100000000000000000e+01,7.999988300000000080e-03
5.200000000000000000e+01,7.999986400000000733e-03
5.300000000000000000e+01,7.999985500000000860e-03
5.400000000000000000e+01,7.999983599999999778e-03
5.500000000000000000e+01,7.999981800000000032e-03
5.600000000000000000e+01,7.999979000000000812e-03
5.700000000000000000e+01,7.999977099999999730e-03
5.800000000000000000e+01,7.999974300000000510e-03
5.900000000000000000e+01,7.999971499999999555e-03
6.000000000000000000e+01,7.999968700000000335e-03
6.100000000000000000e+01,7.999964999999999507e-03
6.200000000000000000e+01,7.999962200000000287e-03
6.300000000000000000e+01,7.999957499999999985e-03
6.400000000000000000e+01,7.999953799999999157e-03
6.500000000000000000e+01,7.999949200000000191e-03
6.600000000000000000e+01,7.999944499999999889e-03
6.700000000000000000e+01,7.999938899999999714e-03
6.800000000000000000e+01,7.999932399999999666e-03
6.900000000000000000e+01,7.999926799999999491e-03
7.000000000000000000e+01,7.999919399999999570e-03
7.100000000000000000e+01,7.999911900000000048e-03
7.200000000000000000e+01,7.999904500000000127e-03
7.300000000000000000e+01,7.999896100000000732e-03
7.400000000000000000e+01,7.999886799999999729e-03
7.500000000000000000e+01,7.999876499999999252e-03
7.600000000000000000e+01,7.999866300000000111e-03
7.700000000000000000e+01,7.999854199999999887e-03
7.800000000000000000e+01,7.999842099999999664e-03
7.900000000000000000e+01,7.999828999999999968e-03
8.000000000000000000e+01,7.999815000000000398e-03
8.100000000000000000e+01,7.999800099999999220e-03
8.200000000000000000e+01,7.999784299999999904e-03
8.300000000000000000e+01,7.999766599999999506e-03
8.400000000000000000e+01,7.999747999999999234e-03
8.500000000000000000e+01,7.999728399999999490e-03
8.600000000000000000e+01,7.999707899999999872e-03
8.700000000000000000e+01,7.999685600000000507e-03
8.800000000000000000e+01,7.999662299999999934e-03
8.900000000000000000e+01,7.999636200000000141e-03
9.000000000000000000e+01,7.999610199999999949e-03
9.100000000000000000e+01,7.999581299999999201e-03
9.200000000000000000e+01,7.999550600000000442e-03
9.300000000000000000e+01,7.999518900000000474e-03
9.400000000000000000e+01,7.999484399999999551e-03
9.500000000000000000e+01,7.999448100000000617e-03
9.600000000000000000e+01,7.999409900000000601e-03
9.700000000000000000e+01,7.999368899999999630e-03
9.800000000000000000e+01,7.999326100000000647e-03
9.900000000000000000e+01,7.999280500000000710e-03
1.000000000000000000e+02,7.999232000000000217e-03
1.010000000000000000e+02,7.999181699999999978e-03
1.020000000000000000e+02,7.999127700000000646e-03
1.030000000000000000e+02,7.999070900000000359e-03
1.040000000000000000e+02,7.999011300000000851e-03
1.050000000000000000e+02,7.998948000000000516e-03
1.060000000000000000e+02,7.998880899999999752e-03
1.070000000000000000e+02,7.998810099999999895e-03
1.080000000000000000e+02,7.998736600000000418e-03
1.090000000000000000e+02,7.998658299999999305e-03
1.100000000000000000e+02,7.998576400000000433e-03
1.110000000000000000e+02,7.998489799999999525e-03
1.120000000000000000e+02,7.998399399999999923e-03
1.130000000000000000e+02,7.998303499999999747e-03
1.140000000000000000e+02,7.998203900000000477e-03
1.150000000000000000e+02,7.998097699999999824e-03
1.160000000000000000e+02,7.997987800000000078e-03
1.170000000000000000e+02,7.997871400000000283e-03
1.180000000000000000e+02,7.997749400000000314e-03
1.190000000000000000e+02,7.997621800000000170e-03
1.200000000000000000e+02,7.997488599999999850e-03
1.210000000000000000e+02,7.997347999999999610e-03
1.220000000000000000e+02,7.997201799999999194e-03
1.230000000000000000e+02,7.997048099999999257e-03
1.240000000000000000e+02,7.996886999999999399e-03
1.250000000000000000e+02,7.996719299999999891e-03
1.260000000000000000e+02,7.996543300000000590e-03
1.270000000000000000e+02,7.996359800000000032e-03
1.280000000000000000e+02,7.996167999999999679e-03
1.290000000000000000e+02,7.995967799999999931e-03
1.300000000000000000e+02,7.995759099999999453e-03
1.310000000000000000e+02,7.995541199999999307e-03
1.320000000000000000e+02,7.995313000000000420e-03
1.330000000000000000e+02,7.995076500000000003e-03
1.340000000000000000e+02,7.994828699999999636e-03
1.350000000000000000e+02,7.994571699999999601e-03
1.360000000000000000e+02,7.994303499999999216e-03
1.370000000000000000e+02,7.994024100000000216e-03
1.380000000000000000e+02,7.993733500000000866e-03
1.390000000000000000e+02,7.993431800000000767e-03
1.400000000000000000e+02,7.993117900000000844e-03
1.410000000000000000e+02,7.992791000000000826e-03
1.420000000000000000e+02,7.992452000000000584e-03
1.430000000000000000e+02,7.992099000000000772e-03
1.440000000000000000e+02,7.991734000000000337e-03
1.450000000000000000e+02,7.991354000000000860e-03
1.460000000000000000e+02,7.990960000000000077e-03
1.470000000000000000e+02,7.990552099999999325e-03
1.480000000000000000e+02,7.990129300000000864e-03
1.490000000000000000e+02,7.989690600000000018e-03
1.500000000000000000e+02,7.989236199999999455e-03
1.510000000000000000e+02,7.988765800000000375e-03
1.520000000000000000e+02,7.988279699999999844e-03
1.530000000000000000e+02,7.987775799999999315e-03
1.540000000000000000e+02,7.987255199999999597e-03
1.550000000000000000e+02,7.986716899999999481e-03
1.560000000000000000e+02,7.986160900000000701e-03
1.570000000000000000e+02,7.985586299999999915e-03
1.580000000000000000e+02,7.984992999999999258e-03
1.590000000000000000e+02,7.984381199999999665e-03
1.600000000000000000e+02,7.983748800000000853e-03
1.610000000000000000e+02,7.983097800000000036e-03
1.620000000000000000e+02,7.982426299999999600e-03
1.630000000000000000e+02,7.981733399999999673e-03
1.640000000000000000e+02,7.981020000000000128e-03
1.650000000000000000e+02,7.980286099999999230e-03
1.660000000000000000e+02,7.979529900000000703e-03
1.670000000000000000e+02,7.978751299999999741e-03
1.680000000000000000e+02,7.977951299999999288e-03
1.690000000000000000e+02,7.977127999999999997e-03
1.700000000000000000e+02,7.976281499999999733e-03
1.710000000000000000e+02,7.975412499999999169e-03
1.720000000000000000e+02,7.974519399999999494e-03
1.730000000000000000e+02,7.973601999999999773e-03
1.740000000000000000e+02,7.972660499999999206e-03
1.750000000000000000e+02,7.971694700000000328e-03
1.760000000000000000e+02,7.970703799999999395e-03
1.770000000000000000e+02,7.969688600000000150e-03
1.780000000000000000e+02,7.968646500000000840e-03
1.790000000000000000e+02,7.967580099999999749e-03
1.800000000000000000e+02,7.966486700000000726e-03
1.810000000000000000e+02,7.965367299999999776e-03
1.820000000000000000e+02,7.964220799999999559e-03
1.830000000000000000e+02,7.963048299999999149e-03
1.840000000000000000e+02,7.961848800000000809e-03
1.850000000000000000e+02,7.960622199999999732e-03
1.860000000000000000e+02,7.959367700000000850e-03
1.870000000000000000e+02,7.958085300000000695e-03
1.880000000000000000e+02,7.956775799999999538e-03
1.890000000000000000e+02,7.955437500000000703e-03
