# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000199999999850e+01
6.000000000000000000e+00,2.500000800000000112e+01
7.000000000000000000e+00,2.500003200000000092e+01
8.000000000000000000e+00,2.500011800000000051e+01
9.000000000000000000e+00,2.500035499999999900e+01
1.000000000000000000e+01,2.500093499999999835e+01
1.100000000000000000e+01,2.500218800000000030e+01
1.200000000000000000e+01,2.500463299999999833e+01
1.300000000000000000e+01,2.500900700000000043e+01
1.400000000000000000e+01,2.501627300000000176e+01
1.500000000000000000e+01,2.502760900000000177e+01
1.600000000000000000e+01,2.504437100000000171e+01
1.700000000000000000e+01,2.506805999999999912e+01
1.800000000000000000e+01,2.510026399999999924e+01
1.900000000000000000e+01,2.514261799999999880e+01
2.000000000000000000e+01,2.519675600000000060e+01
2.100000000000000000e+01,2.526427800000000090e+01
2.200000000000000000e+01,2.534671399999999863e+01
2.300000000000000000e+01,2.544550299999999865e+01
2.400000000000000000e+01,2.556197200000000080e+01
2.500000000000000000e+01,2.569733400000000145e+01
2.600000000000000000e+01,2.585267800000000094e+01
2.700000000000000000e+01,2.602895200000000031e+01
2.800000000000000000e+01,2.622698400000000163e+01
2.900000000000000000e+01,2.644747399999999971e+01
3.000000000000000000e+01,2.669101099999999960e+01
3.100000000000000000e+01,2.695805899999999866e+01
3.200000000000000000e+01,2.724897800000000103e+01
3.300000000000000000e+01,2.756403200000000098e+01
3.400000000000000000e+01,2.790339099999999917e+01
3.500000000000000000e+01,2.826714099999999874e+01
3.600000000000000000e+01,2.865529799999999838e+01
3.700000000000000000e+01,2.906780600000000092e+01
3.800000000000000000e+01,2.950454699999999875e+01
3.900000000000000000e+01,2.996533600000000064e+01
4.000000000000000000e+01,3.044994499999999960e+01
4.100000000000000000e+01,3.095810699999999827e+01
4.200000000000000000e+01,3.148951299999999875e+01
4.300000000000000000e+01,3.204378499999999974e+01
4.400000000000000000e+01,3.262053699999999878e+01
4.500000000000000000e+01,3.321935700000000224e+01
4.600000000000000000e+01,3.383976700000000193e+01
4.700000000000000000e+01,3.448129300000000086e+01
4.800000000000000000e+01,3.514344799999999935e+01
4.900000000000000000e+01,3.582568400000000253e+01
5.000000000000000000e+01,3.652746599999999688e+01
5.100000000000000000e+01,3.724820700000000073e+01
5.200000000000000000e+01,3.798731599999999986e+01
5.300000000000000000e+01,3.874420200000000136e+01
5.400000000000000000e+01,3.951825000000000188e+01
5.500000000000000000e+01,4.030884199999999851e+01
5.600000000000000000e+01,4.111535299999999893e+01
5.700000000000000000e+01,4.193714899999999801e+01
5.800000000000000000e+01,4.277358999999999867e+01
5.900000000000000000e+01,4.362403900000000334e+01
6.000000000000000000e+01,4.448786199999999980e+01
6.100000000000000000e+01,4.536443700000000234e+01
6.200000000000000000e+01,4.625316999999999723e+01
6.300000000000000000e+01,4.715342299999999653e+01
6.400000000000000000e+01,4.806458700000000306e+01
6.500000000000000000e+01,4.898609900000000295e+01
6.600000000000000000e+01,4.991740399999999767e+01
6.700000000000000000e+01,5.085791400000000095e+01
6.800000000000000000e+01,5.180709800000000342e+01
6.900000000000000000e+01,5.276444999999999652e+01
7.000000000000000000e+01,5.372944600000000293e+01
7.100000000000000000e+01,5.470163699999999807e+01
7.200000000000000000e+01,5.568051499999999976e+01
7.300000000000000000e+01,5.666566799999999660e+01
7.400000000000000000e+01,5.765663899999999842e+01
7.500000000000000000e+01,5.865304600000000335e+01
7.600000000000000000e+01,5.965447600000000250e+01
7.700000000000000000e+01,6.066059500000000071e+01
7.800000000000000000e+01,6.167102100000000320e+01
7.900000000000000000e+01,6.268543199999999871e+01
8.000000000000000000e+01,6.370350299999999777e+01
8.100000000000000000e+01,6.472496800000000405e+01
8.200000000000000000e+01,6.574949599999999350e+01
8.300000000000000000e+01,6.677685499999999763e+01
8.400000000000000000e+01,6.780677799999999422e+01
8.500000000000000000e+01,6.883904300000000376e+01
8.600000000000000000e+01,6.987341299999999933e+01
8.700000000000000000e+01,7.090965300000000582e+01
8.800000000000000000e+01,7.194761699999999394e+01
8.900000000000000000e+01,7.298706799999999362e+01
9.000000000000000000e+01,7.404859899999999584e+01
9.100000000000000000e+01,7.509903699999999560e+01
9.200000000000000000e+01,7.614742999999999995e+01
9.300000000000000000e+01,7.719569400000000314e+01
9.400000000000000000e+01,7.824403399999999920e+01
9.500000000000000000e+01,7.929247999999999763e+01
9.600000000000000000e+01,8.034108700000000169e+01
9.700000000000000000e+01,8.138979299999999739e+01
9.800000000000000000e+01,8.243857599999999763e+01
9.900000000000000000e+01,8.348737300000000516e+01
1.000000000000000000e+02,8.453610199999999963e+01
1.010000000000000000e+02,8.558473999999999648e+01
1.020000000000000000e+02,8.663323200000000668e+01
1.030000000000000000e+02,8.768143499999999335e+01
1.040000000000000000e+02,8.872930900000000065e+01
1.050000000000000000e+02,8.977674899999999525e+01
1.060000000000000000e+02,9.082366199999999878e+01
1.070000000000000000e+02,9.186996499999999344e+01
1.080000000000000000e+02,9.291552699999999732e+01
1.090000000000000000e+02,9.396031200000000183e+01
1.100000000000000000e+02,9.500421099999999797e+01
1.110000000000000000e+02,9.604715699999999856e+01
1.120000000000000000e+02,9.708908099999999308e+01
1.130000000000000000e+02,9.812988300000000663e+01
1.140000000000000000e+02,9.916953999999999780e+01
1.150000000000000000e+02,1.002079800000000063e+02
1.160000000000000000e+02,1.012451400000000064e+02
1.170000000000000000e+02,1.022809699999999964e+02
1.180000000000000000e+02,1.033153899999999936e+02
1.190000000000000000e+02,1.043483800000000059e+02
1.200000000000000000e+02,1.053798699999999968e+02
1.210000000000000000e+02,1.064098299999999995e+02
1.220000000000000000e+02,1.074382300000000043e+02
1.230000000000000000e+02,1.084649500000000018e+02
1.240000000000000000e+02,1.094899900000000059e+02
1.250000000000000000e+02,1.105132600000000025e+02
1.260000000000000000e+02,1.115347399999999993e+02
1.270000000000000000e+02,1.125543399999999963e+02
1.280000000000000000e+02,1.135720400000000012e+02
1.290000000000000000e+02,1.145877700000000061e+02
1.300000000000000000e+02,1.156014799999999951e+02
1.310000000000000000e+02,1.166130799999999965e+02
1.320000000000000000e+02,1.176225599999999929e+02
1.330000000000000000e+02,1.186298299999999983e+02
1.340000000000000000e+02,1.196347999999999985e+02
1.350000000000000000e+02,1.206374600000000044e+02
1.360000000000000000e+02,1.216376900000000063e+02
1.370000000000000000e+02,1.226354599999999948e+02
1.380000000000000000e+02,1.236306799999999981e+02
1.390000000000000000e+02,1.246232799999999941e+02
1.400000000000000000e+02,1.256132400000000047e+02
1.410000000000000000e+02,1.266004700000000014e+02
1.420000000000000000e+02,1.275849800000000016e+02
1.430000000000000000e+02,1.285667100000000005e+02
1.440000000000000000e+02,1.295456800000000044e+02
1.450000000000000000e+02,1.305218199999999911e+02
1.460000000000000000e+02,1.314950399999999888e+02
1.470000000000000000e+02,1.324652700000000038e+02
1.480000000000000000e+02,1.334324000000000012e+02
1.490000000000000000e+02,1.343962699999999870e+02
1.500000000000000000e+02,1.353567799999999863e+02
1.510000000000000000e+02,1.363137499999999989e+02
1.520000000000000000e+02,1.372670599999999865e+02
1.530000000000000000e+02,1.382165400000000091e+02
1.540000000000000000e+02,1.391620599999999968e+02
1.550000000000000000e+02,1.401034500000000094e+02
1.560000000000000000e+02,1.410406000000000120e+02
1.570000000000000000e+02,1.419733099999999979e+02
1.580000000000000000e+02,1.429014599999999859e+02
1.590000000000000000e+02,1.438249199999999917e+02
1.600000000000000000e+02,1.447435000000000116e+02
1.610000000000000000e+02,1.456570700000000045e+02
1.620000000000000000e+02,1.465654800000000080e+02
1.630000000000000000e+02,1.474685699999999997e+02
1.640000000000000000e+02,1.483661700000000110e+02
1.650000000000000000e+02,1.492581000000000131e+02
1.660000000000000000e+02,1.501442399999999964e+02
1.670000000000000000e+02,1.510244099999999889e+02
1.680000000000000000e+02,1.518983900000000062e+02
1.690000000000000000e+02,1.527660400000000038e+02
1.700000000000000000e+02,1.536271500000000003e+02
1.710000000000000000e+02,1.544815499999999986e+02
1.720000000000000000e+02,1.553290399999999920e+02
1.730000000000000000e+02,1.561694500000000119e+02
1.740000000000000000e+02,1.570025500000000136e+02
1.750000000000000000e+02,1.578281399999999906e+02
1.760000000000000000e+02,1.586459999999999866e+02
1.770000000000000000e+02,1.594559199999999919e+02
1.780000000000000000e+02,1.602594799999999964e+02
1.790000000000000000e+02,1.610538599999999860e+02
1.800000000000000000e+02,1.618396600000000092e+02
1.810000000000000000e+02,1.626169399999999996e+02
1.820000000000000000e+02,1.633855900000000076e+02
1.830000000000000000e+02,1.641454799999999921e+02
1.840000000000000000e+02,1.648964699999999937e+02
1.850000000000000000e+02,1.656382800000000088e+02
1.860000000000000000e+02,1.663705899999999929e+02
1.870000000000000000e+02,1.670930899999999895e+02
1.880000000000000000e+02,1.678054799999999886e+02
1.890000000000000000e+02,1.685074600000000089e+02
1.900000000000000000e+02,1.691988499999999931e+02
1.910000000000000000e+02,1.698794300000000135e+02
1.920000000000000000e+02,1.705490000000000066e+02
1.930000000000000000e+02,1.712073699999999974e+02
1.940000000000000000e+02,1.718544599999999889e+02
1.950000000000000000e+02,1.724901099999999872e+02
1.960000000000000000e+02,1.731142700000000048e+02
1.970000000000000000e+02,1.737268400000000099e+02
1.980000000000000000e+02,1.743277099999999962e+02
1.990000000000000000e+02,1.749169200000000046e+02
2.000000000000000000e+02,1.754943499999999972e+02
2.010000000000000000e+02,1.760600699999999961e+02
2.020000000000000000e+02,1.766140399999999886e+02
2.030000000000000000e+02,1.771563400000000001e+02
2.040000000000000000e+02,1.776869800000000055e+02
2.050000000000000000e+02,1.782060400000000016e+02
2.060000000000000000e+02,1.787136099999999885e+02
2.070000000000000000e+02,1.792098100000000045e+02
2.080000000000000000e+02,1.796947600000000023e+02
2.090000000000000000e+02,1.801686200000000042e+02
2.100000000000000000e+02,1.806315299999999979e+02
2.110000000000000000e+02,1.810836899999999901e+02
2.120000000000000000e+02,1.815253099999999904e+02
2.130000000000000000e+02,1.819566000000000088e+02
2.140000000000000000e+02,1.823778100000000109e+02
2.150000000000000000e+02,1.827891500000000065e+02
2.160000000000000000e+02,1.831972199999999873e+02
2.170000000000000000e+02,1.835936399999999935e+02
2.180000000000000000e+02,1.839811400000000106e+02
2.190000000000000000e+02,1.843605300000000113e+02
2.200000000000000000e+02,1.847320300000000088e+02
2.210000000000000000e+02,1.850955700000000093e+02
2.220000000000000000e+02,1.854511599999999873e+02
2.230000000000000000e+02,1.857988100000000031e+02
2.240000000000000000e+02,1.861387300000000096e+02
2.250000000000000000e+02,1.864711900000000071e+02
2.260000000000000000e+02,1.867964900000000057e+02
2.270000000000000000e+02,1.871150700000000029e+02
2.280000000000000000e+02,1.874272300000000087e+02
2.290000000000000000e+02,1.877334299999999985e+02
2.300000000000000000e+02,1.880340300000000013e+02
2.310000000000000000e+02,1.883293600000000083e+02
2.320000000000000000e+02,1.886198100000000011e+02
2.330000000000000000e+02,1.889056999999999960e+02
2.340000000000000000e+02,1.891873799999999903e+02
2.350000000000000000e+02,1.894651599999999974e+02
2.360000000000000000e+02,1.897393299999999954e+02
2.370000000000000000e+02,1.900101899999999944e+02
2.380000000000000000e+02,1.902780500000000075e+02
2.390000000000000000e+02,1.905431499999999971e+02
2.400000000000000000e+02,1.908057599999999923e+02
2.410000000000000000e+02,1.910661499999999933e+02
2.420000000000000000e+02,1.913245499999999879e+02
2.430000000000000000e+02,1.915811500000000080e+02
2.440000000000000000e+02,1.918362600000000100e+02
2.450000000000000000e+02,1.920900100000000066e+02
2.460000000000000000e+02,1.923426399999999887e+02
2.470000000000000000e+02,1.925943800000000010e+02
2.480000000000000000e+02,1.928453399999999931e+02
2.490000000000000000e+02,1.930957799999999907e+02
2.500000000000000000e+02,1.933458599999999876e+02
2.510000000000000000e+02,1.935956600000000094e+02
2.520000000000000000e+02,1.938727299999999900e+02
2.530000000000000000e+02,1.941377899999999954e+02
2.540000000000000000e+02,1.944003800000000126e+02
2.550000000000000000e+02,1.946619300000000123e+02
2.560000000000000000e+02,1.949219500000000096e+02
2.570000000000000000e+02,1.951803899999999885e+02
2.580000000000000000e+02,1.954375000000000000e+02
2.590000000000000000e+02,1.956937900000000070e+02
2.600000000000000000e+02,1.959497399999999914e+02
2.610000000000000000e+02,1.962057800000000043e+02
2.620000000000000000e+02,1.964623599999999897e+02
2.630000000000000000e+02,1.967197299999999984e+02
2.640000000000000000e+02,1.969780900000000088e+02
2.650000000000000000e+02,1.972376700000000085e+02
2.660000000000000000e+02,1.974987000000000137e+02
2.670000000000000000e+02,1.977612200000000087e+02
2.680000000000000000e+02,1.980253399999999999e+02
2.690000000000000000e+02,1.982912100000000066e+02
2.700000000000000000e+02,1.985588799999999878e+02
2.710000000000000000e+02,1.988284299999999973e+02
2.720000000000000000e+02,1.990999799999999880e+02
2.730000000000000000e+02,1.993734900000000039e+02
2.740000000000000000e+02,1.996491200000000106e+02
2.750000000000000000e+02,1.999269600000000082e+02
2.760000000000000000e+02,2.002070200000000000e+02
2.770000000000000000e+02,2.004892999999999859e+02
2.780000000000000000e+02,2.007739300000000071e+02
2.790000000000000000e+02,2.010610200000000134e+02
2.800000000000000000e+02,2.013505999999999858e+02
2.810000000000000000e+02,2.016426199999999938e+02
2.820000000000000000e+02,2.019372700000000123e+02
2.830000000000000000e+02,2.022345699999999908e+02
2.840000000000000000e+02,2.025346199999999897e+02
2.850000000000000000e+02,2.028374300000000119e+02
2.860000000000000000e+02,2.031430799999999977e+02
2.870000000000000000e+02,2.034517099999999914e+02
2.880000000000000000e+02,2.037633399999999995e+02
2.890000000000000000e+02,2.041631800000000112e+02
2.900000000000000000e+02,2.045187099999999987e+02
2.910000000000000000e+02,2.048606399999999894e+02
2.920000000000000000e+02,2.051966099999999926e+02
2.930000000000000000e+02,2.055291300000000092e+02
