# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.762023300960968902e-02
6.000000000000000000e+00,4.825699198029582276e-02
7.000000000000000000e+00,7.778189519290648613e-02
8.000000000000000000e+00,1.169944343907969309e-01
9.000000000000000000e+00,1.668222878700585665e-01
1.000000000000000000e+01,2.274130085921106381e-01
1.100000000000000000e+01,2.984001475847905538e-01
1.200000000000000000e+01,3.789431970249184656e-01
1.300000000000000000e+01,4.680632441863111781e-01
1.400000000000000000e+01,5.646082162559964424e-01
1.500000000000000000e+01,6.674258285860693585e-01
1.600000000000000000e+01,7.754142173584066544e-01
1.700000000000000000e+01,8.875615773717556722e-01
1.800000000000000000e+01,1.002964989333683388e+00
1.900000000000000000e+01,1.120832429994100155e+00
2.000000000000000000e+01,1.240482439317178942e+00
2.100000000000000000e+01,1.361321988730620491e+00
2.200000000000000000e+01,1.482861132668414905e+00
2.300000000000000000e+01,1.604673420108083448e+00
2.400000000000000000e+01,1.726411563965838836e+00
2.500000000000000000e+01,1.847778210172371649e+00
2.600000000000000000e+01,1.968523749071168671e+00
2.700000000000000000e+01,2.088444942645794278e+00
2.800000000000000000e+01,2.207372934618580640e+00
2.900000000000000000e+01,2.325173533088679800e+00
3.000000000000000000e+01,2.441739806006180125e+00
3.100000000000000000e+01,2.556966874080937036e+00
3.200000000000000000e+01,2.670788839211474919e+00
3.300000000000000000e+01,2.783152765578339682e+00
3.400000000000000000e+01,2.894012736119981444e+00
3.500000000000000000e+01,3.003340894541456141e+00
3.600000000000000000e+01,3.111114358377624178e+00
3.700000000000000000e+01,3.217321500910596654e+00
3.800000000000000000e+01,3.321959830131137714e+00
3.900000000000000000e+01,3.425021459124994561e+00
4.000000000000000000e+01,3.526517757660995844e+00
4.100000000000000000e+01,3.626450719725009986e+00
4.200000000000000000e+01,3.724835886221688153e+00
4.300000000000000000e+01,3.821685779192621535e+00
4.400000000000000000e+01,3.917014362346840084e+00
4.500000000000000000e+01,4.010840522515379369e+00
4.600000000000000000e+01,4.103184723283514579e+00
4.700000000000000000e+01,4.194059064518105728e+00
4.800000000000000000e+01,4.283481130701073170e+00
4.900000000000000000e+01,4.371473851144440204e+00
5.000000000000000000e+01,4.458052495178140617e+00
5.100000000000000000e+01,4.543236860973097535e+00
5.200000000000000000e+01,4.627046048872161421e+00
5.300000000000000000e+01,4.709501140530882424e+00
5.400000000000000000e+01,4.790617865291099342e+00
5.500000000000000000e+01,4.870413391515491242e+00
5.600000000000000000e+01,4.948908454053438710e+00
5.700000000000000000e+01,5.026120715513473058e+00
5.800000000000000000e+01,5.102065342112110713e+00
5.900000000000000000e+01,5.176761254088365405e+00
6.000000000000000000e+01,5.250229969969419486e+00
6.100000000000000000e+01,5.322491426247331958e+00
6.200000000000000000e+01,5.393558291701423535e+00
6.300000000000000000e+01,5.463452214166760079e+00
6.400000000000000000e+01,5.532194630461347629e+00
6.500000000000000000e+01,5.599799665524473724e+00
6.600000000000000000e+01,5.666290454200673565e+00
6.700000000000000000e+01,5.731682911359322397e+00
6.800000000000000000e+01,5.796000837619343926e+00
6.900000000000000000e+01,5.859262167799059284e+00
7.000000000000000000e+01,5.921483421540839842e+00
7.100000000000000000e+01,5.982687332386565693e+00
7.200000000000000000e+01,6.042890977449716594e+00
7.300000000000000000e+01,6.102117178584712143e+00
7.400000000000000000e+01,6.160387057255579002e+00
7.500000000000000000e+01,6.217716844790069253e+00
7.600000000000000000e+01,6.274126216268339107e+00
7.700000000000000000e+01,6.329635430681389785e+00
7.800000000000000000e+01,6.384265069870684428e+00
7.900000000000000000e+01,6.438029085114788330e+00
8.000000000000000000e+01,6.490950917701050926e+00
8.100000000000000000e+01,6.543050376527574485e+00
8.200000000000000000e+01,6.594341445464966256e+00
8.300000000000000000e+01,6.644844415897255274e+00
8.400000000000000000e+01,6.694577056097990031e+00
8.500000000000000000e+01,6.743558400632759131e+00
8.600000000000000000e+01,6.791801048943399088e+00
8.700000000000000000e+01,6.839325628987678485e+00
8.800000000000000000e+01,6.886149882583022297e+00
8.900000000000000000e+01,6.932286428139908807e+00
9.000000000000000000e+01,6.977753436466034742e+00
9.100000000000000000e+01,7.022565969978412426e+00
9.200000000000000000e+01,7.066739698978621753e+00
9.300000000000000000e+01,7.110286469062083725e+00
9.400000000000000000e+01,7.153223685905708784e+00
9.500000000000000000e+01,7.195564947243494380e+00
9.600000000000000000e+01,7.237321610232259950e+00
9.700000000000000000e+01,7.278510655842405086e+00
9.800000000000000000e+01,7.319141924432541302e+00
9.900000000000000000e+01,7.359229967044393028e+00
1.000000000000000000e+02,7.398786953134581346e+00
1.010000000000000000e+02,7.437823224442500880e+00
1.020000000000000000e+02,7.476352838204582518e+00
1.030000000000000000e+02,7.514383638871293236e+00
1.040000000000000000e+02,7.551928245481931867e+00
1.050000000000000000e+02,7.588995283649607515e+00
1.060000000000000000e+02,7.625601660394611514e+00
1.070000000000000000e+02,7.661747249963683615e+00
1.080000000000000000e+02,7.697447103596720019e+00
1.090000000000000000e+02,7.732708045973634370e+00
1.100000000000000000e+02,7.767541273526391343e+00
1.110000000000000000e+02,7.801954278769708040e+00
1.120000000000000000e+02,7.835958831602544805e+00
1.130000000000000000e+02,7.869562293234941386e+00
1.140000000000000000e+02,7.902776615387485215e+00
1.150000000000000000e+02,7.935608486771797310e+00
1.160000000000000000e+02,7.968068217643618389e+00
1.170000000000000000e+02,8.000164841243396552e+00
1.180000000000000000e+02,8.031901813136002488e+00
1.190000000000000000e+02,8.063288213949761030e+00
1.200000000000000000e+02,8.094329600778531031e+00
1.210000000000000000e+02,8.125028143330075281e+00
1.220000000000000000e+02,8.155391375320629521e+00
1.230000000000000000e+02,8.185425183794967197e+00
1.240000000000000000e+02,8.215131963080283484e+00
1.250000000000000000e+02,8.244516768340762525e+00
1.260000000000000000e+02,8.273584999003501750e+00
1.270000000000000000e+02,8.302343067449200475e+00
1.280000000000000000e+02,8.330793305870145105e+00
1.290000000000000000e+02,8.358940806855116534e+00
1.300000000000000000e+02,8.386790003405822702e+00
1.310000000000000000e+02,8.414345187900524436e+00
1.320000000000000000e+02,8.441610846260351408e+00
1.330000000000000000e+02,8.468591979287031890e+00
1.340000000000000000e+02,8.495291005841281162e+00
1.350000000000000000e+02,8.521712680066592327e+00
1.360000000000000000e+02,8.547860816070137702e+00
1.370000000000000000e+02,8.573738476808149045e+00
1.380000000000000000e+02,8.599349738616757222e+00
1.390000000000000000e+02,8.624697458883559875e+00
1.400000000000000000e+02,8.649785189893187010e+00
1.410000000000000000e+02,8.674615292729214389e+00
1.420000000000000000e+02,8.699191292013317423e+00
1.430000000000000000e+02,8.723516151786416373e+00
1.440000000000000000e+02,8.747592750703972797e+00
1.450000000000000000e+02,8.771423580683011423e+00
1.460000000000000000e+02,8.795010757864737627e+00
1.470000000000000000e+02,8.818355882474827823e+00
1.480000000000000000e+02,8.841461999333516175e+00
1.490000000000000000e+02,8.864331475090377666e+00
1.500000000000000000e+02,8.886966757278516482e+00
1.510000000000000000e+02,8.909369340416876781e+00
1.520000000000000000e+02,8.931539643388720862e+00
1.530000000000000000e+02,8.953481416634167189e+00
1.540000000000000000e+02,8.975195993939735217e+00
1.550000000000000000e+02,8.996692619507753008e+00
1.560000000000000000e+02,9.017959041114329111e+00
1.570000000000000000e+02,9.039001556870537968e+00
1.580000000000000000e+02,9.059821765651950187e+00
1.590000000000000000e+02,9.080422354416462838e+00
1.600000000000000000e+02,9.100807074098906213e+00
1.610000000000000000e+02,9.120978043257489176e+00
1.620000000000000000e+02,9.140938166363948625e+00
1.630000000000000000e+02,9.160686653538922641e+00
1.640000000000000000e+02,9.180222016739774560e+00
1.650000000000000000e+02,9.199544573518460666e+00
1.660000000000000000e+02,9.218652689662844679e+00
1.670000000000000000e+02,9.237544602250121528e+00
1.680000000000000000e+02,9.256220744003346823e+00
1.690000000000000000e+02,9.274678391320856363e+00
1.700000000000000000e+02,9.292918503623743831e+00
1.710000000000000000e+02,9.310939034423633132e+00
1.720000000000000000e+02,9.328739562141082686e+00
1.730000000000000000e+02,9.346320588426706877e+00
1.740000000000000000e+02,9.363682586022340715e+00
1.750000000000000000e+02,9.380822407571479005e+00
1.760000000000000000e+02,9.397740905693032332e+00
1.770000000000000000e+02,9.414436653020199941e+00
1.780000000000000000e+02,9.430909140795874279e+00
1.790000000000000000e+02,9.447158106415423973e+00
1.800000000000000000e+02,9.463181568009185085e+00
1.810000000000000000e+02,9.478977937214969174e+00
1.820000000000000000e+02,9.494547050474803740e+00
1.830000000000000000e+02,9.509887168075165320e+00
