# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,6.786550099999999475e+01
3.000000000000000000e+00,9.227247599999999750e+01
4.000000000000000000e+00,1.118730199999999968e+02
5.000000000000000000e+00,1.281604900000000100e+02
6.000000000000000000e+00,1.423647499999999866e+02
7.000000000000000000e+00,1.550132099999999866e+02
8.000000000000000000e+00,1.664711800000000039e+02
9.000000000000000000e+00,1.769696199999999919e+02
1.000000000000000000e+01,1.866766399999999919e+02
1.100000000000000000e+01,1.957183799999999962e+02
1.200000000000000000e+01,2.041858400000000131e+02
1.300000000000000000e+01,2.121563899999999876e+02
1.400000000000000000e+01,2.196937900000000070e+02
1.500000000000000000e+01,2.268471700000000055e+02
1.600000000000000000e+01,2.336672499999999957e+02
1.700000000000000000e+01,2.401968999999999994e+02
1.800000000000000000e+01,2.464778900000000021e+02
1.900000000000000000e+01,2.525416299999999978e+02
2.000000000000000000e+01,2.584132700000000114e+02
2.100000000000000000e+01,2.640973500000000058e+02
2.200000000000000000e+01,2.695826700000000073e+02
2.300000000000000000e+01,2.748581199999999853e+02
2.400000000000000000e+01,2.799078999999999837e+02
2.500000000000000000e+01,2.847293999999999983e+02
2.600000000000000000e+01,2.893340499999999906e+02
2.700000000000000000e+01,2.937287600000000225e+02
2.800000000000000000e+01,2.979259299999999939e+02
2.900000000000000000e+01,3.019356099999999969e+02
3.000000000000000000e+01,3.057624200000000201e+02
3.100000000000000000e+01,3.094122300000000223e+02
3.200000000000000000e+01,3.128886100000000283e+02
3.300000000000000000e+01,3.161903699999999731e+02
3.400000000000000000e+01,3.193184499999999844e+02
3.500000000000000000e+01,3.222771900000000187e+02
3.600000000000000000e+01,3.250625299999999811e+02
3.700000000000000000e+01,3.276790500000000179e+02
3.800000000000000000e+01,3.301308900000000222e+02
3.900000000000000000e+01,3.324197100000000091e+02
4.000000000000000000e+01,3.345541999999999803e+02
4.100000000000000000e+01,3.365432400000000257e+02
4.200000000000000000e+01,3.383937700000000177e+02
4.300000000000000000e+01,3.401167899999999804e+02
4.400000000000000000e+01,3.417219499999999925e+02
4.500000000000000000e+01,3.432228999999999814e+02
4.600000000000000000e+01,3.446289100000000190e+02
4.700000000000000000e+01,3.459484600000000114e+02
4.800000000000000000e+01,3.471964399999999955e+02
4.900000000000000000e+01,3.483775899999999979e+02
5.000000000000000000e+01,3.495007600000000139e+02
5.100000000000000000e+01,3.505750699999999824e+02
5.200000000000000000e+01,3.516068999999999960e+02
5.300000000000000000e+01,3.525976299999999810e+02
5.400000000000000000e+01,3.535600900000000024e+02
5.500000000000000000e+01,3.544969800000000077e+02
5.600000000000000000e+01,3.554031400000000076e+02
5.700000000000000000e+01,3.562953499999999849e+02
5.800000000000000000e+01,3.571725799999999822e+02
5.900000000000000000e+01,3.580281699999999887e+02
6.000000000000000000e+01,3.588788499999999999e+02
6.100000000000000000e+01,3.597215899999999920e+02
6.200000000000000000e+01,3.605478800000000206e+02
6.300000000000000000e+01,3.613751199999999812e+02
6.400000000000000000e+01,3.621977800000000229e+02
6.500000000000000000e+01,3.630112899999999740e+02
6.600000000000000000e+01,3.638277299999999741e+02
6.700000000000000000e+01,3.646443499999999744e+02
6.800000000000000000e+01,3.654505599999999959e+02
6.900000000000000000e+01,3.662633999999999901e+02
7.000000000000000000e+01,3.670778500000000122e+02
7.100000000000000000e+01,3.678833300000000008e+02
7.200000000000000000e+01,3.686985500000000116e+02
7.300000000000000000e+01,3.695129400000000146e+02
7.400000000000000000e+01,3.703213499999999954e+02
7.500000000000000000e+01,3.711367200000000253e+02
7.600000000000000000e+01,3.719520299999999793e+02
7.700000000000000000e+01,3.727601000000000226e+02
7.800000000000000000e+01,3.735716199999999958e+02
7.900000000000000000e+01,3.743840299999999957e+02
8.000000000000000000e+01,3.751862199999999916e+02
8.100000000000000000e+01,3.759928899999999885e+02
8.200000000000000000e+01,3.767958399999999983e+02
8.300000000000000000e+01,3.775871300000000019e+02
8.400000000000000000e+01,3.783799700000000144e+02
8.500000000000000000e+01,3.791651899999999955e+02
8.600000000000000000e+01,3.799408000000000243e+02
8.700000000000000000e+01,3.807126200000000154e+02
8.800000000000000000e+01,3.814755599999999731e+02
8.900000000000000000e+01,3.822285200000000032e+02
9.000000000000000000e+01,3.829756199999999922e+02
9.100000000000000000e+01,3.837146000000000186e+02
9.200000000000000000e+01,3.844416499999999814e+02
9.300000000000000000e+01,3.851624499999999784e+02
9.400000000000000000e+01,3.858760399999999890e+02
9.500000000000000000e+01,3.865805399999999850e+02
9.600000000000000000e+01,3.872789900000000216e+02
9.700000000000000000e+01,3.879708600000000160e+02
9.800000000000000000e+01,3.886571400000000267e+02
9.900000000000000000e+01,3.893393599999999992e+02
1.000000000000000000e+02,3.900200199999999882e+02
1.010000000000000000e+02,3.906945200000000114e+02
1.020000000000000000e+02,3.913680699999999888e+02
1.030000000000000000e+02,3.920414700000000039e+02
1.040000000000000000e+02,3.927113299999999754e+02
1.050000000000000000e+02,3.933790000000000191e+02
1.060000000000000000e+02,3.915022000000000162e+02
1.070000000000000000e+02,3.891037600000000225e+02
1.080000000000000000e+02,3.890946700000000078e+02
1.090000000000000000e+02,3.893600799999999822e+02
1.100000000000000000e+02,3.899039300000000026e+02
1.110000000000000000e+02,3.905513000000000261e+02
1.120000000000000000e+02,3.912661100000000260e+02
1.130000000000000000e+02,3.920088799999999765e+02
1.140000000000000000e+02,3.927642799999999852e+02
1.150000000000000000e+02,3.935237399999999752e+02
1.160000000000000000e+02,3.942770399999999995e+02
1.170000000000000000e+02,3.950228900000000181e+02
1.180000000000000000e+02,3.957578100000000063e+02
1.190000000000000000e+02,3.964840699999999742e+02
1.200000000000000000e+02,3.972019700000000171e+02
1.210000000000000000e+02,3.979125700000000165e+02
