# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,9.999999400000000316e-01
1.400000000000000000e+01,9.999999400000000316e-01
1.500000000000000000e+01,9.999998199999999837e-01
1.600000000000000000e+01,9.999997000000000469e-01
1.700000000000000000e+01,9.999993999999999827e-01
1.800000000000000000e+01,9.999989299999999526e-01
1.900000000000000000e+01,9.999980899999999506e-01
2.000000000000000000e+01,9.999967199999999501e-01
2.100000000000000000e+01,9.999945799999999663e-01
2.200000000000000000e+01,9.999913000000000274e-01
2.300000000000000000e+01,9.999862900000000554e-01
2.400000000000000000e+01,9.999789000000000039e-01
2.500000000000000000e+01,9.999681700000000451e-01
2.600000000000000000e+01,9.999531499999999573e-01
2.700000000000000000e+01,9.999322899999999459e-01
2.800000000000000000e+01,9.999040999999999624e-01
2.900000000000000000e+01,9.998664900000000522e-01
3.000000000000000000e+01,9.998173099999999591e-01
3.100000000000000000e+01,9.997539500000000023e-01
3.200000000000000000e+01,9.996735500000000219e-01
3.300000000000000000e+01,9.995728699999999467e-01
3.400000000000000000e+01,9.994487800000000366e-01
3.500000000000000000e+01,9.992976799999999660e-01
3.600000000000000000e+01,9.991162999999999572e-01
3.700000000000000000e+01,9.989013100000000422e-01
3.800000000000000000e+01,9.986497800000000424e-01
3.900000000000000000e+01,9.983589099999999883e-01
4.000000000000000000e+01,9.980267299999999731e-01
4.100000000000000000e+01,9.976515200000000139e-01
4.200000000000000000e+01,9.972322599999999815e-01
4.300000000000000000e+01,9.967683600000000199e-01
4.400000000000000000e+01,9.962599300000000158e-01
4.500000000000000000e+01,9.957074500000000494e-01
4.600000000000000000e+01,9.951117000000000434e-01
4.700000000000000000e+01,9.944739900000000299e-01
4.800000000000000000e+01,9.937957499999999778e-01
4.900000000000000000e+01,9.930785300000000149e-01
5.000000000000000000e+01,9.923240500000000130e-01
5.100000000000000000e+01,9.915341100000000241e-01
5.200000000000000000e+01,9.907105600000000178e-01
5.300000000000000000e+01,9.898551700000000064e-01
5.400000000000000000e+01,9.889698599999999784e-01
5.500000000000000000e+01,9.880562999999999985e-01
5.600000000000000000e+01,9.871160399999999724e-01
5.700000000000000000e+01,9.861511600000000266e-01
5.800000000000000000e+01,9.851628500000000344e-01
5.900000000000000000e+01,9.841526699999999517e-01
6.000000000000000000e+01,9.831224100000000021e-01
6.100000000000000000e+01,9.820731299999999608e-01
6.200000000000000000e+01,9.810060299999999733e-01
6.300000000000000000e+01,9.799228300000000225e-01
6.400000000000000000e+01,9.788244400000000178e-01
6.500000000000000000e+01,9.777118599999999882e-01
6.600000000000000000e+01,9.765865200000000135e-01
6.700000000000000000e+01,9.754490900000000186e-01
6.800000000000000000e+01,9.743005000000000138e-01
6.900000000000000000e+01,9.731419100000000544e-01
7.000000000000000000e+01,9.719740199999999941e-01
7.100000000000000000e+01,9.707973600000000536e-01
7.200000000000000000e+01,9.696130200000000476e-01
7.300000000000000000e+01,9.684212800000000509e-01
7.400000000000000000e+01,9.672226900000000516e-01
7.500000000000000000e+01,9.660180200000000328e-01
7.600000000000000000e+01,9.648075099999999793e-01
7.700000000000000000e+01,9.635914599999999552e-01
7.800000000000000000e+01,9.623703999999999592e-01
7.900000000000000000e+01,9.611444500000000390e-01
8.000000000000000000e+01,9.599136700000000522e-01
8.100000000000000000e+01,9.586783599999999517e-01
8.200000000000000000e+01,9.574384700000000414e-01
8.300000000000000000e+01,9.561940399999999673e-01
8.400000000000000000e+01,9.549450299999999725e-01
8.500000000000000000e+01,9.536914800000000358e-01
8.600000000000000000e+01,9.524330500000000033e-01
8.700000000000000000e+01,9.511699099999999518e-01
8.800000000000000000e+01,9.499017600000000394e-01
8.900000000000000000e+01,9.486284900000000464e-01
9.000000000000000000e+01,9.473500799999999833e-01
9.100000000000000000e+01,9.460663200000000161e-01
9.200000000000000000e+01,9.447771900000000445e-01
9.300000000000000000e+01,9.434826400000000390e-01
9.400000000000000000e+01,9.421825999999999812e-01
9.500000000000000000e+01,9.408770800000000323e-01
9.600000000000000000e+01,9.395661400000000496e-01
9.700000000000000000e+01,9.382499499999999992e-01
9.800000000000000000e+01,9.369284500000000238e-01
9.900000000000000000e+01,9.356018299999999677e-01
1.000000000000000000e+02,9.342702000000000506e-01
1.010000000000000000e+02,9.329337500000000061e-01
1.020000000000000000e+02,9.315925200000000350e-01
1.030000000000000000e+02,9.302467100000000322e-01
1.040000000000000000e+02,9.288963700000000268e-01
1.050000000000000000e+02,9.275416100000000164e-01
1.060000000000000000e+02,9.261823900000000220e-01
1.070000000000000000e+02,9.244442000000000492e-01
1.080000000000000000e+02,9.228051299999999735e-01
1.090000000000000000e+02,9.212597599999999831e-01
1.100000000000000000e+02,9.197613000000000039e-01
1.110000000000000000e+02,9.182944299999999949e-01
1.120000000000000000e+02,9.168462800000000135e-01
1.130000000000000000e+02,9.154093300000000211e-01
1.140000000000000000e+02,9.139779799999999677e-01
1.150000000000000000e+02,9.125486600000000115e-01
1.160000000000000000e+02,9.111188099999999457e-01
1.170000000000000000e+02,9.096865699999999721e-01
1.180000000000000000e+02,9.082508700000000434e-01
1.190000000000000000e+02,9.068108799999999858e-01
1.200000000000000000e+02,9.053664200000000051e-01
1.210000000000000000e+02,9.039173099999999739e-01
1.220000000000000000e+02,9.024634999999999740e-01
1.230000000000000000e+02,9.010052100000000008e-01
1.240000000000000000e+02,8.995424499999999934e-01
1.250000000000000000e+02,8.980753999999999682e-01
1.260000000000000000e+02,8.966041799999999728e-01
1.270000000000000000e+02,8.951288499999999759e-01
1.280000000000000000e+02,8.936493399999999587e-01
1.290000000000000000e+02,8.921654799999999552e-01
1.300000000000000000e+02,8.906772099999999970e-01
