Loop,Time,r0-A,r1-A,r2-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r2-E,r0-Hp,r1-Hp,r2-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,r2-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r2-n,r0-nO2,r1-nO2,r2-nO2,p0-rho,p1-rho,
-1,0,8.26e+12,2.65e+14,1.19e+13,1.0,0.0,1644.0360675537802,1095.6498503574003,0.14984894000124985,0.6289256015700044,3.09e+05,1.77e+05,1.97e+05,77277.38102213382,145522.0950360923,123425.81592276144,38689.01351755295,100000000.0,0.002337691937858794,0.22357460022385015,0.3817814760010089,0.41065005985157493,0.9123132535953237,0.94,0.1383754118799571,0.23709442947889683,4.5137159073301737e-05,0.00046032341176608385,1.978552478841941,4.913059322977715,5.710328126299732,0.0,0.0,0.0,1683.0,1235.0,
0,337.1910,8.26e+12,2.65e+14,1.19e+13,1.0,0.0,1644.0360675537802,1095.6498503574003,0.14984894000124985,0.6289256015700044,3.09e+05,1.77e+05,1.97e+05,77277.38102213382,145522.0950360923,123425.81592276144,38689.01351755295,100000000.0,0.002337691937858794,0.22357460022385015,0.3817814760010089,0.41065005985157493,0.9123132535953237,0.94,0.1383754118799571,0.23709442947889683,4.5137159073301737e-05,0.00046032341176608385,1.978552478841941,4.913059322977715,5.710328126299732,0.0,0.0,0.0,1683.0,1235.0,
1,773.8670,3.10e+12,1.62e+14,1.40e+13,1.0,0.0,1901.849587912402,2602.659608883703,0.06982192274446222,0.5859539652228885,2.69e+05,1.46e+05,2.89e+05,214265.82810513108,535163.7937720675,905430.0544004773,23719.31830145334,100000000.0,0.0019248584632180145,0.5942938792044965,0.4115167343821752,0.5365163997308402,0.8356065632443154,0.94,0.4608842370850037,0.0901377590920992,9.335213558868353e-05,0.00031586284107869354,2.254674668301253,3.041942469214784,8.681872233446715,0.0,0.0,0.0,1683.0,1235.0,
2,1263.5560,4.59e+12,1.30e+14,1.55e+13,1.0,0.0,989.7570339069123,1979.186616213411,0.09448570815691221,0.5840061524301979,1.86e+05,1.59e+05,2.38e+05,165166.2320265898,537041.7708266005,976439.9129616499,15148.916363627568,100000000.0,0.0016633933809083899,0.6565270742805954,0.3997321211656628,0.5033738697271355,0.6224468837497079,0.94,0.4581009059307817,0.20242550456280442,5.180922217120506e-05,0.0002359020600109942,2.6447941132532904,3.7018032876586457,5.024963498132888,0.0,0.0,0.0,1683.0,1235.0,
3,1718.2790,4.31e+12,8.83e+13,1.17e+13,1.0,0.0,1063.277219465489,1970.2810732872122,0.09739900627847296,0.4049241262678773,2.35e+05,1.73e+05,1.78e+05,226027.03852975456,427428.40066277655,611098.2728053611,17950.47592930906,100000000.0,0.0009161124935876651,0.4535423386721279,0.44073701036702073,0.5432011877489743,0.8190614649483239,0.94,0.5594630107470412,0.1518815729919169,6.174127263852279e-05,0.0003825923850398634,2.344141499978953,2.4443264443266854,6.658808727157615,0.0,0.0,0.0,1683.0,1235.0,
4,2151.0690,4.31e+12,8.83e+13,1.17e+13,1.0,0.0,1063.277219465489,1970.2810732872122,0.09739900627847296,0.4049241262678773,2.35e+05,1.73e+05,1.78e+05,226027.03852975456,427428.40066277655,611098.2728053611,17950.47592930906,100000000.0,0.0009161124935876651,0.4535423386721279,0.44073701036702073,0.5432011877489743,0.8190614649483239,0.94,0.5594630107470412,0.1518815729919169,6.174127263852279e-05,0.0003825923850398634,2.344141499978953,2.4443264443266854,6.658808727157615,0.0,0.0,0.0,1683.0,1235.0,
5,2635.2930,4.31e+12,8.83e+13,1.17e+13,1.0,0.0,1063.277219465489,1970.2810732872122,0.09739900627847296,0.4049241262678773,2.35e+05,1.73e+05,1.78e+05,226027.03852975456,427428.40066277655,611098.2728053611,17950.47592930906,100000000.0,0.0009161124935876651,0.4535423386721279,0.44073701036702073,0.5432011877489743,0.8190614649483239,0.94,0.5594630107470412,0.1518815729919169,6.174127263852279e-05,0.0003825923850398634,2.344141499978953,2.4443264443266854,6.658808727157615,0.0,0.0,0.0,1683.0,1235.0,
6,3122.1680,4.31e+12,8.83e+13,1.17e+13,1.0,0.0,1063.277219465489,1970.2810732872122,0.09739900627847296,0.4049241262678773,2.35e+05,1.73e+05,1.78e+05,226027.03852975456,427428.40066277655,611098.2728053611,17950.47592930906,100000000.0,0.0009161124935876651,0.4535423386721279,0.44073701036702073,0.5432011877489743,0.8190614649483239,0.94,0.5594630107470412,0.1518815729919169,6.174127263852279e-05,0.0003825923850398634,2.344141499978953,2.4443264443266854,6.658808727157615,0.0,0.0,0.0,1683.0,1235.0,
7,3577.3700,4.31e+12,8.83e+13,1.17e+13,1.0,0.0,1063.277219465489,1970.2810732872122,0.09739900627847296,0.4049241262678773,2.35e+05,1.73e+05,1.78e+05,226027.03852975456,427428.40066277655,611098.2728053611,17950.47592930906,100000000.0,0.0009161124935876651,0.4535423386721279,0.44073701036702073,0.5432011877489743,0.8190614649483239,0.94,0.5594630107470412,0.1518815729919169,6.174127263852279e-05,0.0003825923850398634,2.344141499978953,2.4443264443266854,6.658808727157615,0.0,0.0,0.0,1683.0,1235.0,
8,4029.5980,4.31e+12,8.83e+13,1.17e+13,1.0,0.0,1063.277219465489,1970.2810732872122,0.09739900627847296,0.4049241262678773,2.35e+05,1.73e+05,1.78e+05,226027.03852975456,427428.40066277655,611098.2728053611,17950.47592930906,100000000.0,0.0009161124935876651,0.4535423386721279,0.44073701036702073,0.5432011877489743,0.8190614649483239,0.94,0.5594630107470412,0.1518815729919169,6.174127263852279e-05,0.0003825923850398634,2.344141499978953,2.4443264443266854,6.658808727157615,0.0,0.0,0.0,1683.0,1235.0,
