Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.50e+12,7.13e+13,1.0,0.0,1202.540077329818,583.9643817368574,0.1625480053182838,0.8707101093919335,1.84e+05,2.00e+05,387671.8728310723,325650.9254987399,24544.348728319936,100000000.0,0.005152320723665931,0.6998565815139658,0.4761958994830426,0.9687363010881918,0.94,0.36886120462906014,0.027096490262151537,3.121972996037072e-05,0.0011156483257931094,1.0793291170581665,1.3988768401148908,0.0,0.0,1683.0,1235.0,
0,306.7095,2.50e+12,7.13e+13,1.0,0.0,1202.540077329818,583.9643817368574,0.1625480053182838,0.8707101093919335,1.84e+05,2.00e+05,387671.8728310723,325650.9254987399,24544.348728319936,100000000.0,0.005152320723665931,0.6998565815139658,0.4761958994830426,0.9687363010881918,0.94,0.36886120462906014,0.027096490262151537,3.121972996037072e-05,0.0011156483257931094,1.0793291170581665,1.3988768401148908,0.0,0.0,1683.0,1235.0,
1,615.6298,2.48e+12,7.39e+13,1.0,0.0,1253.7656266612662,1169.0533999061754,0.0927166978826655,0.6376630354659822,1.78e+05,1.89e+05,187736.8982342947,147528.36259868403,18551.727523795988,100000000.0,0.0032544855349669354,0.7405812788313598,0.5033919234935725,0.7100224766177055,0.94,0.5534823382861102,0.0886263067646641,8.104973602749538e-05,0.0005348697590719065,1.0265780082694476,1.5365167432030469,0.0,0.0,1683.0,1235.0,
2,933.1620,2.39e+12,7.37e+13,1.0,0.0,1061.86016340932,1921.2859475291789,0.10977878582992415,0.7973233943708407,1.71e+05,1.83e+05,353505.67608180735,187338.0642587447,15278.92841794018,100000000.0,0.0011018269310380641,0.7066528166889245,0.5172691949857013,0.8551764297615807,0.94,0.22711629622326124,0.17721276192871477,2.2015605090938575e-05,0.0005247770912005924,1.0593080170476523,1.3881067518916423,0.0,0.0,1683.0,1235.0,
3,1273.4552,2.35e+12,7.17e+13,1.0,0.0,724.0340184960198,2084.9630667178762,0.04293905687418928,0.3626978923199182,1.68e+05,1.79e+05,361871.3152865483,211169.68928327295,14890.41153548867,100000000.0,0.000988397581646552,0.7476899975564745,0.5049110463724991,0.563167490065642,0.94,0.35601366037593296,0.19817411116937916,5.719908582285229e-05,0.0004967568224199439,1.0877070771115502,1.5185553294925227,0.0,0.0,1683.0,1235.0,
4,1605.0120,2.37e+12,7.54e+13,1.0,0.0,962.0416577496765,1990.0429988551966,0.0930894288267243,0.49614945337324257,1.77e+05,1.89e+05,206412.9702878297,242411.42445499124,19947.276764535425,100000000.0,0.0006012549271321056,0.7357020409694606,0.5064695373360818,0.7673465629267568,0.94,0.3432978168583002,0.138114633042764,6.360581228785829e-05,0.0005025129865200502,1.0274559443652325,1.4794717887747588,0.0,0.0,1683.0,1235.0,
5,1935.3685,2.37e+12,7.54e+13,1.0,0.0,962.0416577496765,1990.0429988551966,0.0930894288267243,0.49614945337324257,1.77e+05,1.89e+05,206412.9702878297,242411.42445499124,19947.276764535425,100000000.0,0.0006012549271321056,0.7357020409694606,0.5064695373360818,0.7673465629267568,0.94,0.3432978168583002,0.138114633042764,6.360581228785829e-05,0.0005025129865200502,1.0274559443652325,1.4794717887747588,0.0,0.0,1683.0,1235.0,
6,2280.6663,2.38e+12,7.41e+13,1.0,0.0,918.45178201375,1900.5117715522738,0.09843505759040017,0.5996999905881315,1.75e+05,1.86e+05,261879.04683734066,274768.15514424484,18866.20186013254,100000000.0,0.0004645982397868029,0.7303787845713894,0.5076360699208179,0.7821259503989446,0.94,0.34621279450843295,0.143243908934779,5.9228563666457405e-05,0.0005486568656646822,1.034319871045342,1.4377148924993075,0.0,0.0,1683.0,1235.0,
7,2631.8877,2.39e+12,7.41e+13,1.0,0.0,904.8547502543591,2026.053803605623,0.0980758389760481,0.5839193493160502,1.74e+05,1.86e+05,258384.88897072256,237749.32654741895,18360.982866959297,100000000.0,0.00034660837924240125,0.7256959171655928,0.5062973624104653,0.7775726891948698,0.94,0.28902428132994584,0.1450450581935526,5.968636021810091e-05,0.000501062401994871,1.0312928604000517,1.4413741122536186,0.0,0.0,1683.0,1235.0,
8,2977.6975,2.38e+12,7.44e+13,1.0,0.0,990.4131029663894,2072.4545649996244,0.10003840270264622,0.5744977341503024,1.73e+05,1.86e+05,235334.97728295033,212863.81380373257,19096.47094947607,100000000.0,0.00032126974789471665,0.7285534390843242,0.505167382951934,0.7954234903201505,0.94,0.26201059262515597,0.1445523411042679,6.155273565260514e-05,0.0004643574527352349,1.020693300295863,1.4348302160603663,0.0,0.0,1683.0,1235.0,
