Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.13e+12,8.14e+13,1.0,0.0,1186.027160608659,1259.2821025235903,0.043092482243287135,0.5101825689056029,1.77e+05,1.93e+05,290671.94567375764,122480.0051551874,12605.822693875898,100000000.0,0.0007512972846763531,0.6848588414778897,0.48730467214627454,0.9723308487271661,0.94,0.6230828097979094,0.1872448902429346,2.4744061069583044e-05,0.0003028367213105964,0.946232707410814,1.4562418787480234,0.0,0.0,1683.0,1235.0,
0,434.9539,2.44e+12,7.79e+13,1.0,0.0,1104.4308216601316,2376.351942992694,0.04481590978847469,0.7182550224957635,1.73e+05,1.85e+05,139758.57338813535,260388.38498163386,16038.197637783973,100000000.0,0.0005957677184313196,0.7284921682151648,0.5113788746800776,0.8378797780457492,0.94,0.40767962469946717,0.061039412490936404,4.275390599230935e-05,0.0005377007794334164,0.9443996359329049,1.4344316146286336,0.0,0.0,1683.0,1235.0,
1,936.8483,2.27e+12,7.63e+13,1.0,0.0,1110.9615432328237,2578.665078643312,0.04586416477131977,0.351385707714418,1.71e+05,1.83e+05,177643.04150949002,182794.56045490608,28286.436847311204,100000000.0,0.0003693084793196187,0.728198009653341,0.513382929021915,0.7589399095598873,0.94,0.3237851402951922,0.11406708027793408,3.530520009988398e-05,0.00021927606745296958,0.961171244760584,1.4194961708053708,0.0,0.0,1683.0,1235.0,
2,1434.3552,2.37e+12,7.38e+13,1.0,0.0,1075.005835128066,2462.0964919767666,0.0474786943889652,0.6856214085743282,1.81e+05,1.92e+05,201199.0016517148,274151.5789774058,21274.296138155554,100000000.0,0.0002423466715045533,0.7354138481716159,0.5020287290860492,0.8998775656457416,0.94,0.7266165883014752,0.2282209437325459,3.285053726717344e-05,0.00027666508129317667,0.9607158022031996,1.5532791468412517,0.0,0.0,1683.0,1235.0,
3,1935.2868,2.33e+12,7.63e+13,1.0,0.0,1096.2665996298606,1600.3121377694615,0.045034004648212854,0.6116362353419691,1.76e+05,1.88e+05,225009.7808367571,243606.5961988513,17338.92581527892,100000000.0,0.00012436703236461022,0.7183543466953635,0.508571795493844,0.8482857854600545,0.94,0.5725177437587274,0.17942558712570883,4.300606640870833e-05,0.000297182531778434,0.9760131735492757,1.4801841031952843,0.0,0.0,1683.0,1235.0,
4,2450.3249,2.34e+12,7.50e+13,1.0,0.0,1087.8874296608649,1900.221730423994,0.04547724490581952,0.5553614263562016,1.75e+05,1.86e+05,205816.3644812642,230336.50775524715,20126.209223072263,100000000.0,0.00010021491472045936,0.7328140326741284,0.5141846804789918,0.82043307834198,0.94,0.47384761653454177,0.1739685525316938,4.6281839791995e-05,0.0003024844187247975,0.9777511180998569,1.4894932656205868,0.0,0.0,1683.0,1235.0,
5,2971.5296,2.34e+12,7.52e+13,1.0,0.0,1089.9542384928882,1989.6283445264962,0.045507944134029935,0.5479257051245046,1.76e+05,1.87e+05,200608.21926169103,227057.56535804132,20047.15859041283,100000000.0,9.196198098234921e-05,0.7333839993430702,0.5128679579985218,0.8300743561716313,0.94,0.4585242997887159,0.17073057147658943,4.605250557380701e-05,0.00029860564526278273,0.981427818882718,1.4906291390299036,0.0,0.0,1683.0,1235.0,
6,3470.7397,2.34e+12,7.52e+13,1.0,0.0,1089.498845775232,2013.7914547349556,0.045316930923970704,0.5586454418850121,1.75e+05,1.87e+05,200110.45996858107,224999.23001935316,19846.96591821709,100000000.0,8.374699692919413e-05,0.7327895209379183,0.5128251259902541,0.8272546371190735,0.94,0.43873986992423375,0.1695204736017611,4.671178957433772e-05,0.00030884831468583465,0.9806752085487362,1.4949349428178367,0.0,0.0,1683.0,1235.0,
7,3968.1773,2.36e+12,7.29e+13,1.0,0.0,1049.2717303653817,2182.3359844022984,0.04462816653876113,0.6415263199526033,1.77e+05,1.87e+05,184506.65891368472,200696.8735224001,19281.846147524044,100000000.0,6.615405872515128e-05,0.7294228936452043,0.5144745627576823,0.8195173854288609,0.94,0.3416902780132479,0.14540459412038984,6.023351008585873e-05,0.0003906308680260867,0.9824797544926311,1.5461931117975034,0.0,0.0,1683.0,1235.0,
8,4462.4942,2.36e+12,7.25e+13,1.0,0.0,1042.699550090445,2242.5459943216,0.04442489506289056,0.6482560754302436,1.77e+05,1.87e+05,181532.00145520235,196213.46425988968,19411.81409720947,100000000.0,4.74013622424157e-05,0.7292535336450641,0.5144496615493426,0.8241273045649185,0.94,0.2973775490165128,0.1413392734026341,6.324367331904085e-05,0.00040688888164266653,0.9830604062165023,1.557655025904014,0.0,0.0,1683.0,1235.0,
9,4949.9442,2.36e+12,7.20e+13,1.0,0.0,1036.43364593788,2252.5523507694124,0.04433523412356139,0.6594057866399972,1.77e+05,1.87e+05,181274.9307961516,199050.9406580753,19144.70694108492,100000000.0,3.817536462667553e-05,0.7284744616691692,0.5153733627149535,0.8237030409705075,0.94,0.29711812035507557,0.1355567403811586,6.718264099555506e-05,0.0004258396634056311,0.9834739735069987,1.5649267560970963,0.0,0.0,1683.0,1235.0,
