# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000400000000056e+01
6.000000000000000000e+00,2.500001500000000121e+01
7.000000000000000000e+00,2.500006499999999932e+01
8.000000000000000000e+00,2.500022099999999980e+01
9.000000000000000000e+00,2.500064499999999867e+01
1.000000000000000000e+01,2.500163500000000028e+01
1.100000000000000000e+01,2.500369500000000045e+01
1.200000000000000000e+01,2.500757199999999969e+01
1.300000000000000000e+01,2.501427299999999931e+01
1.400000000000000000e+01,2.502505299999999977e+01
1.500000000000000000e+01,2.504137199999999908e+01
1.600000000000000000e+01,2.506485199999999836e+01
1.700000000000000000e+01,2.509720400000000140e+01
1.800000000000000000e+01,2.514017700000000133e+01
1.900000000000000000e+01,2.519550100000000015e+01
2.000000000000000000e+01,2.526484900000000167e+01
2.100000000000000000e+01,2.534979099999999974e+01
2.200000000000000000e+01,2.545178399999999996e+01
2.300000000000000000e+01,2.557213799999999893e+01
2.400000000000000000e+01,2.571202699999999908e+01
2.500000000000000000e+01,2.587247100000000088e+01
2.600000000000000000e+01,2.605433700000000030e+01
2.700000000000000000e+01,2.625835599999999914e+01
2.800000000000000000e+01,2.648510699999999929e+01
2.900000000000000000e+01,2.673505199999999959e+01
3.000000000000000000e+01,2.700852599999999981e+01
3.100000000000000000e+01,2.730575800000000086e+01
3.200000000000000000e+01,2.762686700000000073e+01
3.300000000000000000e+01,2.797189300000000145e+01
3.400000000000000000e+01,2.834078200000000081e+01
3.500000000000000000e+01,2.873341599999999829e+01
3.600000000000000000e+01,2.914960900000000166e+01
3.700000000000000000e+01,2.958911700000000167e+01
3.800000000000000000e+01,3.005165300000000173e+01
3.900000000000000000e+01,3.053688800000000114e+01
4.000000000000000000e+01,3.104445600000000027e+01
4.100000000000000000e+01,3.157394199999999884e+01
4.200000000000000000e+01,3.212492400000000004e+01
4.300000000000000000e+01,3.269697200000000237e+01
4.400000000000000000e+01,3.328960399999999709e+01
4.500000000000000000e+01,3.390235899999999702e+01
4.600000000000000000e+01,3.453472899999999868e+01
4.700000000000000000e+01,3.518623000000000189e+01
4.800000000000000000e+01,3.585636900000000082e+01
4.900000000000000000e+01,3.654462399999999889e+01
5.000000000000000000e+01,3.725050699999999892e+01
5.100000000000000000e+01,3.797350699999999790e+01
5.200000000000000000e+01,3.871312000000000353e+01
5.300000000000000000e+01,3.946885300000000285e+01
5.400000000000000000e+01,4.024021499999999918e+01
5.500000000000000000e+01,4.102671800000000246e+01
5.600000000000000000e+01,4.182787700000000086e+01
5.700000000000000000e+01,4.264322299999999899e+01
5.800000000000000000e+01,4.347229800000000211e+01
5.900000000000000000e+01,4.431462499999999949e+01
6.000000000000000000e+01,4.516975800000000163e+01
6.100000000000000000e+01,4.603725800000000135e+01
6.200000000000000000e+01,4.691670599999999780e+01
6.300000000000000000e+01,4.780767399999999867e+01
6.400000000000000000e+01,4.870975500000000125e+01
6.500000000000000000e+01,4.962251700000000199e+01
6.600000000000000000e+01,5.054559299999999666e+01
6.700000000000000000e+01,5.147861100000000079e+01
6.800000000000000000e+01,5.242117300000000313e+01
6.900000000000000000e+01,5.337290999999999741e+01
7.000000000000000000e+01,5.433348099999999903e+01
7.100000000000000000e+01,5.530252800000000235e+01
7.200000000000000000e+01,5.627972799999999864e+01
7.300000000000000000e+01,5.726473200000000219e+01
7.400000000000000000e+01,5.825723599999999891e+01
7.500000000000000000e+01,5.925691599999999681e+01
7.600000000000000000e+01,6.026349600000000351e+01
7.700000000000000000e+01,6.127665300000000315e+01
7.800000000000000000e+01,6.229612399999999894e+01
7.900000000000000000e+01,6.332160900000000225e+01
8.000000000000000000e+01,6.435285899999999515e+01
8.100000000000000000e+01,6.538959499999999991e+01
8.200000000000000000e+01,6.643157999999999674e+01
8.300000000000000000e+01,6.747857700000000136e+01
8.400000000000000000e+01,6.853030400000000100e+01
8.500000000000000000e+01,6.958657100000000639e+01
8.600000000000000000e+01,7.064714100000000485e+01
8.700000000000000000e+01,7.171176900000000387e+01
8.800000000000000000e+01,7.278028100000000222e+01
8.900000000000000000e+01,7.385246300000000019e+01
9.000000000000000000e+01,7.492808499999999583e+01
9.100000000000000000e+01,7.600697300000000212e+01
9.200000000000000000e+01,7.708896599999999921e+01
9.300000000000000000e+01,7.817383599999999433e+01
9.400000000000000000e+01,7.926143600000000333e+01
9.500000000000000000e+01,8.035157800000000350e+01
9.600000000000000000e+01,8.144411499999999648e+01
9.700000000000000000e+01,8.253885699999999304e+01
9.800000000000000000e+01,8.363566600000000051e+01
9.900000000000000000e+01,8.473439000000000476e+01
1.000000000000000000e+02,8.583489199999999641e+01
1.010000000000000000e+02,8.693700400000000172e+01
1.020000000000000000e+02,8.804060400000000186e+01
1.030000000000000000e+02,8.914556100000000072e+01
1.040000000000000000e+02,9.025174699999999461e+01
1.050000000000000000e+02,9.135902400000000512e+01
1.060000000000000000e+02,9.246727799999999320e+01
1.070000000000000000e+02,9.357639299999999594e+01
1.080000000000000000e+02,9.468625600000000020e+01
1.090000000000000000e+02,9.579672999999999661e+01
1.100000000000000000e+02,9.690775299999999959e+01
1.110000000000000000e+02,9.801919599999999377e+01
1.120000000000000000e+02,9.913094300000000203e+01
1.130000000000000000e+02,1.002429400000000044e+02
1.140000000000000000e+02,1.013550299999999993e+02
1.150000000000000000e+02,1.024671900000000022e+02
1.160000000000000000e+02,1.035792900000000003e+02
1.170000000000000000e+02,1.046912499999999966e+02
1.180000000000000000e+02,1.058029899999999941e+02
1.190000000000000000e+02,1.069144500000000022e+02
1.200000000000000000e+02,1.080255200000000002e+02
1.210000000000000000e+02,1.091361299999999943e+02
1.220000000000000000e+02,1.102462299999999971e+02
1.230000000000000000e+02,1.113557299999999941e+02
1.240000000000000000e+02,1.124645600000000059e+02
1.250000000000000000e+02,1.135726599999999991e+02
1.260000000000000000e+02,1.146799900000000036e+02
1.270000000000000000e+02,1.157864500000000021e+02
1.280000000000000000e+02,1.168919900000000069e+02
1.290000000000000000e+02,1.179965700000000055e+02
1.300000000000000000e+02,1.191001299999999929e+02
1.310000000000000000e+02,1.202026000000000039e+02
1.320000000000000000e+02,1.213039399999999972e+02
1.330000000000000000e+02,1.224040899999999965e+02
1.340000000000000000e+02,1.235030299999999954e+02
1.350000000000000000e+02,1.246006799999999970e+02
1.360000000000000000e+02,1.256970000000000027e+02
1.370000000000000000e+02,1.267919499999999999e+02
1.380000000000000000e+02,1.278855099999999965e+02
1.390000000000000000e+02,1.289775999999999954e+02
1.400000000000000000e+02,1.300682099999999934e+02
1.410000000000000000e+02,1.311572700000000111e+02
1.420000000000000000e+02,1.322447999999999979e+02
1.430000000000000000e+02,1.333306900000000041e+02
1.440000000000000000e+02,1.344149500000000046e+02
1.450000000000000000e+02,1.354975399999999865e+02
1.460000000000000000e+02,1.365784299999999973e+02
1.470000000000000000e+02,1.376575799999999958e+02
1.480000000000000000e+02,1.387349499999999978e+02
1.490000000000000000e+02,1.398105300000000000e+02
1.500000000000000000e+02,1.408842899999999929e+02
1.510000000000000000e+02,1.419561899999999923e+02
1.520000000000000000e+02,1.430261999999999887e+02
1.530000000000000000e+02,1.440943100000000072e+02
1.540000000000000000e+02,1.451605099999999879e+02
1.550000000000000000e+02,1.462247199999999907e+02
1.560000000000000000e+02,1.472869699999999966e+02
1.570000000000000000e+02,1.483471999999999866e+02
1.580000000000000000e+02,1.494054099999999892e+02
1.590000000000000000e+02,1.504615799999999979e+02
1.600000000000000000e+02,1.515156900000000064e+02
1.610000000000000000e+02,1.525676899999999989e+02
1.620000000000000000e+02,1.536175800000000038e+02
1.630000000000000000e+02,1.546653699999999958e+02
1.640000000000000000e+02,1.557110000000000127e+02
1.650000000000000000e+02,1.567544599999999946e+02
1.660000000000000000e+02,1.577957299999999918e+02
1.670000000000000000e+02,1.588347899999999981e+02
1.680000000000000000e+02,1.598716699999999946e+02
1.690000000000000000e+02,1.609062999999999874e+02
1.700000000000000000e+02,1.619386700000000019e+02
1.710000000000000000e+02,1.629687800000000095e+02
1.720000000000000000e+02,1.639966100000000040e+02
1.730000000000000000e+02,1.650221400000000074e+02
1.740000000000000000e+02,1.660453799999999944e+02
1.750000000000000000e+02,1.670662800000000061e+02
1.760000000000000000e+02,1.680848400000000140e+02
1.770000000000000000e+02,1.691010599999999897e+02
1.780000000000000000e+02,1.701149000000000058e+02
1.790000000000000000e+02,1.711263899999999865e+02
1.800000000000000000e+02,1.721354699999999980e+02
1.810000000000000000e+02,1.731421699999999930e+02
1.820000000000000000e+02,1.741464400000000126e+02
1.830000000000000000e+02,1.751482799999999997e+02
1.840000000000000000e+02,1.761476900000000114e+02
1.850000000000000000e+02,1.771446500000000128e+02
1.860000000000000000e+02,1.781391299999999944e+02
1.870000000000000000e+02,1.791311499999999910e+02
1.880000000000000000e+02,1.801206699999999898e+02
1.890000000000000000e+02,1.811076999999999941e+02
1.900000000000000000e+02,1.820922199999999975e+02
1.910000000000000000e+02,1.830742199999999968e+02
1.920000000000000000e+02,1.840536999999999921e+02
1.930000000000000000e+02,1.850306199999999990e+02
1.940000000000000000e+02,1.860049999999999955e+02
1.950000000000000000e+02,1.869768100000000004e+02
1.960000000000000000e+02,1.879460400000000107e+02
1.970000000000000000e+02,1.889126899999999978e+02
1.980000000000000000e+02,1.898767400000000123e+02
1.990000000000000000e+02,1.908381799999999942e+02
2.000000000000000000e+02,1.917969999999999970e+02
2.010000000000000000e+02,1.927531899999999894e+02
2.020000000000000000e+02,1.937067399999999964e+02
2.030000000000000000e+02,1.946576499999999896e+02
2.040000000000000000e+02,1.956058800000000133e+02
2.050000000000000000e+02,1.965514400000000137e+02
2.060000000000000000e+02,1.974943199999999877e+02
2.070000000000000000e+02,1.984345099999999888e+02
2.080000000000000000e+02,1.993719800000000077e+02
2.090000000000000000e+02,2.003067299999999875e+02
2.100000000000000000e+02,2.012387699999999882e+02
2.110000000000000000e+02,2.021680499999999938e+02
2.120000000000000000e+02,2.030945900000000108e+02
2.130000000000000000e+02,2.040183600000000013e+02
2.140000000000000000e+02,2.049393499999999904e+02
2.150000000000000000e+02,2.058575600000000065e+02
2.160000000000000000e+02,2.067729500000000087e+02
2.170000000000000000e+02,2.076855300000000000e+02
2.180000000000000000e+02,2.085952900000000056e+02
2.190000000000000000e+02,2.095022299999999973e+02
2.200000000000000000e+02,2.104063099999999906e+02
2.210000000000000000e+02,2.113075300000000141e+02
2.220000000000000000e+02,2.122058700000000044e+02
2.230000000000000000e+02,2.131013299999999902e+02
2.240000000000000000e+02,2.139938999999999965e+02
2.250000000000000000e+02,2.148835300000000075e+02
2.260000000000000000e+02,2.157702500000000043e+02
2.270000000000000000e+02,2.166540500000000122e+02
2.280000000000000000e+02,2.175348999999999933e+02
2.290000000000000000e+02,2.184127699999999948e+02
2.300000000000000000e+02,2.192876400000000103e+02
2.310000000000000000e+02,2.201595499999999959e+02
2.320000000000000000e+02,2.210284699999999987e+02
2.330000000000000000e+02,2.218943800000000124e+02
2.340000000000000000e+02,2.227572499999999991e+02
2.350000000000000000e+02,2.236170500000000061e+02
2.360000000000000000e+02,2.244738000000000113e+02
2.370000000000000000e+02,2.253274800000000084e+02
2.380000000000000000e+02,2.261780699999999911e+02
2.390000000000000000e+02,2.270255699999999877e+02
2.400000000000000000e+02,2.278699599999999919e+02
2.410000000000000000e+02,2.287112400000000036e+02
2.420000000000000000e+02,2.295493600000000072e+02
2.430000000000000000e+02,2.303843400000000088e+02
2.440000000000000000e+02,2.312161399999999958e+02
2.450000000000000000e+02,2.320447499999999934e+02
2.460000000000000000e+02,2.328701800000000048e+02
2.470000000000000000e+02,2.336923800000000142e+02
2.480000000000000000e+02,2.345113800000000026e+02
2.490000000000000000e+02,2.353271300000000110e+02
2.500000000000000000e+02,2.361396300000000110e+02
2.510000000000000000e+02,2.369488699999999994e+02
2.520000000000000000e+02,2.377548199999999952e+02
2.530000000000000000e+02,2.385575000000000045e+02
2.540000000000000000e+02,2.393568600000000117e+02
2.550000000000000000e+02,2.401528900000000135e+02
2.560000000000000000e+02,2.409456000000000131e+02
2.570000000000000000e+02,2.417349700000000041e+02
2.580000000000000000e+02,2.425209700000000055e+02
2.590000000000000000e+02,2.433035900000000140e+02
2.600000000000000000e+02,2.440828199999999981e+02
2.610000000000000000e+02,2.448586599999999862e+02
2.620000000000000000e+02,2.456310900000000004e+02
2.630000000000000000e+02,2.464000699999999995e+02
2.640000000000000000e+02,2.471656199999999899e+02
2.650000000000000000e+02,2.479277299999999968e+02
2.660000000000000000e+02,2.486863700000000108e+02
2.670000000000000000e+02,2.494415300000000002e+02
2.680000000000000000e+02,2.501931899999999871e+02
2.690000000000000000e+02,2.509413600000000031e+02
2.700000000000000000e+02,2.516860200000000134e+02
2.710000000000000000e+02,2.524271500000000117e+02
2.720000000000000000e+02,2.531647499999999980e+02
2.730000000000000000e+02,2.538987899999999911e+02
2.740000000000000000e+02,2.546292599999999879e+02
2.750000000000000000e+02,2.553561599999999885e+02
2.760000000000000000e+02,2.560794999999999959e+02
2.770000000000000000e+02,2.567991900000000101e+02
2.780000000000000000e+02,2.575153199999999742e+02
2.790000000000000000e+02,2.582278099999999768e+02
2.800000000000000000e+02,2.589366800000000239e+02
2.810000000000000000e+02,2.596419099999999958e+02
2.820000000000000000e+02,2.603434799999999996e+02
2.830000000000000000e+02,2.610413800000000037e+02
2.840000000000000000e+02,2.617355999999999767e+02
2.850000000000000000e+02,2.624261500000000069e+02
2.860000000000000000e+02,2.631130099999999743e+02
2.870000000000000000e+02,2.637961399999999799e+02
2.880000000000000000e+02,2.644755599999999731e+02
2.890000000000000000e+02,2.651512799999999856e+02
2.900000000000000000e+02,2.658232399999999984e+02
2.910000000000000000e+02,2.664914200000000051e+02
2.920000000000000000e+02,2.671558800000000247e+02
2.930000000000000000e+02,2.678165599999999813e+02
