# Time [s], Mass [Kg]
1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,9.999999400000000316e-01
5.400000000000000000e+01,9.999999400000000316e-01
5.500000000000000000e+01,9.999999400000000316e-01
5.600000000000000000e+01,9.999999400000000316e-01
5.700000000000000000e+01,9.999999400000000316e-01
5.800000000000000000e+01,9.999999400000000316e-01
5.900000000000000000e+01,9.999999400000000316e-01
6.000000000000000000e+01,9.999998799999999521e-01
6.100000000000000000e+01,9.999998799999999521e-01
6.200000000000000000e+01,9.999998799999999521e-01
6.300000000000000000e+01,9.999998799999999521e-01
6.400000000000000000e+01,9.999998199999999837e-01
6.500000000000000000e+01,9.999998199999999837e-01
6.600000000000000000e+01,9.999997600000000153e-01
6.700000000000000000e+01,9.999997600000000153e-01
6.800000000000000000e+01,9.999997000000000469e-01
6.900000000000000000e+01,9.999997000000000469e-01
7.000000000000000000e+01,9.999996399999999674e-01
7.100000000000000000e+01,9.999995799999999990e-01
7.200000000000000000e+01,9.999995799999999990e-01
7.300000000000000000e+01,9.999995200000000306e-01
7.400000000000000000e+01,9.999994599999999512e-01
7.500000000000000000e+01,9.999993400000000143e-01
7.600000000000000000e+01,9.999992800000000459e-01
7.700000000000000000e+01,9.999992300000000167e-01
7.800000000000000000e+01,9.999991099999999689e-01
7.900000000000000000e+01,9.999990500000000004e-01
8.000000000000000000e+01,9.999989299999999526e-01
8.100000000000000000e+01,9.999988100000000157e-01
8.200000000000000000e+01,9.999986899999999679e-01
8.300000000000000000e+01,9.999985099999999516e-01
8.400000000000000000e+01,9.999983900000000148e-01
8.500000000000000000e+01,9.999982099999999985e-01
8.600000000000000000e+01,9.999980299999999822e-01
8.700000000000000000e+01,9.999978499999999659e-01
8.800000000000000000e+01,9.999976200000000315e-01
8.900000000000000000e+01,9.999973800000000468e-01
9.000000000000000000e+01,9.999971399999999511e-01
9.100000000000000000e+01,9.999968399999999979e-01
9.200000000000000000e+01,9.999965400000000448e-01
9.300000000000000000e+01,9.999962399999999807e-01
9.400000000000000000e+01,9.999958899999999984e-01
9.500000000000000000e+01,9.999955299999999658e-01
9.600000000000000000e+01,9.999951099999999649e-01
9.700000000000000000e+01,9.999946400000000457e-01
9.800000000000000000e+01,9.999942200000000447e-01
9.900000000000000000e+01,9.999936799999999959e-01
1.000000000000000000e+02,9.999931499999999973e-01
1.010000000000000000e+02,9.999925499999999801e-01
1.020000000000000000e+02,9.999918899999999944e-01
1.030000000000000000e+02,9.999912399999999479e-01
1.040000000000000000e+02,9.999904600000000254e-01
1.050000000000000000e+02,9.999896900000000421e-01
1.060000000000000000e+02,9.999888500000000402e-01
1.070000000000000000e+02,9.999879600000000091e-01
1.080000000000000000e+02,9.999870100000000095e-01
1.090000000000000000e+02,9.999859300000000228e-01
1.100000000000000000e+02,9.999848599999999754e-01
1.110000000000000000e+02,9.999836699999999912e-01
1.120000000000000000e+02,9.999824200000000385e-01
1.130000000000000000e+02,9.999810500000000379e-01
1.140000000000000000e+02,9.999796199999999580e-01
1.150000000000000000e+02,9.999780700000000522e-01
1.160000000000000000e+02,9.999764599999999559e-01
1.170000000000000000e+02,9.999747300000000338e-01
1.180000000000000000e+02,9.999728799999999529e-01
1.190000000000000000e+02,9.999708499999999667e-01
1.200000000000000000e+02,9.999687699999999513e-01
1.210000000000000000e+02,9.999665599999999488e-01
1.220000000000000000e+02,9.999641799999999803e-01
1.230000000000000000e+02,9.999616700000000247e-01
1.240000000000000000e+02,9.999589899999999920e-01
1.250000000000000000e+02,9.999561900000000225e-01
1.260000000000000000e+02,9.999532100000000368e-01
1.270000000000000000e+02,9.999499899999999553e-01
1.280000000000000000e+02,9.999466500000000480e-01
1.290000000000000000e+02,9.999430799999999842e-01
1.300000000000000000e+02,9.999393199999999648e-01
