Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.37e+12,7.63e+13,1.0,0.0,1164.244250646714,3700.932261624393,0.044107484555128605,0.9705180480018509,1.92e+05,2.04e+05,346687.1641163309,102173.37402405345,6879.880770357358,100000000.0,0.0012963113844602643,0.6963580724204805,0.5380823449630299,0.8709302714247643,0.94,0.9199375703242914,0.1311918079205978,1.6694729081457618e-05,0.0010323309675074606,0.9781198666752396,1.4649693468109453,0.0,0.0,1683.0,1235.0,
0,268.2476,2.37e+12,7.63e+13,1.0,0.0,1164.244250646714,3700.932261624393,0.044107484555128605,0.9705180480018509,1.92e+05,2.04e+05,346687.1641163309,102173.37402405345,6879.880770357358,100000000.0,0.0012963113844602643,0.6963580724204805,0.5380823449630299,0.8709302714247643,0.94,0.9199375703242914,0.1311918079205978,1.6694729081457618e-05,0.0010323309675074606,0.9781198666752396,1.4649693468109453,0.0,0.0,1683.0,1235.0,
1,572.0728,2.22e+12,7.93e+13,1.0,0.0,1036.6427404634283,658.8937248029916,0.04167512641812146,0.5226993068183639,1.69e+05,1.82e+05,355842.9157359165,327491.18102853664,11603.453341524304,100000000.0,0.00034456528377324114,0.8112626586919436,0.461396060309669,0.8007073569005786,0.94,0.5259973091114523,0.27381180524905424,4.070216343316183e-05,0.0010520145836989715,0.988787533729358,1.4881169746512064,0.0,0.0,1683.0,1235.0,
2,895.9741,2.22e+12,7.93e+13,1.0,0.0,1036.6427404634283,658.8937248029916,0.04167512641812146,0.5226993068183639,1.69e+05,1.82e+05,355842.9157359165,327491.18102853664,11603.453341524304,100000000.0,0.00034456528377324114,0.8112626586919436,0.461396060309669,0.8007073569005786,0.94,0.5259973091114523,0.27381180524905424,4.070216343316183e-05,0.0010520145836989715,0.988787533729358,1.4881169746512064,0.0,0.0,1683.0,1235.0,
3,1235.1890,2.29e+12,7.42e+13,1.0,0.0,1043.9531140128424,1560.1383418581286,0.04543878595756812,0.5507749057147722,1.78e+05,1.90e+05,221805.35122834405,212205.44878780586,22765.172319499125,100000000.0,0.00017784969909721355,0.7572068750170382,0.4853728705411464,0.8391485963947352,0.94,0.4974875545030415,0.12850497439204608,4.223880913433542e-05,0.0005259304771544855,0.9936692448323927,1.460630519624846,0.0,0.0,1683.0,1235.0,
4,1584.5149,2.38e+12,7.52e+13,1.0,0.0,989.5504598839484,1952.6130643735255,0.044689372961619636,0.6249814991661939,1.83e+05,1.96e+05,257605.1483869426,185261.2050380443,27631.005041101824,100000000.0,0.00014914882053305647,0.7125181234742528,0.5118658343326715,0.8514844117346984,0.94,0.5640044135463531,0.17972141632947103,6.407456218476357e-05,0.0005213195825092645,1.0016312329766552,1.5298445423237035,0.0,0.0,1683.0,1235.0,
5,1939.0799,2.27e+12,7.49e+13,1.0,0.0,1063.666568341964,2002.9033630421059,0.04508038436937244,0.5733727068008858,1.76e+05,1.87e+05,222922.07729113652,260327.59873421435,21284.979522502013,100000000.0,0.00011228469566219984,0.7547082690054047,0.4999311858147426,0.8142594357612967,0.94,0.5651403486212752,0.13787147145351308,4.452468317616284e-05,0.0006399080092720755,1.0052492863402083,1.4844580223286048,0.0,0.0,1683.0,1235.0,
6,2301.8627,2.28e+12,7.48e+13,1.0,0.0,1054.5892497875864,1939.2648522133327,0.04496699249754248,0.5661469778236772,1.76e+05,1.88e+05,226169.5141095646,257899.22847561043,21980.456601824768,100000000.0,9.31443458732659e-05,0.7503896988114162,0.501478594263854,0.8196209809871198,0.94,0.5717802918036563,0.14169663221902315,4.382795679284809e-05,0.0006244269900164154,1.006528348581051,1.4940868467679103,0.0,0.0,1683.0,1235.0,
7,2658.2410,2.28e+12,7.50e+13,1.0,0.0,1052.7376749715172,1971.06405382106,0.045107301101984965,0.5503109742240384,1.76e+05,1.88e+05,224466.4865237974,260444.14762516157,22549.581364896087,100000000.0,8.298049764278086e-05,0.7464390011398873,0.500623912561065,0.8277608377484038,0.94,0.5514847838715564,0.13962195262550675,4.79241762369186e-05,0.0006130387392120207,1.0046930062261956,1.4941864522012778,0.0,0.0,1683.0,1235.0,
8,3019.5465,2.27e+12,7.49e+13,1.0,0.0,1054.644481850627,1929.932720275723,0.04508677878944178,0.5459615891503748,1.76e+05,1.88e+05,220322.3066435263,260896.73107752338,22350.9487342256,100000000.0,8.053470120288341e-05,0.7494863583014602,0.5015523098154169,0.8152634553968799,0.94,0.5593216646887392,0.1398956604395652,4.4969070698346296e-05,0.0006257095040989541,1.0079568783615152,1.4951905796874756,0.0,0.0,1683.0,1235.0,
