# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997700000000123e+01
2.000000000000000000e+00,4.263330500000000001e+01
3.000000000000000000e+00,5.274585700000000088e+01
4.000000000000000000e+00,6.094485499999999689e+01
5.000000000000000000e+00,6.781833600000000217e+01
6.000000000000000000e+00,7.386339599999999450e+01
7.000000000000000000e+00,7.929119099999999776e+01
8.000000000000000000e+00,8.424896200000000590e+01
9.000000000000000000e+00,8.882883499999999799e+01
1.000000000000000000e+01,9.309878500000000656e+01
1.100000000000000000e+01,9.710716200000000242e+01
1.200000000000000000e+01,1.008913399999999996e+02
1.300000000000000000e+01,1.044804800000000000e+02
1.400000000000000000e+01,1.078981200000000058e+02
1.500000000000000000e+01,1.111631699999999938e+02
1.600000000000000000e+01,1.142913099999999957e+02
1.700000000000000000e+01,1.172966799999999949e+02
1.800000000000000000e+01,1.201894499999999937e+02
1.900000000000000000e+01,1.229798799999999943e+02
2.000000000000000000e+01,1.256759899999999988e+02
2.100000000000000000e+01,1.282846399999999960e+02
2.200000000000000000e+01,1.308121800000000121e+02
2.300000000000000000e+01,1.332655200000000093e+02
2.400000000000000000e+01,1.356480999999999995e+02
2.500000000000000000e+01,1.379651599999999974e+02
2.600000000000000000e+01,1.402213299999999947e+02
2.700000000000000000e+01,1.424187900000000013e+02
2.800000000000000000e+01,1.445616599999999892e+02
2.900000000000000000e+01,1.466530199999999979e+02
3.000000000000000000e+01,1.486950500000000090e+02
3.100000000000000000e+01,1.506908099999999990e+02
3.200000000000000000e+01,1.526426500000000033e+02
3.300000000000000000e+01,1.545521400000000085e+02
3.400000000000000000e+01,1.564212799999999959e+02
3.500000000000000000e+01,1.582523199999999974e+02
3.600000000000000000e+01,1.600472100000000069e+02
3.700000000000000000e+01,1.618062600000000089e+02
3.800000000000000000e+01,1.635326799999999992e+02
3.900000000000000000e+01,1.652257999999999925e+02
4.000000000000000000e+01,1.668884899999999902e+02
4.100000000000000000e+01,1.685211799999999869e+02
4.200000000000000000e+01,1.701254399999999976e+02
4.300000000000000000e+01,1.717021300000000110e+02
4.400000000000000000e+01,1.732525200000000041e+02
4.500000000000000000e+01,1.747770800000000122e+02
