Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,2.54e+12,7.40e+13,1.0,0.0,824.5313292459398,3935.7573747998795,0.08268451342206652,0.7795865704253173,1.77e+05,1.89e+05,59838.944515616575,490293.08441952587,28074.093362134834,100000000.0,0.0011078345323546994,0.7662226154150075,0.45340763557241043,0.7864924820859374,0.94,0.9577078148529898,0.35485038623302234,1.889640360646978e-05,0.00010754503210253927,0.9491450381287231,1.636643370116271,0.0,0.0,1683.0,1235.0,
0,198.6879,2.54e+12,7.40e+13,1.0,0.0,824.5313292459398,3935.7573747998795,0.08268451342206652,0.7795865704253173,1.77e+05,1.89e+05,59838.944515616575,490293.08441952587,28074.093362134834,100000000.0,0.0011078345323546994,0.7662226154150075,0.45340763557241043,0.7864924820859374,0.94,0.9577078148529898,0.35485038623302234,1.889640360646978e-05,0.00010754503210253927,0.9491450381287231,1.636643370116271,0.0,0.0,1683.0,1235.0,
1,405.7964,2.54e+12,7.40e+13,1.0,0.0,824.5313292459398,3935.7573747998795,0.08268451342206652,0.7795865704253173,1.77e+05,1.89e+05,59838.944515616575,490293.08441952587,28074.093362134834,100000000.0,0.0011078345323546994,0.7662226154150075,0.45340763557241043,0.7864924820859374,0.94,0.9577078148529898,0.35485038623302234,1.889640360646978e-05,0.00010754503210253927,0.9491450381287231,1.636643370116271,0.0,0.0,1683.0,1235.0,
2,627.9007,2.54e+12,7.40e+13,1.0,0.0,824.5313292459398,3935.7573747998795,0.08268451342206652,0.7795865704253173,1.77e+05,1.89e+05,59838.944515616575,490293.08441952587,28074.093362134834,100000000.0,0.0011078345323546994,0.7662226154150075,0.45340763557241043,0.7864924820859374,0.94,0.9577078148529898,0.35485038623302234,1.889640360646978e-05,0.00010754503210253927,0.9491450381287231,1.636643370116271,0.0,0.0,1683.0,1235.0,
3,863.5252,2.54e+12,7.40e+13,1.0,0.0,824.5313292459398,3935.7573747998795,0.08268451342206652,0.7795865704253173,1.77e+05,1.89e+05,59838.944515616575,490293.08441952587,28074.093362134834,100000000.0,0.0011078345323546994,0.7662226154150075,0.45340763557241043,0.7864924820859374,0.94,0.9577078148529898,0.35485038623302234,1.889640360646978e-05,0.00010754503210253927,0.9491450381287231,1.636643370116271,0.0,0.0,1683.0,1235.0,
4,1100.0323,2.54e+12,7.40e+13,1.0,0.0,824.5313292459398,3935.7573747998795,0.08268451342206652,0.7795865704253173,1.77e+05,1.89e+05,59838.944515616575,490293.08441952587,28074.093362134834,100000000.0,0.0011078345323546994,0.7662226154150075,0.45340763557241043,0.7864924820859374,0.94,0.9577078148529898,0.35485038623302234,1.889640360646978e-05,0.00010754503210253927,0.9491450381287231,1.636643370116271,0.0,0.0,1683.0,1235.0,
5,1336.5560,2.34e+12,7.34e+13,1.0,0.0,729.5787338367909,2710.200576511462,0.11331681105502173,0.5813829713165515,1.78e+05,1.89e+05,178394.35184636316,487682.5881447402,16553.944422404056,100000000.0,0.0008950700471349174,0.7322549426859792,0.5110163832677255,0.8589809060693119,0.94,0.6034075420757264,0.18898851036736353,4.2774125737825826e-05,0.00041884376951151507,0.971602172261678,1.4848996115729038,0.0,0.0,1683.0,1235.0,
6,1591.2261,2.34e+12,7.34e+13,1.0,0.0,729.5787338367909,2710.200576511462,0.11331681105502173,0.5813829713165515,1.78e+05,1.89e+05,178394.35184636316,487682.5881447402,16553.944422404056,100000000.0,0.0008950700471349174,0.7322549426859792,0.5110163832677255,0.8589809060693119,0.94,0.6034075420757264,0.18898851036736353,4.2774125737825826e-05,0.00041884376951151507,0.971602172261678,1.4848996115729038,0.0,0.0,1683.0,1235.0,
7,1846.4788,2.44e+12,7.28e+13,1.0,0.0,427.1054203706958,1998.4694667682634,0.10725024732178345,0.6278358915620017,1.83e+05,1.94e+05,125420.81918740275,433984.37504233094,20299.12002452383,100000000.0,0.000878622782044174,0.7412807617683239,0.5098911879048856,0.7396295965381874,0.94,0.5664817177656658,0.15485267797075822,4.0685669256876e-05,0.000488496043492442,1.0140985791607655,1.53432875362885,0.0,0.0,1683.0,1235.0,
8,2105.8319,2.47e+12,7.02e+13,1.0,0.0,844.0018601322092,1577.729854919624,0.08559307033819774,0.8899131955779049,1.80e+05,1.92e+05,146438.79149569833,275534.43894264416,18924.491950792566,100000000.0,0.00037695262657756414,0.7381485291266113,0.4864663372815087,0.7554586799354587,0.94,0.6867560113626721,0.13219320331489023,2.4249786373971858e-05,0.0005405179813963785,1.0125685095506038,1.5640350847539948,0.0,0.0,1683.0,1235.0,
