# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000199999999850e+01
5.000000000000000000e+00,2.500001100000000065e+01
6.000000000000000000e+00,2.500005499999999969e+01
7.000000000000000000e+00,2.500020999999999916e+01
8.000000000000000000e+00,2.500066800000000100e+01
9.000000000000000000e+00,2.500183300000000131e+01
1.000000000000000000e+01,2.500443800000000039e+01
1.100000000000000000e+01,2.500965700000000069e+01
1.200000000000000000e+01,2.501917299999999855e+01
1.300000000000000000e+01,2.503520200000000173e+01
1.400000000000000000e+01,2.506045299999999898e+01
1.500000000000000000e+01,2.509804000000000102e+01
1.600000000000000000e+01,2.515136000000000038e+01
1.700000000000000000e+01,2.522398000000000096e+01
1.800000000000000000e+01,2.531951099999999855e+01
1.900000000000000000e+01,2.544150899999999993e+01
2.000000000000000000e+01,2.559338199999999830e+01
2.100000000000000000e+01,2.577832400000000135e+01
2.200000000000000000e+01,2.599927699999999930e+01
2.300000000000000000e+01,2.625888300000000086e+01
2.400000000000000000e+01,2.655947300000000055e+01
2.500000000000000000e+01,2.690306100000000100e+01
2.600000000000000000e+01,2.729134399999999872e+01
2.700000000000000000e+01,2.772569500000000176e+01
2.800000000000000000e+01,2.820718799999999860e+01
2.900000000000000000e+01,2.873661399999999944e+01
3.000000000000000000e+01,2.931447199999999853e+01
3.100000000000000000e+01,2.994102900000000034e+01
3.200000000000000000e+01,3.061630399999999952e+01
3.300000000000000000e+01,3.134014700000000175e+01
3.400000000000000000e+01,3.211220900000000000e+01
3.500000000000000000e+01,3.293202200000000346e+01
3.600000000000000000e+01,3.379897299999999660e+01
3.700000000000000000e+01,3.471236400000000089e+01
3.800000000000000000e+01,3.567142100000000227e+01
3.900000000000000000e+01,3.667527799999999871e+01
4.000000000000000000e+01,3.772304900000000316e+01
4.100000000000000000e+01,3.881376999999999811e+01
4.200000000000000000e+01,3.994646500000000344e+01
4.300000000000000000e+01,4.112009400000000170e+01
4.400000000000000000e+01,4.233363299999999896e+01
4.500000000000000000e+01,4.358602499999999935e+01
4.600000000000000000e+01,4.487616700000000236e+01
4.700000000000000000e+01,4.620296499999999895e+01
4.800000000000000000e+01,4.756532299999999935e+01
4.900000000000000000e+01,4.896212799999999987e+01
5.000000000000000000e+01,5.039225799999999822e+01
5.100000000000000000e+01,5.185457999999999856e+01
5.200000000000000000e+01,5.334798800000000085e+01
5.300000000000000000e+01,5.487133399999999739e+01
5.400000000000000000e+01,5.642351200000000233e+01
5.500000000000000000e+01,5.800341800000000347e+01
5.600000000000000000e+01,5.960993599999999759e+01
5.700000000000000000e+01,6.124196200000000090e+01
5.800000000000000000e+01,6.289840699999999885e+01
5.900000000000000000e+01,6.457817799999999409e+01
6.000000000000000000e+01,6.628021999999999991e+01
6.100000000000000000e+01,6.800346399999999392e+01
6.200000000000000000e+01,6.974687199999999621e+01
6.300000000000000000e+01,7.150937700000000063e+01
6.400000000000000000e+01,7.328999299999999550e+01
6.500000000000000000e+01,7.508766199999999458e+01
6.600000000000000000e+01,7.690143600000000390e+01
6.700000000000000000e+01,7.873030099999999720e+01
6.800000000000000000e+01,8.057334099999999921e+01
6.900000000000000000e+01,8.242960399999999765e+01
7.000000000000000000e+01,8.429814100000000110e+01
7.100000000000000000e+01,8.617809300000000405e+01
7.200000000000000000e+01,8.806856500000000665e+01
7.300000000000000000e+01,8.996869700000000591e+01
7.400000000000000000e+01,9.187766999999999484e+01
7.500000000000000000e+01,9.379469299999999521e+01
7.600000000000000000e+01,9.571897900000000448e+01
7.700000000000000000e+01,9.764978000000000691e+01
7.800000000000000000e+01,9.958634899999999845e+01
7.900000000000000000e+01,1.015280199999999979e+02
8.000000000000000000e+01,1.034740800000000007e+02
8.100000000000000000e+01,1.054239000000000033e+02
8.200000000000000000e+01,1.073768799999999999e+02
8.300000000000000000e+01,1.093324400000000054e+02
8.400000000000000000e+01,1.112900199999999984e+02
8.500000000000000000e+01,1.132490600000000001e+02
8.600000000000000000e+01,1.152090599999999938e+02
8.700000000000000000e+01,1.171695699999999931e+02
8.800000000000000000e+01,1.191301200000000051e+02
8.900000000000000000e+01,1.210902800000000070e+02
9.000000000000000000e+01,1.230496200000000044e+02
9.100000000000000000e+01,1.250077799999999968e+02
9.200000000000000000e+01,1.269643899999999945e+02
9.300000000000000000e+01,1.289191399999999987e+02
9.400000000000000000e+01,1.308717000000000041e+02
9.500000000000000000e+01,1.328217600000000118e+02
9.600000000000000000e+01,1.347690599999999961e+02
9.700000000000000000e+01,1.367133200000000102e+02
9.800000000000000000e+01,1.386542800000000000e+02
9.900000000000000000e+01,1.405917200000000093e+02
1.000000000000000000e+02,1.425254199999999969e+02
1.010000000000000000e+02,1.444551500000000033e+02
1.020000000000000000e+02,1.463807700000000125e+02
1.030000000000000000e+02,1.483020300000000020e+02
1.040000000000000000e+02,1.502187999999999874e+02
1.050000000000000000e+02,1.521308899999999937e+02
1.060000000000000000e+02,1.540380999999999858e+02
1.070000000000000000e+02,1.559403399999999920e+02
1.080000000000000000e+02,1.578374300000000119e+02
1.090000000000000000e+02,1.597292500000000075e+02
1.100000000000000000e+02,1.616156200000000069e+02
1.110000000000000000e+02,1.634964400000000069e+02
1.120000000000000000e+02,1.653715799999999945e+02
1.130000000000000000e+02,1.672408900000000074e+02
1.140000000000000000e+02,1.691042899999999918e+02
1.150000000000000000e+02,1.709616699999999980e+02
1.160000000000000000e+02,1.728128800000000069e+02
1.170000000000000000e+02,1.746578700000000026e+02
1.180000000000000000e+02,1.764965100000000007e+02
1.190000000000000000e+02,1.783286699999999882e+02
1.200000000000000000e+02,1.801543299999999874e+02
1.210000000000000000e+02,1.819733300000000042e+02
1.220000000000000000e+02,1.837856099999999913e+02
1.230000000000000000e+02,1.855910800000000052e+02
1.240000000000000000e+02,1.873896799999999985e+02
1.250000000000000000e+02,1.891812899999999900e+02
1.260000000000000000e+02,1.909658699999999953e+02
1.270000000000000000e+02,1.927433000000000050e+02
1.280000000000000000e+02,1.945135699999999872e+02
1.290000000000000000e+02,1.962765400000000113e+02
1.300000000000000000e+02,1.980321800000000110e+02
1.310000000000000000e+02,1.997804099999999892e+02
1.320000000000000000e+02,2.015211600000000089e+02
1.330000000000000000e+02,2.032543599999999913e+02
1.340000000000000000e+02,2.049799700000000087e+02
1.350000000000000000e+02,2.066978599999999915e+02
1.360000000000000000e+02,2.084080500000000029e+02
1.370000000000000000e+02,2.101104400000000112e+02
1.380000000000000000e+02,2.118049800000000005e+02
1.390000000000000000e+02,2.134915799999999990e+02
1.400000000000000000e+02,2.151701999999999941e+02
1.410000000000000000e+02,2.168408100000000047e+02
1.420000000000000000e+02,2.185033599999999865e+02
1.430000000000000000e+02,2.201577900000000056e+02
1.440000000000000000e+02,2.218040499999999895e+02
1.450000000000000000e+02,2.234421399999999949e+02
1.460000000000000000e+02,2.250719899999999996e+02
1.470000000000000000e+02,2.266936200000000099e+02
1.480000000000000000e+02,2.283069800000000100e+02
1.490000000000000000e+02,2.299120599999999968e+02
1.500000000000000000e+02,2.315088800000000049e+02
1.510000000000000000e+02,2.330974099999999964e+02
1.520000000000000000e+02,2.346776600000000030e+02
1.530000000000000000e+02,2.362496299999999962e+02
1.540000000000000000e+02,2.378133699999999919e+02
1.550000000000000000e+02,2.393688400000000058e+02
1.560000000000000000e+02,2.409160599999999874e+02
1.570000000000000000e+02,2.424551099999999906e+02
1.580000000000000000e+02,2.439859500000000025e+02
1.590000000000000000e+02,2.455086200000000076e+02
1.600000000000000000e+02,2.470231300000000090e+02
1.610000000000000000e+02,2.485294800000000066e+02
1.620000000000000000e+02,2.500276800000000037e+02
1.630000000000000000e+02,2.515177300000000002e+02
1.640000000000000000e+02,2.529995999999999867e+02
1.650000000000000000e+02,2.544733099999999979e+02
1.660000000000000000e+02,2.559388099999999895e+02
1.670000000000000000e+02,2.573960599999999772e+02
1.680000000000000000e+02,2.588450300000000084e+02
1.690000000000000000e+02,2.602856800000000135e+02
1.700000000000000000e+02,2.617179300000000239e+02
1.710000000000000000e+02,2.631417200000000207e+02
1.720000000000000000e+02,2.645570399999999722e+02
1.730000000000000000e+02,2.659637099999999919e+02
1.740000000000000000e+02,2.673617199999999912e+02
1.750000000000000000e+02,2.687509800000000268e+02
1.760000000000000000e+02,2.701313499999999976e+02
1.770000000000000000e+02,2.715027799999999729e+02
1.780000000000000000e+02,2.728651399999999967e+02
1.790000000000000000e+02,2.742183200000000056e+02
1.800000000000000000e+02,2.755622299999999996e+02
1.810000000000000000e+02,2.768967599999999720e+02
1.820000000000000000e+02,2.782217699999999923e+02
1.830000000000000000e+02,2.795371400000000222e+02
1.840000000000000000e+02,2.808427399999999921e+02
1.850000000000000000e+02,2.821384600000000091e+02
1.860000000000000000e+02,2.834241599999999721e+02
1.870000000000000000e+02,2.846997400000000198e+02
1.880000000000000000e+02,2.859649999999999750e+02
1.890000000000000000e+02,2.872198200000000270e+02
1.900000000000000000e+02,2.884640800000000240e+02
1.910000000000000000e+02,2.896976300000000037e+02
1.920000000000000000e+02,2.909202900000000227e+02
1.930000000000000000e+02,2.921319599999999923e+02
1.940000000000000000e+02,2.933324299999999880e+02
1.950000000000000000e+02,2.945216100000000097e+02
1.960000000000000000e+02,2.956993100000000254e+02
1.970000000000000000e+02,2.968653600000000097e+02
1.980000000000000000e+02,2.980196199999999749e+02
1.990000000000000000e+02,2.991619600000000219e+02
2.000000000000000000e+02,3.002921099999999797e+02
2.010000000000000000e+02,3.014100300000000061e+02
2.020000000000000000e+02,3.025154999999999745e+02
2.030000000000000000e+02,3.036084000000000174e+02
2.040000000000000000e+02,3.046884800000000268e+02
2.050000000000000000e+02,3.057556799999999839e+02
2.060000000000000000e+02,3.068097799999999893e+02
2.070000000000000000e+02,3.078506499999999733e+02
2.080000000000000000e+02,3.088781399999999735e+02
2.090000000000000000e+02,3.098920899999999961e+02
2.100000000000000000e+02,3.108924000000000092e+02
2.110000000000000000e+02,3.118788499999999999e+02
2.120000000000000000e+02,3.128514099999999871e+02
2.130000000000000000e+02,3.138098400000000083e+02
2.140000000000000000e+02,3.147541499999999814e+02
2.150000000000000000e+02,3.156841400000000135e+02
2.160000000000000000e+02,3.165996999999999844e+02
2.170000000000000000e+02,3.175008199999999761e+02
2.180000000000000000e+02,3.183873600000000010e+02
2.190000000000000000e+02,3.192592500000000086e+02
2.200000000000000000e+02,3.201164600000000178e+02
2.210000000000000000e+02,3.209588899999999967e+02
2.220000000000000000e+02,3.217865899999999897e+02
2.230000000000000000e+02,3.225995199999999841e+02
2.240000000000000000e+02,3.233976400000000240e+02
2.250000000000000000e+02,3.241809700000000021e+02
2.260000000000000000e+02,3.249495800000000258e+02
2.270000000000000000e+02,3.257034600000000069e+02
2.280000000000000000e+02,3.264427200000000084e+02
2.290000000000000000e+02,3.271674199999999928e+02
2.300000000000000000e+02,3.278775899999999979e+02
2.310000000000000000e+02,3.285734299999999735e+02
2.320000000000000000e+02,3.292549700000000144e+02
2.330000000000000000e+02,3.299224199999999882e+02
2.340000000000000000e+02,3.305759300000000280e+02
2.350000000000000000e+02,3.312156100000000265e+02
2.360000000000000000e+02,3.318417400000000157e+02
2.370000000000000000e+02,3.324544399999999769e+02
2.380000000000000000e+02,3.330539899999999989e+02
2.390000000000000000e+02,3.336405599999999936e+02
2.400000000000000000e+02,3.342144200000000183e+02
2.410000000000000000e+02,3.347758200000000102e+02
2.420000000000000000e+02,3.353250699999999824e+02
2.430000000000000000e+02,3.358623699999999985e+02
2.440000000000000000e+02,3.363880599999999959e+02
2.450000000000000000e+02,3.369024400000000128e+02
2.460000000000000000e+02,3.374057599999999866e+02
2.470000000000000000e+02,3.378983799999999746e+02
2.480000000000000000e+02,3.383806200000000217e+02
2.490000000000000000e+02,3.388527500000000146e+02
2.500000000000000000e+02,3.393151599999999917e+02
2.510000000000000000e+02,3.397681600000000230e+02
2.520000000000000000e+02,3.402120699999999829e+02
2.530000000000000000e+02,3.406472200000000043e+02
2.540000000000000000e+02,3.410739699999999743e+02
2.550000000000000000e+02,3.414926500000000260e+02
2.560000000000000000e+02,3.419035900000000083e+02
2.570000000000000000e+02,3.423071299999999724e+02
2.580000000000000000e+02,3.427035799999999881e+02
2.590000000000000000e+02,3.430932900000000245e+02
2.600000000000000000e+02,3.434765600000000063e+02
2.610000000000000000e+02,3.438537600000000225e+02
2.620000000000000000e+02,3.442251899999999978e+02
2.630000000000000000e+02,3.445911300000000210e+02
2.640000000000000000e+02,3.449519300000000044e+02
2.650000000000000000e+02,3.453078600000000051e+02
2.660000000000000000e+02,3.456592400000000112e+02
2.670000000000000000e+02,3.460063200000000165e+02
2.680000000000000000e+02,3.463494299999999839e+02
2.690000000000000000e+02,3.466887800000000084e+02
2.700000000000000000e+02,3.470247200000000021e+02
2.710000000000000000e+02,3.473574499999999716e+02
2.720000000000000000e+02,3.476872299999999996e+02
2.730000000000000000e+02,3.480143400000000042e+02
2.740000000000000000e+02,3.483390200000000050e+02
2.750000000000000000e+02,3.486614400000000273e+02
2.760000000000000000e+02,3.489818700000000149e+02
2.770000000000000000e+02,3.493005099999999743e+02
2.780000000000000000e+02,3.496176100000000133e+02
2.790000000000000000e+02,3.499333500000000186e+02
2.800000000000000000e+02,3.502479200000000219e+02
2.810000000000000000e+02,3.505615199999999732e+02
2.820000000000000000e+02,3.508743299999999863e+02
2.830000000000000000e+02,3.511864899999999921e+02
2.840000000000000000e+02,3.514982600000000161e+02
2.850000000000000000e+02,3.518097500000000082e+02
2.860000000000000000e+02,3.521211200000000190e+02
2.870000000000000000e+02,3.524325299999999856e+02
2.880000000000000000e+02,3.527441099999999778e+02
2.890000000000000000e+02,3.530560300000000211e+02
2.900000000000000000e+02,3.533684700000000021e+02
2.910000000000000000e+02,3.536814600000000155e+02
2.920000000000000000e+02,3.539952099999999859e+02
2.930000000000000000e+02,3.543098100000000272e+02
