# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997499999999917e+01
2.000000000000000000e+00,6.218755699999999820e+01
3.000000000000000000e+00,8.523934900000000425e+01
4.000000000000000000e+00,1.040871400000000051e+02
5.000000000000000000e+00,1.200115100000000012e+02
6.000000000000000000e+00,1.340418999999999983e+02
7.000000000000000000e+00,1.466343200000000024e+02
8.000000000000000000e+00,1.581122900000000016e+02
9.000000000000000000e+00,1.686844199999999887e+02
1.000000000000000000e+01,1.785032500000000084e+02
1.100000000000000000e+01,1.876824000000000012e+02
1.200000000000000000e+01,1.963101800000000026e+02
1.300000000000000000e+01,2.044585099999999898e+02
1.400000000000000000e+01,2.121906700000000114e+02
1.500000000000000000e+01,2.195635499999999922e+02
1.600000000000000000e+01,2.266363399999999899e+02
1.700000000000000000e+01,2.334738000000000113e+02
1.800000000000000000e+01,2.401490000000000009e+02
1.900000000000000000e+01,2.467410099999999886e+02
2.000000000000000000e+01,2.533223399999999970e+02
2.100000000000000000e+01,2.599270599999999831e+02
2.200000000000000000e+01,2.665228599999999801e+02
2.300000000000000000e+01,2.730037800000000061e+02
2.400000000000000000e+01,2.792274199999999951e+02
2.500000000000000000e+01,2.850908200000000079e+02
2.600000000000000000e+01,2.905652799999999729e+02
2.700000000000000000e+01,2.956723299999999881e+02
2.800000000000000000e+01,3.004611199999999940e+02
2.900000000000000000e+01,3.049816299999999956e+02
3.000000000000000000e+01,3.092709699999999771e+02
3.100000000000000000e+01,3.133614799999999718e+02
3.200000000000000000e+01,3.172789599999999837e+02
3.300000000000000000e+01,3.210387299999999868e+02
3.400000000000000000e+01,3.246560999999999808e+02
3.500000000000000000e+01,3.281450500000000261e+02
3.600000000000000000e+01,3.315093400000000088e+02
3.700000000000000000e+01,3.347568099999999731e+02
3.800000000000000000e+01,3.378956299999999828e+02
3.900000000000000000e+01,3.409242199999999912e+02
4.000000000000000000e+01,3.438474400000000060e+02
4.100000000000000000e+01,3.466710199999999986e+02
4.200000000000000000e+01,3.493917200000000207e+02
4.300000000000000000e+01,3.520127600000000143e+02
4.400000000000000000e+01,3.545404399999999896e+02
4.500000000000000000e+01,3.569710999999999785e+02
4.600000000000000000e+01,3.593084400000000187e+02
4.700000000000000000e+01,3.615588399999999751e+02
4.800000000000000000e+01,3.637182000000000244e+02
4.900000000000000000e+01,3.657925099999999929e+02
5.000000000000000000e+01,3.677894299999999816e+02
5.100000000000000000e+01,3.697036100000000260e+02
5.200000000000000000e+01,3.715421799999999735e+02
5.300000000000000000e+01,3.733151599999999917e+02
5.400000000000000000e+01,3.750180100000000039e+02
5.500000000000000000e+01,3.766578099999999836e+02
5.600000000000000000e+01,3.782470999999999890e+02
5.700000000000000000e+01,3.797788400000000024e+02
5.800000000000000000e+01,3.812629999999999768e+02
5.900000000000000000e+01,3.827107199999999807e+02
