Loop,Time,r0-A,r1-A,p0-C0,p1-C0,p0-Cpa,p1-Cpa,p0-Cpb,p1-Cpb,r0-E,r1-E,r0-Hp,r1-Hp,p0-K,p1-K,Value,r0-Xi,r1-Xi,p0-eps,p1-eps,p0-ka,p1-ka,p0-kb,p1-kb,r0-n,r1-n,r0-nO2,r1-nO2,p0-rho,p1-rho,
-1,0,6.86e+11,2.03e+13,1.0,0.0,3255.535930334845,1731.010522543002,0.13575579993705642,0.775343013303188,1.16e+05,6.58e+05,43195.951979922145,531056.0461619941,8812.419995102427,100000000.0,0.008774242402956538,0.5755789086275055,0.28335781995062137,0.6195721194788224,0.94,0.13843130835257803,0.2529368390553867,1.4751233662418648e-05,0.0010659488058436287,3.3179683174416623,5.3017119187124155,0.0,0.0,1683.0,1235.0,
0,538.9710,9.80e+11,2.94e+13,1.0,0.0,2306.9027159192274,1882.3265502305162,0.134055851142253,0.4644560821231135,4.92e+05,1.49e+05,168229.55981028767,414792.47149763687,17793.732117457435,100000000.0,0.005585357692193146,0.5723828651752738,0.5807141395302811,0.7121408520212109,0.94,0.711604942182403,0.18442422299580963,6.346942560822706e-05,0.00041075945302131156,2.5984588541365046,1.0801109914099492,0.0,0.0,1683.0,1235.0,
1,1090.7750,3.68e+12,5.32e+13,1.0,0.0,1763.92608607191,2714.5310503781375,0.05066896255215163,0.47681128014327134,1.50e+05,4.99e+05,196908.53183090704,473428.48313254956,29730.883625880437,100000000.0,0.0045808793462968605,0.5797465001651625,0.578117480827754,0.6311516921321033,0.94,0.46666319239482545,0.22202178818963125,3.8038344348625166e-05,0.0006832041159692535,2.846274582522,2.6108332108111694,0.0,0.0,1683.0,1235.0,
2,1651.1820,3.68e+12,5.32e+13,1.0,0.0,1763.92608607191,2714.5310503781375,0.05066896255215163,0.47681128014327134,1.50e+05,4.99e+05,196908.53183090704,473428.48313254956,29730.883625880437,100000000.0,0.0045808793462968605,0.5797465001651625,0.578117480827754,0.6311516921321033,0.94,0.46666319239482545,0.22202178818963125,3.8038344348625166e-05,0.0006832041159692535,2.846274582522,2.6108332108111694,0.0,0.0,1683.0,1235.0,
3,2235.4950,4.69e+12,7.23e+13,1.0,0.0,1441.7553656644643,2701.9033320554327,0.07840340637550273,0.6225370555779609,1.54e+05,4.66e+05,182774.50711050976,509233.0795109325,20468.163994111583,100000000.0,0.003182623060039547,0.5813627263755771,0.6421690380474905,0.7588753836811536,0.94,0.24923954563087236,0.1481191360539856,5.1573160703928594e-05,0.0002512943703389248,1.4543367246158545,4.275823203661473,0.0,0.0,1683.0,1235.0,
4,2837.2590,4.69e+12,7.23e+13,1.0,0.0,1441.7553656644643,2701.9033320554327,0.07840340637550273,0.6225370555779609,1.54e+05,4.66e+05,182774.50711050976,509233.0795109325,20468.163994111583,100000000.0,0.003182623060039547,0.5813627263755771,0.6421690380474905,0.7588753836811536,0.94,0.24923954563087236,0.1481191360539856,5.1573160703928594e-05,0.0002512943703389248,1.4543367246158545,4.275823203661473,0.0,0.0,1683.0,1235.0,
5,3444.7360,4.69e+12,7.23e+13,1.0,0.0,1441.7553656644643,2701.9033320554327,0.07840340637550273,0.6225370555779609,1.54e+05,4.66e+05,182774.50711050976,509233.0795109325,20468.163994111583,100000000.0,0.003182623060039547,0.5813627263755771,0.6421690380474905,0.7588753836811536,0.94,0.24923954563087236,0.1481191360539856,5.1573160703928594e-05,0.0002512943703389248,1.4543367246158545,4.275823203661473,0.0,0.0,1683.0,1235.0,
6,4044.6300,2.47e+12,1.25e+14,1.0,0.0,2005.5391721132132,2002.3840287533549,0.0840402629996472,0.4413902993342218,1.31e+05,1.84e+05,185674.6561533403,416379.95883254346,19244.499838399395,100000000.0,0.003090704848322773,0.5788775738982483,0.4560480937926017,0.5840786707212118,0.94,0.4886110105324396,0.12716239923423525,5.522744371082589e-05,0.0003483709683753726,2.2916998276516916,3.0182807216689214,0.0,0.0,1683.0,1235.0,
7,4646.9420,2.47e+12,1.25e+14,1.0,0.0,2005.5391721132132,2002.3840287533549,0.0840402629996472,0.4413902993342218,1.31e+05,1.84e+05,185674.6561533403,416379.95883254346,19244.499838399395,100000000.0,0.003090704848322773,0.5788775738982483,0.4560480937926017,0.5840786707212118,0.94,0.4886110105324396,0.12716239923423525,5.522744371082589e-05,0.0003483709683753726,2.2916998276516916,3.0182807216689214,0.0,0.0,1683.0,1235.0,
8,5259.7060,3.82e+12,1.51e+14,1.0,0.0,1410.023895046641,2391.2490239210038,0.07146334253434937,0.5178052652409681,2.05e+05,1.60e+05,174291.4712305094,199922.3038607362,17543.058848785982,100000000.0,0.0023993074299529815,0.6038929661633172,0.5806868153314622,0.7139929681092043,0.94,0.4426984603981676,0.1717503822353692,3.064800303901702e-05,0.00040298618992787977,2.2414771587159192,3.8027308540760303,0.0,0.0,1683.0,1235.0,
