# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.762023300960968902e-02
6.000000000000000000e+00,4.924209937913938406e-02
7.000000000000000000e+00,8.022000773584055111e-02
8.000000000000000000e+00,1.209633391200018310e-01
9.000000000000000000e+00,1.727895684146384947e-01
1.000000000000000000e+01,2.359395727700121792e-01
1.100000000000000000e+01,3.100110265658061470e-01
1.200000000000000000e+01,3.942156964395376328e-01
1.300000000000000000e+01,4.874664102345806493e-01
1.400000000000000000e+01,5.885693084533700770e-01
1.500000000000000000e+01,6.963099358598461297e-01
1.600000000000000000e+01,8.095184438772887736e-01
1.700000000000000000e+01,9.271237418246597306e-01
1.800000000000000000e+01,1.048169613477454298e+00
1.900000000000000000e+01,1.171818553217697900e+00
2.000000000000000000e+01,1.297344669685945640e+00
2.100000000000000000e+01,1.424128640148219160e+00
2.200000000000000000e+01,1.551644240205277692e+00
2.300000000000000000e+01,1.679443704189864217e+00
2.400000000000000000e+01,1.807151231596004548e+00
2.500000000000000000e+01,1.934447917704562814e+00
2.600000000000000000e+01,2.061076457516808791e+00
2.700000000000000000e+01,2.186813410963651005e+00
2.800000000000000000e+01,2.311477567521230014e+00
2.900000000000000000e+01,2.434925250881199155e+00
3.000000000000000000e+01,2.557035266986164679e+00
3.100000000000000000e+01,2.677714775439669292e+00
3.200000000000000000e+01,2.796889639534012595e+00
3.300000000000000000e+01,2.914504089673584986e+00
3.400000000000000000e+01,3.030515278690539827e+00
3.500000000000000000e+01,3.144893669341890963e+00
3.600000000000000000e+01,3.257623414420193431e+00
3.700000000000000000e+01,3.374761939371274444e+00
3.800000000000000000e+01,3.486240566677860198e+00
3.900000000000000000e+01,3.595060947375191773e+00
4.000000000000000000e+01,3.701861721415575346e+00
4.100000000000000000e+01,3.806763506693982446e+00
4.200000000000000000e+01,3.909854143801316351e+00
4.300000000000000000e+01,4.011189413345499943e+00
4.400000000000000000e+01,4.110817201832967172e+00
4.500000000000000000e+01,4.208771848507645075e+00
4.600000000000000000e+01,4.305088778607196964e+00
4.700000000000000000e+01,4.399797228623589795e+00
4.800000000000000000e+01,4.492926159428174415e+00
4.900000000000000000e+01,4.584503743476677329e+00
5.000000000000000000e+01,4.674555656415203764e+00
5.100000000000000000e+01,4.763107434283995190e+00
5.200000000000000000e+01,4.850184509787756504e+00
5.300000000000000000e+01,4.935808992332884060e+00
5.400000000000000000e+01,5.020004354290705351e+00
5.500000000000000000e+01,5.102796530347316839e+00
5.600000000000000000e+01,5.184207246566463922e+00
5.700000000000000000e+01,5.264257526959315925e+00
5.800000000000000000e+01,5.342973792611584116e+00
5.900000000000000000e+01,5.420379944342270662e+00
6.000000000000000000e+01,5.496499911815193151e+00
6.100000000000000000e+01,5.571356746872095478e+00
6.200000000000000000e+01,5.644977781225067659e+00
6.300000000000000000e+01,5.717386657610978418e+00
6.400000000000000000e+01,5.788608142499469089e+00
6.500000000000000000e+01,5.858669218950327107e+00
6.600000000000000000e+01,5.927593606153029882e+00
6.700000000000000000e+01,5.995407058798525313e+00
6.800000000000000000e+01,6.062134071167592175e+00
6.900000000000000000e+01,6.127799936795341296e+00
7.000000000000000000e+01,6.192430661573412820e+00
7.100000000000000000e+01,6.256050978851681599e+00
7.200000000000000000e+01,6.318681988935613170e+00
7.300000000000000000e+01,6.380348993265726243e+00
7.400000000000000000e+01,6.441076141725406323e+00
7.500000000000000000e+01,6.500883727630663245e+00
7.600000000000000000e+01,6.559794016574045372e+00
7.700000000000000000e+01,6.617829725268014940e+00
7.800000000000000000e+01,6.675010034122991875e+00
7.900000000000000000e+01,6.731355268534299441e+00
8.000000000000000000e+01,6.786885781956423003e+00
8.100000000000000000e+01,6.841618948470730821e+00
8.200000000000000000e+01,6.895575054805737736e+00
8.300000000000000000e+01,6.948770043578771372e+00
8.400000000000000000e+01,7.001222285617885177e+00
8.500000000000000000e+01,7.052947457777063889e+00
8.600000000000000000e+01,7.103962911366575206e+00
8.700000000000000000e+01,7.154283436962376008e+00
8.800000000000000000e+01,7.203924599439601728e+00
8.900000000000000000e+01,7.252902240553114943e+00
9.000000000000000000e+01,7.301229387529741821e+00
9.100000000000000000e+01,7.348921639196423605e+00
9.200000000000000000e+01,7.395991224998979874e+00
9.300000000000000000e+01,7.442452712375187573e+00
9.400000000000000000e+01,7.488316810627295261e+00
9.500000000000000000e+01,7.533597205218740100e+00
9.600000000000000000e+01,7.578305287238901400e+00
9.700000000000000000e+01,7.622452908043233499e+00
9.800000000000000000e+01,7.666050163584637644e+00
9.900000000000000000e+01,7.709108251952763169e+00
1.000000000000000000e+02,7.751638829770589822e+00
1.010000000000000000e+02,7.793651098967224300e+00
1.020000000000000000e+02,7.835155180881851145e+00
1.030000000000000000e+02,7.876159616618608084e+00
1.040000000000000000e+02,7.916674064695664370e+00
1.050000000000000000e+02,7.956708321646180693e+00
1.060000000000000000e+02,7.996270303494050324e+00
1.070000000000000000e+02,8.035369402815280893e+00
1.080000000000000000e+02,8.074012109864520781e+00
1.090000000000000000e+02,8.112206776211843717e+00
1.100000000000000000e+02,8.149963000637679755e+00
1.110000000000000000e+02,8.187286684590871388e+00
1.120000000000000000e+02,8.224184700364144618e+00
1.130000000000000000e+02,8.260665535130288006e+00
1.140000000000000000e+02,8.296735310904450600e+00
1.150000000000000000e+02,8.332399911202072573e+00
1.160000000000000000e+02,8.367666329618023369e+00
1.170000000000000000e+02,8.402541464240760760e+00
1.180000000000000000e+02,8.437030149880710539e+00
1.190000000000000000e+02,8.471138505242754135e+00
1.200000000000000000e+02,8.504872588042266202e+00
1.210000000000000000e+02,8.538237274773839758e+00
1.220000000000000000e+02,8.571242203069569854e+00
1.230000000000000000e+02,8.603886569671161055e+00
1.240000000000000000e+02,8.636177416024436226e+00
1.250000000000000000e+02,8.668119989829419225e+00
1.260000000000000000e+02,8.699720596198558198e+00
1.270000000000000000e+02,8.730984871892033539e+00
1.280000000000000000e+02,8.761920250316336478e+00
1.290000000000000000e+02,8.792532720737966656e+00
1.300000000000000000e+02,8.822829135851401716e+00
1.310000000000000000e+02,8.852814047592627134e+00
1.320000000000000000e+02,8.882492011469647508e+00
1.330000000000000000e+02,8.911866408332382861e+00
1.340000000000000000e+02,8.940941240763642384e+00
1.350000000000000000e+02,8.969719076749832709e+00
1.360000000000000000e+02,8.998202107895385993e+00
1.370000000000000000e+02,9.026392736079751344e+00
1.380000000000000000e+02,9.054293138693044085e+00
1.390000000000000000e+02,9.081905417570926176e+00
1.400000000000000000e+02,9.109231742451267877e+00
1.410000000000000000e+02,9.136275470994505099e+00
1.420000000000000000e+02,9.163038186442635791e+00
1.430000000000000000e+02,9.189522660389473074e+00
1.440000000000000000e+02,9.215730338005739597e+00
1.450000000000000000e+02,9.241664116879725555e+00
1.460000000000000000e+02,9.267326534862563747e+00
1.470000000000000000e+02,9.292719509337111106e+00
1.480000000000000000e+02,9.317844893666057615e+00
1.490000000000000000e+02,9.342705283740988520e+00
1.500000000000000000e+02,9.367302130975307506e+00
1.510000000000000000e+02,9.391637497740756402e+00
1.520000000000000000e+02,9.415712985483610353e+00
1.530000000000000000e+02,9.439530797631153547e+00
1.540000000000000000e+02,9.463090979616223919e+00
1.550000000000000000e+02,9.486395894896761050e+00
1.560000000000000000e+02,9.509445508171937789e+00
1.570000000000000000e+02,9.532241565738495126e+00
1.580000000000000000e+02,9.554783065176327028e+00
1.590000000000000000e+02,9.577071935097011490e+00
1.600000000000000000e+02,9.599107123106019657e+00
1.610000000000000000e+02,9.620888331121147274e+00
1.620000000000000000e+02,9.642415871746933931e+00
1.630000000000000000e+02,9.663689275420901836e+00
1.640000000000000000e+02,9.684706807835315345e+00
1.650000000000000000e+02,9.705467733238066330e+00
1.660000000000000000e+02,9.725971054721824771e+00
1.670000000000000000e+02,9.746215642126969669e+00
1.680000000000000000e+02,9.766199374774695130e+00
1.690000000000000000e+02,9.785920749577345035e+00
1.700000000000000000e+02,9.805377528130344800e+00
1.710000000000000000e+02,9.824567841460675410e+00
1.720000000000000000e+02,9.843489214980550628e+00
1.730000000000000000e+02,9.862138819350965591e+00
1.740000000000000000e+02,9.880514554660871696e+00
1.750000000000000000e+02,9.898613243264863470e+00
1.760000000000000000e+02,9.916432909483724245e+00
1.770000000000000000e+02,9.933969197765193826e+00
1.780000000000000000e+02,9.951219904510420378e+00
1.790000000000000000e+02,9.968182347051202541e+00
1.800000000000000000e+02,9.984852900424607824e+00
1.810000000000000000e+02,1.000122900050585351e+01
1.820000000000000000e+02,1.001730714149555190e+01
1.830000000000000000e+02,1.003308428439520128e+01
