# Time [s], Temperature [C]
1.000000000000000000e+00,2.499997099999999861e+01
2.000000000000000000e+00,6.664508800000000122e+01
3.000000000000000000e+00,9.031210299999999336e+01
4.000000000000000000e+00,1.095527199999999937e+02
5.000000000000000000e+00,1.255645499999999970e+02
6.000000000000000000e+00,1.395895099999999900e+02
7.000000000000000000e+00,1.521056100000000129e+02
8.000000000000000000e+00,1.634698899999999924e+02
9.000000000000000000e+00,1.739043900000000065e+02
1.000000000000000000e+01,1.835710100000000011e+02
1.100000000000000000e+01,1.925887099999999919e+02
1.200000000000000000e+01,2.010482299999999896e+02
1.300000000000000000e+01,2.090250200000000120e+02
1.400000000000000000e+01,2.165803999999999974e+02
1.500000000000000000e+01,2.237697000000000003e+02
1.600000000000000000e+01,2.306433299999999917e+02
1.700000000000000000e+01,2.372536299999999869e+02
1.800000000000000000e+01,2.436455799999999954e+02
1.900000000000000000e+01,2.498604699999999923e+02
2.000000000000000000e+01,2.559190099999999859e+02
2.100000000000000000e+01,2.618144199999999842e+02
2.200000000000000000e+01,2.675181600000000230e+02
2.300000000000000000e+01,2.729965199999999754e+02
2.400000000000000000e+01,2.782211599999999976e+02
2.500000000000000000e+01,2.831885399999999890e+02
2.600000000000000000e+01,2.879084799999999973e+02
2.700000000000000000e+01,2.923971300000000042e+02
2.800000000000000000e+01,2.966700999999999908e+02
2.900000000000000000e+01,3.007435300000000211e+02
3.000000000000000000e+01,3.046242100000000050e+02
3.100000000000000000e+01,3.083204000000000065e+02
3.200000000000000000e+01,3.118385599999999727e+02
3.300000000000000000e+01,3.151788300000000049e+02
3.400000000000000000e+01,3.183445699999999761e+02
3.500000000000000000e+01,3.213401799999999753e+02
3.600000000000000000e+01,3.241645199999999818e+02
3.700000000000000000e+01,3.268239100000000121e+02
3.800000000000000000e+01,3.293255899999999770e+02
3.900000000000000000e+01,3.316715100000000120e+02
4.000000000000000000e+01,3.338716099999999756e+02
4.100000000000000000e+01,3.356986999999999739e+02
4.200000000000000000e+01,3.363907500000000255e+02
4.300000000000000000e+01,3.382805799999999863e+02
4.400000000000000000e+01,3.399287100000000237e+02
4.500000000000000000e+01,3.415761999999999716e+02
4.600000000000000000e+01,3.431301000000000272e+02
4.700000000000000000e+01,3.446262800000000084e+02
4.800000000000000000e+01,3.460581399999999803e+02
4.900000000000000000e+01,3.474403100000000109e+02
5.000000000000000000e+01,3.487781100000000265e+02
5.100000000000000000e+01,3.500772400000000175e+02
5.200000000000000000e+01,3.513448799999999892e+02
5.300000000000000000e+01,3.525882899999999722e+02
5.400000000000000000e+01,3.538076199999999858e+02
5.500000000000000000e+01,3.550115999999999872e+02
5.600000000000000000e+01,3.562015099999999848e+02
5.700000000000000000e+01,3.573797599999999761e+02
5.800000000000000000e+01,3.585479100000000017e+02
5.900000000000000000e+01,3.597099900000000048e+02
6.000000000000000000e+01,3.608655699999999911e+02
6.100000000000000000e+01,3.620163299999999822e+02
6.200000000000000000e+01,3.631629899999999793e+02
6.300000000000000000e+01,3.643058199999999829e+02
6.400000000000000000e+01,3.654462300000000141e+02
6.500000000000000000e+01,3.665820299999999747e+02
6.600000000000000000e+01,3.677138400000000047e+02
6.700000000000000000e+01,3.688399699999999939e+02
6.800000000000000000e+01,3.699639000000000237e+02
6.900000000000000000e+01,3.710831000000000017e+02
7.000000000000000000e+01,3.721938499999999976e+02
7.100000000000000000e+01,3.733005099999999743e+02
7.200000000000000000e+01,3.743987399999999752e+02
7.300000000000000000e+01,3.754923699999999940e+02
7.400000000000000000e+01,3.765757100000000150e+02
7.500000000000000000e+01,3.776520100000000184e+02
7.600000000000000000e+01,3.787189900000000193e+02
7.700000000000000000e+01,3.797814000000000192e+02
7.800000000000000000e+01,3.808322099999999750e+02
7.900000000000000000e+01,3.818779000000000110e+02
8.000000000000000000e+01,3.829114999999999895e+02
8.100000000000000000e+01,3.839388400000000274e+02
8.200000000000000000e+01,3.849606299999999806e+02
8.300000000000000000e+01,3.859721400000000244e+02
8.400000000000000000e+01,3.869811700000000201e+02
8.500000000000000000e+01,3.879801899999999932e+02
8.600000000000000000e+01,3.889783600000000092e+02
8.700000000000000000e+01,3.899637500000000045e+02
8.800000000000000000e+01,3.909509899999999902e+02
8.900000000000000000e+01,3.919293499999999995e+02
9.000000000000000000e+01,3.929073200000000270e+02
9.100000000000000000e+01,3.938738099999999918e+02
9.200000000000000000e+01,3.948447600000000079e+02
9.300000000000000000e+01,3.958094800000000077e+02
9.400000000000000000e+01,3.967660799999999881e+02
9.500000000000000000e+01,3.977252799999999979e+02
9.600000000000000000e+01,3.986754199999999742e+02
9.700000000000000000e+01,3.996261900000000082e+02
9.800000000000000000e+01,4.005705899999999815e+02
9.900000000000000000e+01,4.015117799999999875e+02
1.000000000000000000e+02,4.024504099999999767e+02
1.010000000000000000e+02,4.033794300000000135e+02
1.020000000000000000e+02,4.043149099999999976e+02
1.030000000000000000e+02,4.052388599999999883e+02
1.040000000000000000e+02,4.061624100000000226e+02
1.050000000000000000e+02,4.062233600000000138e+02
1.060000000000000000e+02,4.010319799999999759e+02
1.070000000000000000e+02,4.019060400000000186e+02
1.080000000000000000e+02,4.021543300000000158e+02
1.090000000000000000e+02,4.030774200000000178e+02
1.100000000000000000e+02,4.039052399999999921e+02
1.110000000000000000e+02,4.048708799999999997e+02
1.120000000000000000e+02,4.058201599999999871e+02
1.130000000000000000e+02,4.067957200000000171e+02
1.140000000000000000e+02,4.077695600000000127e+02
1.150000000000000000e+02,4.087468900000000076e+02
1.160000000000000000e+02,4.097194200000000137e+02
1.170000000000000000e+02,4.106911900000000060e+02
1.180000000000000000e+02,4.116526799999999753e+02
1.190000000000000000e+02,4.126148999999999774e+02
1.200000000000000000e+02,4.135677800000000275e+02
1.210000000000000000e+02,4.145176399999999717e+02
