# Time [s], Temperature [C]
1.000000000000000000e+00,2.500000000000000000e+01
2.000000000000000000e+00,2.500000000000000000e+01
3.000000000000000000e+00,2.500000000000000000e+01
4.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,2.500000599999999906e+01
6.000000000000000000e+00,2.500002900000000139e+01
7.000000000000000000e+00,2.500012200000000107e+01
8.000000000000000000e+00,2.500041999999999831e+01
9.000000000000000000e+00,2.500122299999999953e+01
1.000000000000000000e+01,2.500311500000000109e+01
1.100000000000000000e+01,2.500706500000000077e+01
1.200000000000000000e+01,2.501452300000000051e+01
1.300000000000000000e+01,2.502745600000000081e+01
1.400000000000000000e+01,2.504832499999999840e+01
1.500000000000000000e+01,2.508000900000000044e+01
1.600000000000000000e+01,2.512571300000000107e+01
1.700000000000000000e+01,2.518883500000000097e+01
1.800000000000000000e+01,2.527286000000000143e+01
1.900000000000000000e+01,2.538124699999999834e+01
2.000000000000000000e+01,2.551734400000000136e+01
2.100000000000000000e+01,2.568431299999999951e+01
2.200000000000000000e+01,2.588509000000000171e+01
2.300000000000000000e+01,2.612232200000000049e+01
2.400000000000000000e+01,2.639838400000000007e+01
2.500000000000000000e+01,2.671534000000000120e+01
2.600000000000000000e+01,2.707495300000000071e+01
2.700000000000000000e+01,2.747869100000000131e+01
2.800000000000000000e+01,2.792774000000000001e+01
2.900000000000000000e+01,2.842301000000000144e+01
3.000000000000000000e+01,2.896516199999999941e+01
3.100000000000000000e+01,2.955462599999999895e+01
3.200000000000000000e+01,3.019159900000000007e+01
3.300000000000000000e+01,3.087611800000000173e+01
3.400000000000000000e+01,3.160801500000000175e+01
3.500000000000000000e+01,3.238696699999999851e+01
3.600000000000000000e+01,3.321252100000000240e+01
3.700000000000000000e+01,3.408412200000000070e+01
3.800000000000000000e+01,3.500109499999999940e+01
3.900000000000000000e+01,3.596271099999999876e+01
4.000000000000000000e+01,3.696810500000000133e+01
4.100000000000000000e+01,3.801640700000000095e+01
4.200000000000000000e+01,3.910665099999999939e+01
4.300000000000000000e+01,4.023788799999999810e+01
4.400000000000000000e+01,4.140908799999999701e+01
4.500000000000000000e+01,4.261922500000000014e+01
4.600000000000000000e+01,4.386721800000000115e+01
4.700000000000000000e+01,4.515196600000000160e+01
4.800000000000000000e+01,4.647243100000000027e+01
4.900000000000000000e+01,4.782745700000000255e+01
5.000000000000000000e+01,4.921596100000000007e+01
5.100000000000000000e+01,5.063680300000000045e+01
5.200000000000000000e+01,5.208890499999999690e+01
5.300000000000000000e+01,5.357110600000000034e+01
5.400000000000000000e+01,5.508236699999999786e+01
5.500000000000000000e+01,5.662154000000000309e+01
5.600000000000000000e+01,5.818753399999999942e+01
5.700000000000000000e+01,5.977925499999999914e+01
5.800000000000000000e+01,6.139562200000000303e+01
5.900000000000000000e+01,6.303554199999999952e+01
6.000000000000000000e+01,6.469797499999999957e+01
6.100000000000000000e+01,6.638184400000000096e+01
6.200000000000000000e+01,6.808612800000000220e+01
6.300000000000000000e+01,6.980977599999999939e+01
6.400000000000000000e+01,7.155175800000000663e+01
6.500000000000000000e+01,7.331108899999999551e+01
6.600000000000000000e+01,7.508674600000000510e+01
6.700000000000000000e+01,7.687780800000000170e+01
6.800000000000000000e+01,7.868325799999999504e+01
6.900000000000000000e+01,8.050219699999999534e+01
7.000000000000000000e+01,8.233365600000000484e+01
7.100000000000000000e+01,8.417681899999999473e+01
7.200000000000000000e+01,8.603077700000000050e+01
7.300000000000000000e+01,8.789463000000000648e+01
7.400000000000000000e+01,8.976761600000000385e+01
7.500000000000000000e+01,9.164891799999999478e+01
7.600000000000000000e+01,9.353772700000000384e+01
7.700000000000000000e+01,9.543334199999999612e+01
7.800000000000000000e+01,9.733503000000000327e+01
7.900000000000000000e+01,9.924210399999999765e+01
8.000000000000000000e+01,1.011538500000000056e+02
8.100000000000000000e+01,1.030696899999999943e+02
8.200000000000000000e+01,1.049889699999999948e+02
8.300000000000000000e+01,1.069111300000000000e+02
8.400000000000000000e+01,1.088356600000000043e+02
8.500000000000000000e+01,1.107619700000000051e+02
8.600000000000000000e+01,1.126896100000000018e+02
8.700000000000000000e+01,1.146180499999999967e+02
8.800000000000000000e+01,1.165468699999999984e+02
8.900000000000000000e+01,1.184756900000000002e+02
9.000000000000000000e+01,1.204040499999999980e+02
9.100000000000000000e+01,1.223316300000000041e+02
9.200000000000000000e+01,1.242580300000000051e+02
9.300000000000000000e+01,1.261829299999999989e+02
9.400000000000000000e+01,1.281060200000000009e+02
9.500000000000000000e+01,1.300269900000000121e+02
9.600000000000000000e+01,1.319455900000000099e+02
9.700000000000000000e+01,1.338615100000000098e+02
9.800000000000000000e+01,1.357745199999999954e+02
9.900000000000000000e+01,1.376844000000000108e+02
1.000000000000000000e+02,1.395909000000000049e+02
1.010000000000000000e+02,1.414938400000000058e+02
1.020000000000000000e+02,1.433929899999999975e+02
1.030000000000000000e+02,1.452882099999999923e+02
1.040000000000000000e+02,1.471792399999999930e+02
1.050000000000000000e+02,1.490659799999999962e+02
1.060000000000000000e+02,1.509482399999999984e+02
1.070000000000000000e+02,1.528258399999999995e+02
1.080000000000000000e+02,1.546986699999999928e+02
1.090000000000000000e+02,1.565665600000000097e+02
1.100000000000000000e+02,1.584293800000000090e+02
1.110000000000000000e+02,1.602870299999999872e+02
1.120000000000000000e+02,1.621393600000000106e+02
1.130000000000000000e+02,1.639862200000000030e+02
1.140000000000000000e+02,1.658275800000000118e+02
1.150000000000000000e+02,1.676632799999999861e+02
1.160000000000000000e+02,1.694931799999999953e+02
1.170000000000000000e+02,1.713172600000000045e+02
1.180000000000000000e+02,1.731353499999999883e+02
1.190000000000000000e+02,1.749474199999999939e+02
1.200000000000000000e+02,1.767533300000000054e+02
1.210000000000000000e+02,1.785530500000000131e+02
1.220000000000000000e+02,1.803464500000000044e+02
1.230000000000000000e+02,1.821334999999999980e+02
1.240000000000000000e+02,1.839140600000000063e+02
1.250000000000000000e+02,1.856881400000000042e+02
1.260000000000000000e+02,1.874556000000000040e+02
1.270000000000000000e+02,1.892163999999999930e+02
1.280000000000000000e+02,1.909704600000000028e+02
1.290000000000000000e+02,1.927177399999999921e+02
1.300000000000000000e+02,1.944581900000000019e+02
1.310000000000000000e+02,1.961916699999999878e+02
1.320000000000000000e+02,1.979181800000000067e+02
1.330000000000000000e+02,1.996376999999999953e+02
1.340000000000000000e+02,2.013500799999999913e+02
1.350000000000000000e+02,2.030552999999999884e+02
1.360000000000000000e+02,2.047533400000000086e+02
1.370000000000000000e+02,2.064441400000000044e+02
1.380000000000000000e+02,2.081275899999999979e+02
1.390000000000000000e+02,2.098036800000000142e+02
1.400000000000000000e+02,2.114723400000000026e+02
1.410000000000000000e+02,2.131335100000000011e+02
1.420000000000000000e+02,2.147871700000000033e+02
1.430000000000000000e+02,2.164332699999999932e+02
1.440000000000000000e+02,2.180717899999999929e+02
1.450000000000000000e+02,2.197026199999999960e+02
1.460000000000000000e+02,2.213257299999999930e+02
1.470000000000000000e+02,2.229410900000000026e+02
1.480000000000000000e+02,2.245486500000000092e+02
1.490000000000000000e+02,2.261483499999999935e+02
1.500000000000000000e+02,2.277401399999999967e+02
1.510000000000000000e+02,2.293239900000000091e+02
1.520000000000000000e+02,2.308998400000000117e+02
1.530000000000000000e+02,2.324676699999999983e+02
1.540000000000000000e+02,2.340274000000000001e+02
1.550000000000000000e+02,2.355790599999999984e+02
1.560000000000000000e+02,2.371225699999999961e+02
1.570000000000000000e+02,2.386579099999999869e+02
1.580000000000000000e+02,2.401850000000000023e+02
1.590000000000000000e+02,2.417038100000000043e+02
1.600000000000000000e+02,2.432143199999999865e+02
1.610000000000000000e+02,2.447165099999999995e+02
1.620000000000000000e+02,2.462103299999999990e+02
1.630000000000000000e+02,2.476957199999999943e+02
1.640000000000000000e+02,2.491726700000000108e+02
1.650000000000000000e+02,2.506411600000000135e+02
1.660000000000000000e+02,2.521011399999999867e+02
1.670000000000000000e+02,2.535525700000000029e+02
1.680000000000000000e+02,2.549954400000000021e+02
1.690000000000000000e+02,2.564296899999999937e+02
1.700000000000000000e+02,2.578552599999999870e+02
1.710000000000000000e+02,2.592721300000000042e+02
1.720000000000000000e+02,2.606802400000000262e+02
1.730000000000000000e+02,2.620795600000000150e+02
1.740000000000000000e+02,2.634699699999999893e+02
1.750000000000000000e+02,2.648514700000000062e+02
1.760000000000000000e+02,2.662239999999999895e+02
1.770000000000000000e+02,2.675874000000000024e+02
1.780000000000000000e+02,2.689417100000000005e+02
1.790000000000000000e+02,2.702867699999999900e+02
1.800000000000000000e+02,2.716225299999999834e+02
1.810000000000000000e+02,2.729488499999999931e+02
1.820000000000000000e+02,2.742656900000000064e+02
1.830000000000000000e+02,2.755728799999999978e+02
1.840000000000000000e+02,2.768703600000000051e+02
1.850000000000000000e+02,2.781579899999999839e+02
1.860000000000000000e+02,2.794356999999999971e+02
1.870000000000000000e+02,2.807033099999999877e+02
1.880000000000000000e+02,2.819606899999999996e+02
1.890000000000000000e+02,2.832077600000000075e+02
1.900000000000000000e+02,2.844443400000000111e+02
1.910000000000000000e+02,2.856703200000000038e+02
1.920000000000000000e+02,2.868854999999999791e+02
1.930000000000000000e+02,2.880898099999999999e+02
1.940000000000000000e+02,2.892830500000000029e+02
1.950000000000000000e+02,2.904650599999999940e+02
1.960000000000000000e+02,2.916356799999999794e+02
1.970000000000000000e+02,2.927947700000000282e+02
1.980000000000000000e+02,2.939421399999999949e+02
1.990000000000000000e+02,2.950776700000000119e+02
2.000000000000000000e+02,2.962011699999999905e+02
2.010000000000000000e+02,2.973124700000000189e+02
2.020000000000000000e+02,2.984113800000000083e+02
2.030000000000000000e+02,2.994977099999999837e+02
2.040000000000000000e+02,3.005713499999999954e+02
2.050000000000000000e+02,3.016321100000000115e+02
2.060000000000000000e+02,3.026797799999999938e+02
2.070000000000000000e+02,3.037142299999999864e+02
2.080000000000000000e+02,3.047352900000000204e+02
2.090000000000000000e+02,3.057427700000000073e+02
2.100000000000000000e+02,3.067365399999999909e+02
2.110000000000000000e+02,3.077164300000000026e+02
2.120000000000000000e+02,3.086822799999999916e+02
2.130000000000000000e+02,3.096340299999999957e+02
2.140000000000000000e+02,3.105714399999999955e+02
2.150000000000000000e+02,3.114944499999999721e+02
2.160000000000000000e+02,3.124028900000000135e+02
2.170000000000000000e+02,3.132966900000000123e+02
2.180000000000000000e+02,3.141757499999999936e+02
2.190000000000000000e+02,3.150399800000000141e+02
2.200000000000000000e+02,3.158893400000000042e+02
2.210000000000000000e+02,3.167236899999999764e+02
2.220000000000000000e+02,3.175430600000000254e+02
2.230000000000000000e+02,3.183474100000000249e+02
2.240000000000000000e+02,3.191366899999999873e+02
2.250000000000000000e+02,3.199109199999999760e+02
2.260000000000000000e+02,3.206701400000000035e+02
2.270000000000000000e+02,3.214143700000000194e+02
2.280000000000000000e+02,3.221436499999999796e+02
2.290000000000000000e+02,3.228580900000000042e+02
2.300000000000000000e+02,3.235577999999999861e+02
2.310000000000000000e+02,3.242428600000000074e+02
2.320000000000000000e+02,3.249133600000000115e+02
2.330000000000000000e+02,3.255695200000000114e+02
2.340000000000000000e+02,3.262114599999999882e+02
2.350000000000000000e+02,3.268393599999999992e+02
2.360000000000000000e+02,3.274533999999999878e+02
2.370000000000000000e+02,3.280538599999999860e+02
2.380000000000000000e+02,3.286409300000000258e+02
2.390000000000000000e+02,3.292148700000000190e+02
2.400000000000000000e+02,3.297759399999999914e+02
2.410000000000000000e+02,3.303244000000000256e+02
2.420000000000000000e+02,3.308605699999999956e+02
2.430000000000000000e+02,3.313846700000000283e+02
2.440000000000000000e+02,3.318970899999999915e+02
2.450000000000000000e+02,3.323981600000000185e+02
2.460000000000000000e+02,3.328881499999999960e+02
2.470000000000000000e+02,3.333673999999999751e+02
2.480000000000000000e+02,3.338363299999999754e+02
2.490000000000000000e+02,3.342952000000000226e+02
2.500000000000000000e+02,3.347443799999999783e+02
2.510000000000000000e+02,3.351842700000000264e+02
2.520000000000000000e+02,3.356151399999999967e+02
2.530000000000000000e+02,3.360374499999999784e+02
2.540000000000000000e+02,3.364514800000000037e+02
2.550000000000000000e+02,3.368576400000000035e+02
2.560000000000000000e+02,3.372562300000000164e+02
2.570000000000000000e+02,3.376476700000000051e+02
2.580000000000000000e+02,3.380322600000000079e+02
2.590000000000000000e+02,3.384103400000000192e+02
2.600000000000000000e+02,3.387823200000000270e+02
2.610000000000000000e+02,3.391484699999999748e+02
2.620000000000000000e+02,3.395091199999999958e+02
2.630000000000000000e+02,3.398646200000000022e+02
2.640000000000000000e+02,3.402152699999999754e+02
2.650000000000000000e+02,3.405613700000000108e+02
2.660000000000000000e+02,3.409032599999999888e+02
2.670000000000000000e+02,3.412412100000000237e+02
2.680000000000000000e+02,3.415755300000000148e+02
2.690000000000000000e+02,3.419064599999999814e+02
2.700000000000000000e+02,3.422343099999999936e+02
2.710000000000000000e+02,3.425593299999999886e+02
2.720000000000000000e+02,3.428817399999999793e+02
2.730000000000000000e+02,3.432018699999999853e+02
2.740000000000000000e+02,3.435199000000000069e+02
2.750000000000000000e+02,3.438360599999999749e+02
2.760000000000000000e+02,3.441505700000000161e+02
2.770000000000000000e+02,3.444636499999999728e+02
2.780000000000000000e+02,3.447755399999999781e+02
2.790000000000000000e+02,3.450864599999999882e+02
2.800000000000000000e+02,3.453965499999999906e+02
2.810000000000000000e+02,3.457059600000000046e+02
2.820000000000000000e+02,3.460149200000000178e+02
2.830000000000000000e+02,3.463236699999999928e+02
2.840000000000000000e+02,3.466322900000000118e+02
2.850000000000000000e+02,3.469409800000000246e+02
2.860000000000000000e+02,3.472498499999999808e+02
2.870000000000000000e+02,3.475590799999999945e+02
2.880000000000000000e+02,3.478688399999999774e+02
2.890000000000000000e+02,3.481792300000000182e+02
2.900000000000000000e+02,3.484903899999999908e+02
2.910000000000000000e+02,3.488024300000000153e+02
2.920000000000000000e+02,3.491155099999999720e+02
2.930000000000000000e+02,3.494297199999999748e+02
