# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.762023300960968902e-02
6.000000000000000000e+00,5.110202618333640340e-02
7.000000000000000000e+00,8.353714283346275193e-02
8.000000000000000000e+00,1.275575242773482887e-01
9.000000000000000000e+00,1.837966853187263105e-01
1.000000000000000000e+01,2.521673707981507695e-01
1.100000000000000000e+01,3.323566859928276385e-01
1.200000000000000000e+01,4.234173975323883288e-01
1.300000000000000000e+01,5.242057111241454903e-01
1.400000000000000000e+01,6.334122283937697606e-01
1.500000000000000000e+01,7.497347182816552769e-01
1.600000000000000000e+01,8.719133789332120799e-01
1.700000000000000000e+01,9.988014960447839652e-01
1.800000000000000000e+01,1.129360544250942899e+00
1.900000000000000000e+01,1.262689029182273659e+00
2.000000000000000000e+01,1.397992824112114008e+00
2.100000000000000000e+01,1.534598777745889819e+00
2.200000000000000000e+01,1.671933418836291763e+00
2.300000000000000000e+01,1.809511007346632283e+00
2.400000000000000000e+01,1.946925138915940767e+00
2.500000000000000000e+01,2.091758303476331182e+00
2.600000000000000000e+01,2.230768017743241405e+00
2.700000000000000000e+01,2.367489133159682346e+00
2.800000000000000000e+01,2.502490222260151054e+00
2.900000000000000000e+01,2.635770334122255143e+00
3.000000000000000000e+01,2.767312567749266705e+00
3.100000000000000000e+01,2.897075171856586362e+00
3.200000000000000000e+01,3.025011474823525948e+00
3.300000000000000000e+01,3.151090510872299966e+00
3.400000000000000000e+01,3.275277807396866248e+00
3.500000000000000000e+01,3.397551837599706914e+00
3.600000000000000000e+01,3.517893035023096360e+00
3.700000000000000000e+01,3.636292420593852714e+00
3.800000000000000000e+01,3.752737476304690123e+00
3.900000000000000000e+01,3.867226529866754969e+00
4.000000000000000000e+01,3.979758701529930498e+00
4.100000000000000000e+01,4.090342083580684296e+00
4.200000000000000000e+01,4.198987400984561802e+00
4.300000000000000000e+01,4.305709366985753128e+00
4.400000000000000000e+01,4.410529291192699652e+00
4.500000000000000000e+01,4.513473025933698146e+00
4.600000000000000000e+01,4.614564670942881364e+00
4.700000000000000000e+01,4.713839941869111705e+00
4.800000000000000000e+01,4.811331525950396149e+00
4.900000000000000000e+01,4.907072237293907513e+00
5.000000000000000000e+01,5.001103398350744023e+00
5.100000000000000000e+01,5.093462987364884675e+00
5.200000000000000000e+01,5.184191958477661011e+00
5.300000000000000000e+01,5.273325509264900290e+00
5.400000000000000000e+01,5.360901385728728208e+00
5.500000000000000000e+01,5.446958910422226019e+00
5.600000000000000000e+01,5.531538284530308935e+00
5.700000000000000000e+01,5.614671342787754149e+00
5.800000000000000000e+01,5.696396452742551908e+00
5.900000000000000000e+01,5.776748709962344464e+00
6.000000000000000000e+01,5.855760333070105794e+00
6.100000000000000000e+01,5.933466457928682658e+00
6.200000000000000000e+01,6.009900887866058028e+00
6.300000000000000000e+01,6.085094886088551647e+00
6.400000000000000000e+01,6.159079974390600398e+00
6.500000000000000000e+01,6.231887030274199546e+00
6.600000000000000000e+01,6.303544659420693641e+00
6.700000000000000000e+01,6.374081332278594303e+00
6.800000000000000000e+01,6.443524907941331925e+00
6.900000000000000000e+01,6.511902553784121750e+00
7.000000000000000000e+01,6.579238433977737444e+00
7.100000000000000000e+01,6.645557772935672958e+00
7.200000000000000000e+01,6.710884649265042690e+00
7.300000000000000000e+01,6.775244380084028073e+00
7.400000000000000000e+01,6.838654629221332826e+00
7.500000000000000000e+01,6.901139357256090179e+00
7.600000000000000000e+01,6.962721488754166188e+00
7.700000000000000000e+01,7.023420145019106720e+00
7.800000000000000000e+01,7.083254689600885889e+00
7.900000000000000000e+01,7.142245387712025995e+00
8.000000000000000000e+01,7.200409488315512974e+00
8.100000000000000000e+01,7.257765457183290359e+00
8.200000000000000000e+01,7.314332002103275165e+00
8.300000000000000000e+01,7.370123741166945130e+00
8.400000000000000000e+01,7.425158297243734218e+00
8.500000000000000000e+01,7.479450007897121111e+00
8.600000000000000000e+01,7.533014902036458516e+00
8.700000000000000000e+01,7.585865901073241879e+00
8.800000000000000000e+01,7.638017845721198462e+00
8.900000000000000000e+01,7.689485781887546167e+00
9.000000000000000000e+01,7.740282798098867545e+00
9.100000000000000000e+01,7.790420923517626939e+00
9.200000000000000000e+01,7.839912146759536071e+00
9.300000000000000000e+01,7.888771239483158837e+00
9.400000000000000000e+01,7.937009455711421246e+00
9.500000000000000000e+01,7.984642088218217637e+00
9.600000000000000000e+01,8.031681700269146518e+00
9.700000000000000000e+01,8.078143488169958530e+00
9.800000000000000000e+01,8.124042119846921040e+00
9.900000000000000000e+01,8.169386681776465764e+00
1.000000000000000000e+02,8.214189314344775283e+00
1.010000000000000000e+02,8.258457496971066902e+00
1.020000000000000000e+02,8.302202108184825846e+00
1.030000000000000000e+02,8.345429686293380556e+00
1.040000000000000000e+02,8.388147144225726493e+00
1.050000000000000000e+02,8.430363397521848157e+00
1.060000000000000000e+02,8.472084047123024320e+00
1.070000000000000000e+02,8.513315417457389955e+00
1.080000000000000000e+02,8.554065801450434492e+00
1.090000000000000000e+02,8.594339980250744304e+00
1.100000000000000000e+02,8.634143783113644943e+00
1.110000000000000000e+02,8.673484817491029730e+00
1.120000000000000000e+02,8.712366684068125977e+00
1.130000000000000000e+02,8.750795115735293450e+00
1.140000000000000000e+02,8.788775763102913530e+00
1.150000000000000000e+02,8.826313747817199129e+00
1.160000000000000000e+02,8.863412940284856489e+00
1.170000000000000000e+02,8.900079114974705163e+00
1.180000000000000000e+02,8.936316794810684527e+00
1.190000000000000000e+02,8.972129738308662894e+00
1.200000000000000000e+02,9.007522268390243170e+00
1.210000000000000000e+02,9.042499536873066290e+00
1.220000000000000000e+02,9.077065504288235331e+00
1.230000000000000000e+02,9.111223126423217522e+00
1.240000000000000000e+02,9.144977191101057556e+00
1.250000000000000000e+02,9.178330916510683224e+00
1.260000000000000000e+02,9.211287939703661110e+00
1.270000000000000000e+02,9.243850931969994633e+00
1.280000000000000000e+02,9.276024897739773678e+00
1.290000000000000000e+02,9.307812771096427795e+00
1.300000000000000000e+02,9.339217365504907775e+00
1.310000000000000000e+02,9.370242311171940841e+00
1.320000000000000000e+02,9.400890041707487654e+00
1.330000000000000000e+02,9.431162227900330208e+00
1.340000000000000000e+02,9.461062809602710288e+00
1.350000000000000000e+02,9.490592856199505434e+00
1.360000000000000000e+02,9.519754142877461689e+00
1.370000000000000000e+02,9.548547844750874702e+00
1.380000000000000000e+02,9.576974171490791221e+00
1.390000000000000000e+02,9.605034551959503730e+00
1.400000000000000000e+02,9.632726677974146057e+00
1.410000000000000000e+02,9.660051132598873380e+00
1.420000000000000000e+02,9.687004820382833614e+00
1.430000000000000000e+02,9.713586774073087682e+00
1.440000000000000000e+02,9.739793528626238484e+00
1.450000000000000000e+02,9.765622622348733017e+00
1.460000000000000000e+02,9.791070491674119580e+00
1.470000000000000000e+02,9.816132861020458122e+00
1.480000000000000000e+02,9.840804878062190397e+00
1.490000000000000000e+02,9.865081725378409772e+00
1.500000000000000000e+02,9.888958495512733649e+00
1.510000000000000000e+02,9.912429235566181163e+00
1.520000000000000000e+02,9.935491591699589620e+00
1.530000000000000000e+02,9.958143652779154920e+00
1.540000000000000000e+02,9.980393691911006115e+00
1.550000000000000000e+02,1.000224356067417197e+01
1.560000000000000000e+02,1.002368521936754320e+01
1.570000000000000000e+02,1.004470303255892816e+01
1.580000000000000000e+02,1.006527715268957301e+01
1.590000000000000000e+02,1.008538992064338835e+01
1.600000000000000000e+02,1.010502878657108461e+01
1.610000000000000000e+02,1.012418608291605970e+01
1.620000000000000000e+02,1.014285505373091567e+01
1.630000000000000000e+02,1.016103107750254786e+01
1.640000000000000000e+02,1.017871105783855157e+01
1.650000000000000000e+02,1.019589192845938719e+01
1.660000000000000000e+02,1.021257266890998672e+01
1.670000000000000000e+02,1.022875236616723527e+01
1.680000000000000000e+02,1.024443154935260480e+01
1.690000000000000000e+02,1.025961272246463096e+01
1.700000000000000000e+02,1.027429978108224695e+01
1.710000000000000000e+02,1.028849821559099276e+01
1.720000000000000000e+02,1.030221564397839984e+01
1.730000000000000000e+02,1.031546079845095676e+01
1.740000000000000000e+02,1.032824505385401359e+01
1.750000000000000000e+02,1.034058152714269063e+01
1.760000000000000000e+02,1.035248561237472487e+01
1.770000000000000000e+02,1.036397333084562078e+01
1.780000000000000000e+02,1.037506264094876940e+01
1.790000000000000000e+02,1.038577321280354937e+01
1.800000000000000000e+02,1.039612523236087860e+01
1.810000000000000000e+02,1.040613973383471880e+01
1.820000000000000000e+02,1.041584022303228707e+01
1.830000000000000000e+02,1.042524932868043486e+01
