# Time [s], Convective Heat Transfer Coefficient [W/m2K]
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.915079995362458862e-02
6.000000000000000000e+00,3.748642353082986406e-02
7.000000000000000000e+00,5.983475718274645916e-02
8.000000000000000000e+00,9.034761368187844977e-02
9.000000000000000000e+00,1.289100765451444419e-01
1.000000000000000000e+01,1.760599575334635680e-01
1.100000000000000000e+01,2.313289367530153018e-01
1.200000000000000000e+01,2.941054473588986529e-01
1.300000000000000000e+01,3.636440260174493844e-01
1.400000000000000000e+01,4.390155365080443128e-01
1.500000000000000000e+01,5.193166749894995160e-01
1.600000000000000000e+01,6.036913721129498756e-01
1.700000000000000000e+01,6.913395630106425882e-01
1.800000000000000000e+01,7.815412200648252927e-01
1.900000000000000000e+01,8.736836258820886991e-01
2.000000000000000000e+01,9.672264614110744896e-01
2.100000000000000000e+01,1.061714058291613361e+00
2.200000000000000000e+01,1.156755798480313846e+00
2.300000000000000000e+01,1.252023725150685829e+00
2.400000000000000000e+01,1.347243598170043910e+00
2.500000000000000000e+01,1.442187761657038658e+00
2.600000000000000000e+01,1.536662828151101445e+00
2.700000000000000000e+01,1.630514518856284178e+00
2.800000000000000000e+01,1.723611794324791058e+00
2.900000000000000000e+01,1.815853484268940887e+00
3.000000000000000000e+01,1.907151340758906466e+00
3.100000000000000000e+01,1.997437820459676994e+00
3.200000000000000000e+01,2.086661859713170308e+00
3.300000000000000000e+01,2.174782957551858242e+00
3.400000000000000000e+01,2.261768862165144611e+00
3.500000000000000000e+01,2.347597042928759592e+00
3.600000000000000000e+01,2.432252713322545112e+00
3.700000000000000000e+01,2.515729595402156793e+00
3.800000000000000000e+01,2.598023639216196834e+00
3.900000000000000000e+01,2.679134551329405145e+00
4.000000000000000000e+01,2.759068151326481200e+00
4.100000000000000000e+01,2.837832388690493257e+00
4.200000000000000000e+01,2.915434697842463674e+00
4.300000000000000000e+01,2.991887994358214176e+00
4.400000000000000000e+01,3.067209468846336051e+00
4.500000000000000000e+01,3.141409612669644691e+00
4.600000000000000000e+01,3.214508099811131281e+00
4.700000000000000000e+01,3.286520012686481529e+00
4.800000000000000000e+01,3.357462631550767185e+00
4.900000000000000000e+01,3.427356029065412368e+00
5.000000000000000000e+01,3.496217690288225377e+00
5.100000000000000000e+01,3.564066096808186312e+00
5.200000000000000000e+01,3.630918129208187572e+00
5.300000000000000000e+01,3.696795509494151144e+00
5.400000000000000000e+01,3.761715457307557742e+00
5.500000000000000000e+01,3.825697285703461237e+00
5.600000000000000000e+01,3.888759068907939653e+00
5.700000000000000000e+01,3.950918690362348773e+00
5.800000000000000000e+01,4.012195218008067776e+00
5.900000000000000000e+01,4.072605738633615857e+00
6.000000000000000000e+01,4.132168158163616489e+00
6.100000000000000000e+01,4.190900141742250007e+00
6.200000000000000000e+01,4.248817583065191528e+00
6.300000000000000000e+01,4.305937172187693562e+00
6.400000000000000000e+01,4.362275004411031887e+00
6.500000000000000000e+01,4.417849180843215429e+00
6.600000000000000000e+01,4.472672962512465489e+00
6.700000000000000000e+01,4.526761700983508163e+00
6.800000000000000000e+01,4.580132165975818737e+00
6.900000000000000000e+01,4.632796786823123014e+00
7.000000000000000000e+01,4.684770554270926368e+00
7.100000000000000000e+01,4.736068575317315954e+00
7.200000000000000000e+01,4.786702152643178998e+00
7.300000000000000000e+01,4.836686308673091794e+00
7.400000000000000000e+01,4.886032328718749262e+00
7.500000000000000000e+01,4.934754455336943124e+00
7.600000000000000000e+01,4.982863645656199658e+00
7.700000000000000000e+01,5.030373370579302339e+00
7.800000000000000000e+01,5.077293420195866602e+00
7.900000000000000000e+01,5.123637536437855466e+00
8.000000000000000000e+01,5.169415123426926328e+00
8.100000000000000000e+01,5.214637080310200012e+00
8.200000000000000000e+01,5.259314691162722433e+00
8.300000000000000000e+01,5.303457337336283217e+00
8.400000000000000000e+01,5.347077066756937391e+00
8.500000000000000000e+01,5.390181565119119611e+00
8.600000000000000000e+01,5.432780559854949232e+00
8.700000000000000000e+01,5.474884758765303339e+00
8.800000000000000000e+01,5.516501963346922111e+00
8.900000000000000000e+01,5.557641107358823440e+00
9.000000000000000000e+01,5.598311684606030347e+00
9.100000000000000000e+01,5.638522269692809452e+00
9.200000000000000000e+01,5.678280361674720389e+00
9.300000000000000000e+01,5.717593207013802470e+00
9.400000000000000000e+01,5.756470039217482793e+00
9.500000000000000000e+01,5.794918075430558702e+00
9.600000000000000000e+01,5.832944228986434609e+00
9.700000000000000000e+01,5.870556621376615603e+00
9.800000000000000000e+01,5.907762223865835161e+00
9.900000000000000000e+01,5.944567954550175948e+00
1.000000000000000000e+02,5.980980124062443615e+00
1.010000000000000000e+02,6.017006313832047759e+00
1.020000000000000000e+02,6.052652776045635896e+00
1.030000000000000000e+02,6.087925426194159328e+00
1.040000000000000000e+02,6.122830923163527395e+00
1.050000000000000000e+02,6.157374743523874372e+00
1.060000000000000000e+02,6.191563445077305161e+00
1.070000000000000000e+02,6.225402855783176648e+00
1.080000000000000000e+02,6.258898889769839435e+00
1.090000000000000000e+02,6.292056626074800540e+00
1.100000000000000000e+02,6.324881288311273053e+00
1.110000000000000000e+02,6.357379308708739352e+00
1.120000000000000000e+02,6.389555457423911733e+00
1.130000000000000000e+02,6.421414941041003743e+00
1.140000000000000000e+02,6.452962116175319451e+00
1.150000000000000000e+02,6.484202980623963164e+00
1.160000000000000000e+02,6.515142089531425817e+00
1.170000000000000000e+02,6.545783825610020479e+00
1.180000000000000000e+02,6.576133219300408506e+00
1.190000000000000000e+02,6.606194310136070946e+00
1.200000000000000000e+02,6.635972052406489574e+00
1.210000000000000000e+02,6.665470694007083807e+00
1.220000000000000000e+02,6.694694591340730305e+00
1.230000000000000000e+02,6.723648204979428833e+00
1.240000000000000000e+02,6.752334298453171790e+00
1.250000000000000000e+02,6.780758592486541225e+00
1.260000000000000000e+02,6.808924340381385498e+00
1.270000000000000000e+02,6.836835434887079010e+00
1.280000000000000000e+02,6.864495140501548853e+00
1.290000000000000000e+02,6.891907843990398241e+00
1.300000000000000000e+02,6.919077054460188947e+00
1.310000000000000000e+02,6.946006165874503147e+00
1.320000000000000000e+02,6.972698702590426123e+00
1.330000000000000000e+02,6.999158075830164805e+00
1.340000000000000000e+02,7.025388062668450395e+00
1.350000000000000000e+02,7.051391380394600894e+00
1.360000000000000000e+02,7.077171595337957477e+00
1.370000000000000000e+02,7.102731004224361655e+00
1.380000000000000000e+02,7.128073905222153783e+00
1.390000000000000000e+02,7.153202867447954638e+00
1.400000000000000000e+02,7.178120382008470024e+00
1.410000000000000000e+02,7.202829541793208001e+00
1.420000000000000000e+02,7.227334245424276382e+00
1.430000000000000000e+02,7.251636054238749907e+00
1.440000000000000000e+02,7.275737808432072740e+00
1.450000000000000000e+02,7.299642926137971166e+00
1.460000000000000000e+02,7.323353857253640520e+00
1.470000000000000000e+02,7.346872114957487376e+00
1.480000000000000000e+02,7.370201322614605921e+00
1.490000000000000000e+02,7.393343935507952658e+00
1.500000000000000000e+02,7.416301916088945845e+00
1.510000000000000000e+02,7.439077806999393694e+00
1.520000000000000000e+02,7.461674293197433805e+00
1.530000000000000000e+02,7.484093153086653238e+00
1.540000000000000000e+02,7.506336532272650963e+00
1.550000000000000000e+02,7.528407346036076753e+00
1.560000000000000000e+02,7.550307614550448854e+00
1.570000000000000000e+02,7.572038284844109235e+00
1.580000000000000000e+02,7.593602915613137938e+00
1.590000000000000000e+02,7.615002960892603312e+00
1.600000000000000000e+02,7.636240438885697479e+00
1.610000000000000000e+02,7.657317716909536109e+00
1.620000000000000000e+02,7.678235715130718120e+00
1.630000000000000000e+02,7.698997500672368766e+00
1.640000000000000000e+02,7.719604498087944577e+00
1.650000000000000000e+02,7.740057901030219512e+00
1.660000000000000000e+02,7.760360622175284995e+00
1.670000000000000000e+02,7.780512994641571645e+00
1.680000000000000000e+02,7.800518225226045210e+00
1.690000000000000000e+02,7.820377536254272677e+00
1.700000000000000000e+02,7.840091739534587489e+00
1.710000000000000000e+02,7.859663520617315768e+00
1.720000000000000000e+02,7.879093621377125878e+00
1.730000000000000000e+02,7.898384640730742312e+00
1.740000000000000000e+02,7.917537255028488374e+00
1.750000000000000000e+02,7.936553423809145080e+00
1.760000000000000000e+02,7.955434509748365635e+00
1.770000000000000000e+02,7.974182029321164045e+00
1.780000000000000000e+02,7.992797282894488653e+00
1.790000000000000000e+02,8.011281359886927689e+00
1.800000000000000000e+02,8.029636596191153330e+00
1.810000000000000000e+02,8.047862931316123181e+00
1.820000000000000000e+02,8.065963180351053197e+00
1.830000000000000000e+02,8.083937596109832313e+00
